train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;24328.590731719487;0.23099851910233624;72.72727272727273;27.464694983256855;289743.169811661;0.8908635055354956;47451.36558587685;45663.1479340271;46431.53129198917;46894.06517320369;49102.02378813238;48001.584675589635;47991.86823697935;50867.16496780323;48753.836097260835;54453.51504723676;48028.776074889014;43966.38397686315;-6.060625679727496;1.2150633388354866e-07;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;True
1990-01_2022-02;2022-03_2023-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;4551.169982536615;0.0677615382243769;72.72727272727273;2.4832442243829655;53881.09552667582;inf;43211.14240044163;43817.063231997614;44684.657540254484;43580.95549917196;46553.06797129513;45238.02139775083;45238.027483902966;49392.11141124364;48159.56921666391;53474.21423007727;46469.00034180412;42040.86163850422;-5.775995357079067;5.257973507802236e-07;1;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;True
1990-01_2021-02;2021-03_2022-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;11972.549540592165;0.2259856472023637;63.63636363636363;-21.27525032291145;189693.89261353365;4.951846402755534;51094.464281619636;50001.90970581261;49558.89738800173;52040.42158507774;54897.32728595189;55996.080823207194;59331.65747678013;62134.608453156616;58768.980706161994;67639.81463543526;61599.28558993492;56168.779337636246;-5.661863205817127;9.340211450812185e-07;1;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;True
1990-01_2020-02;2020-03_2021-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;13190.818042543027;0.29551496304086994;81.81818181818181;-7.803566548195205;105541.00579476824;1.2319178412398397;56262.75180520022;50600.60908558245;54171.04476402414;52158.27334259272;53064.03274110823;54469.1046544373;47087.484879191376;51346.580779863565;45430.072511837534;51158.346749062766;47145.60385804198;36262.79614641506;-5.57140725786887;1.46461864786873e-06;1;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;True
1990-01_2019-02;2019-03_2020-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;11636.21302194005;0.1599761263494245;36.36363636363637;-14.16690770262147;321450.4346035569;0.5676549324274113;71904.79585228424;64526.363056953494;67992.06165325326;69785.78837512949;68625.23317791572;74156.5229705717;74497.18369071618;75815.82343203516;78270.97067896836;85011.33465864413;76261.63445187427;76545.87039964132;-5.361443077065487;4.079540213289965e-06;1;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;True
1990-01_2018-02;2018-03_2019-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;17584.05860483935;0.18687853553134784;90.9090909090909;20.16828287218026;70642.93070796889;0.6875123416411408;47388.63790576234;46346.25427421903;48219.30937538496;48585.95757999005;50706.73317202886;53174.65572973104;52259.50201008236;56004.69944277184;55964.37158847799;62079.248185807424;57246.91295579718;53632.42711018482;-5.354770216851112;4.21256219245982e-06;1;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;True
1990-01_2017-02;2017-03_2018-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;20603.84174856714;0.40089678609180796;72.72727272727273;42.88582358239816;246901.20308867685;2.2543589026110467;27777.66890615044;27218.03841126332;26457.590568830507;25563.032831528297;25803.035105473806;26223.845344949958;23817.293239608534;24540.132489421594;22691.481295171645;25768.648016165287;19432.305831291033;13455.285289285715;-5.244497095040493;7.127704655315705e-06;1;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;True
1990-01_2016-02;2016-03_2017-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;20656.144092749073;0.5111498488433123;63.63636363636363;48.055639443026415;329829.88201021816;2.0820685493724524;42101.10167087419;32751.88313637372;30718.826501504274;25210.059956045894;25259.695064448344;21506.32689044903;15977.265445122093;18832.175292947722;9386.088885529607;15023.60064852652;4449.054532761194;-3154.5344095100118;-4.576073101975658;0.00014294172306989018;2;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;True
1990-01_2015-02;2015-03_2016-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;6890.265240766571;0.11014553204237088;100.0;-1.3119047087248137;328.62716593279356;0.7468068061417135;51454.34063651336;52834.661538019165;51265.071920809736;52961.92019533513;53912.235725348124;54363.838416357634;54593.70617971025;56042.06697302116;55619.78117164526;62290.364605110815;56783.33883951199;52301.882804482986;-4.524529995900826;0.00017751620884312624;2;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;True
1990-01_2014-02;2014-03_2015-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;18585.0221388096;0.3765640490973485;54.54545454545455;-37.40752537731054;368835.586807067;5.6363708897416025;58159.74792311839;58813.543967510515;60543.7412077582;62101.00253668969;64665.93538006298;67075.64543512635;66325.54008714488;70635.873154123;69836.19639659495;75965.97786236073;72674.08145239801;67749.39914008314;-4.287124715949753;0.0004675786299654182;2;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;True
