train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SC;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;2872.9152286664494;0.05064993840546741;63.63636363636363;4.51619346249612;45300.4896061361;0.9381882673802427;44632.00501647257;43931.86143448843;48245.68356799898;47531.92932190524;49382.284546763585;49072.47654983317;45982.78981257535;47948.62774056599;45705.460687005216;44203.9177704461;42571.077550444366;41906.169903125025;[12.810203527427802, -1844.2165044884314, 2855.519332001015, 5233.79712809476, 2556.7118332364116, 3913.994460166832, 1509.2319274246474, 954.1150094340046, 2625.080982994783, 839.3648395538985, 3720.0655695556343, 3690.1308168749747];-2.2537777746942296;0.1873089468862803;9;387;-3.447360865754795;-2.8690374364690445;-2.5707639493486636;False
1990-01_2022-02;2022-03_2023-02;SC;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;1488.7593988060116;0.02741889795615436;81.81818181818181;1.043275298486964;11738.832048640836;inf;45364.77404161672;42864.72399454118;45424.359006198094;46540.14988269814;48477.22985038821;49819.928578161416;47828.71420416693;46829.36933354793;45061.4186862655;43907.35539785055;41947.29977647906;41475.469034397014;[432.58102838327613, -190.31819454117795, 2722.322153801906, 1891.2396073018608, -1622.5106503882125, 1936.0007718385823, 837.4180458330738, -248.49614354793448, 1930.8621137345035, 753.2949621494481, -941.792526479061, -1749.1049043970124];-2.230365644715592;0.19540961188258393;9;375;-3.447909006729481;-2.8692783343881483;-2.5708923751111112;False
1990-01_2021-02;2021-03_2022-02;SC;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;2019.5402173854409;0.037679435437417384;72.72727272727273;-1.8327235894201088;23883.028754223564;0.8947896339356651;47323.00754559317;46729.71026815984;48199.667831105085;48946.74971038335;50393.93731490504;49862.821848217434;48587.45262737546;48650.040984769454;46228.6145241693;46111.842217181154;43819.3649734098;41956.36883621439;[783.4000644068292, -544.4004881598376, -1166.0319611050872, 503.148839616646, 3206.2619650949637, 595.8122117825624, -1062.2823373754582, -2584.7475047694534, -2280.8590941693037, -1859.4146771811575, -4023.3541034098016, -1768.6278962143842];-2.1199831582438895;0.23655555849157123;9;363;-3.448493650810824;-2.8695352280356556;-2.5710293341377715;False
1990-01_2020-02;2020-03_2021-02;SC;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;1663.0116513282687;0.02840765351598003;90.9090909090909;1.668229985095556;6566.978946253162;0.5859950737236725;45771.4910218477;45239.6949185714;47278.30360945014;48163.33619810468;49966.08178257144;49453.01872210917;48254.766460139486;48071.23027959268;44779.81103727097;44242.74315219194;42965.40612315564;41752.75300002723;[1899.7571681522968, -560.0191985713973, -2380.4738994501386, -569.390548104675, 3420.465317428563, 1340.3816378908305, 1326.675569860512, 1462.3603004073157, 263.1201227290294, 2306.8818478080575, 638.5232268443579, 283.3955499727672];-2.1765642122819324;0.21486096879842664;10;350;-3.4491725955218655;-2.8698334971428574;-2.5711883591836733;False
1990-01_2019-02;2019-03_2020-02;SC;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;2203.7375448214016;0.0375627746164613;63.63636363636363;0.689906186221002;34736.302820626894;0.6607379421488974;43073.30626346771;44076.969989343874;45700.97852354034;45827.86139479273;48248.603474068506;50286.63380321306;47920.65558125932;47672.838423391106;46510.8156040437;44249.73366776885;42150.70605828042;41838.86734770148;[1647.3332265322897, 1370.2147906561295, 1697.3620564596567, -953.9519747927261, 5106.242535931495, -2237.4689432130617, -2846.420071259323, 124.029326608892, -2650.261254043704, 231.02358223115152, 1843.1309017195817, 472.64533229851804];-2.0646146257535456;0.2589791337860691;9;339;-3.4497880749874628;-2.870103829170425;-2.571332495975496;False
1990-01_2018-02;2018-03_2019-02;SC;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;4063.9463220675507;0.05316581454291137;72.72727272727273;-0.607711033467798;48087.10526880728;0.8645353728135382;45483.746207148775;44914.951809968035;48721.51403626583;46894.853101797344;48356.949092045965;48786.559649941315;46557.937541934545;47547.1356648721;45018.01056364549;44010.523382741594;43366.930991762085;41806.142835994186;[-626.5016371487727, -368.07318996803224, -10396.668026265826, 8678.378778202656, -276.99981204596406, 2740.8370900586815, -1826.9411619345483, 794.2393351279025, 521.3662463545115, -1207.1665027415947, -821.0994717620852, -542.4435559941849];-2.413421957197275;0.13798394018245186;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;SC;glp;ARIMA;{'n_estimators': 50, 'random_state': 42};36;12;1331.2478231303762;0.025729978447502633;100.0;0.3358509545145511;14.831974463919094;0.7637466175875154;47564.24279248671;45634.89183047818;48344.68772955866;47633.1646418343;48685.81735242896;49170.311011957216;47124.6880330512;47725.17517146581;46034.14475151632;44235.320132879555;41893.71400922058;40712.04981912604;[1174.2602975132904, -2728.672630478177, 784.2126304413396, 1115.5009581656996, 1270.9235875710438, 1306.3176980427816, -1785.6020930512022, -1014.9750714658076, -333.0807415163217, -294.0474828795559, 1300.746130779422, 1073.8559808739592];-2.063432378386138;0.2594704662411048;9;315;-3.451281394993741;-2.8707595072926293;-2.571682118921643;False
1990-01_2016-02;2016-03_2017-02;SC;glp;ARIMA;{'n_estimators': 200, 'random_state': 42};36;12;2443.187047114767;0.03920137273644873;72.72727272727273;3.2823986054776757;28894.599599099885;1.9217706639449692;45798.27996703592;44252.58549827636;45976.2892539627;45997.75487604777;47337.75640594403;47103.81934077534;46321.2070648034;46211.62647815617;44284.04156543448;44022.80668348657;41176.476694230914;39618.807662933985;[-300.6640270359203, -1435.0583282763619, 2206.2469760372987, 5194.149113952226, 2035.64033405597, 4851.617249224655, 1443.124455196601, -445.1663381561666, 1513.8135045655144, 1773.9324465134341, 1492.497945769086, -68.06491293398722];-2.0872836905268386;0.24965854067748772;10;302;-3.4521902441030963;-2.871158406898617;-2.5718948388228586;False
1990-01_2015-02;2015-03_2016-02;SC;glp;ARIMA;{'n_estimators': 200, 'random_state': 42};36;12;1985.620982276821;0.03563848496014249;63.63636363636363;3.0002403752078717;31296.62515156949;0.6982338200854171;43936.32473607772;43575.12123592494;44239.18124327143;44335.00707541141;46572.38344362486;46260.54978732057;45066.933073947905;44759.82227155121;41989.462467407735;41658.76594559185;39725.272919507974;38624.95293045241;[1101.0973639222866, 32.50919407505717, -436.07254327143164, 2653.6432845885865, 2979.2832263751407, -1162.843267320568, 31.278886052095913, 2297.5382384487893, 730.4469525922686, 3334.67064440815, 1443.2959204920262, 3101.960109547588];-2.1133639853256603;0.2391749413991891;10;290;-3.453102162983312;-2.871558538275452;-2.5721082282996433;False
1990-01_2014-02;2014-03_2015-02;SC;glp;ARIMA;{'n_estimators': 200, 'random_state': 42};36;12;1185.4174139416943;0.019285415089282266;100.0;0.16959140030051237;9.89921894122324;0.3081013145821013;43887.488453109014;44319.46942917184;44720.39384230689;44284.356534270846;46140.93170827972;45888.66988870751;45137.40755560241;45902.889274904745;41958.83841907485;41989.2139874379;39952.655092965615;38172.71928815371;[-2049.577223109016, -1395.9386291718401, 371.60977769311285, -357.5340742708431, 2844.388941720281, -1.836558707509539, -176.4800156024139, -71.59579490474425, -557.650009074845, 343.27876256209856, 1047.7905570343864, 890.9183918462877];-2.088431271067988;0.24919181827941478;10;278;-3.4540935579190495;-2.8719934111688965;-2.5723401594120388;False
