train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MG;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;44214.65583442116;0.212714610822885;45.45454545454545;10.903948632426726;1048377.967062037;0.6387780490048159;118291.81585249916;159646.53803107262;170107.84693661312;150075.57487761707;142811.47579746178;171503.4828889296;152746.53021282866;153208.7524108502;156238.7779045996;148066.84422335838;146987.1920681197;164951.78961328423;[15473.697147500847, -34470.86103107262, -42095.44993661312, -21043.56487761707, -11210.024797461781, -7571.385888929595, 33050.56078717133, 49208.4405891498, 48090.166095400375, 86951.36677664163, 68193.64493188029, 39953.938386715774];-1.494038615033826;0.536458262523604;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;MG;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;51369.43986968951;0.317982259485503;27.272727272727273;-17.43362430716972;1624800.9051150654;inf;123221.39046913524;225443.57683196373;210506.50943029995;163409.8958365887;179016.86234950487;204737.6923675474;145894.23357747408;186109.29415114401;201300.72294895523;177862.69357809922;175695.1558289369;191693.6136373603;[82332.34853086477, -32218.17883196374, -41671.369430299936, 22071.2161634113, -25882.835349504865, -64696.66536754739, 9647.589422525925, -34657.87515114402, -66990.42494895522, -30738.41657809922, -67281.3038289369, -74272.46363736031];-1.4738229246861745;0.5464187469120526;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;MG;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;60942.23004854907;0.3184712236272603;36.36363636363637;-27.90762790929308;1687697.5438912464;2.192804253415358;217822.62190787427;204927.78900327222;290602.32098611543;213093.0376649249;195600.3890757404;251141.3423354618;222193.00008221372;204231.2710193535;244662.05853831643;211602.25259588764;216449.4567310148;243062.5618558519;[-8400.821907874284, 9510.990996727778, -77141.35998611542, -35843.08766492488, -6098.240075740381, -65629.86733546181, -45198.977082213736, -30935.555019353516, -106939.84053831644, -44756.45159588763, -89504.9847310148, -91520.9258558519];-0.9563424243709889;0.7688526727349652;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2020-02;2020-03_2021-02;MG;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;48967.769594841986;0.2040900302653997;27.272727272727273;-15.947797998950106;1546418.699896412;0.5411079274377348;276031.33807658026;245623.0673131361;269673.8137652018;261368.1153922892;255962.24753781193;269932.68303433794;264546.10035059217;258950.2056164558;271387.5696020747;259272.4246222981;259975.64770487492;270367.6711783687;[-79764.24607658025, -74603.3083131361, -78881.51176520178, -65800.42139228922, -37898.163537811924, -45474.89903433793, -18650.698350592167, 11789.796383544191, -24437.297602074686, 22425.281377701904, -10808.489704874926, -32956.779178368684];-0.8982085932110311;0.7885617811677352;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;MG;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;64694.29948929992;0.21613620412285026;18.181818181818183;19.526304289274428;2298072.204008796;0.5293085165759356;282412.2341040609;205106.00133300354;182290.8608874923;204402.29430679535;210402.3377017183;218857.23086824585;204036.66240328344;204944.9378144944;216867.35874972813;191752.84137197823;222664.34898575762;230889.70834439728;[-41964.40610406091, 41453.60766699645, 75959.9051125077, 41998.24069320466, 69042.5972982817, 50720.55413175412, 67915.10559671654, 90434.24918550559, 67926.91925027187, 112548.31762802176, 41872.20501424238, 6805.490655602713];-0.8107815772893578;0.8159345277791057;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;False
1990-01_2018-02;2018-03_2019-02;MG;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;109095.94260214605;0.4018222739852894;18.181818181818183;43.240977392475834;3884081.381024289;1.1465916179304732;153694.76671564687;122437.47833904914;128561.67517810855;107598.96316052356;106549.69134859345;147702.71220421456;135204.98531257914;111568.10056599439;129492.17652617303;97186.74228700108;120266.23501256805;154369.32593081327;[3695.205284353142, 35111.22666095085, 24926.68182189144, 87208.86183947645, 113017.24865140655, 96137.53679578545, 105498.34268742087, 165186.5354340056, 124783.94747382698, 179162.56771299892, 134382.97298743197, 84788.32206918672];-1.3606969122376993;0.6009668414486488;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;False
1990-01_2017-02;2017-03_2018-02;MG;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;43844.77710365977;0.24563800223883345;45.45454545454545;19.53043857470815;1040233.618418508;0.7050883700235646;90235.6664004133;93908.81348240668;127715.85531652525;120202.0141650003;97164.20022212254;111900.89778851031;116218.03973220791;109209.10670293467;111777.29930096198;109396.17022394082;113640.32558256607;108824.44971516912;[-5081.614400413309, -6789.948482406675, -31986.605316525252, -18127.25416500031, 12088.049777877459, 25456.70921148968, 43600.5602677921, 64106.615297065335, 61095.655699038005, 82504.65677605917, 54173.97741743394, 36950.750284830894];-2.2697725606305243;0.1819022887116576;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;MG;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;44706.063115041885;0.377633844942782;27.272727272727273;-22.333953076376027;1415198.10673324;0.8514545135608579;165989.96357969067;123593.8745488896;116791.44092935092;141238.65868598397;149200.6969502931;156495.91641484675;131758.1531638196;129412.48213504633;141385.5897100614;136960.70311890662;151313.4948736858;159231.24372244853;[-76192.79657969066, -22694.226548889594, 31387.24907064908, 3364.098314016039, 301.2870497069089, -8885.01641484676, 15203.399836180412, -12338.948135046332, -53130.00371006141, -31433.939118906623, -69965.92687368579, -86592.09072244853];-1.8463935527835893;0.3576837697937507;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;MG;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;96369.12406254433;0.5548672312864203;36.36363636363637;58.23822610857754;2678654.6794321863;2.528432220115828;76222.18472626469;56246.198222754465;66883.17907573465;64007.778173780534;61037.53151959713;63578.46306560233;64416.80885837699;62573.511424136545;66170.98646798321;60606.195334699005;60535.18818976061;65575.18557102678;[30010.306273735303, 84873.10777724555, 77418.77292426534, 97686.10382621948, 123939.74548040287, 122462.30493439769, 133411.43514162302, 143290.80157586344, 81278.88053201679, 93656.032665301, 53868.93581023939, 28901.212428973216];-2.3507650803027635;0.15611725771687268;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;MG;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12238.218702512631;0.14014764085829548;27.272727272727273;3.9835812342796406;386151.0364239187;0.10418194954503644;73818.43298644217;56397.84612403605;56650.95378753501;63113.652518775816;62803.29394804947;62329.34514109751;60843.35708774422;59554.350564831526;59809.38569469213;59793.11356121472;64872.933917802635;66368.27431685038;[-21679.02298644217, 320.2338759639533, -3832.9517875350066, -8924.290518775815, -3050.2819480494654, -3456.4921410975076, 1249.70491225578, 8061.756435168478, 7661.9623053078685, 25687.801438785275, 12448.66308219736, 16478.095683149615];-2.4374764452651623;0.1314370606143055;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
