train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;152.78156942927836;0.03989006465974757;63.63636363636363;2.649421617303239;2408.9529117608777;0.867708436948254;3170.8661458765546;3203.2551527250835;3217.8498505056764;3019.3471588459397;3205.3429700258953;3134.6186685648895;2950.2804475056687;3128.205931060581;3121.0613751765873;3292.2673534855944;2981.87555667817;3027.250098025635;[129.34218712344546, -181.94174672508325, 99.15014949432361, 231.5840001540605, 26.03927597410484, 178.0751724351103, 30.893465494331394, 151.12015593941896, -11.36753417658747, 151.70547251440576, 286.84364632182997, -72.17219902563511];-0.8311896700886858;0.8097882474680091;10;386;-3.447405233596701;-2.8690569369014605;-2.5707743450830893;False
1990-01_2022-02;2022-03_2023-02;AC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;142.8038403588275;0.03983140364503785;63.63636363636363;-0.8410841909176396;2251.6675282421497;inf;3215.143533185194;3108.0614617313845;3225.3240931992136;3118.0241254180078;3170.516903199844;3052.4891622345995;3004.2461128060913;3221.5664170426717;3126.649816648247;3316.8838643956815;3069.8664380828222;3045.429722218445;[91.04487281480624, -183.75167873138435, -63.40561519921357, 13.499425581992455, -227.9698021998438, 174.76083776540054, 169.9712781939088, -124.43417104267155, 121.55308235175289, 0.4096136043185652, -53.71607608282238, -232.1905922184451];-0.7706217527563061;0.8275997767627576;10;374;-3.4479562840494475;-2.869299109917524;-2.57090345105665;False
1990-01_2021-02;2021-03_2022-02;AC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;161.03562796114585;0.043108666748718;63.63636363636363;-3.3355602446929193;2539.3383136819257;0.8946962946685753;3350.0775797477327;3210.9018196461766;3284.999448377942;3136.2043760787187;3313.170867978005;3230.0763058447756;3094.833816538767;3271.722945944555;3187.6237098765623;3365.3737296162553;3134.832368755271;3144.4990730618415;[115.02568125226753, -73.6029066461765, -173.6552453779418, 33.32279792128111, -29.862896978004756, -140.72123384477572, -31.853744538767387, -312.1450469445549, -251.70523187656227, 11.407067383744561, -189.06244075527093, -207.12588506184147];-0.4367677103676318;0.9037765300520779;10;362;-3.448544133483233;-2.8695574079525565;-2.5710411593052713;False
1990-01_2020-02;2020-03_2021-02;AC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;237.83695720799477;0.06376463016851887;54.54545454545455;5.492827109428097;4689.022997806079;1.0576501540998047;3033.060735286529;3042.1705149166473;3165.686364567222;2998.0876096348024;3065.441009022429;3073.5673268053465;2921.356307691359;3047.587894823014;3054.8383891248745;3333.9794380777203;2992.217286887956;2935.246468756398;[307.5878157134712, 313.40738408335255, 147.35167843277804, 380.71854936519776, 361.0245709775709, 131.67180319465342, 212.43535930864118, 306.2780471769861, -88.12462112487447, 94.65643192227981, -105.56148988795621, 69.44918324360196];-0.632124432614036;0.8635567684867739;10;350;-3.4491725955218655;-2.8698334971428574;-2.5711883591836733;False
1990-01_2019-02;2019-03_2020-02;AC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;123.3555103944726;0.03282798004013858;90.9090909090909;-0.4029695400103618;487.46910642919846;0.5844823240351935;3132.3114124420404;3092.1072288457535;3172.369154355462;3031.2557407337763;3136.548216979021;3052.5639838212664;2898.619368172007;3051.218467531561;3092.0943802888905;3282.911807973132;2989.6527928754344;2993.6548684212294;[-40.6538034420405, -2.0130258457534183, -9.785821355461849, -234.5347267337761, 146.02243502097872, 55.298335178733396, 49.03642882799295, 196.93008346843908, -56.82626428889034, 70.57551102686784, -169.51692287543437, -152.73276742122925];-0.5243329401862951;0.8871799831070025;10;338;-3.449846029628477;-2.870129281376164;-2.5713460670144603;False
1990-01_2018-02;2018-03_2019-02;AC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;115.87181340004747;0.032935466659357183;72.72727272727273;-1.6286120341772372;1370.4223703510422;0.9050907237046932;3290.860662434717;3200.3592035981883;3172.463572763785;2994.8403204323413;3191.761808094429;3021.3594515234463;2888.31464967005;3172.525200497986;3148.0076591854468;3331.659836801264;2986.713716399524;2974.4981425206124;[-157.761024434717, -172.10558059818823, 89.00925323621505, 84.1216365676587, -123.58608309442889, 91.41409947655393, 37.61650932995008, -32.57592549798619, -32.172514185446744, -155.7159958012644, -28.672049399523985, -198.48546152061226];-0.23060956504926686;0.9347733219553473;10;326;-3.4505694423906546;-2.8704469462727795;-2.5715154495841017;False
1990-01_2017-02;2017-03_2018-02;AC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;208.33803244616607;0.05534121832229711;45.45454545454545;2.24810140406512;4927.009468316176;1.131514089161498;3164.2238057827117;3059.4256208638367;3096.867022870335;2941.7564377798008;3015.8687326288655;3001.379940896156;2913.8272730498975;3079.6340665795024;3038.995164660112;3229.3205594162146;2933.1152238860905;2929.413698983589;[445.7968062172881, -207.36583786383653, 0.36667312966483223, 265.91731622019915, -27.981051628865316, 256.29553010384416, 121.13437195010238, -132.74763357950224, -123.1428666601123, -144.54516341621456, 186.5297041139097, 196.95858401641135];-0.20104200499781305;0.938397299184693;10;314;-3.4513486122290717;-2.870789013306053;-2.5716978530569192;False
1990-01_2016-02;2016-03_2017-02;AC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;143.79600557172907;0.04286285147077281;45.45454545454545;0.4835818655143918;3399.9810796387105;1.2323884486409677;3100.6723199643984;3016.611409728552;3139.0696819704726;2958.1656208930563;3055.0368311237216;2973.108971955066;2846.8141898782887;3006.0787894188884;3029.70970833341;3204.952693225362;2941.89961793716;2948.9754368760487;[-11.1252189643983, -116.87952572855238, -58.52620397047258, 147.1351041069438, -142.40277312372154, 123.01602804493405, 260.14595512171127, -142.48096341888822, -81.72057833341023, 198.92230677463795, 140.73262806283992, -140.8069588760486];-0.23444993850493306;0.9342887508996066;10;302;-3.4521902441030963;-2.871158406898617;-2.5718948388228586;False
1990-01_2015-02;2015-03_2016-02;AC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;136.96877954952785;0.0375160566221682;63.63636363636363;-0.19964880439416033;2159.5147294379976;0.6346801374408336;3214.7818182141145;3095.981900539437;3075.7262174768316;2932.200899340078;3015.5935810351543;2957.853913663632;2835.5544881018645;2986.9557184390374;2985.591623143147;3217.82224886795;2929.2441092279864;2895.0825533767616;[-82.87239821411458, -34.26450953943686, -160.2968694768315, 143.65960765992168, 208.5984479648455, -70.2144206636317, 271.5052948981356, -2.3216604390372595, -102.10249314314706, 15.434997132050285, -176.18795022798622, -82.95211837676152];0.28546092988168364;0.9766675210036774;10;290;-3.453102162983312;-2.871558538275452;-2.5721082282996433;False
1990-01_2014-02;2014-03_2015-02;AC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;224.3104551244157;0.05902335219027035;72.72727272727273;4.53413772694374;2655.4101890420866;0.881530401569736;3015.3644373392726;2935.4120899620502;2921.581523835454;2757.5377053862658;2894.370793021243;2847.753369211116;2685.175860945702;2849.609858301984;2905.4157105895983;3088.4432906325765;2752.867947043093;2710.329798828689;[-53.17784333927284, -73.13310396205043, -22.204711835453963, -72.82212538626572, 229.598409978757, 83.17235578888403, 377.3350090542981, 305.6437646980162, -54.99904358959839, 294.6835213674235, 391.3005309569071, 226.71005617131095];-0.08560341520198825;0.9508537430520759;10;278;-3.4540935579190495;-2.8719934111688965;-2.5723401594120388;False
