train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RJ;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22688.598470657267;0.08556036831404978;45.45454545454545;8.129614134240388;536721.7677459245;1.1327920316333178;223827.8939069559;205332.09072897185;209508.11501206618;210051.95175084102;204017.38072171973;214386.48271417164;214982.84229467626;209642.2696724626;211105.30642175055;206901.21424174518;209141.99223941282;214611.52080018286;[16807.427093044098, 1322.8302710281569, 23274.861987933837, 10940.178249158984, 26956.23327828027, 29112.320285828377, 14260.016705323738, 18420.005327537394, 27142.276578249468, 42712.009758254804, 21887.334760587168, -8645.175800182857];-1.3046168529840818;0.6270574596612895;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;RJ;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;25632.178404311268;0.10450234699621459;36.36363636363637;10.208271022453404;707466.5007835624;inf;190572.60524934102;201247.06034184626;186801.32620001328;178708.19808566532;188367.43986272634;200095.954259173;191879.72667615672;187430.4852521695;191188.00639766018;186700.78628549367;187268.33231818353;194514.31355501767;[14082.161750658968, -4362.269341846259, 24613.733799986716, 22837.283914334665, 21890.21113727367, 27650.067740826984, 16288.689323843282, 40094.882747830474, 31920.331602339807, 42671.843714506336, 24061.98668181646, -1996.7735550176585];-1.3475218569291108;0.6071605344807885;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;RJ;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;26322.515798329456;0.12062624724364156;45.45454545454545;11.400342095180129;623085.9461327392;1.174803115919118;153785.22338117505;163954.8218462462;197388.49425421524;165242.41320474038;154514.9368409828;181715.9995486319;177831.09558693194;164092.89016710888;167754.66509293125;170201.13244069868;174424.95759256007;171123.03477495088;[41684.11161882494, 14523.832153753814, -9449.201254215237, 18661.60279525962, 48644.3741590172, 21162.695451368112, 15042.83241306807, 30630.99383289111, 21647.686907068768, 33500.47355930132, 14429.01840743993, 12274.702225049114];-1.2896280017908275;0.6339040554340375;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;RJ;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;37585.61497316965;0.199782792914713;18.181818181818183;-17.510463722897224;1334853.445616093;0.6903469863694536;202518.53618630927;202092.29925907994;197856.33023118932;194642.89629845638;195372.38781894482;202799.38266663146;200480.48761648574;195089.4531488689;198793.65844803702;194411.91874592062;194506.5588990373;202808.39627706067;[-31003.230186309258, -80159.58425907994, -61687.124231189315, -41185.99929845639, -16678.46081894482, -25004.976666631468, -20879.254616485734, -3739.8551488688972, -25166.061448037013, 1375.822254079394, -5503.252899037296, -45220.96127706068];-1.292973906741136;0.6323805980780173;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;RJ;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11784.707300560578;0.04518432842300219;36.36363636363637;3.2871500275877334;324963.59602955694;0.668220113756818;185689.991985385;196421.06437115135;195817.35037048315;186894.6517332333;188197.8293752724;197842.80434030795;195931.71211222536;189414.97117936565;190064.7255954466;189785.9771419189;189813.04545676452;195498.32326320952;[1516.9170146150282, -3045.6053711513523, 9010.433629516861, 926.3112667666865, 19239.07262472759, 6006.6576596920495, -1461.7761122253723, 23936.106820634363, 4827.65440455341, 17766.41985808109, 10986.646543235489, -11488.038263209513];-1.261478530374657;0.6466066041301173;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;RJ;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13906.067956331992;0.053973737050749704;45.45454545454545;-1.9059830213502729;328771.9537920749;0.5088962415200703;181347.66143211903;200710.83054229798;205548.60668974495;192831.07538618773;190323.1263922216;199764.70563245434;198827.22222330893;197327.97585964252;196560.6049969468;193977.77221888097;195864.82322284253;200149.37574376425;[7719.555567880976, -10695.219542297971, -38191.35268974496, -1411.7903861877276, 7023.557607778406, -1396.844632454333, -14064.201223308919, 15654.160140357475, -4033.760996946774, 2839.152781119017, 4630.0567771574715, -12086.66274376426];-1.254846806766365;0.6495686660498337;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;RJ;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;26750.738887221127;0.12803443458819755;36.36363636363637;-11.259946026392466;738612.6766412125;1.407173068630912;202950.3995605646;220767.1884884333;230425.35212387957;218081.63837285346;213386.6769199053;220612.7083992657;221599.16080290018;221558.37595522313;221252.39383904895;216156.7805311803;217179.21709956494;221973.92005117255;[13699.889739435399, -33893.14738843331, -23953.500823879556, -25009.787272853457, -19130.264519905293, -12494.50999926572, -20981.58030290017, -17181.938655223144, -30986.05273904896, -16235.657431180298, -25598.834099564934, -53990.50305117256];-1.5905841354426737;0.48832168462450937;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;RJ;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;34563.31250145627;0.1486969217025821;54.54545454545455;-14.488116971448214;682517.1652267859;2.356298614269427;238563.32311581154;250267.99441746986;259856.20972928932;241895.12243311154;240188.59239095685;253265.73800162942;256560.04229500509;253872.93088728414;244710.69143526984;246647.77386652713;254953.3410038843;252180.33996366002;[-14691.384615811548, -26775.258417469857, -34150.594729289325, -20584.912433111545, -10883.100390956854, -26618.079001629405, -32107.341295005084, -36107.730887284124, -36519.414435269835, -27585.69886652712, -46292.908503884304, -66433.66976366003];-0.14891023732318978;0.9443436798629907;11;301;-3.452263435801039;-2.871190526189069;-2.571911967527952;False
1990-01_2015-02;2015-03_2016-02;RJ;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;17191.74687809867;0.05365205693394148;27.272727272727273;-2.8078925752209707;541800.7079861768;0.34778858839110754;254310.49373069187;256771.9906987291;259848.63846674262;252850.75143216038;249104.12787744033;259955.40458085935;258621.61716071478;256376.56818556171;251421.4880077762;250285.21015486444;256712.1203961369;260141.5656666376;[4916.991469308123, -16732.870698729093, -19831.224466742628, 1731.892567839619, 9965.61422255967, -2089.658380859357, -1653.4935607147927, 12553.04711443829, -6944.139107776195, 5144.904945135553, -34920.257396136876, -35890.424666637584];0.41118339298061335;0.9819083766572279;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;False
1990-01_2014-02;2014-03_2015-02;RJ;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;15676.8328171297;0.04856033427170931;54.54545454545455;-0.42416705491084716;308888.22066396323;0.2948039868227644;257374.41829836127;252461.85703011468;252855.84677025507;251936.44181654943;249519.46252252025;255740.62369847385;262744.51550847344;254716.39808784853;247869.85764852187;249262.53497090403;254385.7069891398;257356.49086945233;[-17574.04429836126, -11455.942030114675, 8112.58622974492, -14700.692816549417, 8670.302477479767, 2690.8963015261397, 2745.0244915265357, 27576.199912151467, 326.09535147814313, 12671.81002909597, 2828.5364108601934, -34757.275869452336];0.8837524505421188;0.9928745856013546;11;277;-3.4541800885158525;-2.872031361137725;-2.5723603999791473;False
