train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SC;gasolinac;ARIMA;{'loss_function': 'RMSE', 'learning_rate': 0.3, 'iterations': 200, 'depth': 9};12;12;19107.685675402372;0.06681784632867363;81.81818181818181;3.555656544181081;150987.37919963725;1.3536273288725424;237957.07328838893;227451.78299610974;235850.2403945616;235284.773757402;233467.37423472397;238106.79123390862;241615.51365379355;262157.825681317;268190.9614720993;278279.2935196302;267364.22125425056;264382.9318943208;[26711.54271161105, 20203.81000389025, 32332.428605438385, 11237.626242597995, 11243.74576527602, 19854.063766091393, 7899.719346206461, -22818.325681317016, -12787.951472099288, 24861.66448036977, 4871.6627457494615, -13372.314894320822];0.19280897632525645;0.971855375001254;14;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2022-02;2022-03_2023-02;SC;gasolinac;ARIMA;{'depth': 4, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;21948.6995596346;0.06436279913832064;36.36363636363637;5.129860358903183;605417.6626782629;inf;237181.54430791552;236650.02936307449;236609.143689163;236931.087589128;237054.8627723518;237834.28366521324;238250.39713796764;238215.48176502378;239256.79560518957;239179.0760209739;239277.52091390087;239236.03713950902;[6520.332692084485, -3981.647363074473, -3813.0956891629903, -16198.34758912801, 7882.207227648207, 12360.235334786761, 15248.502862032357, 15980.252234976215, 14508.955394810415, 58291.05197902612, 23132.044086099137, 24482.904860490962];-0.10880468207824659;0.948554460797257;14;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2021-02;2021-03_2022-02;SC;gasolinac;ARIMA;{'depth': 5, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;30608.874254444727;0.0993480942902798;36.36363636363637;8.675834356409494;844757.8585054001;1.6624554630944386;190016.05660997808;177935.5566135037;188678.2992792105;199714.1943293519;201149.7301086107;208851.82807376006;234327.0359349107;246318.3316399398;251317.9785682492;232741.3264082739;239083.7393278066;235320.94974900436;[26241.991390021925, 51091.2833864963, 34087.25072078948, 24378.180670648086, 48048.31189138928, 23628.725926239946, -571.1179349106969, -2910.1996399397904, -14508.952568249195, 55523.42259172612, -1517.5793278065976, 4028.012250995642];-0.6779597038619819;0.8523761759559727;14;358;-3.448748905151901;-2.8696473721448728;-2.5710891239349585;False
1990-01_2020-02;2020-03_2021-02;SC;gasolinac;ARIMA;{'loss_function': 'RMSE', 'learning_rate': 0.01, 'iterations': 200, 'depth': 9};12;12;34868.641620135924;0.14697749844758598;27.272727272727273;-10.785551602669582;1100301.2119904214;0.8779281442910855;240433.21568492017;240249.40312699444;239943.3200937431;239608.31630629947;239353.20409362204;239508.2516258144;239446.53497610425;239665.93208802017;240640.91202052595;241759.58956261366;242932.4366928734;243237.63204674947;[-46734.73268492016, -69204.63512699443, -47678.0560937431, -39447.66630629948, -27181.632093622058, -35889.84262581437, -18160.219976104243, 6832.5979119798285, -10715.080020525958, 30142.741437386343, -4586.298692873388, -18420.152046749456];0.5117800757503652;0.9852267783157479;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;SC;gasolinac;ARIMA;{'depth': 5, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;15292.639830002781;0.0530735593671831;63.63636363636363;4.259564083516513;241148.9126763024;1.2917948566412905;217137.02803425892;221997.75950948187;213495.70222426008;213141.1676359655;218437.88973393603;219821.57444125437;229447.8664748733;238786.9176623164;254775.90874178035;250802.9295711438;251507.28078583526;247450.5804308752;[20245.68996574107, 16142.66549051812, 16568.054775739933, 4003.568364034494, 19886.09426606397, 19280.075558745622, -3199.2464748733037, 12206.204337683594, -5436.3917417803605, 28729.5444288562, 2661.9002141647507, -7546.12043087522];0.19950748151078534;0.9722339565410253;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;SC;gasolinac;ARIMA;{'loss_function': 'RMSE', 'learning_rate': 0.01, 'iterations': 200, 'depth': 5};12;12;19437.927090468474;0.06698493940475134;63.63636363636363;-1.7134670246881551;306632.8338076765;0.684401893870659;232534.45811611105;232407.0795217548;232417.32167782678;232570.81987128404;232699.58122844744;232735.33617330727;232927.93262954112;234458.3945894525;235304.1191461022;235323.70392692817;235882.4094700352;235831.79554819918;[16019.393883888959, 781.0494782452006, -40276.115677826776, -13933.159871284035, -16553.70422844743, -4123.370173307281, -25148.844629541127, -6464.502589452517, -94.14614610219724, 35205.54007307184, 14363.760529964813, -7030.550548199186];0.6071462892253654;0.9877904547625135;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;SC;gasolinac;ARIMA;{'depth': 6, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;14861.523813686767;0.038632538411955755;54.54545454545455;3.732683867992602;292759.7596326059;0.5038334019675562;225651.2409656511;225643.25260596527;225874.52088928668;225653.43191677268;225326.78878164123;225368.5436087326;225161.56052108857;225308.76353653698;225152.03582387936;225107.70046829781;225141.54948591779;225453.04380448384;[24002.230034348904, -3615.6886059652606, -562.7888892866904, 2746.3320832273166, 2235.232218358782, 4950.190391267388, -720.4055210885708, 6802.974463463033, 8643.877176120644, 39568.58453170216, 18151.892514082225, 2675.5501955161744];0.8224404557051584;0.9919898981020838;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;SC;gasolinac;ARIMA;{'depth': 8, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;13887.61132042226;0.0505770070991541;54.54545454545455;4.970919080076512;273646.6000429123;0.43373798848034745;199450.6275167963;203408.7816106742;206217.43006475313;202876.4323647811;210210.3968770139;203487.66135594784;211148.74808769647;213841.0555421409;225016.81019349702;223826.85715019237;233809.62842698584;227127.02163076543;[32646.246483203722, 16456.570389325818, 7343.479935246869, 7237.989635218895, 7130.785122986097, 17070.974644052156, 15024.065912303544, 7253.315457859106, 3839.714806502976, 12149.77484980764, 9287.110573014157, -1505.7866307654476];0.8027022190123865;0.9916796619226571;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;SC;gasolinac;ARIMA;{'depth': 5, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;9781.425943828941;0.03724026254076853;54.54545454545455;-0.41012098661312335;192680.3578042811;0.21878452956539876;207294.35904584188;206546.46956525097;208568.93160869784;202674.11392866375;205609.012729469;201765.89827176504;200930.11888452977;226582.86050410787;225670.9657436677;240360.38239930998;231074.99143950443;225966.5198213999;[-15.817045841889922, 11576.496434749017, -10582.809608697833, 1871.2930713362584, 9420.875270531018, 3841.9607282349607, 4774.097115470213, -11197.01450410788, -21316.31774366772, 11109.65660069001, -8081.156439504441, -1951.6028213999234];1.0913527694896472;0.9951421421054839;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;SC;gasolinac;ARIMA;{'depth': 6, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;24207.620390942087;0.08545370218805874;36.36363636363637;7.499856704644649;667947.6415939962;0.5366756082098502;190355.46104264856;193401.60561265034;202475.0193957288;192782.66454781374;189584.8127920633;193542.36253203326;187793.82916044944;202178.77475274887;209563.04734530117;198159.06172087818;212998.34730552632;214490.88168598103;[16253.141957351443, 20868.861387349665, 3995.200604271202, -1986.9075478137238, 17911.573207936686, 15755.659467966732, 25896.038839550543, 29102.404247251136, -31.08134530117968, 58143.070279121835, 24026.33869447367, -16371.33568598103];1.4337804093748105;0.9972623256386913;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
