train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AL;oleodiesel;ARIMA;{'depth': 6, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;4272.854849598569;0.09881551749479074;81.81818181818181;5.552715811079735;33823.61417760152;1.8534751044141577;30093.130558627032;27667.461452590396;27728.0877740741;28880.387214245307;31264.927152615317;33267.86122463007;36640.89230036456;39503.00148851145;40201.51587154544;37091.54235353092;32835.214123680154;31879.097117664485;[10115.955441372971, 3442.272547409604, 3919.7202259258993, -2380.493214245307, -3823.3271526153185, -889.6272246300687, -1986.6973003645617, 1860.2155114885463, 405.1591284545648, 3107.472646469083, 6432.3718763198485, 3140.4028823355147];-1.8261251348865384;0.36757057866239584;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;AL;oleodiesel;ARIMA;{'depth': 8, 'iterations': 200, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;3202.1443250150337;0.08517287915637768;63.63636363636363;6.589656771626765;50540.1361593698;inf;29150.550412419187;27591.394117635606;26992.250115556788;27168.12609046697;27751.741345035127;28902.29042209273;32142.553920807426;34921.18790488596;35886.0760135177;35687.118722391315;33939.71437618249;31644.05408283308;[6184.798587580815, 1891.7378823643958, 2943.8488844432104, -2697.1430904669687, -1342.1633450351255, 1176.6405779072702, 2199.239079192572, 4642.786095114039, 1059.8109864823055, 3187.086277608687, 3650.43762381751, 3330.0289171669174];-1.8912719857783904;0.33617811834546824;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;AL;oleodiesel;ARIMA;{'depth': 7, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;4050.46552101209;0.11235205672844285;63.63636363636363;9.934429937552752;63977.11530395626;1.4808773397564878;22965.745931227153;18499.394654525706;21595.02023010963;24031.784052779454;23472.59303036526;26196.653110225576;33632.625825680436;34958.52916859886;36485.200733267986;33634.3479709567;31941.21022161895;29356.610726322444;[7777.255068772847, 7021.605345474294, 2921.9797698903712, 1260.3379472205452, 2797.53396963474, 1583.697889774423, -1814.1228256804352, 1713.3128314011337, 1345.1672667320163, 4677.090029043306, 2227.6647783810513, 5634.916273677558];-2.0241837137333873;0.2760710720540855;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;AL;oleodiesel;ARIMA;{'depth': 5, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;3348.050120328916;0.11482362571568423;81.81818181818181;-3.8095295164057577;26526.42805276593;0.5788840316057947;26101.91569855028;24732.83171482734;24910.918466747;25108.77372550686;26966.857931989816;29469.91971877569;34377.289418748805;34868.70486039968;33931.99481185312;32812.8092014283;28962.01824086668;28029.645742634053;[-826.4156985502814, -4641.296714827342, -4899.920466747, -4563.2737255068605, -1765.8579319898163, -2912.919718775691, -4353.089418748805, 1792.795139600319, 388.3531881468807, 3650.190798571697, 4411.981759133319, 865.354257365947];-1.9661508766218998;0.30160905816177874;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;AL;oleodiesel;ARIMA;{'depth': 4, 'iterations': 200, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;2223.487910455105;0.06345494286362356;81.81818181818181;0.08304830110919326;17567.02131569921;0.5048767035108089;27797.5956004043;27077.312368484578;27012.827576390315;27158.312517634615;27411.137159597667;28476.235917839425;30964.71622649384;32327.746835305217;32620.51270595276;32334.58674409367;31016.543746797975;29255.18614750529;[450.90539959570015, 65.35763151542051, -905.3275763903148, -3954.340517634613, -2146.7371595976656, -1910.7359178394254, -1217.116226493843, 4089.20316469478, 1878.6872940472385, 2111.1132559063262, 2723.957253202021, -891.1861475052901];-1.9420473887049936;0.31254640954806523;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;AL;oleodiesel;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;1456.6217011407925;0.04261116296493881;63.63636363636363;0.06561864881344137;22963.390913293253;0.3106946510189361;27016.78912711698;25405.187876492542;25737.79806507296;27084.41889667986;27136.579223530192;27909.8838726504;31576.90539248843;34567.49347792657;34769.59947557491;34055.5128393878;30468.190525999213;29784.336422711858;[3021.806872883022, 1048.1021235074586, -1922.152065072958, -246.55889667986048, -1371.5792235301924, 1547.1181273496004, -2238.3163924884284, 632.3615220734355, 337.50052442508604, -731.455839387796, 829.8774740007866, -673.2684227118589];-1.9585639491922129;0.3050315027962779;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;AL;oleodiesel;ARIMA;{'loss_function': 'RMSE', 'learning_rate': 0.01, 'iterations': 200, 'depth': 5};12;12;3001.8696036427023;0.0889993432087714;54.54545454545455;-7.242438066659992;59201.42220904767;0.6369946053329544;29831.246341864862;28948.86250032041;28602.64873456497;28818.87045870129;29065.73573727013;30534.749315169076;33018.706046706095;34705.89656555978;35268.18176226065;35122.61549321976;33424.070232980426;31281.179935104123;[1472.2098081351396, -3363.6256503204095, -723.1925845649675, -4467.484488701291, -4772.47450727013, -2522.5080851690764, -5430.031726706096, -1962.0524155597777, -423.58265226064395, -43.65738321976096, 59.7537670195743, -3393.006935104124];-1.7734627042074809;0.3937140187834774;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;AL;oleodiesel;ARIMA;{'depth': 4, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;2358.0205419795857;0.06924839590196573;81.81818181818181;-4.794695718552357;18635.848661442946;1.088361293279177;31205.597662829605;28629.43330611765;28756.569779833346;29529.01134068745;30125.103911316928;31466.44872258913;34791.5681520352;37193.239137059165;37992.64921973207;37854.09454073928;35883.13034143736;33495.451050893644;[2442.1323371703984, -1210.3133061176522, -716.5697798333458, -3262.03834068745, -3806.603911316928, -1745.9487225891316, -2665.068152035201, -2147.239137059165, -982.6492197320695, 973.4054592607208, -1057.5540214373614, -3982.029990893643];-1.7073521914953333;0.42732844336110626;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;AL;oleodiesel;ARIMA;{'depth': 4, 'iterations': 200, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;3666.387554426551;0.10797566544805672;81.81818181818181;-5.815319454852188;29037.587452192045;1.3382797902421237;33573.28339946411;32291.614302943904;31642.47998854591;31708.02570475132;32046.053317221063;32823.46810580042;35149.443263017216;38168.969933835135;38849.68722905542;38850.60730046006;37848.203029036966;35719.60040876451;[5583.200480535888, 2407.8856970560955, -2549.253988545912, -4721.525704751319, -4032.927427221064, -4800.4433458004205, -4396.902563017215, -1610.6190838351322, -2848.305869055417, 1043.654529539941, -3443.195029036964, -3640.6004087645124];-1.3437782015201782;0.6089135128365482;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;AL;oleodiesel;ARIMA;{'depth': 9, 'iterations': 200, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;3035.073344606123;0.07085487470350416;72.72727272727273;2.6030318628024283;35936.464463711374;1.340155250297093;31568.240469411896;27358.074368739606;27823.664080920684;28554.991097348735;28861.83870424176;31997.316142151973;36342.420702840966;39884.21677120861;41454.12942867876;40792.22538722302;35806.630131516155;34611.590685475196;[5137.759530588104, 6154.784631260391, 2328.111919079318, -1521.0910973487335, 949.5612957582416, -1556.3161421519726, -2015.5437028409651, -987.2167712086084, -2240.6294286787597, 777.3946127769814, 4842.786848483847, -1044.0906854751956];-1.2961258980090036;0.6309428509402804;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
