train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;DF;etanolhidratado;ARIMA;{'loss_function': 'RMSE', 'learning_rate': 0.01, 'iterations': 100, 'depth': 9};12;12;14633.803974412505;0.5972895760656792;54.54545454545455;65.26836107065138;291824.87304114393;1.0567686571379176;6916.534024431197;6762.760593426389;6649.124640280933;6604.161896645204;6628.8922072205505;6325.493901868171;6497.276442802612;6650.139676488974;6879.578212467765;7038.196112005214;7120.333803919474;7332.114248912568;[4209.965975568803, 4144.739406573611, 4316.875359719067, 6503.838103354796, 5456.80779277945, 12980.606098131828, 16121.623557197388, 17184.76032351103, 17230.121787532236, 20721.003887994786, 18774.266196080524, 25332.48575108743];-1.9203431281604668;0.3225524047810483;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;DF;etanolhidratado;ARIMA;{'depth': 9, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;1942.3837073210943;0.25334973172397374;45.45454545454545;-3.594758690201961;46095.9877243865;inf;6709.714044636758;6893.374369052606;6924.600077400636;7417.061382460072;7954.354974831125;8307.620739809594;8336.222986211782;8106.104394353641;8678.507912414572;8315.141945075831;7766.833405785104;7434.569672493078;[2424.7859553632416, 1802.6256309473938, 714.3999225993639, 521.9386175399277, -3610.854974831125, -3637.620739809594, 308.277013788218, 1718.0256056463586, -132.00791241457227, -24.87494507583142, -2182.8334057851043, -1123.5696724930776];-1.7470067320430782;0.40707026675870994;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;DF;etanolhidratado;ARIMA;{'loss_function': 'RMSE', 'learning_rate': 0.3, 'iterations': 200, 'depth': 9};12;12;10087.136383173647;1.359743271414593;45.45454545454545;-63.31702231819358;244218.09117431316;3.009671691627404;9357.577600091448;8455.413230240327;5520.358264780865;4841.6239934410605;8372.00496774117;7933.506917513069;11166.080858485686;13422.26745279205;15893.508173566475;24711.181262354385;24298.84981286103;19933.566800538378;[4751.664399908552, 1925.5867697596732, 4197.641735219135, 3048.3760065589395, 86.99503225883018, 1134.6930824869314, -3977.080858485686, -6236.76745279205, -9955.508173566475, -19483.586262354384, -20313.84981286103, -14846.566800538378];-1.7569735563080393;0.40202249562389575;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;DF;etanolhidratado;ARIMA;{'depth': 4, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;5287.8961555074775;0.5076948156326098;63.63636363636363;-7.322905526330787;84433.2472099861;0.5806572493520367;12151.525021506666;12273.540051854154;12411.252902013828;12310.34483231783;13576.271972524735;14111.406673559068;14565.3700433166;15281.148794659064;16609.256666375957;16697.254871480523;15575.053222920906;14553.362060668467;[-5560.525021506666, -8615.540051854154, -6570.213902013828, -3587.844832317831, -870.721972524736, -934.4066735590677, -187.9700433165999, 5780.451205340934, 10862.623333624044, -2170.2548714805234, -2752.0532229209057, 2999.0379393315343];-1.905530490468419;0.3294638830779835;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;DF;etanolhidratado;ARIMA;{'depth': 7, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;7902.23204665227;0.4999660537229751;81.81818181818181;0.303018907484533;63928.64619854033;0.9731690616499383;6796.937822611581;5081.659395209674;7862.888430661541;5451.441721450743;9217.448166748356;11822.82275823582;15345.466760800904;22302.536780680894;27836.56875043841;29609.138919879413;21031.875110542358;16282.784371492637;[4543.643177388419, 9321.778604790326, 9008.796569338461, 9493.558278549257, 6026.551833251644, 4247.1772417641805, 1209.5252391990944, -4476.036780680894, -11898.568750438411, -11256.932919879415, -9159.245110542359, -6517.284371492637];-2.1440157665676383;0.22718772418699346;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;DF;etanolhidratado;ARIMA;{'depth': 8, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;14745.918229555702;0.6612506204224976;36.36363636363637;76.39856201267419;410569.4118329064;1.2433591992762627;3720.0431658057505;2271.8670265854853;767.2930023700123;988.5221821572945;505.05026464443836;1778.1324521180732;3116.1332716432676;3844.9474226651473;5319.797021843687;6877.005841540658;6954.753234288895;6123.233594668299;[321.4938341942493, 2162.777973414515, 5937.7979976299885, 8294.477817842706, 13842.949735355562, 21441.867547881928, 26450.575728356733, 28835.197577334853, 15480.461978156312, 6831.804158459341, 1935.2467657111047, 5284.177405331701];-1.4584974245069522;0.5539331517847157;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;DF;etanolhidratado;ARIMA;{'depth': 4, 'iterations': 200, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;1545.6198421023828;0.45926690393656794;63.63636363636363;4.412322715999526;24651.80739794872;0.354005715527883;2146.7833971025093;2279.9063337341604;3023.122284964033;3339.0551041161343;4006.5634406840645;4550.257913420032;4902.925340408041;4881.7131974128015;4591.889877806952;3917.3434394825454;3629.122730362945;3411.0562616163;[-483.98339710250934, -842.1043337341605, -1245.322284964033, -2046.0551041161343, -1943.7634406840643, 161.53108657996745, 3119.5186595919595, -12.2831974128012, 1594.5261221930477, 1959.3445605174547, 427.4662696370551, 1373.5397383836994];-1.0109648817806298;0.7492441335746092;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;DF;etanolhidratado;ARIMA;{'depth': 8, 'iterations': 100, 'learning_rate': 0.01, 'loss_function': 'RMSE'};12;12;5291.507165343059;1.9555603235600862;36.36363636363637;-166.23045926955237;150343.99345555683;1.1958252756399748;7673.192790934915;7816.19019480373;8065.509564886958;8055.499543192242;8414.862588646147;8630.506924550018;8691.835841973227;8718.929983962256;8706.459643866927;8609.845501132624;8342.799046524524;8104.137502431433;[-4220.142790934915, -4816.790194803731, -4138.467564886958, -3650.782543192242, -4272.130588646147, -4725.106924550018, -4995.690841973226, -5936.018983962256, -6526.659643866927, -5991.892501132625, -6527.999046524524, -6530.5865024314335];-1.4887921646941955;0.5390482296941898;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;DF;etanolhidratado;ARIMA;{'depth': 5, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;3767.9059759720226;0.44323068709742347;72.72727272727273;23.454925827861853;45225.23730821949;1.7152847281930907;7649.860227781499;6809.416893299995;5423.029178361599;4382.257472542415;4621.665548324611;5224.2374359765645;6090.025996395763;6785.209876780169;7960.267764072198;8353.362473865987;7948.91513940687;8250.012437416484;[4225.318772218501, 3296.0841067000056, 4172.7708216384, 4892.539527457586, 4588.334451675389, 4275.179564023435, 3845.9740036042367, 4089.290123219831, -740.9877640721979, -958.7354738659869, -2903.9151394068704, -4422.012437416484];-1.649151005707668;0.45748323805139796;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;DF;etanolhidratado;ARIMA;{'depth': 5, 'iterations': 100, 'learning_rate': 0.3, 'loss_function': 'RMSE'};12;12;1019.0907198969252;0.07802266346353294;81.81818181818181;-0.7950206649472722;8058.302706008758;0.2587488333623008;6148.251968868154;5802.853056652267;5937.770650441011;5358.903296082666;5538.737622278214;6120.990771205006;6581.523860079023;7739.208242569724;7510.012601965505;7648.271074416698;6971.556554268424;7316.926364235691;[-297.7949688681538, -159.8530566522668, -356.77065044101073, -164.9032960826662, 107.26237772178592, -261.99077120500624, -365.5238600790226, -1151.2082425697236, -836.0126019655054, -237.27107441669796, -42.55655426842441, 3146.073635764309];-1.6643030186718184;0.4495920755896017;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
