train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;ES;glp;ARIMA;{'n_neighbors': 3};12;12;1624.245369309878;0.06021840317249321;72.72727272727273;-0.9938749746655854;19224.487773289376;1.248992911075887;18759.51674529511;20509.437766633702;21177.23376457478;23644.535090129924;23352.780203184127;25682.284329277583;24006.9335946123;23463.016523158538;24787.995502406277;21937.30203183365;24227.79755145795;21891.144814865445;[2378.3763747048906, 233.05136336629948, 2826.6756554252206, 769.189549870076, 551.9480568158724, -671.7136792775818, -1727.8738146122996, -946.8263031585375, -2943.9665124062776, -396.787541833648, -1588.92436145795, -1174.056044865447];-3.565376000261887;0.006458527816495642;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;True
1990-01_2022-02;2022-03_2023-02;ES;glp;ARIMA;{'n_neighbors': 5};12;12;2276.7055010212634;0.08059751537187003;63.63636363636363;1.553472187410084;35929.54009013015;inf;20803.505693929776;19715.858365127653;20665.429814157567;21448.235161654506;22795.92641199025;23730.908445094952;24655.706333396665;24221.15938923805;23191.848811949312;23538.042600131157;22668.92301104048;23444.148849195975;[3627.206266070225, 632.0546748723464, 3774.334675842434, 3043.074618345494, 190.10438800974953, 1008.2709049050463, -1170.6121333966657, -1718.2698992380501, -525.0390319493126, 858.9139198688426, -1322.3614210404776, -4123.233989195975];-3.56420585602601;0.0064833819847251485;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;True
1990-01_2021-02;2021-03_2022-02;ES;glp;ARIMA;{'n_neighbors': 9};12;12;1723.656573010578;0.06594871596856858;36.36363636363637;-0.10510998342434859;47547.005690611586;1.4766054266365773;20518.13131998255;21286.32564946187;20812.993137435988;22534.90663650407;23401.7112182267;24445.872071394457;24438.426444698147;23742.424959679243;23954.1598179597;23113.629306598814;23828.854594682638;21936.854872111042;[3042.930270017452, 1085.5113105381315, 1919.8981625640117, 1089.424883495929, 1395.482621773299, -117.74164139445566, -1689.0297046981468, -1304.8506796792426, -1682.6543879596975, 219.09170340118726, -3105.7314046826395, -1140.0450921110423];-3.6479317777239784;0.004908091094096992;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;True
1990-01_2020-02;2020-03_2021-02;ES;glp;ARIMA;{'n_neighbors': 9};12;12;2289.224659592836;0.08005466157384687;45.45454545454545;4.679425186639831;54150.15633099838;1.6185840784290997;19647.28340957106;19741.125563339214;20380.016758252415;20971.78465221283;21860.047870155973;23145.898512464926;23769.696648019926;23249.297563181197;22519.819908401565;22166.170638881475;22049.764934544666;22488.145854603517;[4159.33797042894, 3997.381686660785, 1799.3002717475829, 2504.8765777871704, 3112.0463298440263, 290.0090975350722, -444.73287801992774, -196.99321318119837, -926.4811384015666, 1661.2134211185257, -629.6761645446677, -2464.859624603516];-3.676881078389785;0.00445034750954866;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;True
1990-01_2019-02;2019-03_2020-02;ES;glp;ARIMA;{'n_neighbors': 3};12;12;1608.0073293270607;0.06308270649332451;36.36363636363637;-2.413473285816849;44354.872775592354;0.8542710958026991;18440.750376598764;21223.02455841634;20375.860403118684;23647.997538199255;23730.59773288;24595.18687241592;23703.61351297781;23278.306181948792;23789.77760654152;22522.70058369372;23557.65925440936;21729.864585118095;[1495.2061434012357, 328.1819615836612, 2253.7718468813146, -2720.772898199255, 347.59248712000044, -977.3843324159207, -1749.7059029778102, 101.65577805120847, -2102.0946365415184, 431.52042630628057, -2271.5433144093586, -1513.2703851180959];-3.7659499259938354;0.0032755488159796125;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;True
1990-01_2018-02;2018-03_2019-02;ES;glp;ARIMA;{'n_neighbors': 9};12;12;1628.722154484457;0.060196511057211737;63.63636363636363;2.780307881024303;25689.12481913379;1.462049767496545;19569.52852259256;20260.94630991763;20314.454084281246;21622.649344478177;22222.817738674603;23759.224053941267;23312.37321417748;22731.556742107397;22820.41885618081;21551.069412034434;22855.28876786476;20959.359654813;[1905.1218374074379, 1490.5428200823735, 2585.968015718754, 3168.1640655218216, 937.3000113253984, 447.6183360587347, -419.8478541774821, 329.8345578926019, -250.25037618081114, 935.3055879655658, -2230.9010878647605, -1406.7092948130012];-3.7553900985745616;0.003398168310214944;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;True
1990-01_2017-02;2017-03_2018-02;ES;glp;ARIMA;{'n_neighbors': 1};12;12;2935.3640160984883;0.11335079003782018;54.54545454545455;5.799952767338718;57921.301146204096;2.3965290541733077;17405.387110339772;18587.089071452043;18671.22518951651;19309.534653028364;19513.135854693486;19853.95838052717;22388.934687187015;22275.763559091945;20802.146255862706;22407.273511141233;23493.1686904835;24338.458198361288;[5232.978549660227, 1789.6011485479576, 2731.904155483491, 3120.033816971634, 3575.077300306515, 3892.899459472832, 1031.921312812985, -37.450439091946464, 1235.616544137294, -403.03681114123174, -2535.3534704835, -4300.277038361288];-3.800891800152323;0.00289820387924548;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;True
1990-01_2016-02;2016-03_2017-02;ES;glp;ARIMA;{'n_neighbors': 9};12;12;1520.7777550419069;0.06523202571786173;54.54545454545455;0.58420667883397;29976.789564716815;0.8992847783824497;18929.613337591007;19441.93597874623;19318.260715142907;20727.63695879855;21361.17004496684;23193.58514333915;23176.656292406795;22063.14251883578;22544.42159800777;21474.34618790969;22131.27869281339;20881.311121112525;[1730.604052408995, 364.9607612537693, 2537.6142848570926, 1816.1221012014503, 1012.4150950331605, 873.3115966608493, -1540.087452406795, -821.3417988357796, -1073.276668007773, 693.2335220903115, -1902.56311281339, -2191.0810511125237];-3.6253614589168017;0.005294276677737451;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;True
1990-01_2015-02;2015-03_2016-02;ES;glp;ARIMA;{'n_neighbors': 3};12;12;1946.169748760366;0.07526224039050367;36.36363636363637;-1.35660362898059;53692.894486314166;0.8476399753754669;17829.434764834077;21055.216395765976;19624.93627074115;22835.870362830345;22011.102985265123;22941.773444589733;23498.756116287415;22363.05688733443;22112.586304822093;21734.324988100772;22984.978156447905;20968.863948283004;[3191.8949451659246, 55.07708423402437, 2164.447789258851, -512.562392830343, 1903.8716547348777, 327.3135154102674, -1497.4934362874155, -1132.3648573344326, -2328.6678248220924, -168.2054181007734, -3875.8984464479036, -1606.8494582830026];-3.6023581712451715;0.005716104286362349;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;True
1990-01_2014-02;2014-03_2015-02;ES;glp;ARIMA;{'n_neighbors': 5};12;12;1501.6758234680105;0.061749753970664185;45.45454545454545;1.4383241357148584;35509.503947719466;0.8115006371774811;19345.898956023637;19040.026305437445;19660.793654431054;20243.327456568735;21440.75333972127;22541.989603492933;23102.617150398164;22514.45120724014;21994.084163832464;22014.71157332849;21470.066107498908;21554.343271709604;[857.1898139763616, 2014.4284045625573, 2428.813225568945, 893.8663834312647, 2073.8662302787307, 488.4614865070653, -1175.3780203981623, 197.81328275986016, -1212.2109738324652, 777.1634266715082, -1115.6440074989077, -2508.2418217096056];-3.594122230019112;0.005874397469830863;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;True
