train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PR;oleodiesel;ARIMA;{'n_neighbors': 9};12;12;47205.69981291939;0.06371422602112027;54.54545454545455;6.118860899480057;930424.8708520088;0.9122870651365771;533051.7765280446;494988.7659985692;487745.6593795577;493403.67880873155;542255.9865162635;550922.4860623177;512090.6839869175;529956.880906909;504031.9312242833;489350.61847734085;485346.6425853594;485716.43352372234;[105189.12647195545, -10434.161998569209, 62356.89062044234, 21159.784191268438, 2.0764837365131825, 66113.2719376823, 57080.796013082494, -8009.967906909005, 5561.076775716676, 20650.303522659175, 39412.7054146406, 39073.408476277604];0.889936117502563;0.9929575743932215;11;385;-3.4474498334928687;-2.8690765390453703;-2.570784795075055;False
1990-01_2022-02;2022-03_2023-02;PR;oleodiesel;ARIMA;{'n_neighbors': 1};12;12;41129.66187454105;0.06657877852451098;72.72727272727273;-4.43148466696344;486904.69614561216;inf;492862.63295668765;556349.6035087552;541927.532960545;538797.8132548726;539670.4947400446;546420.1824272311;547640.2391651607;554762.0203408542;530547.2176837388;491725.22165183886;461983.1897908436;494684.32265888393;[55056.97404331231, -79230.45050875522, -30757.63796054502, -70196.60225487256, -1199.7197400445584, 4809.226572768879, -39092.657165160694, -33181.79434085416, -33725.19768373878, 3922.0763481611502, -8414.986790843599, -35214.203658883926];1.217837756238417;0.9961068375475629;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;PR;oleodiesel;ARIMA;{'n_neighbors': 9};12;12;37407.36219562915;0.0529693792200816;81.81818181818181;5.418304154361538;295365.0073174637;1.0932978502212978;537363.2985411778;464594.3117635591;455839.77509491105;473159.21014197083;495065.67574099556;538966.452044032;535819.1120003881;520740.9191594737;489700.64858049346;469427.7306846794;469919.8960100838;505220.25804714306;[80359.34945882228, 54025.42723644088, 35048.75490508898, 6567.808858029137, 52737.79225900443, 45091.736955967965, 6930.401999611873, 19548.38384052628, 20930.688419506536, 21200.1053153206, -2946.1000100838137, 1696.7159528569318];0.9023799696397936;0.9931213071031447;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2020-02;2020-03_2021-02;PR;oleodiesel;ARIMA;{'n_neighbors': 9};12;12;34646.27348842031;0.05174000387581434;72.72727272727273;1.243099486240112;409929.82414747233;0.7980524869198194;497666.9980454634;487466.7875348134;470561.1043769438;462595.58768022107;510651.15807241097;536796.2454102341;467434.1617646567;503171.5031319793;454755.6045452523;433590.7425469201;461055.7039408208;465865.4199346814;[16149.537954536616, -66941.58953481342, -5009.814376943803, 4919.113319778931, 3559.845927589049, -16541.670410234074, 72098.94123534329, 51028.89286802063, 23197.53745474771, -89.71354692010209, -26628.09894082084, 16655.247065318632];0.8511449483599228;0.9924184561970881;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;PR;oleodiesel;ARIMA;{'n_neighbors': 7};12;12;35310.74884676807;0.04817692149650643;54.54545454545455;1.0491565278704904;695737.6991353667;0.5845125388233974;461914.33776477055;457088.7423618308;442119.7911108096;467305.7613334961;516421.2082607021;503088.94619355584;477912.64659980836;491010.9417608163;454276.7352382947;463132.32999472454;459208.7134681162;417192.75543640426;[3779.669235229434, -4911.332361830806, 13203.530889190384, 3165.8806665039156, 3657.4597392979194, 22163.081806444214, -3002.629599808366, 28499.76923918369, -3050.351238294679, -71186.58299472457, -21554.764468116162, 88725.14156359574];0.6425981339290507;0.9886198671623063;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;PR;oleodiesel;ARIMA;{'n_neighbors': 7};12;12;44795.04946416053;0.07327918736213719;54.54545454545455;1.7644500572545894;883096.7077250114;0.6728319257062157;483555.65688752814;456542.97808895423;479554.09216789587;471375.92754504655;463593.57422471413;492353.32317019836;434306.5038690005;462888.6989893333;433124.419211675;400459.05745243165;426939.73175785353;423826.7189403645;[14195.737112471834, 5400.562911045796, -131543.52016789588, 19375.738454953476, 43214.024775285856, 25097.04282980162, 39246.16913099954, -4202.348989333317, 25463.289788324968, 30613.53054756834, 9888.887242146477, 20754.8310596355];0.3999545785769327;0.981493242945961;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;PR;oleodiesel;ARIMA;{'n_neighbors': 5};12;12;29886.792132143735;0.050278089519232745;72.72727272727273;2.0391292673162185;353597.4591532269;0.39895242639101525;497162.0018520785;431676.1922457027;436115.9107215643;428099.390288561;432943.08104524785;483419.59647465195;458311.6944940925;425445.68464220746;446215.08128381136;401849.7119496567;383616.333440833;417998.8850212089;[-6419.5187520784675, -50138.31294570275, -2658.8566215643077, 19738.068311439012, 70224.78785475215, 10166.155425348028, 22242.34020590753, 28877.97345779254, -14608.425083811337, -6884.302749656723, 5193.071559167001, 33400.962978791096];-0.010817648692171375;0.9576282785608713;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;PR;oleodiesel;ARIMA;{'n_neighbors': 9};12;12;18816.09787892969;0.03783612647077323;81.81818181818181;-1.044577115783114;148446.92425440042;0.21520233182168347;493309.2080873158;432892.7148836359;415360.94962935866;424583.6432056797;429411.9176178338;459624.70273733966;463772.33528573695;453972.57434704585;427942.44939121354;401369.7331273525;372034.7881918459;417657.1834232464;[-18290.963087315788, -452.9208836359321, -7106.838629358681, 17808.274794320285, 26598.967382166185, -11433.307737339637, -1416.5782857369632, -31356.89434704586, -28648.79339121352, -24098.257127352466, 9575.550508154149, 15148.681876753632];0.580881896819142;0.9871347977348595;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;PR;oleodiesel;ARIMA;{'n_neighbors': 9};12;12;31598.709407049893;0.05950872237530968;36.36363636363637;-1.2966978163475207;871529.4923288468;0.3513835989857886;457705.29750655114;468875.0188900098;443146.09674061416;420436.2341947138;481217.9932996244;454045.6589153456;450277.60390280874;451684.03976071416;405563.68042684346;415298.676844868;403943.38683942973;382748.12364470336;[18957.15639344888, -54450.56389000977, -30895.19774061418, 21139.752805286204, -61827.68349962443, 16262.459884654381, 399.6828971912619, 17355.054639285838, -7757.291326843493, -29719.919144867978, -339.8588394297403, 43863.98035529663];2.2358904484496276;0.998910760465999;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;False
1990-01_2014-02;2014-03_2015-02;PR;oleodiesel;ARIMA;{'n_neighbors': 5};12;12;27122.62216149376;0.050793774357472204;63.63636363636363;-0.07718459967711809;427667.8862086366;0.297664327846906;442861.4481556836;462166.01211182616;457275.16811113636;395680.1120890197;439795.6000246427;460390.25889007904;447161.96593855653;467203.18267360236;441664.1980836805;386396.4073759665;378068.2307641765;381029.51527673757;[-4349.342155683553, -50920.479111826164, -17440.824111136375, 5855.133910980308, 25461.758975357283, 13165.965109920944, 986.9490614434471, 36839.31132639764, -29025.910083680472, -3128.512375966471, 45844.901535823476, -27268.368276737572];3.391514449340521;1.0;11;277;-3.4541800885158525;-2.872031361137725;-2.5723603999791473;False
