train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;TO;querosenedeaviacao;ARIMA;{'n_neighbors': 5};12;12;253.40827637731397;0.24574813102627635;81.81818181818181;2.9797810769306503;2023.97323359878;0.9782528788801204;617.7986591898847;611.5141728998002;640.2057621298114;707.3891696023561;911.7335333616471;954.5036415776361;918.581782395465;1023.4636486244149;967.714124193762;981.4631795466667;870.7230514779831;821.6161213488838;[77.43934081011537, 93.90982710019978, 85.51023787018858, -51.46516960235613, -211.0135333616471, -213.85664157763608, -364.062782395465, -133.6496486244149, -158.96712419376206, 458.85982045333344, 418.8969485220168, 306.34887865111614];-2.9348158047537884;0.041446610681205226;5;391;-3.4471856790801514;-2.868960436182993;-2.5707229006220524;True
1990-01_2022-02;2022-03_2023-02;TO;querosenedeaviacao;ARIMA;{'n_neighbors': 3};12;12;263.09905005995444;0.3043869615049983;63.63636363636363;23.38156699604033;4182.205862118828;inf;710.3987624238451;549.8302083732857;397.3763497665259;421.24570659587334;520.7957006030867;631.8402739789967;710.909046565951;738.5915848635117;666.092668958621;864.7334572829337;801.2840997538137;755.8564782003971;[210.51923757615486, 356.1067916267143, 450.2346502334741, 268.34129340412665, 335.79029939691327, 196.99372602100323, 158.40795343404898, 146.97541513648832, 220.22333104137908, 69.12154271706629, 236.35390024618619, -278.2244782003971];-2.8978551278286377;0.04559798604275712;5;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
1990-01_2021-02;2021-03_2022-02;TO;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;372.23859881278355;0.4913422354561296;72.72727272727273;32.11746914213494;4480.927404943014;1.5825832863342184;777.0315812002244;691.2573109842058;714.6158042191217;379.60188212441676;92.6568784348117;104.78003961955675;86.57404679436964;390.4727979487261;713.665083892631;725.8300582521052;438.9969348914813;410.1209733778281;[-68.32758120022447, -326.60931098420576, -203.46380421912176, 151.6501178755832, 551.7691215651884, 605.0529603804432, 571.3359532056303, 383.7622020512739, 75.48791610736907, 98.45994174789473, 503.5510651085187, 271.6770266221719];-2.9073535451727075;0.04449953834919629;5;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;True
1990-01_2020-02;2020-03_2021-02;TO;querosenedeaviacao;ARIMA;{'n_neighbors': 3};12;12;181.77338353248618;0.47097897970285046;81.81818181818181;-12.011817696891484;1471.8730933226727;0.4123711123805305;536.2262460315148;379.52211264870505;441.85327727425073;386.62514055110796;535.4415361187321;600.0191524942426;608.5798426886452;600.3113270599755;587.375170272685;619.6256333803332;565.720165387984;551.5684994471227;[-60.03524603151487, -197.96711264870504, -189.13027727425072, -138.54114055110796, -247.91253611873208, -233.7081524942426, -246.19784268864515, 89.81067294002446, -39.92217027268498, 183.3713666196668, 225.58783461201597, 166.94750055287727];-2.717986417489714;0.07097721257288064;5;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2019-02;2019-03_2020-02;TO;querosenedeaviacao;ARIMA;{'n_neighbors': 3};12;12;141.5147419019313;0.18864155215362025;63.63636363636363;-14.268436079278846;2242.8091508714156;0.3578955855943432;765.0073169127842;886.7886185700825;710.5666508852132;635.7921112260666;536.3341383116679;498.68809423829833;520.11150378109;633.3441245628981;697.605762806142;744.5359928090108;634.2474868560998;576.053446113436;[-165.17531691278418, -330.1126185700824, -154.2936508852132, -222.8781112260666, 4.10786168833215, -51.67509423829836, -7.784503781090052, 4.19787543710197, -63.99976280614203, -96.35899280901083, 119.29551314390017, -14.170446113436014];-2.5174184947086715;0.11129353320053997;5;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2018-02;2018-03_2019-02;TO;querosenedeaviacao;ARIMA;{'n_neighbors': 9};12;12;127.67906867699654;0.16238404700589326;81.81818181818181;14.666073908185782;1015.4680869503485;0.5190763319361451;627.5591828948877;601.8406044735856;592.3574797282265;441.58632868547625;525.7608029241333;481.55228311292353;502.4792400042684;566.6687911474804;605.7478633484874;649.7022656530867;607.2347616330411;642.9595472129984;[48.440817105112274, 15.70239552641442, -78.95247972822654, 104.1706713145237, 238.89319707586674, 103.01271688707652, 150.47275999573162, 100.41920885251955, 67.35813665151261, 195.88173434691328, 169.98523836695892, 61.12145278700166];-2.611730484360039;0.09059697060696731;5;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2017-02;2017-03_2018-02;TO;querosenedeaviacao;ARIMA;{'n_neighbors': 9};12;12;129.97071690043623;0.1743118905006412;72.72727272727273;15.851078981505115;1546.7496544614428;0.3976643634007364;583.2674071869341;613.7057207837875;582.1859394239835;480.3438318988805;461.01684544728766;427.8445208106997;405.0541051006365;464.7280403387715;487.2757786876086;538.1764369823452;464.29889039952326;416.0661896845256;[50.649592813065965, -39.73072078378743, -48.847939423983576, 18.636168101119495, 115.22715455271236, 100.33047918930026, 59.367894899363534, 90.60895966122848, 148.85422131239142, 203.74556301765483, 279.6501096004767, 137.40181031547434];-2.595688321163035;0.0938916822947986;5;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2016-02;2016-03_2017-02;TO;querosenedeaviacao;ARIMA;{'n_neighbors': 9};12;12;121.69796276992874;0.17523190940447067;45.45454545454545;-0.44270470451769184;2887.741862681695;0.25584985065732935;481.94291205816404;378.4936138699087;397.98565444174534;469.2895196952284;642.262178964595;741.6993486061175;603.646991425157;532.6271491077822;421.4966797621029;452.0189888615218;415.7038559191799;498.50855615739965;[14.615087941835952, 5.354386130091314, 65.60534555825467, -2.3365196952284464, -113.07917896459503, -281.3313486061175, -124.41299142515703, -31.98014910778221, 81.22932023789713, 144.21401113847816, 191.77514408082016, 23.74444384260039];-2.531360117316997;0.10802930199000604;5;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2015-02;2015-03_2016-02;TO;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;172.8532419397262;0.31953451509941233;45.45454545454545;-15.244118536593012;4114.0625069808775;0.4147673244763106;791.0339018418235;659.6230096811846;701.4520252733375;612.0084413403586;603.0569918068622;616.3615868033706;573.5486810846254;571.557628305431;546.4958324346788;579.7297351068644;524.7849627364589;471.6281482319001;[-88.32990184182358, -5.550009681184633, -285.29102527333754, -249.66744134035855, -212.60899180686226, -318.59358680337067, -117.4956810846254, 145.164371694569, 159.1021675653211, 7.442264893135643, 5.2940372635410995, 1.357851768099863];-2.3537028744348842;0.15523185939545125;5;295;-3.452713099849546;-2.871387839457783;-2.5720171933352485;False
1990-01_2014-02;2014-03_2015-02;TO;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;260.7979524458018;0.3316393733058033;45.45454545454545;-5.184870366683407;6205.038741327864;0.7290573630250041;292.4278095393539;403.723153994205;320.13486977321656;387.68443453570166;594.9661177807892;1202.2931303596395;606.3753845556226;684.3723483600087;842.052791092109;844.446458906042;784.4243804625492;703.068191196683;[331.6301904606461, 192.60984600579496, 317.4091302267834, 108.81056546429835, 30.12188221921076, -675.7101303596395, -31.970384555622672, -102.27634836000868, -179.928791092109, -135.32445890604208, -186.1143804625492, -47.13519119668297];-2.3155591042766757;0.16699894294303363;5;283;-3.453670163592738;-2.8718077069772248;-2.5722411158835796;False
