train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PA;etanolhidratado;ARIMA;{'n_neighbors': 9};12;12;2634.582694508075;0.36375629480181465;54.54545454545455;41.72354204635306;52277.03428071128;0.9178060989463885;1962.0172559454154;2124.9091911443033;2214.866563202977;2352.929857869978;2614.6396745490647;3140.51520982255;3261.1449362244216;3391.7772819658576;3677.718633317118;3387.632257044595;3538.886403881919;3526.3278195461294;[1558.6157440545844, 1161.1498088556968, 1143.4354367970232, 831.4941421300218, 106.91532545093514, 475.3707901774501, 1287.3470637755786, 2017.2217180341422, 2894.2603666828822, 4229.305742955405, 4399.250596118081, 5092.632180453869];-2.01526445232459;0.27992053431665354;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PA;etanolhidratado;ARIMA;{'n_neighbors': 3};12;12;1092.5119310007951;0.3532283990409792;36.36363636363637;-9.296613682696353;30281.388379517903;inf;2413.753022856176;2550.43093263534;2654.9189253548006;2943.6982178697117;3155.3611926391904;3377.4191564452367;3678.731166606479;3782.999146169802;4024.3988583675664;3873.6778294958594;3749.1189374809373;3705.754417623002;[1766.3879771438237, 1238.2040673646602, 912.9090746451993, 658.4647821302883, -680.3841926391906, -1026.5021564452368, -1334.129166606479, -1002.457146169802, -1281.0348583675664, -626.5168294958594, -891.0539374809373, -1128.597417623002];-1.932699902723569;0.31683780837004627;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;PA;etanolhidratado;ARIMA;{'n_neighbors': 1};12;12;1396.5701944517766;0.3083563229473976;18.181818181818183;-0.6433967367000385;49675.522216403755;2.2954038803372847;2113.636874253764;2316.8905544999852;2801.7371033790077;3200.2899769474907;3567.1114719949956;3584.588839840482;4346.379123545779;3813.9198004791992;4422.387583365141;4121.271976420861;3976.9587599116408;4011.202869882314;[3253.067125746236, 2067.3354455000144, 1039.8438966209924, 229.7350230525094, -400.3094719949954, -265.8928398404819, -1568.2881235457794, -468.20780047919925, -1137.443583365141, -672.9069764208616, -1131.2947599116405, -1215.9038698823142];-1.9221351424804929;0.3217207527790182;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;PA;etanolhidratado;ARIMA;{'n_neighbors': 7};12;12;1317.747321926632;0.40087022427228974;36.36363636363637;-33.4602373094382;36550.77682101215;0.8756871730015481;3724.7125458177675;3862.380576643318;4006.7920613300425;4153.855480806853;4464.6901860679845;5031.810147423182;5131.095194737983;5381.118082046626;5654.660424418218;5340.161174017093;5436.925927539053;5416.441002203204;[-91.82354581776735, -1702.615576643318, -2158.4910613300426, -1578.8524808068528, -1110.7751860679846, -873.9641474231821, -1083.7491947379826, -1040.0000820466257, -1935.412424418218, -806.3971740170928, -1086.335927539053, -973.8250022032043];-1.8779947568708977;0.3424828168864257;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;PA;etanolhidratado;ARIMA;{'n_neighbors': 1};12;12;1585.3107843773266;0.2802093372308846;45.45454545454545;11.128687083534432;37642.227343875675;0.7112294164764895;2036.3170123559955;2129.1811380542435;2697.907518014321;2491.411894836739;3507.8685353083088;5182.337629788964;6222.394606632533;6082.768686190749;6352.0855597331065;6043.164004317097;4854.660842311577;4903.518995528186;[2523.6739876440042, 2545.0008619457562, 2262.038481985679, 2191.1171051632614, 1303.7794646916914, -467.81862978896334, -1553.3986066325333, -925.5996861907488, -1369.4705597331067, 107.33299568290295, 378.0011576884235, -420.0229955281857];-1.7104696903078072;0.4257264108511657;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PA;etanolhidratado;ARIMA;{'n_neighbors': 9};12;12;2515.2015138164743;0.4930449708377221;63.63636363636363;49.99738988315311;40148.89857282548;1.1422747238518276;1445.070957197235;1594.3396825416423;1629.1613424903107;1713.6258956525953;1972.8011888958006;2402.4321107386427;2499.012073870423;2851.3909797967385;2895.437268419865;3092.6859272757247;3195.5520451902394;2976.105586468896;[1643.656042802765, 1405.9963174583575, 1454.6476575096895, 2551.817104347405, 2308.567811104199, 2553.870889261357, 3439.219926129577, 4066.3680202032615, 3369.800731580135, 2626.751072724275, 1638.6429548097603, 1205.3254135311035];-1.7934949210944533;0.38369603390925067;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;PA;etanolhidratado;ARIMA;{'n_neighbors': 1};12;12;664.9325082853027;0.24926391394254657;54.54545454545455;-16.032785270197742;13164.139865284918;0.6621731360387765;1432.3889702303616;1806.9051908841495;1594.4214259634846;2305.4536852833235;2511.0015043437256;3242.3927254499336;3804.548245699813;3729.8153186904265;3873.7770247918115;3708.588049599001;3062.428285767083;3142.652305267345;[638.3550297696386, -260.90519088414953, 171.52057403651543, -460.2636852833234, -826.5015043437256, -768.8927254499336, -1094.6212456998128, -1057.5493186904264, -834.1520247918115, -160.23404959900108, 332.7347142329172, -407.0483052673453];-1.5719514454466499;0.4976660889625133;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;PA;etanolhidratado;ARIMA;{'n_neighbors': 5};12;12;1817.8710556739625;0.63314784941544;27.272727272727273;-49.69943091235778;57766.41989879073;2.714733993774051;3060.542347056863;3282.6415720563205;3347.7727487687866;3529.9250527684862;3893.2256407321065;4339.218378680148;4546.712262051589;4640.281808229245;5090.546943631457;4877.016621139717;4844.076913385901;4802.577288110461;[388.95765294313696, -220.64157205632046, 211.61625123121348, -378.42505276848624, -758.2256407321065, -1326.718378680148, -1702.2122620515893, -2002.5808082292451, -2841.546943631457, -2305.7136211397174, -2639.676913385901, -3109.0772881104613];-1.7623928307000778;0.39928588206012905;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;PA;etanolhidratado;ARIMA;{'n_neighbors': 9};12;12;1782.2180970990191;0.3419835410376569;54.54545454545455;35.607962190450124;35348.9691713674;1.142897070319653;2102.234403376891;2265.573840868658;2295.612965586873;2344.0856278076412;2590.7360054461324;2860.6130255417247;3010.662678252792;3305.0552001419746;3359.1968117173597;3399.3965817304274;3386.5429783616105;3234.415922499125;[2239.265596623109, 1927.8301591313425, 1613.387034413127, 1575.8643721923586, 1384.2639945538676, 1420.8869744582753, 3639.898321747208, 1899.8947998580252, 1383.5031882826402, 1182.5034182695722, 292.9570216383895, 326.5340775008749];-1.6888597160926782;0.4368612334387732;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;PA;etanolhidratado;ARIMA;{'n_neighbors': 5};12;12;381.8417476077644;0.09655596471953426;54.54545454545455;7.154275734899501;7533.425550878103;0.45987493308658933;2154.475607199867;2278.3316302815924;2319.8216690281442;2394.292473920897;2558.9577835931927;2661.816160280246;2785.238559178346;2884.25775966092;3029.5414672985767;3039.055424313558;3110.389652953411;3003.325167471498;[528.0243928001328, 337.1683697184076, 357.67833097185576, 11.467526079103209, 141.63021640680745, -140.8161602802461, -225.2385591783459, -70.30775966092006, -93.19146729857675, 584.6445756864418, 186.65634704658896, 864.9748325285022];-1.6543919044098896;0.45475093473150424;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
