train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RR;glp;ARIMA;{'n_neighbors': 5};12;12;151.88552949944392;0.05376676336383964;54.54545454545455;3.0785848433102494;2994.0654792357186;1.7502430492944938;2265.4386986278805;2162.183495995678;2371.8687666562905;2307.609364626401;2432.7779490432617;2397.853789941649;2488.649169678784;2443.1497137551614;2396.4887446621574;2405.6888333538823;2364.7464726751023;2540.8751795376047;[262.6301423721193, 145.7694030043217, 168.73087134370962, 221.33085237359865, 60.78907995673808, 126.14439805835082, -51.20170567878404, 43.94992424483871, -58.36917966215742, 157.5339926461179, 60.784324324897625, -230.36974453760467];-0.4501606672784183;0.9013808919682696;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;RR;glp;ARIMA;{'n_neighbors': 1};12;12;212.60214789860888;0.07341576840111853;45.45454545454545;5.137225157874133;5029.9160929135705;inf;2121.0670074124814;2174.7639985626397;2279.7571964779618;2212.306758803365;2315.4568948598485;2317.7906084409724;2330.4467509144397;2292.740385592271;2260.98808663003;2271.9021565748385;2417.8002012187544;2427.754519846677;[458.2753835875187, 59.766798437360194, 204.2754125220381, 163.276574196635, 49.552163140151606, 222.64960855902746, 71.30506108556028, 129.4788174077289, 132.62423236996983, 333.0416844251613, -153.5719402187542, -185.61321584667667];-0.4147010952340644;0.9076151334744591;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;RR;glp;ARIMA;{'n_neighbors': 1};12;12;234.20954586006326;0.08628271422882881;36.36363636363637;7.096582524607855;6464.854862676207;2.0903052524378896;1989.7183300776621;2056.532022962855;2187.1721785896752;2103.245449526587;2231.5923338478374;2234.4961096303064;2250.2438004826895;2203.3268046047583;2163.8182901457617;2177.3983679453195;2358.935302111976;2371.3211876791493;[452.453770922338, 323.87920903714485, 127.35318341032462, 294.54259347341304, 236.57795615216264, 128.41693336969365, 109.23627151731034, 86.85073139524184, 173.34475285423832, 309.7193860546804, -138.08204111197574, -93.19981067914932];0.03145534780264975;0.9610573936831667;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;RR;glp;ARIMA;{'n_neighbors': 3};12;12;221.02269075641303;0.07859028061797077;54.54545454545455;7.984399338578066;4359.324400409554;1.268151310883093;2044.8415997820068;1923.9396274469698;2077.242071543886;2000.9461384639278;2083.8689800115462;2157.6296839715174;2131.61988328169;2148.3923474955814;2180.914135830778;2254.8607669468024;2198.1089699563004;2159.087334425567;[187.39571921799302, 350.2831985530304, 192.59307345611387, 323.1009625360723, 436.25964298845383, 115.44096802848253, 123.03953671831005, 204.44279750441865, 24.056878169222273, 143.7714790531977, 45.22798704369961, 55.05759357443321];-0.8756693154040801;0.7958792417864125;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;RR;glp;ARIMA;{'n_neighbors': 1};12;12;161.01094593012348;0.06972647179805952;54.54545454545455;4.979694772043173;3175.3148227570923;0.5050425790345523;1837.8731030187762;1890.4829065659883;2003.2274356903963;1930.7973355898455;2041.5627351574701;2044.0687397763875;2057.659247086339;2017.1691345111458;1983.0726590595727;1994.7924818753493;2151.461739220714;2162.1509551770177;[163.11059298122382, 241.2218034340117, 175.61133230960377, 98.00882341015449, 208.5405258425301, 147.85336122361264, 40.27372391366134, 116.47941648885444, 79.18277594042729, 252.9339671246505, -103.17913022071434, -156.28682517701782];-0.5743850601711252;0.8766655486854671;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;RR;glp;ARIMA;{'n_neighbors': 1};12;12;253.68898069621056;0.1063903058259994;45.45454545454545;10.478847321183956;6006.0480878219305;0.7240161541578818;1717.2780038097146;1766.204791262137;1871.0564964722287;1803.6969574951424;1906.7080846206275;1909.0386532056696;1921.6777397975789;1884.0221889686818;1852.3126805776662;1863.2120423183826;2008.9134693688532;2018.8543731898492;[378.67851819028533, 256.869483737863, 342.5775615277714, 255.65992650485737, 283.7973503793726, 265.3762017943304, 110.59218820242108, 299.9307100313181, 169.48260942233378, 312.2100586816175, -12.625426368853141, -26.135170189849077];-0.9543950963543387;0.7695323177372438;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;RR;glp;ARIMA;{'n_neighbors': 5};12;12;157.43725226176048;0.07079415601004664;36.36363636363637;5.881064340046479;4345.01614114481;0.30790379661838724;1754.6507445906332;1673.2682090629423;1838.535610780899;1785.039367988656;1865.1652393083846;1857.007139367589;1912.403789645999;1883.775474748219;1848.521455305335;1844.7795775960833;1836.5623965622074;1985.6375214589907;[287.1138524093669, 137.80425493705775, 128.05134621910088, 242.43060801134402, 140.2822246916155, 169.54723463241112, 57.20533235400103, 30.713501251781054, 87.675342694665, 187.2858444039166, 59.776371437792704, -147.8730284589908];-1.1865615325450383;0.6793497220834235;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;RR;glp;ARIMA;{'n_neighbors': 1};12;12;167.80778162697962;0.0818881640438681;63.63636363636363;6.491881828469275;2649.5269419506403;0.2872488732902259;1612.078415808015;1656.8452889545877;1744.3775150877063;1688.1444725687772;1774.140148563888;1776.0857522354243;1786.6371056198566;1755.2015255431527;1728.7298163448695;1737.8288138040393;1859.4631753795413;1867.7620336538523;[273.80564219198504, 144.40471104541234, 152.56813691229377, 215.54212143122277, 135.29282243611192, 151.00845076457585, 177.29586538014337, 32.33289445684727, 121.60895165513057, 252.98459219596066, -96.56100137954127, -103.22217865385232];-1.5184871657754044;0.5243469879975107;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;RR;glp;ARIMA;{'n_neighbors': 1};12;12;159.784931140239;0.08001687556369975;63.63636363636363;6.220320328261454;2522.7563919160334;0.24454914546864498;1549.1473129382725;1598.8694877440191;1696.0907664511888;1633.6332174726722;1706.6490703772304;1731.3088314722877;1743.0281274417482;1708.112902349634;1678.7110034755167;1688.817176996084;1823.9154029237015;1833.1328722891412;[241.80558606172735, 170.96746925598086, 170.3186535488112, 211.6892465273279, 178.95237862276963, 131.35421152771232, 54.410278558251775, 81.97224265036607, 68.13863452448322, 242.623040003916, -134.84293892370147, -64.84482928914122];-1.4035258479844153;0.5805846202367887;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;RR;glp;ARIMA;{'n_neighbors': 1};12;12;164.98798000189367;0.08375496274572782;63.63636363636363;7.394260920920626;2605.189357031032;0.2365397851248028;1517.6145616426807;1555.7331075404304;1637.4223950601247;1584.9430131242805;1665.1983257724742;1667.0140634191057;1676.8610994068395;1647.5239072383754;1622.8192290663017;1631.3108409071533;1744.8258728333935;1752.5707670024162;[242.5050033573193, 183.64913845956949, 156.26963393987535, 100.23633487571942, 222.33066022752587, 132.8699945808944, 157.4160745931606, 181.92536776162456, 60.064828933698436, 251.85944909284672, -36.27877183339342, -79.56170900241614];-1.553962882655125;0.5066680902886493;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
