train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MT;querosenedeaviacao;ARIMA;{'n_neighbors': 3};12;12;1257.4075758138442;0.19310537644985368;81.81818181818181;15.449065346534505;10006.178366577215;0.831926243983322;7348.167170278641;4983.104583273004;4034.3083478237218;2712.403613582249;2584.4843200029877;2533.477122805456;3240.749421366191;5515.0396770868265;6486.705374470581;7206.557912558939;7559.016760619876;5859.480731994166;[790.2728297213589, 1703.843416726996, 842.4286521762783, 1547.511386417751, 777.7776799970125, 1905.5618771945437, 583.010578633809, -706.7536770868264, -177.2933744705806, 66.60008744106108, 1274.0272393801242, 2367.757268005834];-1.6616983080651553;0.45094678287347245;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;MT;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;778.1542996569393;0.14785265043622464;81.81818181818181;13.280459469418885;6177.359378149673;inf;6380.518159018389;4323.479157910147;3112.3177252141195;1800.815920826186;1772.4216994606973;1705.465370813787;2522.7573153432013;4259.251629717033;5573.812563099073;6174.895421658233;6593.384560561002;5316.091442897842;[434.9758409816104, 199.8098420898532, 408.58427478588055, 536.4130791738139, 579.1513005393026, 699.7926291862127, 451.96568465679866, 1249.1313702829666, 298.27443690092787, 718.4255783417666, 1831.9834394389982, 177.4455571021581];-1.6440268398109654;0.4601574356870944;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;MT;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;650.0034204000405;0.16125914088350338;90.9090909090909;14.072790467083351;2604.7476332759466;0.7638768989182461;4992.357552821612;3662.199660664151;2720.419123451525;1311.0452356777082;1563.4587904076068;1384.6758230194073;1903.781211949493;3678.7675656554866;4532.2942386723;5200.067711018669;5704.689261819196;4793.16202346128;[749.7554471783878, 20.771339335849007, 480.978876548475, 1019.9027643222917, 253.54920959239325, 383.41817698059276, 871.7617880505072, 323.0744343445135, 991.4417613277001, 763.5102889813315, 749.6127381808037, 180.2219765387199];-1.663715680394629;0.4498974809475167;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;MT;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;812.4804143788555;0.3052962084453524;72.72727272727273;-7.001465651160064;9705.949491209672;0.5161305805301369;4249.879213651787;4216.265740899419;3318.347920345651;2234.5734832745325;2703.0165019695232;2062.7712464085516;2487.6962610307464;3804.5943049380453;4656.323970716774;5059.871515119745;4814.623722873934;3916.442353749843;[759.5407863482133, -953.3957408994193, -619.7539203456508, -775.7884832745324, -1397.7385019695232, -690.2182464085515, -683.8532610307464, -233.35130493804536, -292.31097071677414, -21.3715151197448, 1410.4072771260662, 649.8856462501576];-1.6613383868279685;0.45113403900880866;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;MT;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;937.7901606734085;0.2162633184490924;81.81818181818181;16.837806643331536;7472.704520765318;0.6100639504461687;2582.248209139246;2396.8768341807126;2047.0913941041113;2144.0272056677477;2304.9594469388926;2252.030846688104;2592.2941258678725;3020.5612284320864;3545.228388927934;3797.7857809830725;3922.2649138364213;4505.036878274972;[1653.9527908607542, 1592.2731658192874, 1363.1136058958887, -278.40920566774776, 237.27355306110758, -409.9678466881037, -419.12312586787266, 480.8427715679136, 650.5546110720666, 1305.8162190169273, 742.415086163579, 190.04412172502816];-1.5874697151975523;0.48988478493287685;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;MT;querosenedeaviacao;ARIMA;{'n_neighbors': 5};12;12;1276.196366914291;0.4390319768977587;54.54545454545455;-33.99487184051118;25369.85600781556;0.6991564971440903;3702.530626583343;3401.0931661975405;3577.852698052634;3658.4640625205907;3771.8403660256677;3965.957052240628;3903.464310468007;4476.308411106374;4670.5367170388945;5284.896724153958;5216.7745743501455;5175.5102485154775;[47.98237341665708, 268.96883380245936, -1189.712698052634, -1252.7410625205907, -1482.1663660256677, -2233.959052240628, -1695.9473104680073, -1458.8084111063736, -721.2017170388945, -1153.3857241539572, -558.9845743501455, -1459.4722485154775];-1.5500783816601913;0.5086090432147345;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;MT;querosenedeaviacao;ARIMA;{'n_neighbors': 3};12;12;1064.1108893631235;0.21208604810066742;54.54545454545455;5.770292640326686;21046.14942227077;0.5056922952386962;3216.6773586617337;3371.919802652461;3457.906228450461;3465.72878484911;4108.82918840896;4062.5585398231256;3934.089649908354;4400.326969758927;4803.326729652892;5402.708524307151;5401.626147982;5485.996426669869;[1342.888641338266, 1093.8731973475387, 1310.3147715495384, 885.7772151508902, 405.5318115910395, 250.4144601768744, 502.70035009164576, 448.64003024107296, 500.03927034710796, -165.41852430715062, -949.6251479819994, -2495.237426669869];-2.081191208786545;0.2521446546709184;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;MT;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;1937.7194234450412;0.43661749560260327;27.272727272727273;-40.21068642686867;61402.433127112876;1.1731706763437868;5118.982877496854;5382.566367874947;5448.264257953601;5452.558410605267;6112.28960905298;5941.764049584525;5959.673815618996;5836.57024636277;6229.309528120187;6475.975037021674;6723.611286890868;7325.4748963553875;[438.8731225031461, -778.633367874947, -1202.8622579536013, -1512.3594106052674, -2300.43660905298, -2007.8950495845252, -2089.0438156189957, -1972.1342463627702, -2070.0095281201866, -1744.8770370216744, -2007.0532868908676, -3404.2948963553877];-2.3650371735596614;0.15184847895724535;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;MT;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;1113.7827472549136;0.1127374343844687;45.45454545454545;-6.222573730631533;26363.329068570034;0.33719560781137115;5506.239100245557;6024.7619990445655;6133.8030305329585;6128.14881276008;6793.728172020918;6572.69896999987;6595.912975622663;6436.350480927657;6945.405254444617;6668.830614193103;7586.101746065381;8366.21132856269;[1361.5978997544435, -64.9349990445653, 48.65696946704156, 123.20118723992073, -432.6921720209175, -405.5619699998706, -349.720975622663, -98.77248092765694, -380.3942544446163, 57.761385806896214, -1238.1477460653814, -3293.269328562689];-2.101824124147274;0.24378174493268973;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;MT;querosenedeaviacao;ARIMA;{'n_neighbors': 1};12;12;1245.3651135748098;0.13706475040980287;36.36363636363637;9.004581662726386;34394.166516860074;0.41683950417519433;5197.935267333774;5749.358182779148;5865.317813228407;5859.304839153418;6567.114873432027;6332.061479882496;6356.748402422298;6187.061747794889;6728.415790118769;6434.292628252657;7409.764429853033;8237.597876641654;[2220.9647326662252, 2187.416817220852, 1023.6741867715928, 1122.358160846582, 204.84612656797344, 332.895520117504, 126.1655975777021, 540.1492522051112, 57.213209881230796, 1206.282371747343, 650.4125701469666, -2060.157876641654];-1.2702347306139272;0.6426775933094955;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
