train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;CE;etanolhidratado;ARIMA;{'n_estimators': 100};12;12;4875.445046944481;0.3068903062309663;45.45454545454545;31.660390227417633;115807.65904339141;0.8620614577242703;8990.525332354813;7441.525228251083;6725.289215949828;7267.393038283257;8234.374781741855;8508.831201957195;9378.408872057627;10071.345563940296;10998.320013494329;12421.382935850299;13067.558495548385;12268.477135154457;[1625.5046676451875, 3438.4367717489167, 5208.204784050173, 2440.997961716743, 3274.335218258144, 5716.369798042804, 4800.402127942372, 3526.146436059704, 2353.385986505671, 5568.9180641497005, 8792.052504451616, 6705.4758648455445];-2.113766418671957;0.23901520689173839;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;CE;etanolhidratado;ARIMA;{'n_estimators': 200};12;12;3193.7934028396944;0.31969631650381847;45.45454545454545;-8.742914533721184;75883.48191800597;inf;10224.376821125288;8885.61017380247;7972.66434290246;8340.470023016002;9469.96492858573;9621.894469541867;10217.375248772429;10980.972120973178;11783.9917315985;12970.010275905264;14265.992078312185;13543.753000660816;[2896.6131788747116, 3826.11382619753, 3653.83565709754, 2602.5799769839978, -641.0589285857295, -2887.565469541867, -3758.675248772429, -2073.472120973178, -2355.9917315985003, -2856.210275905265, -4778.050078312186, -3941.5770006608163];-1.7855001250682263;0.3876838687017819;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;CE;etanolhidratado;ARIMA;{'n_estimators': 50};12;12;4316.087048648065;0.3739049521603894;63.63636363636363;-10.099263541735905;68665.43209487775;3.001351551190847;10308.982987037121;6536.101730529773;6557.391206102702;7571.45556637134;9269.555986334037;10530.035642242203;11736.14374976762;12787.054724427022;15383.404695501984;16201.820239089011;17870.054853552523;15269.239584507603;[3978.867012962879, 4294.417269470227, 5391.337793897297, 2247.986433628659, 979.1440136659639, -2230.0756422422037, -3393.3437497676205, -2727.594724427023, -3448.704695501983, -3730.7202390890106, -8436.161853552523, -5769.119584507602];-1.700776371107608;0.4307125115747096;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;CE;etanolhidratado;ARIMA;{'n_estimators': 100};12;12;2988.0796651169308;0.2873049673262957;72.72727272727273;-22.12385386597056;35662.66956629703;0.5792753206924108;13058.6495079291;11109.68183655111;11543.405211864294;11839.501017813802;13089.25392661157;13566.116253551596;14380.805913893237;15093.628292114912;16043.822969327255;16186.665462383373;17552.401174163195;16379.62279972892;[-1359.3495079291006, -3981.98183655111, -5987.866211864294, -3822.101017813802, -2852.6539266115687, -1250.9162535515952, -977.9059138932371, -1153.028292114912, -3214.6229693272544, -548.4654623833721, -3340.2001741631957, -2279.6227997289207];-1.4787885442244815;0.5439770357687016;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;CE;etanolhidratado;ARIMA;{'n_estimators': 150};12;12;1980.494698779758;0.10362274154919321;45.45454545454545;5.378701563389901;46868.368209812616;0.31584625801931937;11684.3764668945;10209.882442103528;10505.102806843237;11039.77565122699;12204.046095480282;13200.665345593181;13991.226247697674;14663.525361751588;16118.036889726842;16873.93156702367;17958.750507998484;16819.802958929366;[2043.5915331055003, 4229.266557896472, 3624.397193156763, 1032.2243487730102, 178.75390451971725, 314.4346544068194, -822.3782476976739, -33.12536175158857, -2354.336889726841, 1774.7684329763324, 454.1494920015175, -1047.1029589293648];-1.605600064745597;0.48077982094968075;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;False
1990-01_2018-02;2018-03_2019-02;CE;etanolhidratado;ARIMA;{'n_estimators': 100};12;12;4494.059645844978;0.27068274091972216;54.54545454545455;27.889819069925647;88985.93174629136;0.8119144202683471;9411.74960076252;7733.912302636952;8181.223919456661;8628.751882452625;9483.384664566154;10149.31189873775;10647.055033307033;11020.377551423458;11903.87086560343;12585.325495742632;12660.716285869536;11692.58659338054;[2887.582399237481, 3307.366697363049, 4413.451080543338, 8184.248117547375, 4212.115335433846, 3206.9421012622515, 4178.767966692967, 7003.8414485765425, 4942.06013439657, 3984.671504257367, 1269.9837141304652, 406.0504066194608];-1.621792366676239;0.47178975400563955;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;False
1990-01_2017-02;2017-03_2018-02;CE;etanolhidratado;ARIMA;{'n_estimators': 50};12;12;1165.9917159592692;0.09482632942432963;72.72727272727273;-7.668984637536183;13818.70272771933;0.3459181025098591;10459.182998005574;9835.302445423476;9962.369105281849;10307.36231344352;10779.375098330342;11123.584462049936;11554.74113145762;11692.238728734059;12175.838990813294;12408.619932676347;13156.76733838291;12662.169309638814;[-494.88299800557434, -1908.8024454234765, -384.86910528184853, -1087.8913134435206, -1624.595098330341, -27.167462049936148, -343.8551314576198, -1093.0017287340597, -943.8829908132939, 387.5540673236537, 280.04666161709065, -2453.9553096388136];-1.633663833642861;0.46557350464235264;13;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;False
1990-01_2016-02;2016-03_2017-02;CE;etanolhidratado;ARIMA;{'n_estimators': 100};12;12;3546.0630901803793;0.26495073184617085;45.45454545454545;-24.826309319336858;84167.10675591789;1.4154340428797139;13208.574538579784;12463.713641336633;12452.427121029374;12739.293227915128;13467.170571969058;13789.144042356293;14172.81919916149;14950.398491759248;15460.28600508619;16139.209945782648;16285.08721813825;16113.541505159601;[-973.339538579783, -1037.0136413366326, -922.9661210293743, -234.29322791512823, -1323.1895719690583, -1244.498042356292, -2632.8191991614895, -4190.798491759248, -5489.786005086189, -3682.704945782649, -5662.087218138249, -6664.2165051596];-1.544628694515713;0.5113301047572024;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;CE;etanolhidratado;ARIMA;{'n_estimators': 50};12;12;5477.359877334603;0.34816544367608654;54.54545454545455;35.274069582261596;108640.18345449858;1.09194932707373;8822.892567650551;7237.056596344748;7307.538775363364;7658.5532558351515;8357.335891302915;8685.848455421237;9149.679658615612;10005.82960412034;10764.051233494767;11595.284126974662;11844.106850042852;11359.548367121886;[5742.107432349449, 7475.705403655253, 6605.461224636636, 6387.4467441648485, 6261.164108697085, 5151.651544578763, 4946.143341384388, 7202.670395879661, 3755.047766505233, 4954.968873025338, 2369.2421499571483, 614.9786328781138];-1.4389358050978016;0.5634741104903451;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;CE;etanolhidratado;ARIMA;{'n_estimators': 50};12;12;1762.4532620549242;0.14990126340025625;63.63636363636363;15.87490357098332;27868.20145823407;0.6446363285496752;7880.879152123746;7029.344060349339;7024.246190674657;7224.507263293468;7615.151461155728;7678.296754317098;7923.19777769124;8248.500247152424;8538.289216871728;9111.048272106415;9379.58843513058;9215.72689443731;[378.6058478762543, 1076.0569396506608, 1192.7538093253434, 1009.992736706532, 1534.3485388442723, 944.4172456829019, 761.8022223087601, 1165.499752847576, 1485.710783128272, 2804.4517278935855, 2365.298564869421, 3560.77310556269];-1.5118306076471106;0.5276509999513794;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
