train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MA;oleodiesel;ARIMA;{'n_estimators': 50};12;12;18335.81291119581;0.1039095020292526;63.63636363636363;7.941922218979203;289540.8179982272;1.3352644476721947;114693.05950319444;115294.12604892677;117334.03159781224;116357.6679845289;119163.59749424693;132400.8534091693;145181.1730399998;145924.45978704403;146136.37211844555;140747.63416082357;136532.38332447142;126748.90702997905;[19436.665496805566, -617.9120489267661, 22385.119402187775, 27973.210015471093, 32991.356505753065, 29310.928590830707, 4957.998960000201, 11063.922212955978, 4172.760881554452, 4519.496839176427, -10631.860324471418, -11279.986029979045];-0.31930850754645596;0.9227248023660769;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;False
1990-01_2022-02;2022-03_2023-02;MA;oleodiesel;ARIMA;{'n_estimators': 50};12;12;11338.901450756659;0.07603401660651127;63.63636363636363;1.3333559213622364;178915.91043722775;inf;118060.45103950481;117349.54947907342;116707.09529217966;117505.5045756444;119768.22363723592;127897.93625107352;139402.14298470796;142034.79715878985;140956.6079681996;139740.74663960512;133989.37108722064;122318.67556091142;[7720.87296049518, -5911.857479073427, 5816.909707820349, 9552.009424355594, 19832.34636276409, 20410.766748926486, 6247.799015292054, -2806.11415878986, -7425.665968199581, -5599.20463960513, -16101.96108722064, -10982.421560911418];-0.20550598246399074;0.937862128788477;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;False
1990-01_2021-02;2021-03_2022-02;MA;oleodiesel;ARIMA;{'n_estimators': 150};12;12;16546.500923995685;0.11713275292355602;54.54545454545455;3.9970659078257884;326516.3194789723;3.909389900836871;104174.94179063072;104328.14255639273;103007.76520894533;104615.28740100523;110184.38887667672;122930.95208487324;142426.82583957887;143953.0909654815;142141.45227763578;139455.47188986774;133956.31111729506;114111.51059746223;[16806.385209369284, 14675.71044360727, 19300.95179105467, 22528.200598994765, 27035.71812332327, 19086.855915126755, -4513.997839578864, -8900.439965481492, -11145.746277635772, -8114.090889867744, -22650.403117295064, -3102.2035974622268];-0.27089089179008935;0.9295270690690244;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;False
1990-01_2020-02;2020-03_2021-02;MA;oleodiesel;ARIMA;{'n_estimators': 50};12;12;13139.185577686172;0.08699889399228193;100.0;4.28888493691393;494.97448698798445;1.0233931186434562;102677.52869460419;101192.63244525327;101381.15524262178;103067.75313094075;105991.057522575;116440.17267480277;128813.18659746891;129229.2908465671;129146.29487768644;127343.84827681453;124569.77710893821;111989.9507460309;[-1767.724694604185, -7728.759445253265, -3589.468242621777, 16721.907869059243, 26484.54047742499, 19896.375325197238, 11509.295402531076, 17123.892153432884, 4194.562122313553, -2882.872276814538, -7491.735108938214, -10548.635746030894];-0.2920522732701952;0.9266224498547356;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;False
1990-01_2019-02;2019-03_2020-02;MA;oleodiesel;ARIMA;{'n_estimators': 50};12;12;12220.449283424043;0.09417742236572714;63.63636363636363;-1.1171801659438667;192922.00626114418;0.7383407866368947;100912.97843336385;101386.00486204312;100490.28696877217;100725.54034408733;104949.52222946678;118546.4426817221;133246.45992165882;133360.2377489556;132712.64980891338;130441.61217659348;126098.42526316753;111902.99951392284;[850.5805666361412, -8622.570862043125, 11209.676031227835, 10948.949655912671, 23687.27977053322, 10986.502318277911, -13083.57992165882, -4395.264748955611, -8188.60380891338, -12292.974176593474, -17103.069263167534, -9406.897513922842];0.0031618164313678546;0.9587927862894238;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;False
1990-01_2018-02;2018-03_2019-02;MA;oleodiesel;ARIMA;{'n_estimators': 100};12;12;12586.657164375767;0.08434669003478946;90.9090909090909;5.69692005906745;50007.1498452693;0.8138984365289874;100210.10496947006;99653.99160063946;99389.24717747801;100182.87516598919;102926.70393244574;110621.95532904626;122926.5223184204;123577.86682856029;122714.13233135377;120506.65872847334;117857.43561127267;106409.31679944201;[13914.390030529932, 7938.622399360538, 2113.8748225219897, 18013.223834010816, 25466.40406755425, 20562.61767095374, -3370.325318420393, 9382.879171439723, 3465.287668646226, -2171.4347284733376, -10148.982611272673, -5002.888799442007];-0.19632087213934157;0.93895874112886;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;False
1990-01_2017-02;2017-03_2018-02;MA;oleodiesel;ARIMA;{'n_estimators': 100};12;12;10505.27399913613;0.08732762854214977;72.72727272727273;5.527844445984973;124459.6522988007;0.4768569100521774;98938.85394820767;98076.15393829551;97507.48720798509;97820.72871426043;98454.55524780139;102905.5866206951;109725.05942198249;110948.35345661554;110521.98993731946;109277.71430002317;107593.29693994122;106270.98661064656;[9940.712451792322, 2429.5037617044873, 10337.918192014913, 12727.810785739566, 12024.640552198616, 14495.226179304897, 4696.842778017512, 7811.26894338445, 8112.492662680539, 7447.187299976824, 2619.845060058782, -19616.90261064656];-0.3119217940109557;0.9237987956367921;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;False
1990-01_2016-02;2016-03_2017-02;MA;oleodiesel;ARIMA;{'n_estimators': 50};12;12;11468.46374180242;0.0922503999920447;45.45454545454545;-8.370574468816395;271332.5009883844;0.3527078088440163;101694.54841694736;99497.34372447088;99745.0824284706;100746.82879871034;107394.83059337694;113229.56262426809;122417.39184998474;124596.05407788132;122568.42924902064;121881.29715337939;119167.7879980614;105019.6422914828;[934.2165830526355, 4156.671275529123, -3667.286428470601, -1639.8497987103328, -1776.4645933769498, -10637.791624268095, -15847.60884998474, -18519.489077881313, -13173.356249020639, -9384.82015337939, -17648.4207980614, -16140.124331482803];0.5386153845207093;0.9860007064390317;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;MA;oleodiesel;ARIMA;{'n_estimators': 50};12;12;12803.3734433646;0.0986973322921063;63.63636363636363;3.049764853699759;202149.58268518592;0.6033095495948023;95520.2006277246;95236.49000500512;95484.95967954642;96317.53106032079;100070.08834984222;106732.16113838824;119807.39373730586;121994.81913450896;119690.26603256457;118329.1749152718;115537.47818989024;116593.61732404472;[7523.165572275408, 10949.614994994874, 13745.686320453577, 19232.79893967921, 21669.737250157777, 8987.723461611764, 558.4799626941385, 2425.5158654910483, -8170.747632564569, -1680.3375152717927, -14221.658189890237, -20084.52132404472];0.5967315141634345;0.9875347889331594;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;False
1990-01_2014-02;2014-03_2015-02;MA;oleodiesel;ARIMA;{'n_estimators': 50};12;12;8939.192973991954;0.07079413633872413;72.72727272727273;5.769659393068713;105841.70401287754;0.35246972119876807;94803.9049046705;93244.33634434936;93845.92252766358;94330.50660923893;97565.17696473161;102073.54876856423;109728.25839768178;109850.97652805292;108870.13469145498;108414.02929305976;107292.21284623291;98103.24358336558;[3560.017095329502, 4631.3226556506415, 6916.579472336409, 4666.544390761075, 12290.261035268384, 16179.76923143577, 7518.241602318216, 15066.754471947075, 5001.450308545027, 6946.171706940237, 1002.0820537670807, -9194.400583365583];0.6049395168604164;0.9877367490671987;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;False
