train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AL;gasolinac;ARIMA;{'n_estimators': 50};12;12;4980.7472009175735;0.10400462673666462;54.54545454545455;6.018373185351793;98259.39312228521;1.2458097340034666;37407.90679011708;35089.23919421763;34150.45223686205;34760.87002003117;35766.88904794103;36930.39895968774;38598.7584512301;39513.52341000256;42923.32936488819;45898.4974611982;46925.73038265872;45825.39342551881;[5793.093209882922, 3225.7608057823672, 7407.049763137948, 7758.130979968824, 5355.110952058967, 5352.601040312256, 2614.2425487699, 3364.9765899974373, -1212.3293648881881, 88.50253880179662, -1747.730382658723, -7658.893425518807];0.14010763730793926;0.9686951241103052;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;AL;gasolinac;ARIMA;{'n_estimators': 50};12;12;4420.774508912431;0.08145331868027342;45.45454545454545;8.139878509860857;104571.56495039626;inf;33822.43705038973;33471.762172645125;33108.77959049005;33287.26522482896;34184.36879365239;34535.72937506674;36488.58085026289;37195.81529517818;39220.28494341769;41541.4080406388;41997.19546532356;41137.69099638801;[516.0459496102703, 1122.7378273548748, 2865.7204095099514, -473.7652248289596, 3447.631206347607, 8369.270624933262, 7195.419149737107, 5756.036704821818, 1897.2150565823104, 7087.591959361198, 1859.1515346764427, -654.6909963880098];-0.8289341173724759;0.8104748122288552;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;AL;gasolinac;ARIMA;{'n_estimators': 100};12;12;3375.906483010676;0.0801888104357981;45.45454545454545;4.0765723793476525;79854.22685337153;0.8191501827430238;32413.956196439227;32368.187728439716;31909.905503045447;32157.848641699886;32710.71242086833;33345.92363951531;35083.749894435176;37279.102063512;39822.5801313815;39428.00670089381;39755.793616689894;38506.09860232763;[721.7108035607744, -651.187728439716, 2382.444496954551, 3661.651358300114, 5923.287579131669, 5247.576360484687, 3974.2501055648245, 2342.2079364879974, -2454.0801313815027, 2860.493299106187, -3644.2936166898944, -2311.5986023276273];-0.747011672139498;0.8341938979014458;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;AL;gasolinac;ARIMA;{'n_estimators': 50};12;12;4396.022956518028;0.1139703470836138;63.63636363636363;-5.042215464953392;69438.15108136272;0.7557085988902206;35781.80693750526;35061.351422516185;35474.41568025574;35079.54154536786;35170.60326247412;35405.528014384225;36025.80065000194;36698.75702681219;37445.15012212868;39317.292492035616;39660.31647564888;39160.59572129955;[-4188.806937505258, -5603.421422516185, -7029.415680255741, -4855.041545367858, -1096.1032624741201, -825.5280143842247, 531.1993499980599, 5201.9429731878045, 2481.3498778713183, 3826.4485079643855, -2134.316475648877, -7442.595721299549];0.050302686602769216;0.9624995874509372;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;AL;gasolinac;ARIMA;{'n_estimators': 50};12;12;2920.2051050789455;0.06886692899881286;63.63636363636363;6.471068276320414;46069.47118395579;0.6881018374507638;33514.85036202381;32981.7728267958;33191.93938360231;33053.30083289361;33071.78767923302;33117.14068156055;34162.90448793037;34641.31931836887;35162.90943498688;36851.56798989821;37127.972309153745;37107.51552830041;[1397.6496379761884, 3193.717173204197, 3790.6306163976915, 807.1991671063879, 4261.87532076698, 4798.3593184394485, 1971.5955120696308, 4277.680681631129, 1885.5905650131172, 2529.4320101017875, 811.5276908462547, -1082.5155283004133];-1.3176824252283967;0.6210442587200313;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;AL;gasolinac;ARIMA;{'n_estimators': 150};12;12;3615.1880789043767;0.08799018618487299;63.63636363636363;-7.958560653105713;57063.576668844995;0.4612517308879648;37019.33457317937;36751.959018476875;36030.47805946497;36172.805838523906;36132.655335581556;36336.18191681965;36596.08828985529;36776.07261647864;37404.40302531113;38484.27643149806;40247.37028238244;39978.68587039849;[1231.889426820635, -702.9880184768772, -393.3030594649681, -2296.0658385239076, -2628.2553355815544, -346.680916819656, -4550.6872898552865, -2585.9126164786358, -5872.0720253111285, -3058.6914314980604, -5101.870282382442, -6716.185870398491];-0.989184425661381;0.7571885649517989;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;AL;gasolinac;ARIMA;{'n_estimators': 100};12;12;2913.7332925247943;0.05144768617845616;54.54545454545455;-1.6471616050788576;57415.17447494795;0.3879018162531899;37400.92523425419;36965.261594063726;35951.41164364469;35920.752968015244;36082.52192185438;36734.77676596504;37167.11278810679;37760.2076065785;38430.19186759953;40680.30772323077;42033.705579669055;41405.22216022462;[2878.5747657458123, -44.26159406372608, 2085.088356355307, 415.2470319847562, 1336.478078145621, 286.5352340349564, -760.6127881067878, -312.4376065785036, -1521.7068675995324, 460.828276769229, -3953.0125796690554, -8268.690160224622];0.5205126726496789;0.985483406293511;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;AL;gasolinac;ARIMA;{'n_estimators': 100};12;12;3549.7609212567477;0.08435753036290768;54.54545454545455;7.615031072774952;69999.12413344426;0.9906499169035292;34578.095859719455;34470.01502210666;33900.83958730381;33910.68575147697;33962.09787403689;34108.29162452937;34553.94223891501;34749.99858557077;35460.74678189701;36797.442865094104;38846.709042898125;38669.07992985298;[4465.904140280545, 1824.2339778933456, 2822.170412696192, 1561.3722485230246, 2867.802125963113, 4362.708375470633, 4457.058761084983, 3365.501414429229, 2468.753218102989, 6526.5571349058955, 2390.7909571018754, -2163.079929852982];-1.826805161871559;0.36723720374996727;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;AL;gasolinac;ARIMA;{'n_estimators': 50};12;12;2400.9479239706093;0.047478598702036155;63.63636363636363;-3.4094505588539596;37855.233658887635;0.3277442140183835;35347.174634378935;34664.84872975793;34179.48117762924;33607.297376190116;34520.934260318965;34809.16591233412;35598.35693795557;36766.01868206229;38249.44604535189;40949.65789674073;41338.23979145067;40097.3408650762;[274.2253656210669, 2037.6512702420732, 546.5078223707606, -6.797376190115756, -179.0972603189657, -1657.6789123341223, -463.8569379555702, -428.5186820622912, -4710.446045351891, -1235.6578967407331, -4439.183791450676, -4248.340865076199];-0.4849052105135118;0.8949286354193793;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;AL;gasolinac;ARIMA;{'n_estimators': 100};12;12;4345.737165249766;0.10566550773542972;63.63636363636363;7.775301934539852;68628.11510319835;1.0520344199768759;34270.843707561166;33272.78033506005;31900.748076353197;31645.23799560193;31881.83065647947;31904.489603871796;32825.22910401966;33102.52600839716;34064.355349329984;35880.53264451674;38409.394351809126;38276.360245057476;[859.1062924388316, 3922.932664939952, 3791.456923646805, 1489.8680043980712, 4434.669343520531, 4226.510396128204, 4696.33089598034, 6250.358991602843, 1554.1446506700158, 6806.4673554832625, 2616.1056481908745, -6297.880245057477];0.40431692600176244;0.9816556630335621;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
