train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MG;oleodiesel;ARIMA;{'n_estimators': 50};12;12;48397.73542072306;0.06771195420498193;90.9090909090909;5.534220735628685;191935.96910653435;1.1665262470824493;656076.0986409923;655571.0420628523;671514.5118639253;670848.8078730827;682683.0146223743;690612.5052007524;674276.981479148;667958.8242384824;621869.8524036525;595534.9995705873;575250.8318563519;570177.6686616713;[44216.79735900764, -50767.20606285229, 35475.77113607479, 18528.181126917247, 32871.702377625625, 73493.89179924759, 47875.091520851944, 56643.38076151756, 61347.475596347474, 57551.380429412704, 42674.04714364803, 33086.0233383287];-0.5111158483575456;0.8898289986027528;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;MG;oleodiesel;ARIMA;{'n_estimators': 100};12;12;36207.440738800076;0.046368707475152336;81.81818181818181;4.249587645654236;285787.01477166;inf;625234.7696190698;619334.7678290515;640611.0732173431;641730.4346301319;661051.8567186226;673752.2534107527;651798.2142680616;658737.818029662;611507.9599991058;576311.9857767855;551483.6927413663;545432.1471690286;[61165.7393809302, 15756.808170948527, 33023.766782656894, 1808.7963698680978, 21088.42828137742, 52354.54058924725, 32099.51073193841, 35790.13097033801, 14591.610000894172, 14335.599223214434, -17573.393741366337, 66513.90183097136];-0.9476823110139236;0.7718648729775588;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;MG;oleodiesel;ARIMA;{'n_estimators': 50};12;12;40769.790123763894;0.053393803582129966;81.81818181818181;3.963699721636386;321921.87999974977;1.2762481380190358;596540.394771823;584107.3896628894;589389.8085109009;591193.2683613861;618530.6252993487;644653.7605874668;622822.9126732785;634995.1795904901;597544.2220628565;580663.2321594253;567222.6321349925;555273.4506261362;[67519.05622817704, 25456.388337110635, 34046.62248909904, 34436.00563861383, 69119.57770065125, 56885.73241253325, 40173.190326721524, 15556.230409509968, -3213.8230628565652, 8959.431840574718, -49231.350134992506, -3246.194626136101];-0.8474219142351804;0.8047939956509222;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;MG;oleodiesel;ARIMA;{'n_estimators': 100};12;12;43031.62593458592;0.06226834805353552;81.81818181818181;1.721565950760533;339946.9443070398;0.5420323886708217;585787.7846985279;567607.8830844735;588073.8935283839;595933.495401813;599812.8114874563;626588.46449221;593692.570984788;606598.3256813088;580157.6509305808;540345.8896301388;523278.2823754477;516204.4001324206;[-25096.861698527937, -76676.43908447353, -48930.90752838389, -5087.488401812967, 52479.9805125437, 18840.674507790012, 63940.09001521196, 55651.86731869122, 12793.70306941925, 33489.858369861264, 41345.39362455229, -1459.1421324206167];-1.0283457077269103;0.7427859959698355;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;MG;oleodiesel;ARIMA;{'n_estimators': 50};12;12;21534.239589855162;0.0317702940948692;72.72727272727273;-0.5643279289262478;254603.87321392828;0.2481118675255993;577616.2804407675;565216.8344022494;578970.268424033;591451.1287451182;597473.8200217834;621667.788099549;606365.2146731957;625892.9541799871;598185.4389889393;541506.4243807176;526494.5060519861;509318.98455413996;[-35915.26444076758, 1469.5245977506274, 9143.248575967038, -30677.774745118106, 34101.51297821663, 12939.393900451018, -10232.574673195719, 28836.379820012953, -15278.5889889393, -22760.05638071755, -14612.381051986129, 4041.101445860055];-0.8309947663453784;0.8098476452919294;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;MG;oleodiesel;ARIMA;{'n_estimators': 50};12;12;43273.830087935035;0.058805023312510245;72.72727272727273;-1.1943584994572902;512142.17413252644;0.40484651233452973;563405.7753199834;555933.7442199473;574453.9721599956;573271.3388115264;599255.076171218;626872.8179735622;625346.2706300481;636048.225181007;594938.7409307244;558182.1009827734;522633.65677656885;505985.6832523893;[22121.747680016677, 11743.514780052705, -115214.64115999558, 60252.09618847363, 10183.723828782095, 13528.62602643785, -45093.65663004818, -12244.11218100693, -40556.94093072438, -18054.652982773376, 14418.953223431134, 17048.50974761072];-0.8146552838040737;0.8147792393018738;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;MG;oleodiesel;ARIMA;{'n_estimators': 100};12;12;21834.52625582542;0.03216048391065419;100.0;0.697798719554629;304.0653862224993;0.24396084388365594;557817.1844648072;551698.0005181124;567554.9432405501;567799.1601283794;590662.3710552135;613976.7279861954;605166.572767156;623023.4237552925;588645.2677447159;551766.5539956227;516138.30540844885;500580.14093683404;[47301.34353519289, -26295.805718112388, 19270.93075944984, 29604.495171620627, 12184.579844786553, 15645.783913804684, 8381.156932844082, -7918.319755292498, -11089.650044715963, -25390.44629562262, 2028.6375915511744, -15694.21693683404];-0.8033299494261165;0.8181419626534396;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;MG;oleodiesel;ARIMA;{'n_estimators': 50};12;12;27193.370016916215;0.03741353954914356;63.63636363636363;-2.545267310152998;428625.66813352826;0.2541845272054108;566595.9028333537;563040.3614112557;578931.9556141875;576867.3810348242;603284.3327322877;620539.0755027396;626165.11066406;635455.918604748;607949.7917478174;568967.4642056305;517287.5047983136;505482.0842348695;[19510.407166646328, 9437.724588744342, -6801.143614187487, 2418.3039651758736, -13772.34273228771, 7996.723497260362, -21547.78366405994, -48236.47260474798, -55349.25674781739, -44359.846205630456, -14828.98209831363, -7483.17603486951];-1.076015108915098;0.724541424466419;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;MG;oleodiesel;ARIMA;{'n_estimators': 100};12;12;53909.70402297284;0.08794661982732267;45.45454545454545;-8.646327924927654;1275341.6084013674;0.653079125097644;599552.4836254918;613401.7538705387;633406.8607891661;639768.3367707134;651061.5626195654;677085.547514481;674411.8534216493;669684.5890610181;628538.1033942365;582487.9875703232;551602.0164552912;551061.5664021897;[-22850.633925491828, -42298.77287053864, -64115.428789166035, -51818.2867707134, -29178.388619565405, -74638.62181448098, -68432.84922164935, -34777.56776101806, -69177.86269423657, -31624.626370323123, -85097.1344552912, -20633.983402189682];-0.37071585037849203;0.9148745635688311;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;MG;oleodiesel;ARIMA;{'n_estimators': 100};12;12;35096.08642247773;0.04503366833223871;90.9090909090909;-2.3652844659550754;138839.5672163522;0.6618564687680902;613926.7082944434;612102.3138789419;631954.8212290109;630395.4272493467;650805.7364941391;670407.5542040775;672213.0015400586;687623.5381071912;656295.2181293209;621283.3154655932;579809.9237021582;561684.1624307978;[-15188.81929444347, 2591.676121058059, 30522.915770989028, -22821.96124934673, 7067.912505860906, 238.80579592252616, 4278.774459941313, 23159.87189280882, -64649.10512932087, -54094.80046559323, -14554.38100215816, -71893.1974307978];1.6498202630625085;0.9979996041753912;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
