train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RS;etanolhidratado;svr;{'C': 1, 'epsilon': 0.3, 'gamma': 0.0001, 'kernel': 'rbf'};12;12;3841.2728448228086;0.44803971716305924;72.72727272727273;53.51760960794405;46113.79539599829;1.069483250504991;2643.8454652169025;2636.6628132111655;2630.781959876053;2627.3267264616065;2627.344476839208;2627.978724488837;2631.077366473952;2634.932558680479;2639.6438119354725;2644.7634364823925;2650.498055941986;2655.4239583280823;[734.4985347830975, 305.5191867888343, 255.04504012394727, 1254.9632735383934, 1146.900523160792, 2774.620275511163, 3056.031633526048, 3416.704441319521, 3825.8821880645273, 5733.928563517607, 7228.909944058014, 6707.6200416719175];-0.4909483778713306;0.8937707890489234;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;False
1990-01_2022-02;2022-03_2023-02;RS;etanolhidratado;svr;{'C': 0.1, 'epsilon': 0.3, 'gamma': 0.005, 'kernel': 'rbf'};12;12;459.47465571429024;0.11332911312604932;54.54545454545455;9.922722315424446;9068.340277788271;inf;2545.6509819773787;2523.117597771165;2505.5874209640438;2500.376994661404;2507.123673642563;2516.99232927631;2534.9023193051157;2556.2207672008453;2578.434292537791;2600.720773482008;2625.9030686701853;2647.2689409669647;[589.5060180226214, -297.7835977711652, -95.27842096404356, 557.1610053385962, 53.354326357437, 146.1046707236901, 157.89668069488425, 145.3252327991545, 170.36270746220907, 1142.7782265179917, 557.3459313298144, 248.7180590330354];-0.04291443119496229;0.9548359001776985;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;False
1990-01_2021-02;2021-03_2022-02;RS;etanolhidratado;svr;{'C': 10, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'};12;12;577.2885478275399;0.1754274055371846;36.36363636363637;3.900304511370942;15956.076282230482;1.2676131042642007;2598.3578813747536;2451.556212212553;2038.431389094968;1777.2248043241332;2060.67664705447;2507.5748445957342;2646.253496135921;2762.6866028100912;2830.054303168831;2801.7679820212948;2736.067926915772;2730.6207052975433;[393.50111862524636, -220.84921221255308, 573.0456109050319, 1183.285195675867, 1048.0983529455302, 64.22915540426584, -56.381496135921225, -447.75460281009146, -557.2853031688314, -283.61398202129476, 115.80507308422784, -596.8827052975435];-0.585841478136149;0.8741492856770549;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;False
1990-01_2020-02;2020-03_2021-02;RS;etanolhidratado;svr;{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'};12;12;1312.0822738492234;0.4816615362666982;54.54545454545455;-36.040750192523156;26108.057726956868;2.0771455328616213;4026.887077664708;4017.548584403905;4010.2652333908095;4006.582445226085;4007.1429325353574;4009.9724348230666;4015.436072545166;4021.9992525986477;4029.174038698416;4036.813819146136;4044.6202615341867;4050.8177316948872;[-1424.170077664708, -2467.9225844039047, -2183.4512333908096, -1574.406445226085, -737.4709325353574, -1077.1024348230667, -1135.0220725451659, -877.4252525986476, -1215.461038698416, -124.48781914613619, -124.7522615341868, 151.7642683051131];-0.42153182029931513;0.9064411867347044;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;False
1990-01_2019-02;2019-03_2020-02;RS;etanolhidratado;svr;{'C': 0.1, 'epsilon': 0.3, 'gamma': 1, 'kernel': 'rbf'};12;12;987.1254834169141;0.22010705220393886;54.54545454545455;-19.05671592735086;19527.408536992574;0.5873522030107049;5096.965429297427;5086.634478691895;5075.330762712022;5072.576298954402;5078.6310913753605;5080.777089512442;5088.9432068845035;5096.915197652947;5104.277883882319;5106.90257877302;5107.657513320049;5107.740584219014;[-790.682429297427, -393.9904786918951, -773.3867627120217, -1140.6362989544018, -573.5970913753608, -1125.0470895124422, -1284.9982068845034, -815.1941976529479, -465.046883882319, 191.8664212269805, -455.03651332004847, -2154.7085842190136];-0.767409137791043;0.8285084707373886;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;False
1990-01_2018-02;2018-03_2019-02;RS;etanolhidratado;svr;{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.005, 'kernel': 'rbf'};12;12;1980.5404429880575;0.2515891979319745;36.36363636363637;24.78103076711871;54797.187852422525;0.5601729916020863;4345.458326490947;4283.073750134262;4228.121879193952;4192.674895683494;4182.766132994408;4195.726404943457;4230.382254695189;4276.596390927123;4328.506809381297;4388.124517738831;4454.792894299533;4512.088577840584;[-473.0873264909469, -156.3887501342615, 268.25212080604797, 3653.782104316507, 1797.2168670055926, 2034.2575950565433, 2495.072745304811, 3478.284609072877, 2123.1121906187027, 1433.0234822611692, 912.623105700467, -560.3985778405836];-0.5807292403823827;0.8752772454309102;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;False
1990-01_2017-02;2017-03_2018-02;RS;etanolhidratado;svr;{'C': 1000, 'epsilon': 0.5, 'gamma': 3, 'kernel': 'rbf'};12;12;1002.9052123625429;0.2015139289436599;36.36363636363637;-5.171103362231556;27728.472292890037;0.4575008305987564;5013.774271515728;5013.794998811883;5013.66060930961;5013.703266802151;5013.797772817589;5013.794102612498;5013.863224762113;5013.842832104522;5013.887938298019;5013.885953192544;5013.887408039022;5013.887611903611;[-960.7642715157281, -1671.6749988118827, -1028.1106093096096, -1207.553266802151, -1030.3777728175892, 22.6058973875015, 542.929775237887, -3.4998321045222838, 1222.9930617019809, 1275.505046807456, 761.4965919609776, -881.8096119036109];-0.25534488511147435;0.9315950386216383;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;False
1990-01_2016-02;2016-03_2017-02;RS;etanolhidratado;svr;{'C': 1, 'epsilon': 0.2, 'gamma': 1, 'kernel': 'rbf'};12;12;6328.573131142426;1.2739187494342603;36.36363636363637;-119.10005978969802;177912.1611803836;2.603544735242559;11355.66528194284;11111.453759057267;10933.060633055204;10841.97427173693;11078.080424409547;11304.211095337147;11612.24861115939;11801.05223408654;11870.99579012233;11853.6036382128;11803.411190568802;11810.477915587575;[-5398.57928194284, -5148.272759057268, -4764.890633055204, -5461.40427173693, -5609.090424409547, -5101.811095337147, -6121.33861115939, -7032.202234086539, -7604.42579012233, -6251.5136382128, -7798.401190568802, -8384.077915587575];-0.9066153526688286;0.785786081173444;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;RS;etanolhidratado;svr;{'C': 10, 'epsilon': 0.1, 'gamma': 0.005, 'kernel': 'rbf'};12;12;4962.9976505719305;0.34606731161639087;45.45454545454545;24.15666188622774;117972.30596002976;0.4352846437880649;5148.020313179739;9521.727984685158;10095.210169698694;10340.956689879922;10430.422263652206;10012.73352581185;10203.316273839744;10167.572707824467;10366.441675506092;10212.1662704466;10805.351335572199;10362.586830308226;[10035.009686820262, 3414.8040153148413, 3390.3398303013055, 5028.1893101200785, 4489.769736347793, 5360.71847418815, 5799.147726160256, 5637.084292175532, -109.40367550609153, 1945.9847295534, -3527.1123355721993, -3986.8828303082264];-1.1225104510136636;0.7060120315515925;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;False
1990-01_2014-02;2014-03_2015-02;RS;etanolhidratado;svr;{'C': 1, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'};12;12;2364.5303712710434;0.18105973096254155;54.54545454545455;6.082834021920985;46728.56765603899;0.2669334958554744;6095.3484790566245;8560.97493255095;8906.956533764846;9577.262427785325;9970.185604620896;10272.862642740765;10320.846633562736;9886.139324497222;10139.62815652327;8939.537261259324;9987.569833661359;9119.819573213905;[2095.4065209433757, -98.6999325509496, -296.8985337648446, -1728.6224277853244, -1732.6396046208956, -2027.0186427407662, -1747.9276335627364, -92.9293244972232, 1278.6488434767307, 4556.033738740676, 2442.8901663386405, 4591.3464267860945];-0.8604865431062886;0.8007062136717802;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;False
