train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PR;querosenedeaviacao;svr;{'C': 100, 'epsilon': 0.5, 'gamma': 3, 'kernel': 'rbf'};12;12;3560.558795498034;0.48914291137741334;72.72727272727273;-45.24246114199386;42808.116926779265;0.9122700214469952;11339.871968678435;10479.010509485934;10573.661518204377;10168.994195182122;10977.60495432207;11095.13336841217;10792.267238910656;11318.94410796385;11247.770956754066;11170.41228091536;11127.09135887331;10215.529295039838;[-4716.7529686784355, -4449.050509485934, -4269.476518204377, -4502.865195182122, -4877.43795432207, -2672.6383684121683, -3304.573238910655, -3316.038107963849, -2710.8229567540657, -2109.24528091536, -1801.4713588733084, -1921.8292950398372];-2.0187510167914904;0.2784124301839861;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;False
1990-01_2022-02;2022-03_2023-02;PR;querosenedeaviacao;svr;{'C': 1000, 'epsilon': 0.5, 'gamma': 5, 'kernel': 'rbf'};12;12;4073.1773147685144;0.3322232208196817;63.63636363636363;35.13328526995407;64727.09532964421;inf;7417.600331787256;6529.988755853588;6609.9193952167625;6209.442379802678;7011.087272309066;7148.406357083206;6871.944495467971;7411.9987920424965;7309.407504956691;7205.733374764543;7181.133317537445;6328.463501407746;[2757.642668212744, 3977.7642441464122, 4783.818604783237, 4860.0296201973215, 5244.541727690935, 4407.4566429167935, 4824.638504532029, 4416.980207957503, 4660.7014950433095, 4087.996625235456, 1001.0726824625553, 59.39049859225452];-1.9729564749185127;0.29855514975741626;1;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;False
1990-01_2021-02;2021-03_2022-02;PR;querosenedeaviacao;svr;{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'};12;12;2146.287756710682;0.23044225952447586;72.72727272727273;16.34694717079073;25563.338226883385;0.3558946130204991;6006.207102415772;5144.585443371128;5172.540401023447;4768.759472408523;5559.022529542596;5679.799102241064;5397.73454279505;5888.295736174436;5761.316264725382;5654.245197095176;5614.711502298143;4779.934178729338;[-1193.8561024157725, -1707.8024433711284, -259.34340102344686, -251.6284724085226, -2.749529542596065, 293.9748977589361, 1019.4134572049497, 1333.7852638255645, 2764.8927352746186, 4106.696802904823, 4071.589497701856, 2610.3848212706625];-1.860264579557463;0.3509784443669376;1;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;False
1990-01_2020-02;2020-03_2021-02;PR;querosenedeaviacao;svr;{'C': 1, 'epsilon': 0.2, 'gamma': 0.005, 'kernel': 'rbf'};12;12;6514.9861877784015;2.324708008310492;54.54545454545455;-152.94105754800228;134834.4590519407;0.9414914591162936;10348.688661859665;9550.801193634368;9696.34467718519;9439.034065498714;10426.233255753263;10866.257385027257;10769.740213403733;11230.082729284772;10850.96746730179;10497.815407031392;10364.181244753401;9630.013848710423;[-3498.508661859665, -8080.019193634368, -7743.75367718519, -7424.046065498714, -8281.970255753262, -8540.788385027256, -7723.474213403733, -6377.326729284771, -5213.879467301791, -4560.943407031392, -3623.974244753401, -3708.598848710423];-1.8431900714007063;0.35923948539222295;1;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2019-02;2019-03_2020-02;PR;querosenedeaviacao;svr;{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'};12;12;1509.6892336436545;0.11032956737442501;54.54545454545455;-8.769293610713937;29788.596240634804;0.5135170511632727;11537.952213296443;10816.183808655956;10825.757599999806;10413.591804505086;11192.909245374016;11349.168797;11063.856563351137;11569.503554084557;11390.996949329681;11159.902177978167;10994.969898051948;10156.524363705554;[43.560786703557824, -196.57480865595608, -63.14859999980581, -424.4338045050863, 246.61175462598476, -1066.3947970000008, -2836.667563351137, -3425.768554084557, -2378.8279493296814, -632.5191779781671, 232.30310194805134, -178.35936370555282];-1.7632957944844025;0.39883046637539415;1;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2018-02;2018-03_2019-02;PR;querosenedeaviacao;svr;{'C': 100, 'epsilon': 0.5, 'gamma': 5, 'kernel': 'rbf'};12;12;5273.770691640849;0.49046942237172825;72.72727272727273;-48.46703617040005;63406.09734243122;3.077301061092347;16517.388531704477;15732.660517673523;15747.828993533305;15331.10563584954;16107.688723042866;16268.207777818881;15934.616341536053;16447.876742989825;16242.754728018896;16017.513982725075;16020.756649038836;15176.701442856436;[-5881.184531704477, -4513.433517673522, -5302.067993533305, -5572.538635849542, -5514.176723042865, -5390.064777818881, -5448.208341536054, -5890.565742989826, -6332.253728018895, -5394.428982725076, -3573.0736490388354, -3717.865442856437];-1.5904861846861846;0.48837085183852436;2;334;-3.450081345901191;-2.870232621465807;-2.571401168202517;False
1990-01_2017-02;2017-03_2018-02;PR;querosenedeaviacao;svr;{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'};12;12;2079.6947042785973;0.10703942876400403;72.72727272727273;-3.3899873302975663;24657.681008164585;0.2815884737022908;16397.433280694244;15670.13214945417;15667.994972970813;15248.023346265221;15958.133728759138;16129.743001461302;15843.18593140075;16364.879583657314;16101.062271625491;15853.173304461872;15845.05053334559;15077.34393472913;[588.1457193057577, -805.4011494541701, -259.0889729708124, -189.9913462652221, 1340.9522712408616, 535.3069985386974, 596.4760685992496, 172.1124163426848, 883.3247283745077, 594.9636955381266, -4503.219533345589, -5188.48793472913];-1.2465839168589739;0.6532425653396419;2;322;-3.4508226600665037;-2.870558121868621;-2.571574731684734;False
1990-01_2016-02;2016-03_2017-02;PR;querosenedeaviacao;svr;{'C': 10, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'rbf'};12;12;2657.2189378501384;0.16416006901364394;54.54545454545455;-15.71953780305918;52492.54937946214;0.5353823161075352;17974.906972116645;17383.925179908216;17427.592295946088;17015.713465785444;17700.90926152395;17847.213027807513;17506.072158053008;17996.0725841838;17700.695695599676;17491.453040656015;17438.98552195032;16724.307322921362;[-1596.481972116646, -2726.4781799082157, -3479.925295946088, -3841.615465785444, -3601.4622615239496, -3420.3980278075123, -2835.7221580530077, -3015.1085841837994, -1364.7566955996754, -650.4400406560162, -76.82752195031935, -1945.7733229213627];-1.0622814198463262;0.7298769621877484;2;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2015-02;2015-03_2016-02;PR;querosenedeaviacao;svr;{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'};12;12;3577.4659624029464;0.20738395281153318;63.63636363636363;-19.051042703085148;56655.00156894952;0.5382272492979296;20812.669496401704;20149.665400774178;20041.845298792974;19530.405082164794;20124.842699069926;20306.773518470978;19981.34144749867;20587.48111642195;20551.614280828628;20745.052755108998;21089.411487940928;20772.45571280889;[1202.3845035982959, -2794.146400774178, -3070.130298792974, -3715.337082164795, -3748.390699069927, -4266.829518470979, -3535.94244749867, -3442.9891164219516, -2957.4922808286283, -4296.371755108998, -3601.197487940928, -4930.437712808889];-0.3748796517722729;0.9142092448949699;2;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2014-02;2014-03_2015-02;PR;querosenedeaviacao;svr;{'C': 10, 'epsilon': 0.5, 'gamma': 1, 'kernel': 'rbf'};12;12;1444.0505990399413;0.06060072533960128;81.81818181818181;4.622008220085181;11407.320299324258;0.1313397156832285;19843.382218155028;19246.003219706767;19274.967192107044;18960.011125789268;19544.480319626364;19744.607848045835;19411.04132559445;19837.961021926116;19576.50821115506;19427.14342236121;19260.87711078743;18600.963304850953;[-833.5232181550273, 463.2927802932318, 583.9148078929575, -843.2151257892692, 1487.1806803736363, 1623.5291519541643, 1000.7026744055474, 2489.2939780738852, 2424.345788844941, 1417.1705776387898, 1746.8208892125695, -281.53930485095407];-0.44972774890612893;0.9014591166488977;2;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
