train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RJ;etanolhidratado;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;24573.061904932332;0.26917988804771964;90.9090909090909;30.32248993501576;99596.59901445705;0.9835608841292732;43639.33672227755;42354.119053293885;41894.05434803121;42555.92341496956;44179.440794367605;45859.669092537304;47542.114239095834;48712.40474591272;49835.13674928575;49848.44496041101;49421.906488358814;49005.82986657308;[5659.6202777224535, 4781.544946706112, 7044.320651968788, 7775.022585030441, 6335.590205632398, 14692.217907462698, 21772.239760904173, 22243.997254087284, 28014.808250714254, 44333.26103958899, 39952.29551164119, 38855.840133426915];-2.062283076928004;0.2599486009872771;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;RJ;etanolhidratado;svr;{'kernel': 'rbf', 'gamma': 'auto', 'C': 0.1};12;12;6386.031921612872;0.1075656050301111;63.63636363636363;3.841458919967735;100853.06264555649;inf;41708.723846240624;39694.13767321548;38993.78822879682;39916.76058540851;42221.88616491166;44569.68595983972;46980.0575352879;48885.8710201646;50619.39405332449;50926.37894247839;50244.37877704302;49411.334232666704;[13307.861153759375, 9273.411326784517, 5973.173771203183, 4193.549414591485, 7572.866835088338, 552.5370401602777, 620.1114647120994, 238.49897983539995, -6798.34505332449, -2426.375942478393, -6939.94477704302, -3828.0802326667035];-2.0475547555130857;0.26611881925826936;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;RJ;etanolhidratado;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;11156.344657734271;0.21570993028405405;54.54545454545455;0.14728717395345178;220629.89396017115;4.791846954278794;39543.43696125088;35302.30125903584;33455.58539031602;34804.346984610354;39049.05432389336;43896.97335023572;48849.235895124184;53144.665079867314;57319.01356241477;59023.411181364485;58312.82510202296;56549.12442941447;[12825.55803874912, 10745.982740964158, 14741.602609683985, 7247.393015389644, 11279.172676106638, 2459.716649764283, -1689.0288951241819, -1951.2640798673165, -11482.382562414772, -10235.581181364483, -19629.951102022955, -13486.299429414474];-1.8132605282651328;0.37389836625736733;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;RJ;etanolhidratado;svr;{'kernel': 'linear', 'gamma': 'auto', 'C': 1000};12;12;20009.229759851914;0.44585387529223897;45.45454545454545;-37.88753770863146;476469.0098059378;1.8590767823536316;46030.34160067585;63444.95326597705;65621.31929900071;65802.36992327249;66055.23548486759;65375.71467260101;65696.90127776402;65419.22129250435;65587.2905286233;65562.39015077683;66318.0804034913;65445.26363733991;[-7753.284600675848, -34894.55426597704, -34020.4542990007, -28611.04192327249, -20515.63948486759, -17262.98567260101, -13781.723277764017, -6550.6722925043505, -15077.0575286233, -7579.303150776832, -9673.8794034913, -14852.88363733991];-2.028526681926703;0.27420688096077217;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;RJ;etanolhidratado;svr;{'C': 1000, 'gamma': 'auto', 'kernel': 'rbf'};12;12;12332.696899301709;0.14811570425831636;63.63636363636363;0.5099356756301746;194982.91659820452;0.5273610666774236;25360.634524590703;56581.51682793488;57624.4663287925;67006.8108717096;80332.99054257513;69926.70543203295;66175.24342406853;67513.64742917345;70528.04524827027;64370.139675220365;78617.43637839575;65790.38183063536;[32146.2674754093, 3335.9001720651213, 11169.932671207505, -493.7238717096043, -8323.027542575132, -4578.152432032948, -3415.165424068524, 1644.1845708265464, -6813.702248270267, 8485.780324779633, -16324.219378395755, -12888.325830635367];-1.8109305020792528;0.3750486647784209;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;RJ;etanolhidratado;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;27487.780772214148;0.37042593092333936;63.63636363636363;38.42671063736772;437235.1478578434;1.2382142371139493;35771.84751917087;32786.73814094871;31260.597961803156;31808.340933727155;34508.84120224754;37876.05428395611;41558.86733341058;44744.21409004289;47846.3111685324;49422.26065716613;49761.00381405988;49807.48860114034;[13250.58848082913, 12040.15285905129, 13857.776038196847, 20213.584066272848, 22937.795797752464, 33259.71771604389, 33574.14666658942, 39436.48790995711, 31348.746831467608, 45269.41734283387, 24152.328185940118, 14681.844398859655];-1.8731220144230485;0.344809057721884;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;RJ;etanolhidratado;svr;{'kernel': 'rbf', 'gamma': 'scale', 'C': 0.1};12;12;5600.31369965663;0.09818227206651776;63.63636363636363;10.105297460005618;88421.71017386888;0.5609101165890236;33050.61303414206;30974.804062027204;30392.407419511932;31390.384397262846;33860.47746033533;36478.98642481343;39198.09520594087;41338.10322934187;43477.49617406445;44484.26641973799;44779.65561192902;45049.401769352306;[848.3989658579449, 1598.3549379727956, 2480.3145804880696, 2065.061602737158, 1147.522539664671, 8688.013575186567, 7569.877794059132, 7366.715770658135, 4311.801825935552, 11262.880580262005, 5178.419388070979, -1428.6787693523074];-1.8957914383410839;0.3340435338052756;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;RJ;etanolhidratado;svr;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;15679.305196941797;0.3832063006520232;45.45454545454545;-35.627674575639524;372938.31214288005;1.5173409264196718;48637.01392008926;46872.77590552124;46060.56137014045;46499.94749353885;48270.649370246196;50255.9306945933;52329.48441578484;53998.47802215009;55828.66763293759;56940.47361264294;57654.7350378329;58234.32291994039;[-8442.511920089259, -7426.775905521237, -5403.568370140449, -7299.393493538853, -6976.622370246194, -8366.282694593297, -9707.43841578484, -14849.808022150093, -22873.14463293759, -17825.72861264294, -25865.2500378329, -28245.477919940386];-1.866843119103462;0.3478162459430008;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;RJ;etanolhidratado;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;9798.797779864915;0.16606199716394734;63.63636363636363;10.34494519611872;154998.2674804371;1.1945450128121633;46528.261320355785;45283.77681708731;44624.61039838747;44829.74230894178;45914.76464908808;47204.65309181893;48550.62598098387;49634.74166352577;50784.244103341945;51498.81360310552;51964.99145442969;52306.68125374269;[9520.984679644214, 11403.917182912694, 7636.295601612532, 7810.365691058221, 10225.289350911917, 10348.306908181068, 9978.345019016131, 16902.43233647423, -231.8831033419483, 3215.1903968944825, -8385.991454429692, -11600.18525374269];-1.843414559487936;0.3591303806203109;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;RJ;etanolhidratado;svr;{'C': 1000, 'gamma': 'scale', 'kernel': 'rbf'};12;12;8480.85189566521;0.14500690988094603;27.272727272727273;-4.343101771355197;267614.6482648888;2.1459683210125657;32177.765525356474;44797.01787807194;48276.89496427931;51516.063965700465;58983.18930806651;56543.86152529772;55051.06399657605;50731.16160157377;52002.28523815308;47262.29403349056;55070.74979206252;50942.27441428007;[16867.256474643524, 3549.3961219280536, -574.2519642793122, -7656.896965700464, -13531.86530806651, -11311.584525297716, -8765.028996576046, -2129.0856015737663, -6404.3982381530805, 8204.205966509442, -1114.4967920625204, -2246.846414280073];-1.7082011224079403;0.42689204259894775;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
