train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AP;querosenedeaviacao;svr;{'kernel': 'rbf', 'gamma': 'scale', 'C': 100};12;12;141.13915770570406;0.2253047230479449;45.45454545454545;11.916637916700257;3352.63902684924;0.8910399607563986;98.56401386241151;275.9747158326485;322.3919883066522;356.89655155639326;411.31696945381145;368.5358239510108;373.56036992134045;348.18943701748435;373.97785829144925;338.6379057353498;436.4196173898102;368.59749477550156;[375.8639861375885, 108.47628416735154, 62.99001169334781, -13.359551556393285, -61.47696945381148, 9.629176048989223, -92.45536992134043, -11.29243701748436, 244.14814170855072, 47.78009426465019, -71.9816173898102, -47.28449477550157];-2.891214468801612;0.046379215152063585;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;True
1990-01_2022-02;2022-03_2023-02;AP;querosenedeaviacao;svr;{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;84.8103190189858;0.15477152048597645;63.63636363636363;10.300534066563108;1343.5370361753412;inf;129.5411606613693;205.5205340094317;284.96926768067345;326.4906683166719;366.53229050303844;359.6633326112902;372.16380593923947;338.8750460030566;352.6951499205413;319.6467357931853;418.8622547387857;383.26135414581364;[206.33983933863067, -0.8575340094317028, -27.36726768067348, -68.80066831667187, 47.067709496961584, 1.2376673887098377, 7.50219406076053, 61.48995399694343, 9.761850079458668, 164.00826420681466, 67.6797452612143, -25.007354145813622];-2.9669861490766767;0.03809462477243794;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;True
1990-01_2021-02;2021-03_2022-02;AP;querosenedeaviacao;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'};12;12;97.00795662042665;0.2207139711369425;72.72727272727273;1.842557902839987;1157.487131348842;1.726936158897975;81.32470057057868;278.49990623427766;306.1568286718507;288.52654067125326;311.2756452218739;331.83746548230084;338.9497832712135;353.36504299488035;388.17832333719986;409.11467834713534;393.1844164401072;387.6367449288536;[279.66729942942135, -110.93490623427766, -67.06082867185069, -8.17354067125325, -10.014645221873877, -29.38046548230085, 4.6772167287865045, 44.134957005119645, -43.44732333719986, 52.382321652864675, 49.32658355989281, -88.56774492885359];-2.9496297450328712;0.03987366466282904;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;True
1990-01_2020-02;2020-03_2021-02;AP;querosenedeaviacao;svr;{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'};12;12;182.41519313554744;0.3489642456466395;54.54545454545455;33.28302859795291;3624.8004574250904;1.3760728151857502;72.70437712302164;108.77041406111928;172.7342381258715;204.20646240780655;245.45556281936626;251.89501962169157;287.7870253111584;278.9945755715274;276.6465188407903;232.32437204691436;328.66420156075486;316.2453317455956;[224.55862287697835, 23.80758593888072, -62.19823812587151, -21.31046240780657, -40.009562819366266, 12.020980378308423, 74.83697468884162, 288.4974244284726, 362.3584811592097, 309.29262795308557, 149.70279843924516, 63.51666825440441];-2.660851068762507;0.08106116930566548;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;AP;querosenedeaviacao;svr;{'C': 10, 'gamma': 'auto', 'kernel': 'linear'};12;12;154.89032039111515;0.47018291762089337;45.45454545454545;49.8345656156609;3700.9751749726524;1.1226647678853365;37.132534398907254;123.68037345346667;135.82104668170854;123.97005433882057;127.98182233002328;137.76886228519786;142.03318488192528;132.47439078238048;128.1947897987343;142.46957936845618;147.6841212429664;135.50593737493324;[184.48246560109277, 21.33562654653332, 16.58495331829147, -33.29505433882058, 169.76817766997672, 67.03213771480213, 104.73581511807473, 169.94560921761953, 293.1612102012657, 215.73142063154384, 184.9438787570336, 110.30006262506677];-3.149480293480258;0.023101604183028427;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;True
1990-01_2018-02;2018-03_2019-02;AP;querosenedeaviacao;svr;{'kernel': 'linear', 'gamma': 'scale', 'C': 1};12;12;285.7565661169678;2.7164082426502705;63.63636363636363;-217.1358558465167;4878.389442753098;1.1488542194527314;118.0918962889711;399.44800690991366;425.7917776439877;415.45046914979633;422.8350099050949;428.9882998845642;425.8311494562435;413.15072681059013;427.05129354660266;448.3180083822875;430.2875259519978;364.752205804828;[-36.122896288971106, -286.72400690991367, -318.41777764398773, -292.0494691497963, -302.9130099050949, -289.5982998845642, -350.3601494562435, -358.21472681059015, -343.51429354660263, -338.8030083822875, -174.8135259519978, -140.145205804828];-3.3792037329039193;0.011688577237559238;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;True
1990-01_2017-02;2017-03_2018-02;AP;querosenedeaviacao;svr;{'C': 1000, 'gamma': 'scale', 'kernel': 'rbf'};12;12;198.09088749928065;1.0735402200035173;27.272727272727273;-18.767555771375726;6364.136717164597;0.858302837984732;261.0394623267454;413.89772284559626;482.3513177511526;512.8385228060446;556.8788842055449;478.9813572999405;504.0231877258839;502.6314697735793;494.9359260311498;473.9553886826284;551.8033489872546;504.5330617777985;[161.19353767325458, 30.774277154403762, -71.14431775115258, -141.5445228060446, -38.805884205544885, 46.850642700059495, -65.2721877258839, -56.05946977357928, 21.402073968850175, 97.68761131737165, -453.5233489872546, -438.2520617777985];-2.077349312923684;0.2537195439032762;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;AP;querosenedeaviacao;svr;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};12;12;117.79877143493387;0.16572282486348447;81.81818181818181;18.529258170416306;937.1827845283985;0.6624142519540496;390.6005868306342;382.5526144807746;380.52572071293133;375.73016538720964;379.5642246484891;383.95675864287017;389.4087716180816;399.3496199193151;415.9844101631377;433.8043764844118;456.5335127376772;477.1758987968803;[173.6494131693658, 30.561385519225382, 24.582279287068673, 19.25183461279039, 60.75377535151091, 3.329241357129831, 44.174228381918454, 119.1453800806849, 145.2805898368623, 211.32362351558822, 211.9904872623228, 62.46910120311969];-3.1351356596789928;0.02405991704564421;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;True
1990-01_2015-02;2015-03_2016-02;AP;querosenedeaviacao;svr;{'C': 1, 'gamma': 'auto', 'kernel': 'linear'};12;12;94.34989498896678;0.21449796706800708;63.63636363636363;-12.99621808093667;1497.7662796990135;0.9378490276379745;288.19087677163105;469.24916222098176;491.32933615345075;486.24260312789613;493.2224410559554;490.7457138916023;491.3992283992543;480.3714538205259;484.96782703594033;507.1453188346035;491.65581868414426;500.7638614928333;[135.09712322836896, -128.40116222098175, 41.045663846549246, -138.1356031278961, -38.44044105595543, -45.4497138916023, -61.0962283992543, -1.8454538205259041, -118.69682703594032, -85.60131883460349, -118.18381868414428, -93.03286149283332];-2.5476615567442216;0.10430407943735015;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;AP;querosenedeaviacao;svr;{'C': 1000, 'gamma': 'scale', 'kernel': 'rbf'};12;12;180.448519287198;0.31492121218528424;54.54545454545455;32.59526777271432;3582.464376756398;1.2033096468977524;166.76476576767718;274.84703201570215;342.8386485420555;353.90306768441457;400.1181239256213;324.6998932520083;354.15121199123445;339.4013522811763;345.8719745547873;329.46381242796156;401.55171076228777;341.82986526652115;[254.24223423232283, 204.68996798429782, 142.9753514579445, 72.69193231558546, 85.6938760743787, 187.8921067479917, 25.00278800876555, 116.19964771882371, 300.4010254452127, 263.8991875720385, 187.7962892377122, 80.94113473347886];-2.5864177593504736;0.09583705895519634;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
