train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RS;etanolhidratado;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3250.926943164963;0.3951224311945396;72.72727272727273;43.85726706407951;38952.495100802436;0.9027928876807283;3827.421451244224;2393.3423511673836;1850.7024386822036;2446.960108674158;2878.8038174311587;3290.730670943551;3344.1911291893343;4121.377665666467;2515.096466396355;5118.21669611845;3997.858454587933;2443.392574845462;[-449.077451244224, 548.8396488326161, 1035.1245613177966, 1435.3298913258418, 895.4411825688412, 2111.868329056449, 2342.917870810666, 1930.259334333533, 3950.429533603645, 3260.475303881549, 5881.549545412066, 6919.651425154538];-1.9184804492319012;0.32341788694539153;10;386;-3.447405233596701;-2.8690569369014605;-2.5707743450830893;False
1990-01_2022-02;2022-03_2023-02;RS;etanolhidratado;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2086.615144480376;0.6617323378145045;63.63636363636363;-57.760842607368815;33463.982863034274;inf;1738.4399630004973;3433.230454131899;4845.492653776225;5921.399147616099;5718.5900478707035;4653.784724955955;3642.329915760043;4785.581740819012;3603.387441129136;6760.473175245908;5566.920779016939;2997.122097082833;[1396.7170369995029, -1207.8964541318992, -2435.1836537762247, -2863.861147616099, -3158.1120478707035, -1990.6877249559552, -949.5309157600432, -2084.0357408190125, -854.5904411291358, -3016.9741752459086, -2383.6717790169396, -101.135097082833];-1.8512484426755065;0.3553311411923496;10;374;-3.4479562840494475;-2.869299109917524;-2.57090345105665;False
1990-01_2021-02;2021-03_2022-02;RS;etanolhidratado;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2923.440873334917;0.9777930093190627;63.63636363636363;-92.1342236083647;47285.427423612484;6.802343890027178;3093.9565318669365;3419.9151614867433;4090.4461890113616;4830.339812439622;5668.906652793599;5928.947458845747;6211.91993739578;7563.386765613393;5315.634826869835;7419.67636017107;4698.997139609064;1620.1149021699198;[-102.0975318669366, -1189.2081614867434, -1478.9691890113618, -1869.8298124396215, -2560.131652793599, -3357.143458845747, -3622.04793739578, -5248.454765613394, -3042.865826869835, -4901.5223601710695, -1847.124139609064, 513.62309783008];-1.944264066464328;0.3115327760182268;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;RS;etanolhidratado;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1864.8773444504238;0.638097457100894;63.63636363636363;-47.37511346679362;29889.52388835781;3.256293359892397;3734.8167419876745;4157.263090014597;3500.2691015780956;3856.5962151007125;4316.520403679708;4296.489852362407;3821.6547878222073;5714.269638401949;4382.690734802564;7316.688020520469;4856.737875511662;2345.5288145784075;[-1132.0997419876744, -2607.6370900145967, -1673.4551015780955, -1424.4202151007125, -1046.8484036797076, -1363.619852362407, -941.240787822207, -2569.695638401949, -1568.977734802564, -3404.362020520469, -936.8698755116625, 1857.0531854215928];-1.869543487273153;0.34652161935512327;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;RS;etanolhidratado;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1966.2465271101164;0.39334360483229186;72.72727272727273;-35.974603675150554;23559.80686170456;1.1537146349986165;5276.980124450902;5343.66465113597;6382.677550523639;6867.886115164402;7107.611691993796;6763.443787377999;5968.138775850913;6859.056470819425;4425.138803112413;7722.730560728316;4505.8098261257555;2562.963353834098;[-970.6971244509014, -651.0206511359702, -2080.7335505236388, -2935.9461151644023, -2602.577691993796, -2807.713787377999, -2164.1937758509125, -2577.3354708194256, 214.0921968875864, -2423.961560728316, 146.81117387424456, 390.068646165902];-1.8832770188413257;0.3399685586706286;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;RS;etanolhidratado;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1899.8881388330951;0.26080269329804223;72.72727272727273;-20.993934832821427;22654.245869157152;0.5049177646714553;3724.6457031106793;4883.852415780708;6857.200892136261;7555.625131484552;8601.076050640704;8773.513992406542;8310.200255725433;9067.544123184298;6693.2313597239645;10083.202702036499;5623.829744677822;2857.031694946858;[147.72529688932082, -757.1674157807074, -2360.8268921362614, 290.83186851544815, -2621.093050640704, -2543.529992406542, -1584.7452557254328, -1312.6631231842975, -241.6123597239648, -4262.054702036498, -256.41374467782225, 1094.6583050531422];-1.8613958347620763;0.3504338380772518;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;RS;etanolhidratado;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1721.4939658397159;0.325009831603768;45.45454545454545;-21.270511545728123;40909.69822770422;0.7646923313676656;2667.821115801191;4182.338843323367;5826.197002600695;6125.753530773366;6729.560897541283;6370.644951639422;5610.700811390638;6629.403860348295;4839.7316087678255;9399.484069342925;6254.517377361034;4739.698077734684;[1385.1888841988093, -840.2188433233669, -1840.6470026006946, -2319.603530773366, -2746.1408975412833, -1334.2449516394227, -53.90781139063802, -1619.0608603482951, 1397.1493912321748, -3110.0930693429254, -479.13337736103404, -607.620077734684];-1.7221158851189835;0.41975523492965783;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;RS;etanolhidratado;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5582.879565020375;1.0827360792222147;63.63636363636363;-102.96771094775534;90542.07249696608;2.250889228866656;9482.73645973708;10096.950993368606;11532.280502182613;11687.871815333712;11315.544898827011;10057.68662342722;9064.615696431505;10113.075023290741;9018.216136033992;14339.926333173325;11096.510627782294;9455.800391358347;[-3525.6504597370795, -4133.769993368606, -5364.110502182613, -6307.3018153337125, -5846.554898827011, -3855.2866234272205, -3573.705696431505, -5344.225023290741, -4751.646136033993, -8737.836333173325, -7091.500627782294, -6029.400391358347];-1.8291892610114644;0.36606932529898006;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;RS;etanolhidratado;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4545.342831999309;0.30521533936518075;63.63636363636363;15.561401109287221;72176.11642385466;0.38153302606624556;15105.033332770949;11767.774547854326;9188.91254720479;7288.102780122505;8272.708524506546;9023.80401332604;10150.124734266934;13100.406103938483;11481.716594540098;15412.820451003361;11807.487761873028;8402.659351428654;[77.99666722905204, 1168.7574521456736, 4296.637452795208, 8081.043219877496, 6647.483475493453, 6349.647986673959, 5852.339265733066, 2704.250896061516, -1224.678594540097, -3254.6694510033612, -4529.248761873028, -2026.9553514286545];-1.9741212309381257;0.2980340191577975;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;RS;etanolhidratado;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2902.804266565227;0.2726419848240001;63.63636363636363;-10.30296065788991;46054.304046770645;0.3664213994137821;10789.155134994426;10192.215290188937;10276.49309011573;10059.226010120037;11775.050112639705;12034.91425935789;11476.917467044503;12564.48396007547;9802.427857968847;13992.199268781358;10420.786530552805;7895.0979591008945;[-2598.4001349944256, -1729.940290188937, -1666.4350901157286, -2210.586010120037, -3537.5041126397045, -3789.0702593578917, -2903.998467044503, -2771.2739600754703, 1615.849142031153, -496.6282687813582, 2009.6734694471943, 5816.068040899105];-1.864130625978624;0.3491186822264203;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
1990-01_2013-02;2013-03_2014-02;RS;etanolhidratado;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4610.776275944796;0.4446052089359361;63.63636363636363;-36.93974937107465;73495.56392449602;0.6051089728189039;8159.5700206808415;9654.304206320021;12137.245932750408;13426.788491593836;15331.045006964861;15598.116590512156;14852.514673344109;15502.105447902759;12535.796938409912;16332.455590119105;11524.635266685003;8146.532208165444;[945.7599793191584, -1049.054206320021, -3073.3359327504077, -5279.638491593836, -6948.234006964862, -7431.826590512156, -6631.30467334411, -6214.193447902759, -3494.4939384099125, -3676.4305901191055, -420.6252666850032, 1947.095741834556];-1.8124906926653588;0.3742782813318334;16;260;-3.4557539868570775;-2.8727214497041422;-2.572728476331361;False
