train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PB;gasolinac;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10747.367086114873;0.14729365483232146;63.63636363636363;14.411675402534128;169914.93060513146;1.8711400608897075;64984.254209054234;52966.776493938196;50028.279265529854;47164.86391345182;49732.691558548584;51453.70235826822;54286.771795977715;55217.99468027506;56683.305322053704;59692.4251007887;53633.7775076004;50782.26108305529;[-2102.5642090542315, 5822.968506061807, 18353.76073447014, 18216.786086548178, 13779.418441451417, 13189.827641731776, 6845.796204022285, 7366.235319724947, 4530.224677946295, 6745.8248992113, 11057.602492399594, 5075.5579169447155];-1.9120723063838032;0.3264034028264008;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;False
1990-01_2022-02;2022-03_2023-02;PB;gasolinac;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7403.190245768032;0.09381560931428003;63.63636363636363;8.240002561667655;116872.23454803618;inf;54060.05719472298;51698.246734128115;55534.11709224891;56660.79485928163;58743.63645816343;56217.042890453326;57293.3521808647;56046.77695576174;54948.385640359884;56703.76201106186;51978.599778839874;50534.86426155118;[-2246.5791947229736, 368.9732658718858, -421.0870922489121, -3249.46485928163, 2496.937541836567, 9251.157109546672, 5972.1378191353, 6568.8830442382605, 3883.4063596401174, 14140.237988938141, 12285.720221160125, 10255.035738448823];-2.0781358706941084;0.2533966648005207;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;False
1990-01_2021-02;2021-03_2022-02;PB;gasolinac;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3667.910715110949;0.059347803679867916;54.54545454545455;5.336907679674825;72288.69687288109;0.6623478927899525;49137.45200553268;50180.80332550333;48960.18835213446;52041.07375128883;56356.4344394488;56429.513429093604;53781.83362954231;54142.884553626754;50714.43464864837;57234.64573469123;49776.385275863606;50188.8083090875;[-759.7020055326793, -1667.4483255033265, 4253.58164786554, 4141.0762487111715, 3715.908560551201, 2774.0915709063993, 5941.126370457692, 4471.816446373246, 3748.105351351631, 4652.324265308773, 2984.164724136397, 1203.5316909124958];-2.1390952239935204;0.2290874487444231;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2020-02;2020-03_2021-02;PB;gasolinac;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9514.859276884968;0.16749919797901677;54.54545454545455;-13.49392981027589;187968.62648117435;0.9266641029803918;55278.35256341244;57765.24070437848;57966.18499990305;59046.5951661698;61638.846108186044;61235.68650715269;58223.496313788986;57875.12135178296;58126.2430433253;60224.4669928424;58570.30398937528;56538.83213568563;[-8590.242563412437, -16307.409704378479, -15850.612999903053, -14087.1771661698, -9446.576108186047, -8457.770507152694, -3215.4963137889863, 2847.565648217038, -209.7230433253062, 2075.638007157606, -1782.133989375281, -10498.96213568563];-1.8436394450094233;0.3590210956530613;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;PB;gasolinac;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2985.755923624151;0.0462632934344633;72.72727272727273;3.240023436544489;35320.45622453134;0.44640051030514283;47626.245585750046;50074.198658788504;52885.760133255986;53687.32876188301;54084.28641680471;55045.837761307026;52809.25853967673;53865.53128140361;54256.6109171786;56562.7762441056;55667.693702322846;53182.93251359536;[4578.734414249957, 6042.031341211499, 2875.959866744015, -1298.8387618830093, 2221.253583195292, 1276.1242386929734, 1894.7464603232656, 4403.628718596396, 853.9790828213954, 1905.7737558944063, -1881.5697023228422, -1449.74251359536];-1.5921070266310777;0.487557203022486;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;PB;gasolinac;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4894.036224217707;0.0833747573660965;81.81818181818181;-7.275611432190092;38707.88521361749;0.43583605576985573;60405.85843041384;55112.74512688089;56424.58331769329;56161.86129844371;54207.42836646511;55840.746754224645;55491.88055329911;55969.56843614798;55642.78532072999;58532.93980019937;54740.46927500713;53350.07692739497;[-1992.4704304138431, 1191.5608731191096, -2563.6853176932855, -3995.5322984437153, -674.3483664651067, 1103.7372457753518, -6327.818553299112, -6238.228436147983, -8761.768320729992, -6660.55380019937, -4606.565275007131, -6042.4169273949665];-1.1782026880338075;0.6829013875109056;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;PB;gasolinac;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2509.2074199057274;0.03334761378190596;72.72727272727273;-0.3447724131922892;29668.954381141084;0.3339967606566912;59264.65295938341;58266.06030441472;59062.04249297879;59193.16143542586;58180.03777498865;59288.63243420602;59359.481155422975;58798.79459065999;59268.88673825659;61745.737192077875;60093.82392535847;57674.463154986486;[1842.2970406165841, -1130.8523044147223, 1351.9875070212074, 2728.458564574139, -437.5677749886454, 1598.3375657939832, -1549.1711554229769, 587.8174093400085, -659.4637382565852, 2079.5008079221225, -1957.6529253584667, -6893.83715498649];-0.8772437870658877;0.7953739731549185;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;PB;gasolinac;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5924.012846305413;0.09525942370838782;72.72727272727273;9.624901484611001;70204.7402606445;1.3367010502726149;53784.52662924907;52759.402501268414;51434.32272837396;51847.60608235457;51819.01304498597;51709.16029237149;53093.40530773679;53173.79638168971;52557.588604983146;55191.397796078745;54357.60566649792;52015.81086702545;[4310.603370750927, 2625.3974987315887, 5055.769271626035, 6589.6839176454305, 5980.714955014031, 8128.219707628508, 7132.671692263204, 5746.263618310288, 5142.781395016857, 8971.662203921253, 5228.254333502082, 2581.349132974552];-0.8744383087940797;0.7962736718596539;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;PB;gasolinac;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3022.3989767623348;0.04126308891297459;63.63636363636363;0.39136198209497847;47645.093976020275;0.3765359556283341;60564.20945972796;57218.33297475215;53706.99728507211;52386.68813202058;51979.16979179736;52591.19009584108;53429.57008094081;55375.69274311267;54519.16380099581;58008.101714303055;54865.27864964613;51605.519707862506;[-7868.3704597279575, -2588.540974752148, -1211.7172850721108, 3026.8918679794224, 3696.2522082026408, 1228.9129041589258, 2179.354919059195, 2953.2642568873343, -558.1238009958106, 655.5682856969433, 71.77135035387619, 993.1402921374975];-0.5104565006267408;0.8899597773199839;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;PB;gasolinac;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8522.44562624562;0.13222568325791764;72.72727272727273;12.701809640729106;101134.80502054197;1.6706204876969046;57420.41829917271;52730.773541664115;48800.8304199618;46827.767957477095;47307.943521993126;48417.17381825943;48960.94694759675;50079.25381125663;49900.945704153244;51720.42828290424;49768.05299585766;48015.06274835923;[-2894.9482991727054, 5122.146458335883, 7991.646580038199, 8023.315042522903, 9284.420478006876, 7984.696181740575, 10314.293052403249, 12097.896188743369, 5370.381295846753, 10677.265717095761, 12762.08700414234, 558.9372516407675];-0.2979059419553457;0.9258003903202264;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
