train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RJ;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5304.884260993202;0.06139829487841828;90.9090909090909;-6.16840960912849;21023.84469184617;1.1045244918637325;78842.48773360004;77352.36437685456;85600.22191815954;87333.5587061363;88853.97434221923;89346.20870720306;83409.88156689462;83953.89938260912;81214.06649516696;86073.51322842589;74465.59927281417;72269.97452866522;[-415.7178036000405, -1072.4911868545605, -6823.669378159539, -5223.964506136297, -6077.023252219224, -6704.946027203056, -7685.095336894621, -5929.46279260912, -6321.383525166966, -5018.574818425885, -2031.169922814166, -4141.119458665213];-2.0505489955428913;0.2648580046790213;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;RJ;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3466.5135677893695;0.03442894105057442;81.81818181818181;-3.095590375036886;27343.66690216037;inf;83022.36792210554;80468.90696819851;85593.13905213974;87870.8834066006;89554.92496186307;89851.24323382783;85323.20586638254;86207.19264491976;83606.75185782142;88643.82140601322;77410.55528509147;75045.82425416302;[-3055.166832105533, -4289.551898198508, -655.0068021397456, -663.5174666005914, -6067.991991863077, -859.478743827829, -667.2257963825396, -2902.1038749197614, -932.3333778214292, 735.0952639867901, -3688.2328250914725, -7359.192004163022];-1.9421811428159712;0.3124852029081833;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;RJ;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1945.4930763049063;0.01831723734405989;72.72727272727273;0.3132529691529534;22990.82573175897;0.47942032559436626;82437.83795072517;81637.7800082566;85423.52440632123;88282.87488357675;91661.94373841304;90351.30067122728;86714.81057297606;86460.76927154858;82420.35450520966;87910.29302379608;76350.4324542162;73873.812838649;[723.4700192748278, 1775.846801743406, -834.8070163212251, 2934.5743964232533, 2724.179451586955, 6.681208772730315, -1821.502602976063, -950.2348515485792, -97.49762520965305, 2245.313856203924, -3944.7730342162104, 423.6255713510036];-1.950907931232595;0.30850405862822955;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;RJ;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3636.5727333718523;0.03175456922147179;81.81818181818181;0.12680101619905665;28680.838536928484;0.8093311034847968;79654.35921865351;82319.52220567637;85996.53997678576;86849.07083141901;91276.99118176641;90445.61444212658;85963.55648548863;87282.41016508499;82172.27413823028;86588.7662980261;76640.95144175286;72624.24838383403;[9978.090061346491, 2757.231414323629, -1520.3914267857617, -1156.8788014190068, -962.9640117664094, -1231.3879921265761, -3286.3064854886325, -1371.3703050849872, -1337.2415282302827, 4074.5869619739096, -3653.1199217528483, -1010.7067138340208];-1.9094626143905307;0.32762277615871627;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;RJ;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2436.586793476619;0.02220531378520948;81.81818181818181;-0.9161950681448721;19206.749064463867;0.6290075175793226;79098.38158030855;79823.69543041916;86743.86464560812;86244.80741250524;90137.47634344663;90774.57228174644;84516.88602691639;86620.2444280465;82810.25003690693;85835.45593221312;76370.98814416907;73057.431068371;[-2105.9739703085506, -106.87297041916463, -2316.203415608121, -5432.644372505238, 1133.7772765533737, -550.5596017464413, -1976.3497969163873, -312.32413804650423, -16.773586906929268, 4273.160007786879, -2665.892134169073, 979.418571628994];-1.9205391679942865;0.3224613774279555;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;RJ;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2120.467478399627;0.016374800774958967;72.72727272727273;-1.0574248415061815;25056.756329345084;0.5163847983763455;80850.26662981158;81256.28426017644;89218.36319482372;87857.15777127245;90458.16575085871;91437.10814968905;85235.5397648116;86573.0344542397;83060.05532852937;85633.9450255637;75754.76331681896;73419.21997939095;[756.7623601884261, -248.9599801764416, -409.3179048237216, -1915.7882012724585, -5698.1621308587055, 276.565760310943, -1298.7100548115995, 697.423875760287, 110.32692147062335, 892.0767144362908, -3735.982516818971, -2.363099390946445];-1.8309318159058325;0.3652166016585078;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;RJ;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2628.5709524040485;0.02265322111599384;72.72727272727273;0.6234152744439652;31067.995437484;0.6187240886901079;80075.03187817975;78328.24270625124;85856.95066607387;87770.06216370888;90286.26113477132;91854.22475510294;86386.09762976003;86758.4822641237;83991.23618660097;87557.3211429589;76809.45037881148;73796.00747920421;[6036.236281820253, 246.35330374875048, 3666.331943926125, 1187.292906291128, -167.7031647713302, 1561.5042448970635, 797.5223802399705, -4660.703564123702, -1400.9660766009765, 1231.9756570410973, -1758.9920488114876, -406.18682920422];-1.8549833810568386;0.35352542502009465;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;RJ;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2232.9427331643105;0.021784150265399274;90.9090909090909;-0.4683135610093111;8811.08110451169;0.9781311104511661;80853.87723644794;79380.91468460839;84328.3341511368;88185.46891400007;89236.81361090018;89832.81099821269;86500.30676894498;86145.31523865947;82549.96592921017;87375.46409325984;76554.59724923705;73657.66534642449;[197.24051355206757, -1231.5288146083913, 2082.443018863196, 1558.4459459999343, -126.63607090017467, 1393.6219717873028, -159.5458989449835, -2478.86233865947, 403.72610078983416, 2351.823946740158, -4529.54652923705, -4143.937086424485];-1.7716649456466307;0.3946172034995117;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;RJ;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2688.7463258811877;0.02727794647997292;81.81818181818181;-1.0697745881136023;21200.360893553934;0.6468056959564686;81318.11504918651;81576.06815255179;85670.949552993;89518.55778804686;91342.84924850821;89506.17974930341;87071.37426697674;86247.12104120389;81494.86903277821;86621.19781412082;75839.95630563592;72041.8564004774;[-356.48642918650876, 1402.1148174482078, -5061.224912992999, 1391.5110519531445, 1246.1616214917885, -1660.6815593034116, -484.4086869767343, -5021.1772012038855, -3455.2023627782037, 2532.939865879176, -2635.9907256359147, 1430.6164295226044];-1.7153894007783574;0.42320134545629023;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;RJ;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3519.8104587688736;0.036404447891947765;90.9090909090909;0.07181127896602162;13911.288483919103;0.79062981793828;80231.50862660845;80882.41904974454;84777.15309606821;86282.4087199323;89376.16401176757;88344.27956948928;85703.46716926048;87897.90988656154;83343.07379748659;88939.19421345914;79961.70906111736;75848.62430480288;[-2633.309346608454, 558.8164602554607, 4088.9972639317857, -1140.6713999322965, 5403.192868232436, 2921.4142705107224, 2603.3154407395195, 914.2205434384668, -2958.4379274865933, 1877.836586540856, -7226.712681117366, -3681.7058248028916];-1.653188530127836;0.4553780466352985;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
1990-01_2013-02;2013-03_2014-02;RJ;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3089.6098230322887;0.0286578280104786;72.72727272727273;1.7390543926718294;36525.231591712385;0.7429875343773513;78470.16910620904;78038.22943823821;85435.58842867926;86491.37764333046;89290.30372192735;88026.19669592049;83386.6880815505;85233.42810164845;80922.37888249;85132.99832776473;76242.7019174873;71893.58918247162;[-1161.2651162090333, 5668.198571761794, -328.6901686792553, -2596.000683330465, 2459.9263480726513, 5325.995334079518, -135.8040215505025, 4367.694428351548, 2098.8573875099974, 3575.655472235274, -1873.9627874872967, 95.3184275283711];-1.7625843227056321;0.399189288327788;16;260;-3.4557539868570775;-2.8727214497041422;-2.572728476331361;False
