train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SE;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;538.8539069261285;0.037540107369629365;81.81818181818181;3.55321876202489;4251.429100831422;0.5209641346627304;12670.158366954858;11576.061462007043;11576.462511305412;11442.536932097844;11943.22225159545;12286.237859869821;11732.700816018145;11767.875421381561;11339.573536795442;11429.52447435099;10654.906750782437;10091.259147334957;[758.4919930451415, 345.4095479929565, 572.8943686945877, 861.1206779021559, 31.493328404549175, 388.35272013017857, -153.82762601814466, 252.5539286184394, 184.48443320455772, 246.28711564900914, 1008.9609992175629, 606.6774426650427];-0.8079433940721226;0.8167776126286509;8;388;-3.4473167281607155;-2.869018036958473;-2.5707536074503134;False
1990-01_2022-02;2022-03_2023-02;SE;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1457.6182330490585;0.11206750979082071;90.9090909090909;11.480812338945755;5809.058210831718;inf;10118.956405436507;9857.656322753035;10209.382066666547;10270.778132421916;10640.964736578459;10727.92777945667;10442.558412077035;10645.86718148468;10383.763980033402;10738.287704156868;9989.01807385994;9438.47878198514;[1029.128734563492, 301.87628724696515, 699.5690233334535, 831.2073775780846, 893.8251234215422, 2191.853020543331, 1839.198837922966, 1579.683538515319, 1527.3592099665984, 2344.391645843132, 1338.16851614006, 1436.7965780148588];-1.4488509612396594;0.5586454712984494;9;375;-3.447909006729481;-2.8692783343881483;-2.5708923751111112;False
1990-01_2021-02;2021-03_2022-02;SE;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;557.8420534857285;0.048022207711609394;81.81818181818181;-4.3611953658492;4403.845148862893;0.36920501458037575;10642.809192571218;10430.224726330447;10891.745104022079;10921.814513678542;11376.640836691735;11354.891000837808;11015.327462689695;11057.8240935806;10628.593757929702;11082.455738275727;10317.265199473337;9721.69943682709;[229.80493742878207, -45.027266330447674, -542.7324240220787, -334.5880636785423, -123.49228669173499, -792.7823008378073, -665.1644226896951, -836.5577935806014, -843.2604249297019, -382.58254827572637, -700.5677354733361, -372.3280598270903];-1.1989811426878092;0.6740338449794006;10;362;-3.448544133483233;-2.8695574079525565;-2.5710411593052713;False
1990-01_2020-02;2020-03_2021-02;SE;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;491.8989873408292;0.0383663596593074;90.9090909090909;3.225878681930811;1944.6730927663516;0.4146735092023809;10047.870413906106;9864.887643239997;10446.157928176064;10500.894675989563;11099.266034239397;11132.800418828543;10714.418878460603;10908.975028811315;10412.366932547699;10741.18178758678;9845.451134981231;9331.701704259287;[727.8125560938934, 723.5616367600032, 301.0830118239355, 888.3046040104382, 658.7792557606026, 326.8934211714568, 158.08293153939667, 295.23511118868373, -433.16946854769776, 259.8798024132193, 249.5162550187688, 12.316411740712283];-1.2600071152780672;0.6472648358121813;10;350;-3.4491725955218655;-2.8698334971428574;-2.5711883591836733;False
1990-01_2019-02;2019-03_2020-02;SE;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;509.5407891875082;0.041077356803760755;81.81818181818181;-4.0144877996303645;4020.979953857881;0.3229211718263706;10087.42993333062;10372.015421547592;10960.28462642302;11138.52199563114;11396.59158015329;11444.26033144295;11031.669423528901;11132.505275962942;10592.590438197103;10958.274091500778;10172.573855560995;9747.939552156562;[-360.44623733062144, -434.0407835475926, -767.9567264230191, -1155.9730826311388, -54.93578015328967, -185.80019144295147, -568.8505835289016, -32.70455596294232, -396.51797819710373, -315.7614115007782, -321.4579135609947, -385.70766815656134];-1.086782504783134;0.7203140043988611;10;338;-3.449846029628477;-2.870129281376164;-2.5713460670144603;False
1990-01_2018-02;2018-03_2019-02;SE;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;791.2968773462434;0.05373741842241856;54.54545454545455;0.5195680793096705;15594.088486026643;0.4498509422715914;9676.679573263065;9858.138718498834;10983.805385003026;10949.489531662026;11334.953779060299;11533.94581456;10838.10867983851;10977.571920313118;10337.399641823955;10610.854973657602;10057.495269160863;9857.144945602862;[19.695426736934678, 1343.002581501165, -1936.4992260030267, 572.1572083379742, 281.44658093970065, -379.3461745599998, 174.74096016149088, 162.7233696868825, 1049.2434781760458, -364.248093657603, 76.35618083913687, -335.8931336028618];-1.3996964767500222;0.5824216227311766;5;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2017-02;2017-03_2018-02;SE;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;705.8005443485865;0.05673354029762062;72.72727272727273;-2.816543444787859;8353.116221819158;0.6189911782401382;10505.914588775657;10320.207736429615;10945.16466207529;11069.705769139815;11624.2552602057;11713.635211758745;11240.023425500323;11530.47952668273;11099.271641544583;11460.2595799094;10630.312985664345;9975.12253381798;[558.824291224344, -476.8744034296142, 5.864327924709869, 173.6493908601842, -227.12483020570107, 129.17720824125536, 835.1912844996768, -870.3804966827302, -564.8136315445827, -1377.429829909399, -763.1807396643453, -1042.0265198179786];-1.157109427735381;0.6917688577354028;5;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2016-02;2016-03_2017-02;SE;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;317.960695038725;0.023411148102472745;81.81818181818181;1.1841377260539514;2506.6988521736716;0.28744315159881206;10429.291500629828;10176.289083435557;10637.468848022769;10667.383861144488;11133.928318723109;11166.526956467067;10725.393629831027;10964.012701618034;10615.947837206859;11044.369848160235;10325.804609207618;9817.863223907965;[207.57806937017267, 184.2906265644433, 72.10361197723068, 189.7030988555125, 361.31262127689115, 726.699493532933, 408.43427016897294, -264.9547316180342, 144.83658279314113, -66.04375816023457, -16.911489207617706, -416.7327889079661];-0.9833386011604663;0.7592925551267438;5;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2015-02;2015-03_2016-02;SE;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;700.3142509749108;0.04839342089061313;81.81818181818181;-4.51529380501349;5528.600896803043;0.5292177441009908;11975.2084875702;11489.902958338915;11726.071369523923;11444.795028678827;11678.981157045991;11610.832187963611;11182.541511357698;11189.669667164007;10724.919153294859;11126.431696587026;10327.453436092692;9961.815965658529;[-1247.931317570201, -1069.6837583389151, -1485.1891195239223, -595.5595186788269, -63.52282704599202, -183.55863796361155, -264.2208613576986, -115.86350716400739, -632.2035732948589, 116.25489341297362, -296.9226360926914, 30.352512341471083];-0.5383261959819585;0.8843179328916809;5;295;-3.452713099849546;-2.871387839457783;-2.5720171933352485;False
1990-01_2014-02;2014-03_2015-02;SE;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1431.1214252813722;0.10573938331134163;54.54545454545455;10.901736949458538;28235.505198823794;1.7649375868603088;10814.76399392152;10360.369113635525;10526.320545651824;10528.34843648925;10966.278229116946;10857.5367727844;10423.213314852464;10673.08502568855;10235.11323452316;10645.399227761354;9821.676225238527;9313.26492959404;[191.59288607847884, 799.0258163644758, 1444.9421343481754, 951.5428635107492, 2035.9319108830532, 1772.557427215599, 2303.484145147535, 2040.3660643114508, 1530.7418354768397, 866.9051222386461, 922.3437047614734, 455.3419544059616];-0.49739477959338274;0.8925238860251119;5;283;-3.453670163592738;-2.8718077069772248;-2.5722411158835796;False
