train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AL;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;449.89108387039533;0.02736766292076566;90.9090909090909;-0.4045453960335001;1776.4260396486297;0.5856084975791002;15266.466037459508;14450.495567467402;15123.929473833636;15258.41868054112;15866.713358035038;16407.806809094647;15961.986821618631;16022.15874284668;16016.65471171126;16398.725020842987;15784.339977533691;15093.527250562125;[378.3999025404919, -597.4520874674017, 405.31146616636397, 395.3186394588811, 295.76309196496186, 206.805510905353, -529.1353716186313, 100.79234715332132, -683.1945717112612, -489.32285084298746, 356.1908224663093, -595.5526105621248];-1.2575656386349425;0.6483557349590983;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;AL;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;959.2628854704705;0.05447347002917078;72.72727272727273;5.246745814210008;11351.6250339743;inf;13982.33186016726;13477.446939889436;13875.996644224722;13971.593362517333;14340.075094491147;14718.85041160238;14352.48581725547;14386.631827060877;14532.281894623282;14518.654810984277;13950.96424925415;13706.621487499888;[899.0703098327394, 288.0820501105645, 818.0450257752782, 928.7888874826676, 1092.9810655088531, 1379.90320839762, 978.2351927445288, 679.1217929391223, -97.59530462328257, 1849.1151190157234, 794.1299507458498, -206.8171374998874];-1.7790430368328929;0.3909147534462829;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;AL;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;804.3355730696695;0.04576763972427169;81.81818181818181;-4.517552313217699;6348.800983036967;1.0951038173562566;16169.806811824348;15785.215433918072;15696.666900006816;15502.613701002412;16169.913862015812;16309.1382054012;15929.298446813116;15278.235498345637;14919.153705324885;15140.74169317397;13717.30748088813;13334.797882460316;[-714.1926818243483, -1244.4364439180717, -1271.1958900068166, -209.84921100241263, -391.37582201581245, -1021.7487154011997, -1272.8962768131169, -627.0398483456374, -828.5812453248855, -371.3177831739704, -69.1190708881295, 70.77457753968338];-0.8316876006610725;0.8096364395298613;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;AL;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;825.9363574245976;0.047969835154038694;81.81818181818181;4.8428461528127364;6520.096072405264;1.155391175539932;14388.505128216995;13833.9243131163;14366.041433751245;14630.038599839723;15443.412659330832;16001.896432659581;15506.43878536971;15746.949951698505;15156.968264383151;15080.640133748817;14247.699774231702;13596.125845064182;[980.8952317830044, 985.7169868836991, 719.7864662487555, 592.6806001602763, 1247.9315406691676, 424.0220473404188, 711.1680946302895, 741.7402683014952, 358.4520256168489, 1310.2547962511817, 852.4469657682985, 133.8143749358187];-1.3035003050083367;0.6275694022104537;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;AL;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;663.64122099979;0.03732646926598753;63.63636363636363;1.7571686567752876;10460.953270213058;1.0258436759899234;14137.010829489955;13475.909361054475;13637.23220380538;14538.376582409355;14580.76109881548;15447.027359322612;14689.172335421154;14362.074944443351;14713.380330267611;14149.525282409366;13794.539404140134;13074.054886344664;[-474.2753194899542, 67.396798945525, 858.0739561946193, -897.1030324093554, 924.2425211845202, 195.99257067738836, -165.00023542115377, 998.6750555566487, -224.84953026761104, 1096.0236275906336, 580.5529858598657, 91.60091365533663];-1.4800789911602643;0.5433419561767167;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;AL;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;941.452783896983;0.04795885866994457;54.54545454545455;-0.9338744102008406;18550.54097758281;0.8380879212421286;14692.506376000774;13998.853865854344;15110.09779957756;14431.148981408689;15101.246631238388;16249.472026789288;15049.890284640866;14664.826182366643;13903.552884902241;14236.767063068412;13301.189670235726;12795.244839040208;[-253.06253600077434, 43.267514145656605, -2474.1358395775587, 1162.3455885913118, -447.5075012383877, -732.3778267892885, -928.6620246408656, 162.63577763335707, 729.6065350977588, 56.05902693158896, 960.9534497642744, 115.27509095979258];-1.1803066147490835;0.6820094252224508;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;AL;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;581.4426831356026;0.03360523445264994;100.0;1.7624905659262793;8.460859347556738;1.46915455456424;13733.581392123706;13089.89744684008;14158.067745086735;13934.907280646255;14490.176324013042;15458.503055907466;14683.852045516267;14665.297588026928;14566.150185316928;14898.414812038613;14590.39590447465;13903.423353077615;[1075.2027378762941, 220.41414315992006, 443.544574913265, 572.1878493537442, 899.6153459869583, 448.5494740925351, 673.3568444837329, 156.04455197307288, -335.02819531692876, -7.400782038612306, -238.5861244746502, -818.9306030776152];-1.4264139785541226;0.5695494799144926;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;AL;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;664.8521183227331;0.039738381576627686;72.72727272727273;2.7416042231283795;7863.438968519556;0.760421073399908;13320.973880436222;12910.79120538388;13626.374795858264;13412.975095528009;14035.24229034526;14356.404923579017;14445.559820818095;14028.221867059729;13846.32074455093;14569.233754749572;13719.176487144072;13412.815965351467;[626.4282895637771, 634.3718346161186, 415.37701414173534, 821.3799744719909, 365.36821965473973, 1422.7599364209836, 305.25720918190564, 238.9013229402717, 420.84229544906884, 181.57240525042835, 272.5644528559278, -1034.3757453514663];-1.372821369356319;0.5952343329629481;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;AL;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;533.3897276300366;0.0332038199522826;72.72727272727273;-1.7909166937674814;6307.0935808947015;0.5811694892332553;14520.29944371481;14310.34816657518;14683.283516002646;14320.342640796434;14920.68913732205;14972.6677790683;15070.760215094146;14752.658969892045;14056.80332558796;14585.035096861031;13476.344002034952;12939.057953615344;[-375.42082371481047, -728.2865765751812, -961.3632260026461, -301.9694507964341, 487.6641226779502, -143.35618906830132, -657.053695094146, -418.2549798920445, -735.5968055879603, 516.2928031389692, 52.7846179650478, 227.67755638465678];-0.955024376979349;0.7693128368074801;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;AL;glp;CWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;727.8022705282856;0.039889893252412816;72.72727272727273;2.77691278096183;8607.977580729366;1.0968065715204305;14225.08517026629;13961.459506818343;14164.666343600913;13816.11547485831;14657.870915881133;14891.862314507302;14586.309489234998;14620.06139975265;13748.987513343987;13952.90759893078;13328.75127541705;12587.051638025943;[-570.9474902662896, -257.8073368183432, 350.13437639908625, -229.0575048583105, 673.5674941188681, -54.45651450730111, 675.9803707650026, 723.33172024735, 176.74436665601206, 1655.9619710692205, 1138.0132145829502, 532.453791974056];-0.8934230053294566;0.7901305994382015;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
