train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;35.1988145124653;0.673303788058417;81.81818181818181;69.24984026929195;292.6818709342298;1.2447621451807473;9.27791623804033;8.781384035691204;9.419209119549595;6.988806140276029;9.423099682549822;12.800970372091616;17.567040699149075;21.706395279831565;19.51783911927222;17.09522832343368;18.548803101617725;16.233512235654064;[20.60208376195967, 11.174615964308796, 15.539790880450404, 17.95919385972397, 30.480900317450182, 47.03702962790838, 32.26295930085092, 28.236604720168433, 20.48216088072778, 52.90477167656632, 66.45119689838228, 33.76648776434594];-1.9281328432578033;0.3189444423411312;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;False
1990-01_2022-02;2022-03_2023-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;17.598659199926267;0.9257399943327838;36.36363636363637;5.639216948561952;517.5009217612874;inf;3.337146672657452;10.892310321081421;19.063246460592506;24.970456936385524;30.21904923029401;32.84094982816563;35.968327319827836;34.177070893677815;31.350932466814633;26.184721764402155;22.45982598038627;16.860052778536275;[31.467853327342546, 28.833689678918578, 13.242753539407492, -0.08445693638552498, -15.301049230294012, -3.120949828165628, -30.968327319827836, -9.344070893677817, -1.6269324668146332, -11.184721764402155, 17.258174019613733, -1.9410527785362746];-1.82078024343284;0.37019476894058534;1;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;False
1990-01_2021-02;2021-03_2022-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;25.367601560563365;0.9599038794833522;45.45454545454545;-15.158089577362679;632.3701089099144;2.0363879830756435;2.4616102638212283;9.448604272999226;15.824039036364159;32.351935355488784;37.07618408034111;44.43433504314471;54.10735926503247;45.303480536877494;32.072990557834046;25.085560041669375;20.831770874593303;18.565038649957295;[57.17338973617877, 15.360395727000775, 23.902960963635838, -12.496935355488784, -12.251184080341108, -19.647335043144714, -39.221359265032476, -35.293480536877496, -7.228990557834045, -10.175560041669375, -0.918770874593303, -3.6360386499572943];-2.038482539271599;0.269958796986702;1;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;False
1990-01_2020-02;2020-03_2021-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;15.666410333746535;0.8682270862593642;45.45454545454545;-16.244839985314748;396.41936813319074;0.7815327371344091;43.44645098885439;30.236353198055816;23.83556294211433;20.547253588796487;22.209436759230016;24.444068098279637;30.435940480965897;36.485949284337686;45.03217290157525;45.195265511005445;41.506850828292805;38.182033112163374;[1.2595490111456158, -25.285353198055816, 1.0114370578856722, -7.627253588796487, 17.544563240769982, 20.284931901720363, 9.299059519034103, -11.786949284337684, -30.18217290157525, -15.488265511005444, -11.747850828292805, -3.3980331121633753];-2.037225993781379;0.2704929949231933;1;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2019-02;2019-03_2020-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;35.4292090296199;0.42114279659475956;36.36363636363637;33.22219449456793;994.3300038205408;0.6579624584087694;67.98375252741002;58.905015123924954;55.5070238024411;52.297069118716806;53.01056286501071;56.597892470454156;50.35356116960045;44.63173586243679;39.52084889969667;35.221649447113165;30.865465488356612;32.01491165958758;[-32.98375252741002, 0.9309848760750441, 29.111976197558903, 28.3169308812832, 4.137437134989291, 28.015107529545844, 36.59843883039955, 50.18426413756321, 44.83615110030333, 58.97035055288683, 46.098534511643386, -7.201911659587584];-1.5509802921779163;0.5081584906775165;8;340;-3.4497304638968043;-2.8700785273763487;-2.571319005190311;False
1990-01_2018-02;2018-03_2019-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;28.56381009745051;0.3016520058946102;54.54545454545455;12.468560820467443;571.8724231776022;0.44584968138243913;15.219703550491268;20.941184347783054;32.757983910625065;58.2400254397389;82.61859341140098;97.69544127077837;124.53913536437321;116.3162938923184;92.37809615860398;67.15978542528507;46.64108057845;32.22700262457389;[54.605296449508735, 38.923815652216945, 57.05901608937493, 1.7599745602610994, 7.285406588599017, -22.73944127077837, -29.824135364373205, -11.428293892318393, 7.51790384139602, -12.223785425285065, 13.358919421549999, 7.772997375426108];-1.5166558094305904;0.5252564489596114;8;328;-3.4504451681828194;-2.870392380216117;-2.571486353732897;False
1990-01_2017-02;2017-03_2018-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;28.009828436175766;0.5729073930777048;45.45454545454545;49.68745022933983;682.040625857868;0.8370437821676662;-1.1641299507879719;8.131376861811049;18.477998296319715;24.57286347320195;23.12427486379363;23.589027912703322;23.015767391125394;20.696563833562756;20.335463279028133;22.409952799780235;29.96555867083761;35.38776905919231;[11.164129950787972, 11.868623138188951, -8.477998296319715, -4.572863473201949, -3.12427486379363, 16.410972087296678, 21.911232608874606, 49.089436166437245, 39.46253672097187, 47.39304720021976, 34.886441329162395, 29.443230940807695];-0.743428779460634;0.8351776209743209;8;316;-3.4512146067362317;-2.870730188960711;-2.5716664849383113;False
1990-01_2016-02;2016-03_2017-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;119.67957734900152;5.309123595282528;45.45454545454545;-351.31513853225346;3227.2259890386495;5.947949890497652;116.30939331636121;116.55740594799535;128.93260024251916;145.3550101064384;160.34867401937214;170.97759051875988;175.69771192223655;172.45208604634337;166.45097940088223;161.8768954051428;149.28252644578671;136.5065293718535;[-76.30939331636121, -91.55740594799535, -103.93260024251916, -125.35501010643841, -70.34867401937214, -105.97759051875988, -131.69771192223655, -152.45208604634337, -151.45097940088223, -136.8768954051428, -129.28252644578671, -126.5065293718535];-1.558118000476578;0.5045906915079477;8;304;-3.452045317832011;-2.871094805558846;-2.571860921485457;False
1990-01_2015-02;2015-03_2016-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;92.01708131673934;0.3355882333866404;72.72727272727273;38.861394990394;1104.0044299658837;0.4697420402535675;67.49664189366396;90.96080310858109;93.56347237586748;107.37885274322358;134.51787720025965;143.1454651439205;133.62032672682653;118.58058354892088;117.82435745296368;109.386860833024;96.2517068214129;88.30256675575154;[45.50335810633604, 27.03919689141891, 115.43652762413252, 104.62114725677642, 87.48212279974035, 53.85453485607951, 141.37967327317347, 198.41941645107912, 67.17564254703632, 0.6131391669759978, -6.2517068214128955, -8.302566755751542];-1.4303816025769953;0.5676272754650955;8;292;-3.4529449243622383;-2.871489553425686;-2.572071437887033;False
1990-01_2014-02;2014-03_2015-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;100.56781277509945;1.165320138449654;63.63636363636363;-99.4744968692041;1652.6277688695943;1.4815006869118137;78.89487182823174;100.22216221214988;126.55115603920649;179.69371504186418;191.57688147824828;200.49455949840353;212.05184833003895;217.46913449682359;206.61742692042992;200.33038345389002;203.82810417894908;192.31098440420521;[31.105128171768257, -31.222162212149883, -40.55115603920649, -129.69371504186418, -109.77688147824828, -111.49455949840353, -142.05184833003895, -123.46913449682359, -135.61742692042992, -98.33038345389002, -82.82810417894908, -78.31098440420521];-1.5020538521786195;0.5324950840299606;8;280;-3.453922368485787;-2.871918329081633;-2.5723001147959184;False
