train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;26448.914751186756;0.09375385375264321;90.9090909090909;8.509828541118322;105189.70567489113;2.3069365048025334;236768.6151386058;230171.3268509009;231334.23224745007;233157.9959808583;239745.79294606537;240737.46659344085;235848.00707877774;231113.08549158453;224086.8694010592;214958.97486103504;207379.25552435772;211036.19470156782;[-1751.847138605779, -14714.278850900882, 30626.17375254992, 15078.440019141679, 27866.779053934617, 45315.86640655913, 31819.038921222236, 33911.60150841545, 24865.962598940794, 30011.161138964962, 14652.014475642267, 16835.669298432185];-0.848171309586307;0.8045611616431849;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;23439.27268541049;0.07914417899185146;63.63636363636363;7.6478377218018885;369877.3492053342;inf;235244.91733781097;227236.9143991537;225207.54522029767;226793.39649826157;228618.85392344263;227289.27070921793;224697.57430258198;221429.8763849245;217613.84028114937;211329.0929649685;205991.52356651038;208634.26112756558;[-3356.61933781096, -4719.407399153686, 14463.684779702337, 12144.296501738427, 32075.85807655737, 43395.30029078206, 32487.140697418014, 31302.977615075506, 17881.661718850635, 26457.007035031507, 3129.460433489614, 15024.918872434413];-0.8337021754574757;0.8090213413780407;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;29467.557537739714;0.12156754966925766;90.9090909090909;12.088009650382503;117550.08402953824;3.1949866280859136;214438.3523616809;208726.29766178795;211971.35287049005;221848.20921875484;225277.2025922641;220608.85597188724;216143.82989151686;205784.6107496526;193691.17288283206;187031.4370751481;179340.89489027398;182320.49724623366;[23877.58063831908, 20117.52233821206, 17546.41212950996, 16202.563781245146, 26755.2564077359, 29531.303028112772, 21265.862108483154, 37005.8152503474, 36451.61411716795, 36007.391924851894, 31480.49110972602, 42998.92475376633];-0.887293046974296;0.7921281926678381;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;31972.58609829959;0.122156045527879;72.72727272727273;11.571527475736323;379270.8879757273;1.3161521965122416;197168.63502671765;199224.7265040219;201003.5531368894;204948.16125201163;208963.9781076242;206733.29171548065;199824.05222278353;195518.89588181797;187789.54180078127;178286.33645572467;171619.16880927864;172086.28081363704;[5416.450973282364, -11041.191504021903, -3583.7701368893904, 14454.90474798836, 41257.34789237581, 40156.79628451934, 44365.757777216466, 52771.10411818203, 28853.946199218743, 40391.24354427532, 19843.533190721355, 31117.617186362942];-0.9544785945319829;0.7695032032579001;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;25723.213617770558;0.11083398243739141;81.81818181818181;7.761205997416081;203753.1804914985;0.6361733948432302;194268.62441717501;196259.40794284694;199886.74381435465;204479.9913239086;205135.8291625699;204008.97364491137;191208.72417656876;183809.5118473564;177295.64630783242;169260.4726521806;166179.20901561948;165095.22577215085;[-16672.65741717501, -15595.99494284694, -4102.809814354638, -6595.901323908591, 24840.290837430104, 26017.377355088625, 20310.427823431237, 49238.95515264361, 34710.34469216759, 23692.477347819426, 26551.089984380524, 27506.709227849147];-0.9646467970972279;0.7659392618906946;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11557.810418090556;0.0465120769816742;63.63636363636363;0.7213717318240408;182221.82736232382;0.19346783223378486;173329.39961945594;181630.34773906475;198634.5107573865;203144.93179124643;207342.95554137227;215535.6199046147;207586.41797355996;203058.35461980992;193574.7751442038;183437.85485057253;177807.25741052866;175372.83277685277;[15315.955380544066, -2729.0297390647465, -28771.810757386498, -3948.486791246425, -78.37954137226916, 2753.675095385319, -8573.988973559957, 11816.388380190067, 10876.435855796211, 2713.66014942748, 11766.930589471332, 5719.387223147234];-1.0778696350264465;0.7238160780863212;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12549.359076297516;0.05689039747023831;54.54545454545455;3.6348684572554038;247311.71309300815;0.1886471180422924;156257.04539960227;162485.38237609598;172325.44921810765;178628.16865808595;181677.83933022653;185923.49054107335;185277.96180964724;185317.2817231222;185416.33737690496;181708.25110142052;176123.89159373604;173807.34422815972;[20780.911400397745, -2123.9344760959793, 18720.535581892356, 9733.299841914035, -1994.4454302265367, 19608.485358926642, 13487.15729035277, 11916.995076877793, 9522.969623095036, -1561.788101420534, -4392.304593736044, -13545.362228159735];-1.3027061515072362;0.6279333384142044;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6538.640786314439;0.028501971860062425;72.72727272727273;-1.476063415293184;77298.70319115293;0.07529422199500825;174178.0944575714;174225.25891508465;179777.46045890675;185688.9543745767;186309.16755954386;188951.7114318244;189210.77935807203;183704.70194812998;179402.5544311148;175315.50801188793;165819.51835301996;163890.27751735662;[-189.99945757139358, 2217.829084915342, 3394.4645410932426, 4252.459625423304, -2850.9235595438513, 3328.6455681755906, -6532.5133580720285, -10256.19094812998, -3965.110431114823, -2140.0320118879317, -1483.6952530199487, -16997.38781735662];-0.8745548369314327;0.7962363579396148;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;16391.48762745775;0.07479139520184029;54.54545454545455;7.572963240850673;323156.06361254986;0.30607963046559905;183617.4113218442;180458.60229714215;180046.16904847365;186377.88227546558;189379.42263378584;190175.71368621715;189788.2966703842;183940.18533545005;175187.73882994655;167151.21785802857;155581.9875988784;152498.64282664994;[3387.386878155783, 4043.2797028578643, 5102.4739515263645, 11342.099724534404, 20995.35866621416, 14421.572213782842, 19796.65592961578, 24957.41066454994, 16632.384270053444, 26202.149841971433, 10574.557401121623, 17409.553173350054];-0.6898323918991115;0.8493656284519586;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;32904.77392327359;0.14851629352859574;45.45454545454545;14.330027447576649;779293.3260590982;0.6152141559773688;176341.63689903574;169330.76667442493;164991.34528862516;166022.74119770774;169457.9240840612;171838.17160532868;170725.97886783967;168221.27452443194;163649.16142671372;157335.98875627082;149916.57327770782;146662.8511821629;[-11923.201899035746, 5714.6893255750765, 21718.77871137485, 22214.81480229227, 33163.768915938796, 30534.487394671334, 35725.30513216034, 57736.42747556805, 38573.97657328629, 44991.84224372919, 39246.65282229218, 12576.395817837096];-0.6843062441301807;0.8507728042527218;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
