train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;38197.98321557438;0.11445745248352718;72.72727272727273;11.659699130680849;452991.1908981581;1.9508595200705898;290394.18403854937;249647.02284815456;254548.63308383964;272964.6410549774;291743.31686436856;273425.9761851939;271487.737888924;261969.63203085205;233870.64246441217;213515.6447753742;224477.57901913743;268825.1559453015;[23492.81596145063, 4299.019151845423, 36697.23991616038, 25105.792945022637, 37975.89313563146, 65034.0378148061, 39196.255111075996, 54240.34796914793, 48888.59753558782, 42385.9762246258, 23037.768980862573, 9710.190054698498];-0.36282731565632964;0.9161227314189205;14;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2022-02;2022-03_2023-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;29325.730366464275;0.09075771877197492;81.81818181818181;7.860298944751307;232033.44343024958;inf;296740.36714948626;254257.84466029963;259723.75163910384;291294.750611323;301099.85606696724;268005.07506322203;263575.4302548;256802.72112210703;221442.68337325653;192539.07753899175;195928.0571238628;245408.4823338227;[-1589.0991494862828, -4625.2506602996145, 16912.29836089615, -13032.213611322979, 9033.974933032761, 41342.26093677798, 36816.69474519999, 48374.22887789298, 38791.457626743475, 40748.94946100825, 17358.795876137214, 29787.359666177304];-0.08922958482793734;0.9505007978178659;14;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2021-02;2021-03_2022-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;36593.09066682064;0.11207785100438578;72.72727272727273;11.506892933610462;433921.0384629873;3.4475745020751822;267866.2193976412;236269.63251636218;239961.02376399815;269278.1901755651;277613.7743917316;256774.43443711943;262838.11710784025;253382.0225658521;213121.77997200325;191841.97889566867;198170.9910860757;236685.58750262304;[11430.899602358812, 11399.697483637807, 14932.296236001857, 8043.7108244349365, 43530.02560826839, 55971.37356288059, 31889.045892159746, 71737.16743414791, 34204.93002799674, 33084.21310433134, 21133.069913924293, 40229.576497376955];-0.37279884306212135;0.9145422931279873;14;358;-3.448748905151901;-2.8696473721448728;-2.5710891239349585;False
1990-01_2020-02;2020-03_2021-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;32993.521970622205;0.09713787493557362;81.81818181818181;8.870908130765946;261145.15597620874;0.9361750269442534;239028.37377368484;213126.7784592192;223520.93260251542;249837.45552521027;264713.4349676759;254447.04750850637;240914.59247747704;233914.59091713218;206704.7862712606;182538.26847025342;193925.5359892669;227872.87000229993;[-4563.267773684842, -13331.34845921921, 1513.5293974845845, -135.12552521028556, 22659.785032324085, 22751.922491493606, 31016.037522522965, 68048.53408286782, 55519.80572873942, 50346.91452974657, 23397.384010733105, 8579.101997700083];-0.7303449532742045;0.8387321812447769;14;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;False
1990-01_2019-02;2019-03_2020-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;21394.187017924454;0.06909141867117628;90.9090909090909;3.4184873300353433;84858.10198249193;0.364027653530815;240332.43807362954;219095.80683661977;225945.95766250094;255109.97151535808;264398.0248691609;246622.54088547238;232141.74049163863;227479.87753804203;190856.10584185133;164560.47613663325;186674.34464193374;225107.1748590401;[-21027.831073629553, -5466.643836619769, 4083.9663374990632, -22800.378515358083, 5418.375130839122, 13168.64311452763, 12125.227508361364, 43510.196461957996, 43513.53015814867, 18047.50986336675, 4657.153358066251, -430.87885904009454];-0.640560197737692;0.8615512307634735;14;334;-3.450081345901191;-2.870232621465807;-2.571401168202517;False
1990-01_2018-02;2018-03_2019-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;23494.461702910965;0.07732400200602825;63.63636363636363;-3.8970230350460975;370729.69616498664;0.34527211929330404;224471.23656042042;227764.6818257698;249221.80475508174;267624.4401666179;279027.19758086884;263645.4750579307;248456.93524177652;241858.8227524226;206012.7438900931;182485.55172882005;204807.76130209418;239741.0309062183;[17864.70243957959, -17253.4158257698, -65678.16975508173, -20426.926166617923, -22741.237580868852, 927.7819420692977, -6525.620241776516, 17921.985247577395, 2526.0211099069274, 7365.8792711799615, -2185.0733020941843, -18136.98090621832];-0.7596070066453968;0.8307003003061919;14;322;-3.4508226600665037;-2.870558121868621;-2.571574731684734;False
1990-01_2017-02;2017-03_2018-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22655.741309165955;0.0841672783526397;72.72727272727273;-4.300846095296413;268378.2508288137;0.3178180036508975;206328.32078914525;210078.4844885501;227502.3877421377;240445.6618093477;247314.03401582286;248517.07009086915;247702.985998363;246102.43398071823;233019.70779489324;215777.91417532443;224017.53615103918;243609.49192071988;[18484.90791085476, -22882.8727885501, -4366.122042137722, -172.45680934769916, 5895.287084177136, 7060.794009130856, -500.55049836300896, 11360.255719281762, -7964.768994893238, -35755.672375324444, -44129.57915103919, -42092.04592071989];-0.8516886625660169;0.8034656625956473;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19267.614267504225;0.07793962291721006;63.63636363636363;-7.148434976062955;304037.7310997458;0.27437378666249934;225480.79833998758;231865.41295687665;233365.91343667108;253331.00518868834;255709.31092934497;242238.41016796185;256877.58676068712;244789.17730308603;202283.4786864887;186562.4242364422;197176.3031655745;240080.01143572337;[705.1756600124063, -22853.69295687665, -21312.282436671085, -24521.757188688352, -16196.244929344975, 5918.626832038164, -20994.99676068712, -13651.293303086044, -6711.978686488699, -6533.224236442184, -20790.47066557451, -37843.09003572338];-0.7001419348076648;0.8467127701475786;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;31717.291404894997;0.10912928803061056;72.72727272727273;-7.285162699893119;376063.43425495934;0.5064042397816296;275949.25507328426;254652.30831104732;244593.0749383201;253840.24780489175;255210.5798532728;247126.24061685675;261061.99609266713;258221.40667555085;227791.4586098336;225108.92974448888;241667.5918175397;261680.19270533102;[-16085.498673284252, -310.57531104731606, -239.84493832007865, 11165.963195108256, 16745.567946727184, -160.7478168567468, -26234.351492667134, -7405.735975550866, -13948.966909833573, -34774.65224448888, -81047.33081753971, -51886.57770533103];2.463172183774792;0.9990370036360668;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;False
1990-01_2014-02;2014-03_2015-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;38703.08245745894;0.11591710962157727;36.36363636363637;10.635239951938221;1068422.9690277826;1.7465384823780763;272357.31838302495;258638.756123627;249390.2093190653;254706.2953849562;248445.97991894654;225378.38015199747;233195.19417076005;240927.22806203805;218590.81118592055;202823.636547685;207518.8985209723;222517.57353055617;[-11203.31538302495, 5139.712876372971, 25851.77368093471, -11417.4913849562, 31163.054081053444, 70985.20784800252, 59696.426829239936, 66981.27193796195, 37928.08081407944, 21921.14345231501, 30955.31957902771, 9329.596469443844];2.28250423657381;0.9989437998500843;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
1990-01_2013-02;2013-03_2014-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;30365.368836030684;0.10137775403717274;72.72727272727273;9.098917682702226;359932.091877475;0.9139097214501883;267311.0087497854;246021.82491803158;231089.5044802375;233945.5324107605;235753.03286928582;225553.4575280638;227980.03499971842;234221.4691978972;214341.48925170364;192735.3472317164;190170.7635815979;201997.19537116686;[-11736.748749785416, 5713.484081968432, 30657.990519762505, 29272.975589239475, 32634.089130714157, 32438.343471936212, 18597.562000281585, 36883.07080210277, 20251.867748296354, -8188.967231716408, 16613.331418402115, 67236.83962883311];3.564139227473688;1.0;13;263;-3.4554613060274972;-2.8725931472675046;-2.5726600403359887;False
1990-01_2012-02;2012-03_2013-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;55388.68378715343;0.18864786072422823;63.63636363636363;19.449464804391052;876673.0876237432;0.9619743512664387;204269.61097009323;197795.92367001655;198420.14935056336;203566.42826598167;202745.06943264895;194243.16857753263;193131.92541525885;184805.70523815122;168176.67395781595;150740.26604395814;157377.97877111478;177898.95813894505;[5958.392629906768, -4236.473470016557, 13976.340049436636, 23041.30143401833, 31294.981267351046, 47087.00932246738, 24557.882184741145, 88240.8062618488, 94486.51504218407, 80285.39495604186, 70972.41122888523, 63549.70186105496];1.771415514768161;0.9982906070828372;14;250;-3.456780859712;-2.8731715065600003;-2.572968544;False
1990-01_2011-02;2011-03_2012-02;GO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;18669.966999670072;0.08373183354204272;72.72727272727273;6.503203048365587;221159.70996870784;0.2073421548720677;195845.597484943;187957.38549838113;189132.8873493291;196342.4177971064;198798.88987179732;192241.4721921258;194569.08733451122;187555.40629196915;172690.47990729276;151884.72412394013;147820.5281637358;171644.61478870633;[-17507.456984942983, -6823.201998381119, 8018.608250670892, 7696.263402893586, 16948.98922820267, 32739.54910787419, 26166.82786548877, 26218.05390803085, 18601.310592707247, 13702.037876059854, 6274.267436264199, 20046.390111293673];1.351343861479346;0.996881495790171;14;238;-3.458128284586202;-2.873761835239286;-2.5732834559706235;False
