train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5686.4316476866325;0.4107962137642463;72.72727272727273;54.16412780572786;68169.91175354294;0.9289280306951256;3842.784277448589;3247.358723415355;2896.170065298375;3115.773997071905;3107.4672327745866;2998.3428390538193;3182.4759590010867;3202.179941023661;3593.158175231188;3960.0911422867184;3869.4061071099736;4188.504241365411;[78.08372255141103, 292.3412765846447, 598.829934701625, 452.7800029280952, 875.9907672254135, 2695.0141609461807, 3735.924040998913, 4616.4200589763395, 4473.841824768811, 8249.501857713283, 11051.693892890027, 11569.89575863459];-2.23938219968705;0.1922636200974086;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2104.401738498107;0.5496244087201397;27.272727272727273;-31.30491244441768;66789.61223379147;inf;3119.9428617283215;3454.2673284920415;4320.90472008603;5943.182393142513;5724.560466798546;6210.213744175417;6053.408020678377;5791.926405499106;5734.465290134539;5510.17212939542;4018.593151680728;2732.65449807498;[1965.5571382716785, 1951.127671507959, -324.9477200860297, -2325.2133931425133, -2002.1544667985463, -3067.7137441754167, -2838.9520206783773, -2324.9534054991063, -2687.542290134539, -2002.1721293954197, -1105.5931516807282, 788.09750192502];-2.1540555049137646;0.2233409720173128;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2286.648316081279;0.44038613884547834;45.45454545454545;14.437736147291998;54454.50871950796;1.9728973717601441;2943.0972268571927;2575.6213970154618;2461.712523746977;2585.7140742535516;2971.647467663876;3545.9015760160773;4364.284830555919;4333.052970917288;4286.0677913200825;4680.430857263241;4367.498541856141;4194.626762064838;[4379.448773142807, 2158.778602984538, 918.7244762530231, 4157.2979257464485, 3040.3505323361237, 696.0984239839227, -1119.2848305559191, -1256.052970917288, -1147.2537913200827, -1753.4308572632408, -1410.498541856141, -1356.1267620648377];-2.395539888946638;0.14299920121127385;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1671.322301129018;0.5465817332728099;27.272727272727273;-32.04228723666559;53045.778700477145;1.1536904778636987;5061.483546840884;4857.842617380333;4864.837879812456;4678.7494947749765;4530.639478792242;4482.6883797390465;4479.628355568988;4537.312725985845;4264.233561774744;4088.944083366241;3781.64229344686;3629.872977101955;[-2206.1835468408835, -2487.289617380333, -3069.0378798124557, -2427.1884947749763, -1590.8394787922416, -1236.5883797390466, -487.3283555689877, -762.5127259858446, -802.9935617747442, 510.3559166337591, 687.6577065531401, 948.0270228980448];-2.3298704785030813;0.16251501879103958;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1378.8669568752366;0.20177359460182023;72.72727272727273;11.943624440469602;16406.49807438305;0.7554439721205153;7472.717135796731;4848.387928685231;4536.04850248679;4136.306985153571;4227.350787836399;5123.985942561995;5009.2718464524205;4633.7565999594935;3764.434291794555;3655.4649860173013;2873.8432528187254;2431.638333477337;[-2185.2101357967313, -87.78792868523033, 543.03349751321, 339.09301484642856, 413.82021216360135, -122.00694256199495, -267.3278464524201, 707.1274000405065, 1080.231708205445, 2459.835013982699, 2651.729747181275, 1617.2766665226632];-2.4507275898392664;0.12792754958867963;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1593.6855860911721;0.21966308650578867;63.63636363636363;24.75594523888165;25249.0852978183;0.5367986153370373;2191.6821990911894;2172.051974867255;2860.8910093219342;3055.719952833562;3555.3618127053473;4544.416579864932;4463.502896945812;4862.338361537512;4958.359540431314;4631.775453977674;3758.7332552162616;3337.9184978040225;[-41.37419909118944, -118.84697486725508, 494.68299067806583, 1470.5450471664385, 839.0471872946523, -109.61057986493233, 1888.3411030541884, 2656.3316384624877, 835.8104595686864, 2164.734546022326, 3001.3107447837383, 1524.6275021959777];-1.9382918056263923;0.3142672898369816;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1370.5849856366383;0.3374390669179174;9.090909090909092;-2.2192285557162057;54166.33841314039;1.1709530055458144;1480.549595638465;2499.3325975586968;2496.8648336584392;2676.9895209342603;2671.078203791164;2459.729830058494;2356.7451368859365;3006.418905576338;3301.2219823421046;4489.634864707221;3990.859605102913;4670.683625320932;[3453.905404361535, -664.8325975586968, -286.36483365843924, -617.4895209342603, -438.078203791164, 781.7861699415062, 1186.7458631140635, 445.5650944236618, -297.0369823421047, -1365.2708647072209, -821.678605102913, -2161.0016253209324];-1.5941997303215307;0.4865065192701774;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1247.608817855394;0.3808303116346097;54.54545454545455;-30.818383265338884;24769.162022129785;1.116369595137613;4547.621018711195;4768.391195651059;4893.019158913266;4654.311813529322;4825.657703277506;4136.514164867828;4085.5151674154727;4474.555359607187;3645.894229417181;4054.901350599693;2827.4096906795426;2735.829192753586;[-1652.7300187111946, -1794.4971956510594, -2017.2271589132665, -1746.3118135293216, -1456.1577032775058, -554.5361648678281, -629.0151674154727, -1027.1553596071867, 193.32777058281908, 457.8746494003067, -286.97169067954246, -1183.129192753586];-1.6826198737878775;0.44008875236503203;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1324.3238361882268;0.1861814094852419;63.63636363636363;16.480520491468315;20962.389602027364;0.6901721453434492;5408.777293283096;4056.2500292514355;3556.192787776928;3324.365862898593;3715.429729578394;3820.560176417535;4229.3224959275185;4500.9726949192545;4842.70331350512;5108.25190320125;4427.0754240234555;3848.8790215094714;[-215.7772932830958, 792.6039707485647, 707.754212223072, 1151.2181371014067, 2449.6002704216057, 1996.371823582465, 1586.6775040724815, 2382.0273050807455, -23.703313505119695, 47.31909679875025, -351.0754240234555, -491.2300215094715];-2.149008969948398;0.22526962535013606;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;693.1218541498945;0.159096805943128;45.45454545454545;-0.4180618104577989;16422.26569147898;0.645488111946467;3317.6214911370157;3209.46058756788;3291.0200668680973;3346.4092297578522;3730.261922046325;3881.650450727472;3865.655045385814;4019.160324918529;4049.9386552690726;4117.938054410422;4007.65312636959;3990.995591093076;[168.3785088629843, 424.5394124321201, -44.020066868097274, -217.40922975785224, -463.4109220463247, -1014.6504507274722, -853.655045385814, -535.1603249185291, -542.9386552690726, 814.0619455895776, 781.8468736304098, 1295.7904089069239];-1.9439274746805668;0.3116865911035368;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
