train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;483.96694154829163;0.025000523783862305;63.63636363636363;-1.2626565223082455;7626.135879434157;0.543137774613771;14782.917465160284;14329.387941345782;14762.230633716134;14980.903150260016;15503.365678888498;15500.726908216466;14608.011036836464;14415.759341463676;14424.072544672128;14412.519712475647;13466.128879430325;13550.897966224986;[-14.21818516028361, -166.96040134578107, 309.8436462838672, 585.9972097399841, -370.4254588884978, 74.142661783535, -397.9277068364645, -839.1252814636755, -1137.3497146721274, 53.51470752435307, -179.5256194303256, -96.78202622498611];-1.6765964247522036;0.4432092429419747;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;733.5811680490633;0.03929751405372081;63.63636363636363;-2.0136040318315023;11564.009397797832;inf;14796.968358097576;14574.714531345273;14479.110019854772;14811.872607327407;15451.392942621278;15590.29682336451;14521.86822221605;14274.17378401078;14416.040706448399;14476.977706386482;14019.964350534668;13967.842486903573;[-35.613288097576515, -1103.3884413452724, -163.86907985477228, -39.90159732740722, -1011.8331626212785, -190.01602336450924, -108.59105221605023, 285.5381759892207, 151.56436355160076, 1092.7578036135183, -1399.5096405346685, -938.9149469035729];-1.560406342141229;0.5034460873778276;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;516.3308191917582;0.027691257051608378;54.54545454545455;-1.027486689199345;10169.363593801852;0.7551519229202464;14741.556551544032;14775.381090247745;14289.445023234184;14840.38267704133;15495.459942057516;15306.31333168641;14593.371586962618;14410.67751969726;14814.171915145458;14894.434142028098;13996.027079843645;14116.458498490929;[612.0811284559677, -602.701740247745, 395.1274367658152, 207.99232295866932, -43.79871205751624, 192.62144831359, -398.6252069626171, 38.583350302740655, -1027.4164851454589, -36.542842028098676, -993.4183798436443, -136.67045849092938];-1.57475524012683;0.49626114863456766;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;838.4490672681233;0.04793138275595152;54.54545454545455;-1.75671920203812;16521.031511509384;0.8724648265685496;14770.733585608044;15154.50082704856;15167.39005064892;15391.470758283402;15689.21472366945;15537.156888723555;14938.637802278921;14637.507740336749;14704.165177613819;14492.345158703656;14003.351896312368;13935.4343500206;[1240.599744391955, 732.9919229514398, -1704.1146906489212, -65.76604828340169, 0.7001363305498671, -178.66594872355563, -1001.1867122789208, -370.05665033674813, -879.1597476138195, 579.0407112963439, -450.19247631236794, -984.4506500205989];-1.390030324799114;0.5870462636397724;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;700.0676071255314;0.039479103357262985;27.272727272727273;-0.36678410445884224;22059.622970034125;0.9385999840445477;15536.007093053544;14793.030641607109;14550.915564306342;15639.370586385485;15441.709645184743;15574.423035319813;15123.851673250801;14068.18948006006;14798.973462517273;14411.963560327978;13678.641990482547;14261.843812950103;[-952.3965830535435, 127.78457839289149, 1121.0246556936581, -873.8796463854851, 415.8899948152575, 29.935664680187983, -1081.1487732508012, 471.8340699399396, -542.8484625172732, 965.203109672022, 47.33264951745332, -378.7785929501024];-1.3400707102921385;0.6106464719070335;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;999.1112617294245;0.04322167834311369;72.72727272727273;-0.22104193268278108;11818.151151637421;0.7622652248039821;14980.53607987488;15396.490965466946;15386.972369569294;15236.692341404232;15784.063369527183;15983.820741953097;15214.606511345639;14355.460963663329;14400.66370771653;14663.563969521645;13763.567728343665;13830.934821651388;[-98.79513987488099, 139.34780453305393, -2268.5321495692933, 2279.169978595768, -823.6267795271833, -301.1740019530971, -367.1445513456383, 218.10968633667107, 701.1098422834693, 349.0139304783552, -208.97714834366525, -13.288081651387984];-1.3427749479431557;0.6093827588652646;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;534.2236968393903;0.03209653136504328;54.54545454545455;-1.0776461686901742;10522.858595821135;0.5750976906956871;14788.231219332105;14927.892262913485;15589.324077499263;15523.372189871134;15959.332678137813;16170.531657335754;15074.67152561584;14555.67572088915;14688.525829739128;14898.138729485263;14093.065794704517;13933.831998728654;[911.6026206678944, 487.40418708651487, -458.56501749926247, -482.3305098711335, -290.705868137813, -741.6809173357542, 453.0516143841596, -699.9335808891501, -604.2191497391286, 54.414500514736574, -454.05854470451595, -96.22148872865364];-1.2557555430200922;0.6491634815141935;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;414.8779244739391;0.02219749190192973;63.63636363636363;0.2684020310658342;6536.970370236681;0.6581931432138384;14397.478997234663;14506.802038690268;14874.601502858002;14713.478565658022;15222.529426846364;15032.45882831461;14331.659565682432;14184.139142618274;14540.293594460312;15130.227127486754;14134.218836881397;14383.249452383918;[52.1315127653379, -64.05928869026866, -141.35875285800284, 538.6518643419768, -28.91348684636432, 751.1842916853911, 394.920144317568, -179.91631261827388, -71.44395446031194, 452.6714225132455, -500.62825688139674, -731.0574223839176];-1.1918962255339944;0.6770719999288088;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;574.6997103596818;0.02791746721008877;72.72727272727273;1.7449990524471815;6794.157224593996;0.7592089730422087;14805.120336827642;14732.0954060115;14904.212698044526;14635.52288579154;15118.297127476317;14824.254161102303;14348.897447202138;14453.248525529923;14264.658172511201;14342.059064754894;13172.058012272273;13304.319592086189;[210.19488317235846, 101.34300398850064, -108.09675804452672, 843.3050142084594, 741.0235225236829, 664.5682988976969, 137.90509279786238, -56.99671552992368, -817.4045525112015, 1223.0659352451057, 77.94741772772613, 53.91591791381143];-1.191392430037065;0.677287467432282;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;618.3895934801316;0.03570274874482037;63.63636363636363;0.031541648999700966;9747.233178750841;0.7526050150260418;15411.414943772228;15343.13284043348;15313.959217063973;15080.314803180534;15412.671568099495;15348.059318529678;14753.556123768914;14739.800547685241;14590.181827576542;14627.723631106093;14159.36635987175;14134.7360482864;[-476.9330637722287, 93.7077395665201, 862.776292936027, 491.8699768194656, 884.1037919005048, -73.24228852967826, -345.9746037689147, 71.29003231475872, -403.5876275765422, 783.1531788939064, -951.0746898717498, -879.6382182863999];-0.7372748160263041;0.8368568775859755;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
1990-01_2013-02;2013-03_2014-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;955.7202725445435;0.05527718527003223;72.72727272727273;5.310642174583231;11310.047306704922;1.064750763429781;14467.93221878674;13965.355606009049;14594.023230971123;14128.718798401786;14410.673536940916;14842.748935456604;14051.939647947918;14376.4252977002;14125.265349795716;14202.212316746403;13652.939105748894;13299.365723122299;[-268.4756987867404, 1572.1066239909505, 306.6389690288779, 454.8497515982144, 1122.0329830590836, 809.5988945433965, 248.6762920520814, 1093.5974022997998, 1162.3943302042844, 1481.2472232535965, 475.3706742511058, 1082.9893468777009];-1.0728959916878464;0.7257587771554703;15;261;-3.4556556713934934;-2.872678352489859;-2.57270548832225;False
1990-01_2012-02;2012-03_2013-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;586.7764420690067;0.0327206421576568;81.81818181818181;1.577301171840597;4628.237733754441;1.077879767978868;14481.517657512855;14433.949511556702;14450.477248122193;14345.280442698526;14552.058450803694;14567.162089929388;14221.375547567864;14195.378788768938;14135.666464420023;13959.686666097128;13348.349895468271;13072.910969184577;[212.73415248714446, -970.8111615567032, 660.0366718778059, 22.63738730147452, 144.89575919630624, 1056.6042100706109, -316.1491575678647, 698.1302712310626, -203.0754244200234, 870.550653902872, 139.46351453172974, 405.58178081542246];-0.8847340179124894;0.7929581458808646;15;249;-3.4568881317725864;-2.8732185133016057;-2.5729936189738876;False
1990-01_2011-02;2011-03_2012-02;DF;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1519.3291582139711;0.08377142557865191;36.36363636363637;7.993754943254899;41923.07306348679;3.055181193590363;14339.379062256441;14077.370779710292;13934.584071904772;13729.406301346418;13820.549942704482;13766.578032568625;13165.848461428777;12691.20748832814;12436.491345872342;12102.89186960328;11659.312742936228;11761.834374779892;[292.64273774355934, -398.0304697102929, 465.50113809522736, 808.2557086535817, 297.9065772955182, 1098.7353974313755, 542.8145785712222, 1743.2417916718605, 1435.5387041276572, 3509.8563203967205, 2055.491607063772, 1830.8141752201082];-0.892227866908179;0.7905211161456858;15;237;-3.4582467982399105;-2.8738137461081323;-2.5733111490323846;False
