train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AL;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;466.09600730758956;0.029331690290211824;81.81818181818181;0.6604028609490377;3675.7052002610367;0.634307881562766;15224.504867036449;14420.321032062597;15102.613743094023;15120.056056443946;15670.824355275596;16114.355072114648;15664.162871863771;15719.021626916048;15755.147341962773;16213.139671268069;15574.006186467923;15082.733019448297;[420.3610729635511, -567.2775520625964, 426.62719690597623, 533.6812635560545, 491.6520947244044, 500.2572478853526, -231.3114218637711, 403.9294630839522, -421.68720196277354, -303.73750126806954, 566.5246135320776, -584.7583794482962];-1.2575656386349425;0.6483557349590983;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;AL;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;912.7677308705994;0.05171916533598547;90.9090909090909;4.974778305707858;3613.736178555216;inf;13959.144940221393;13490.277335220155;13883.244965373353;14054.760243401477;14448.107335670531;14807.416207263777;14468.091834895515;14454.873852442164;14556.88571696878;14563.369025670618;13942.944710662618;13672.230226697107;[922.2572297786064, 275.2516547798459, 810.7967046266476, 845.6220065985235, 984.9488243294691, 1291.3374127362222, 862.6291751044846, 610.8797675578353, -122.19912696878055, 1804.4009043293827, 802.149489337382, -172.42587669710701];-1.7790430368328929;0.3909147534462829;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;AL;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;920.9356255713393;0.05841331256965291;81.81818181818181;-5.823186715488426;7274.241460759204;1.386912954965347;16184.783948564705;15785.283411307064;15666.425098490803;15575.118960580683;16271.657055004322;16444.79310313856;16025.696690208253;15542.760867265615;15169.59989185976;15450.894528020277;14267.99456829577;13865.822999850641;[-729.1698185647056, -1244.5044213070632, -1240.9540884908038, -282.3544705806835, -493.11901500432214, -1157.40361313856, -1369.2945202082537, -891.5652172656155, -1079.0274318597603, -681.4706180202775, -619.8061582957689, -460.25053985064187];-0.8316876006610725;0.8096364395298613;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;AL;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;885.0918328649966;0.051588927078876363;81.81818181818181;5.225814812624762;6988.46894127754;1.2467586474961028;14351.022976139147;13843.125548023872;14323.013297741862;14586.97379585316;15352.748086542691;15820.05077401538;15376.706588949206;15586.224741495651;15075.245990024006;15014.4232064749;14293.94987992185;13658.784641159433;[1018.3773838608522, 976.5157519761269, 762.8146022581386, 635.7454041468391, 1338.596113457308, 605.8677059846195, 840.9002910507934, 902.4654785043494, 440.17429997599356, 1376.4717235250992, 806.1968600781493, 71.15557884056761];-1.3035003050083367;0.6275694022104537;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;AL;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;637.8691076711098;0.035191905700663086;63.63636363636363;1.7268429068334628;10054.107988330976;0.9689767978412951;14112.877287418816;13463.29335293927;13654.01944113495;14505.042106264238;14600.700194618867;15422.562483830696;14656.597328108743;14416.60241638152;14647.547273869555;14188.100731871438;13826.665853787414;13157.716932237494;[-450.14177741881576, 80.01280706072976, 841.2867188650507, -863.7685562642382, 904.3034253811329, 220.4574461693046, -132.42522810874289, 944.14758361848, -159.01647386955483, 1057.4481781285613, 548.4265362125861, 7.938867762506561];-1.4800789911602643;0.5433419561767167;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;AL;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;889.0868357163073;0.04368938289435329;54.54545454545455;-1.3506979824069154;17517.038478270264;0.7628940328615887;14646.935518284083;14037.884489404438;15013.50910781539;14460.349969154302;15118.555013224488;16227.252922413927;15101.69605809679;14723.66254132292;14037.36013261462;14313.229054112539;13589.139885875287;12981.863320316716;[-207.4916782840828, 4.236890595562727, -2377.5471478153886, 1133.1446008456987, -464.81588322448806, -710.1587224139275, -980.4677980967899, 103.79941867708112, 595.79928738538, -20.40296411253803, 673.0032341247133, -71.34339031671516];-1.1803066147490835;0.6820094252224508;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;AL;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;612.8818242861124;0.03546280566493772;100.0;2.070789543579022;9.411318479481128;1.5548756214035087;13730.76879383121;13104.28985520315;14136.426709678324;13892.226235661012;14448.973377097082;15326.237324560798;14597.694342091314;14570.55024008521;14475.696804263343;14856.165806123305;14543.741083096907;13949.56672644232;[1078.0153361687899, 206.02173479685007, 465.185610321676, 614.868894338988, 940.818292902919, 580.815205439203, 759.5145479086859, 250.79189991479143, -244.5748142633438, 34.848223876695556, -191.93130309690787, -865.0739764423197];-1.4264139785541226;0.5695494799144926;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;AL;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;649.4058381228596;0.03820645168361053;72.72727272727273;2.5287217817501344;7680.312431590035;0.7297281111549948;13308.620122428158;12940.18807602514;13655.754654475952;13487.3559098544;14108.91702119048;14385.583886494383;14468.741545747189;14059.567846813497;13857.0610125747;14589.660119790697;13727.15964153032;13458.135893457786;[638.7820475718418, 604.9749639748588, 385.99715552404814, 746.9991601456004, 291.6934888095202, 1393.5809735056173, 282.0754842528113, 207.5553431865028, 410.10202742529873, 161.14604020930346, 264.5812984696804, -1079.6956734577852];-1.372821369356319;0.5952343329629481;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;AL;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;556.467202790909;0.0344774499587695;72.72727272727273;-2.5219748483157263;6580.279309253436;0.6023076978516039;14513.247180677605;14313.387936923602;14669.8031501456;14394.275938778957;14997.749746523556;15037.76315890676;15148.273285858653;14876.892781674;14201.178461352392;14745.39990012739;13770.855492596444;13179.12881604198;[-368.3685606776053, -731.3263469236026, -947.8828601456007, -375.9027487789572, 410.6035134764443, -208.45156890676117, -734.5667658586535, -542.488791673999, -879.9719413523926, 355.9279998726106, -241.72687259644408, -12.393306041980395];-0.955024376979349;0.7693128368074801;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;AL;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;692.9720061698735;0.03781164601743484;72.72727272727273;2.4573648174804474;8195.40198594601;1.041899519208607;14216.553707159143;13954.249376582839;14247.188562962132;13928.504209476214;14709.74535187834;14896.015940064151;14545.216959932586;14612.60506308129;13762.4971820334;14009.095568470011;13442.153660159955;12771.255581437881;[-562.4160271591427, -250.59720658283914, 267.6121570378673, -341.44623947621403, 621.6930581216602, -58.61014006415098, 717.0729000674146, 730.7880569187109, 163.23469796659992, 1599.7740015299896, 1024.610829840045, 348.24984856211813];-0.8934230053294566;0.7901305994382015;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
