train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;PB;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1094.3195816328705;0.0447411329324054;72.72727272727273;4.223654613362089;12945.027656966478;1.0902294488127684;21012.133340534016;20306.366727047076;20788.00874735938;21073.285980996046;21472.08992713964;21391.056024387544;20678.90038229943;20690.521381528015;19902.950341884018;20889.942007138052;19567.489009543046;18747.212994854304;[644.2344094659857, -381.2036870470765, 664.7177026406171, 1051.4259790039541, 1252.8901428603604, 1331.489265612454, 866.2282377005686, 341.48404847198617, 1347.7597981159815, 821.0054528619476, 2261.393240456953, 669.8938851456951]
1990-01_2022-02;2022-03_2023-02;PB;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;699.7621639351814;0.024929202590185384;81.81818181818181;1.3801754476266512;5516.948240124185;inf;19525.56085873754;19590.85026655151;20422.127008728676;20777.454304215535;21602.287892273696;21485.704158265446;20631.772808029444;20520.157202335104;20036.521909066334;21296.193130481617;19411.0654045924;18503.98858766315;[1618.1293612624613, -523.3665665515109, 55.298711271323555, -67.05031421553576, -125.02883227369603, 853.2614217345545, 518.0713919705559, -181.44887233510235, -474.8751690663339, 662.4119395183843, 1124.541475407601, -47.93423766315027]
1990-01_2021-02;2021-03_2022-02;PB;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1118.1220775140202;0.050594758288962614;100.0;-4.936681392213835;24.49601189620052;1.2275209412955184;21680.665704436844;20868.658575134294;21455.196963305418;21789.29949197616;22329.85618287995;22168.992106320224;21395.24536234119;21305.56459586762;20541.65709148248;21541.118941072193;20472.290409705947;19375.349428606554;[-266.23092443684436, -917.725605134292, -721.0918933054163, -303.5531119761581, -296.1387928799486, -1038.4921063202237, -1025.7109423411894, -1483.5030058676202, -1737.63897148248, -1607.0990110721941, -1506.9588897059475, -1088.5939986065532]
1990-01_2020-02;2020-03_2021-02;PB;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1163.2354398916675;0.04728079994034611;100.0;4.703881232063808;23.815136604264136;1.303012616797158;19918.316308089554;19622.584057179713;20328.63334090991;20708.49527938633;21559.21094560674;21520.10041571592;20456.577959765422;20859.77268815157;19851.76639382275;20952.032597253565;19276.143628266625;18451.723799040057;[1787.781521910445, 1022.002902820288, 1167.4210090900888, 1849.6224706136709, 1621.289054393259, 1174.709364284081, 997.0361702345799, 680.9410818484284, 36.94374617725043, 914.5634127464364, 937.8690517333744, -170.58973904005688]
1990-01_2019-02;2019-03_2020-02;PB;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;706.1356809399639;0.02605872598980102;63.63636363636363;1.047436048230279;11127.131605660888;0.7055358123489165;19759.031882687366;19531.18310961203;20025.25768840733;19944.76073297876;22364.601701558164;20448.544603701383;20581.075952571173;19712.16438842842;19897.921601819864;20650.456263192274;19240.713367331144;19065.13424253887;[-376.06630268736626, 161.8821103879709, 565.1770915926681, -436.38935297876014, -185.46583155816552, 1065.1474262986158, 394.27730742882704, 1781.4261915715797, -112.92160181986401, 260.0582268077269, 251.45692266885453, -815.2030825388683]
1990-01_2018-02;2018-03_2019-02;PB;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1701.6593501549858;0.04943663424511469;27.272727272727273;-0.8482605436724658;53626.355593438035;0.753779324915553;20239.57270050344;19877.823041059437;20710.466662439423;20232.48970195565;21365.192260347994;21356.243804943853;20126.614937096125;20651.29250527877;19914.4640871785;20737.99001383876;19503.268469859777;18820.42816139954;[-683.6035005034391, 81.34362894056176, -3691.5554324394216, 4272.41790804435, -442.6469703479961, 42.63662505614775, 207.07890290387513, -586.2943152787702, -214.89886717850095, -1273.7490738387605, 355.6518201402214, -114.82309139953941]
1990-01_2017-02;2017-03_2018-02;PB;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;953.5007442671549;0.03681857165513276;81.81818181818181;2.502492651071915;7522.362965608823;1.194180079710442;20571.11658733972;19700.351547082962;20385.869219907527;20287.126243843304;21055.689601454636;21030.11522377575;20287.027856278004;20418.55804887735;19748.780139492712;20714.16865400928;19301.638304743417;18423.135392589113;[946.3138626602813, -676.3243770829613, 1086.0438200924727, 900.5718361566942, 968.3357585453632, 1958.5962262242501, 1524.0644837219952, 413.96639112265257, 27.510240507286653, -344.1943940092824, -330.4299747434161, -264.9415525891127]
1990-01_2016-02;2016-03_2017-02;PB;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;576.9782488916875;0.019732217210259622;81.81818181818181;0.9179213149264599;4547.61087176418;0.8318762939770118;20450.204245279067;19641.01691003622;20085.66055764585;20303.72915670812;20951.980971811907;20899.659163864;20395.971842364233;20186.77371499972;19749.752232429833;20786.70515248204;19153.579960258452;18332.887347894117;[-266.92525527906764, -295.2506100362225, 168.63292235415065, 357.61685329188185, -649.4664818119054, 1584.014746136003, 130.81076763576493, -12.994724999720347, 328.6753075701672, 284.4307175179565, 726.3928697415467, -123.82756789411724]
1990-01_2015-02;2015-03_2016-02;PB;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;618.5599819916688;0.025605929221323265;81.81818181818181;-0.013010502083285753;4876.956889791268;0.6578159694804547;21106.163742746896;20262.96460724065;20313.12025175356;20412.099313781593;21064.311711079707;20668.671640528224;20354.713518063527;20341.054574771;19382.274425852855;20671.371785944804;19128.05214833291;18103.43944300586;[-846.6510627468961, -307.3631572406521, -833.2851117535611, 93.36807621840853, 970.8821289202933, 921.7504594717757, 198.21764193647323, -121.17776477099687, -534.4954358528557, -132.80294594480438, -340.6898283329101, 900.7906269941413]
1990-01_2014-02;2014-03_2015-02;PB;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1371.2028814375371;0.05749770974164504;63.63636363636363;4.602604256883212;21625.89050254876;1.7490109020136606;20333.614117464;19636.136393450804;19630.530843399683;19270.425102735262;20285.479813872287;19902.252945250526;19271.761558878014;19443.53890537073;18465.281714088476;19683.55880136498;18057.112236299057;17148.236578630786;[-1227.8677374639992, -230.33204345080594, 297.04886660031843, -26.87438273526277, 1574.2683761277112, 779.7778547494745, 2129.7203211219858, 1491.350584629272, 1017.7545159115252, 1771.1567786350206, 2288.989213700941, 1286.1547213692138]
