train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;MG;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;15011.48437300353;0.11547692224542504;81.81818181818181;9.999132838059928;118936.31724153395;1.1448621227744282;108811.54597195778;104448.94282347041;106741.28921532916;108829.95700873906;110880.65224534413;111415.45718581382;105047.42297140384;105838.73826380051;105723.3324780076;105265.47817986495;104095.72274161692;103366.85412571966;[10268.271028042218, -12380.607683470414, 23269.97888467084, 22855.49049126095, 17398.354954655864, 21652.280114186186, 10173.238228596165, 10112.571536199495, 8912.951921992411, 8446.195720135045, 14035.994658383075, 7515.504574280334]
1990-01_2022-02;2022-03_2023-02;MG;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;4220.641074231427;0.031131912885427045;54.54545454545455;1.5427374590440266;83129.83621824237;inf;102925.39782652761;100015.94379708804;103049.99617762191;108548.40331838695;110264.9822755117;109690.6489509875;105576.84746422981;106000.77777990405;105241.79186733952;104788.99321044325;102926.27527520056;102793.8703575764;[5493.219973472398, -5568.7155370880355, 6540.364322378082, 23.223481613051263, -182.8808755117061, 6982.409049012509, 1045.5601357701962, -1084.736079904047, -254.09256733952498, 5805.771289556753, 3985.9059247994446, -3014.373977576397]
1990-01_2021-02;2021-03_2022-02;MG;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;7412.182465702611;0.06158205115113455;72.72727272727273;-4.437911321611629;87732.08336657229;0.9881022529636754;107540.52255062053;105649.55199914634;106734.97072246081;112406.09647343638;114761.74655090945;114631.68325436705;110470.41208218227;110425.75112743049;109320.76420338967;109161.1532922589;108151.4002781123;106789.98677929572;[7052.767349379472, -1162.4015991463384, -3607.8421224608173, 43.07022656362096, 2457.2516490905546, -3580.572754367051, -9945.593282182279, -10502.761997430483, -10185.425433389668, -4521.03919225889, -11868.047018112295, -10102.457789295717]
1990-01_2020-02;2020-03_2021-02;MG;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;6475.997337125547;0.04196694219825569;63.63636363636363;3.453303288250288;102088.85693713288;0.9747712610402601;102396.95994630933;104001.70615012842;106481.90499046288;109538.75975770193;112825.20619368678;112682.08942998649;107042.62985462505;107510.12208899508;104311.33415640974;102144.94472755976;102785.34319381033;101797.53456274823;[15573.009253690674, 9002.172449871578, 2266.6892095371295, 4095.296442298073, 8297.66520631322, 2588.664170013508, -94.87805462504912, 853.8870110049174, -1805.3341564097354, 7944.169372440243, 663.6115061896708, -3833.463912748237]
1990-01_2019-02;2019-03_2020-02;MG;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;4499.284032139667;0.03332868772428075;72.72727272727273;1.50463047162329;53199.33889535896;0.8780726362598036;103380.98420880554;103573.45688235873;107727.8275983318;114567.67314615374;116896.2575087493;113060.5621565891;106977.73140064611;105696.56568945253;105340.68172708614;102790.10927228682;102404.98558269316;101027.53962633261;[817.7585911944625, 4249.467017641262, 5119.0039016681985, -7922.519146153747, 4782.3203912507015, 2878.2548434108903, -952.0865006461099, 6862.878110547463, -429.0748270861368, 7172.151627713174, -1596.788082693165, -1375.2715063326177]
1990-01_2018-02;2018-03_2019-02;MG;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;9232.13643714544;0.05382855379243528;54.54545454545455;-1.2073796280688813;181926.80728276918;0.8140697763140692;107022.17530191164;109149.80633944202;118665.62710646313;115574.10553288764;121513.28014762134;120629.37819886256;109893.35457556148;111995.64544856579;109616.27043093307;108408.7436989891;105994.16733961554;105864.34195197828;[2332.9550980883505, 762.380260557984, -21648.494856463134, 20665.709667112373, -7635.046447621338, 2747.277601137437, -1391.2838755614794, -2548.197948565794, 1402.5266690669232, -2887.2309989890928, -2224.368439615544, -5613.722351978271]
1990-01_2017-02;2017-03_2018-02;MG;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;5151.069195004106;0.037225386687662614;54.54545454545455;-1.9763597605409566;101469.14445818357;0.48665454132589864;116786.36871445189;114052.61259948507;124772.51831695352;122911.99775706745;128605.70296387826;124283.8851662375;115072.8654419548;116125.22889421757;113212.01097154415;111937.40489989621;108749.82688815247;109376.75208000475;[7422.031985548107, -9175.244799485066, -2981.065416953512, 149.71684293255385, -3391.8678638782585, 3537.254533762505, 135.72395804520056, -7368.942994217563, -1604.5420715441433, -1300.875099896206, -4415.555188152473, -8253.52568000475]
1990-01_2016-02;2016-03_2017-02;MG;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;6620.759484583864;0.04670880633838707;63.63636363636363;1.5995871225792095;104384.5692500904;0.4453226883651086;116871.23678293033;114686.2944604894;121813.9546544699;121128.84971680232;122494.85075288624;120971.87344912965;115805.04266071855;113516.77781865912;111327.72748400318;114440.64670385432;110156.38011673231;110764.35402641972;[2178.60381706967, -2390.970160489407, -1408.7897544698935, 5664.23538319768, 3135.4137471137656, 10152.106650870337, 2547.471839281454, 747.4033813408896, 7679.082315996828, 12053.090596145674, -9438.40551673231, -8258.877626419722]
1990-01_2015-02;2015-03_2016-02;MG;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;3452.318969597821;0.02649575007357158;90.9090909090909;0.8185521942707765;13629.694241185376;0.32604280729980734;112352.95942025678;111975.4794528677;118737.07418482646;119865.29640549743;123532.11717760269;121732.8211801904;117450.46733885944;117264.93368519869;111631.62092318873;114173.55270133243;108393.57266849546;105866.40282940672;[2171.4916797432234, 2232.5024471322977, -237.77348482645175, 2692.437294502568, 3915.4571223973035, 2015.796619809611, -3884.978238859432, -4256.279685198693, -4301.985023188739, 5156.286098667566, 626.2443315045384, 5284.61167059328]
1990-01_2014-02;2014-03_2015-02;MG;glp;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;6630.12412674651;0.04595573192434927;90.9090909090909;3.6128018152992456;26231.461608695456;0.6684937164142389;111743.3941252019;113551.03185516752;116124.23617552809;116066.62730636922;118140.85725901862;113186.59876862825;109775.53605260671;109933.83877729697;104039.89978898915;105877.09763705022;103414.8573412925;100511.11538133209;[-2904.2220252019033, -2874.495655167513, 2377.45402447191, -1839.6853063692251, 9474.976040981375, 10067.325131371748, 6077.873347393295, 6386.380422703034, 4599.270511010851, 13984.494762949776, 196.02485870748933, 4019.7234186679125]
