train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;RR;oleodiesel;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;3075.805915771859;0.1432507350108931;45.45454545454545;-10.307675768646325;72841.24814738941;0.47235646022352257;20612.789457283598;18598.589950243102;21548.246311662995;20679.3728226591;20454.299589846876;22885.119042432583;22044.15762606384;23044.88714304566;23155.168397438214;22004.628987909753;22545.42102468894;22531.824133957936;[-1156.0894572835969, 1805.6700497568963, -3129.446311662996, -6214.9228226591, -4344.594589846876, -1786.5990424325828, -657.1576260638394, 1131.1788569543387, 20.031602561786713, -4723.926987909752, -3189.4260246889426, -2060.1241339579356]
1990-01_2022-02;2022-03_2023-02;RR;oleodiesel;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;13541.211221895446;0.606253898893375;81.81818181818181;-52.47330080340426;110168.94287257627;inf;43366.91299886244;40790.737523988726;36214.575079268994;34740.57828953625;35374.12869475258;36504.83578198733;36977.001001297824;37107.81875506212;36237.293719021836;35501.930217063964;35898.73074578336;36720.1088841543;[-4642.612998862438, -11949.872523988724, -7007.175079268993, -18864.87828953625, -14892.67769475258, -10700.835781987327, -10773.301001297823, -10161.323755062123, -11087.043719021836, -17026.780217063962, -16122.798745783359, -20065.9088841543]
1990-01_2021-02;2021-03_2022-02;RR;oleodiesel;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;4473.37626734045;0.0931672343940743;63.63636363636363;1.8979469530142088;70619.34349093931;0.2657970471665969;43464.51239300785;41000.858584594054;36511.743811745764;34817.866618179876;35057.34680207748;36661.05896191839;38671.40150491668;37863.54813118439;36478.29411662263;35909.85038186962;35826.53973911013;36588.131824718745;[-4177.995393007848, -5745.922584594053, -2415.1428117457617, -1461.4666181798748, -3631.2708020774808, 2117.7410380816145, 1056.8804950833219, 10038.351868815611, 2713.4408833773705, 5785.3256181303805, 4610.960260889871, -207.1318247187446]
1990-01_2020-02;2020-03_2021-02;RR;oleodiesel;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;5432.226184241847;0.110841413964463;63.63636363636363;3.1482019773996015;85797.84855518276;0.3324449078616752;48288.303177272915;43818.673489022534;35025.424484806346;32524.983205300403;32515.072561856978;34893.08225071354;37770.50938726246;34673.43673448187;32516.911851338653;32724.268898694114;33469.44782370689;35857.07350945495;[-6832.103177272918, -7945.173489022534, -392.1614848063473, -2179.783205300402, 2247.4274381430223, 69.40874928646372, 621.7426127375438, 8109.80126551813, 7720.088148661347, 8702.907101305886, 5522.152176293108, -1534.4735094549542]
1990-01_2019-02;2019-03_2020-02;RR;oleodiesel;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;19197.074539818415;0.5068390055883198;36.36363636363637;50.92581016775446;533209.2844868205;1.4823846970266525;32342.296235980837;22745.46143610716;12619.483919436907;13327.946617686088;13946.03873067861;16063.306854141165;21162.36208102986;17244.130297256263;16053.014738643837;16815.132071898257;14882.991133201293;13876.12691352635;[1490.8767640191654, 18282.793563892836, 20309.166080563096, 15652.603382313911, 17718.61226932139, 19973.393145858834, 13707.237918970139, 21249.76970274374, 24834.885261356165, 19546.040928101746, 21342.608866798706, 24934.507086473648]
1990-01_2018-02;2018-03_2019-02;RR;oleodiesel;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;7877.6499642963945;0.30262741508375185;54.54545454545455;33.91919116054901;156089.27814318685;0.6059137292170965;13193.149101558745;10895.850025077816;9484.746584562003;8935.9807409724;8989.011890596794;10242.09490915653;10616.873578908928;10178.217674593277;10289.147640966472;10282.84692621;10358.120913649205;9480.091487255164;[3321.2338984412563, -881.6640250778164, -815.7665845620031, 1022.8052590276002, -1629.0118905967938, -13.994909156530412, 11747.165421091073, 17124.29532540672, 7353.105359033529, 5096.78007379, 9596.929086350794, 11186.208512744835]
1990-01_2017-02;2017-03_2018-02;RR;oleodiesel;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2353.7401873200297;0.1605923286465981;63.63636363636363;8.945028244524721;37228.000571303906;0.12769861258494028;12168.981055090331;11088.299862035667;9786.196552300042;6963.285033385228;6913.190673269162;9913.959128182058;10741.07722452968;9026.880323992847;8372.839088133198;8211.96821277213;9951.274360140527;10439.57105944895;[-2145.1393150903314, -1739.4708930356664, 538.1451876999581, 785.2349026147713, -910.838027269162, -314.4064821820575, 743.6863254703203, 3856.0374160071533, 4943.181291866802, 4002.1041672278698, 411.0766398594733, 987.9799405510494]
1990-01_2016-02;2016-03_2017-02;RR;oleodiesel;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2705.427463060997;0.2527577990017404;72.72727272727273;-5.798593234092939;32248.66282048475;0.16675467047078585;12969.907262267145;11573.548067270094;10383.72676639056;9202.90970777178;9453.829046078172;9942.302262719917;10481.57777942908;10507.154577023077;9749.896117170187;9909.195381291516;10164.717591178105;10431.582041414642;[5596.550737732854, -1964.3480672700935, -2721.12676639056, -2289.9097077717797, -3284.629046078172, -1704.7022627199167, -1754.5777794290807, -1296.1545770230769, 1741.6038828298133, 3767.604618708483, -1594.254042178105, -1334.4512024146425]
1990-01_2015-02;2015-03_2016-02;RR;oleodiesel;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2146.471517327701;0.21052697971262038;63.63636363636363;-9.944199620125673;33997.15025825057;0.1337755121483898;13309.160366970566;12890.288618973393;11295.275449596586;10000.68388808791;10488.746489280771;10758.713473432152;11062.346089504343;10918.594233066407;11092.954262914804;11596.116305893736;11082.869979474464;10974.452582349952;[766.1410530294343, -513.7886189733927, 301.22455040341447, -1745.2838880879099, -3266.4954072807714, -3762.154085432152, 2816.6170804956582, 1288.3609669335929, -2229.626031914804, -1949.1407748937363, -2351.4699794744647, -1607.3525823499513]
1990-01_2014-02;2014-03_2015-02;RR;oleodiesel;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2574.5244116396048;0.1743773737324418;63.63636363636363;18.105148801176572;40735.38817567857;0.15165243260478586;11293.717679121635;10381.966960352027;8920.203791086544;7989.786639918467;7328.2546784370825;7811.446282890495;8447.714174796103;8197.226324310745;8536.444727565822;9449.179519693704;8994.155975403432;8893.845609503911;[81.88232087836514, 242.03303964797306, 2507.996208913457, -348.086639918467, 942.9453215629183, -222.5462828904956, 3633.085825203896, 2489.0736756892547, 4174.755272434179, 4477.520480306297, 2562.583234596568, 2946.9543904960883]
1990-01_2013-02;2013-03_2014-02;RR;oleodiesel;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;2212.722613122315;0.17515600056959021;36.36363636363637;18.42402592961642;61145.00430020042;0.11268265067744504;8267.356205865353;7911.339952743588;7283.997417952181;6636.634438279696;6709.169636453873;6798.862846840531;6914.90442124966;6816.026316189221;7204.582556280575;7716.048966453624;7377.883902781888;6950.4610724111235;[1299.8437941346474, 2513.860047256413, -325.7974179521816, -51.13443827969604, -72.16963645387295, -252.26284684053098, 1174.89557875034, 3658.473683810779, 2609.317443719425, 2086.351033546375, 2850.6160972181124, 4063.838927588876]
1990-01_2012-02;2012-03_2013-02;RR;oleodiesel;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;1048.175954207662;0.13187929922535613;63.63636363636363;-2.927553803698191;16566.424061255613;0.05344603999368771;8619.684367291618;8367.146068171278;7662.791591278137;7015.71346650817;7035.960023911316;7300.094111924458;7316.838998723777;7110.989779054582;7211.724270180368;7618.25431783171;7069.260147196774;6523.760993002249;[155.38568170838153, -1326.4201981712777, -1274.7652122781374, -843.4771955081706, -1252.9792679113161, -1276.287516924458, -628.6196617237765, -161.03974805458165, 768.3521398196317, 223.06109016829032, 1669.7398528032263, 1419.8390069977513]
1990-01_2011-02;2011-03_2012-02;RR;oleodiesel;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;5512.796403155787;0.7535535282402898;45.45454545454545;-73.12990440582362;132022.66111108815;0.31351456720245036;15181.314703097292;14730.157314749878;12566.216276792513;12520.366796565635;12621.623044294203;12254.364502288836;11973.165905148004;12336.119406811631;12232.04361303301;11674.71836976098;12021.069551692877;11657.182341565795;[-7447.430085097292, -7200.660814749878, -6056.470545792513, -6816.104480565635, -6521.650370294204, -4919.937386288836, -4618.8630331480035, -5076.750584811631, -4534.419499033011, -3795.3271127609796, -3766.1888326928765, -3352.9982585657945]
1990-01_2010-02;2010-03_2011-02;RR;oleodiesel;DWTSWT_ridge;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;6256.805918338669;0.2833382822119087;27.272727272727273;36.18140651025445;197814.85082158467;0.33595662871382914;12847.57448082939;9278.554273519725;6573.603742416236;6825.054180253854;5995.96231113536;6176.28555207607;7581.401814466473;6263.371965247448;5996.578297306154;7320.349649737261;7237.818235517698;6918.222776318034;[-376.73573082938856, 4881.804856480276, 10849.422587583766, 9057.816789746146, 11172.31632886464, 10765.219967923927, -35.90671646647297, 1804.5794027525517, 1178.746348693846, 260.5398512627389, 133.8822654823025, 774.4817596819657]
