train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;MG;etanolhidratado;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;45043.418820744264;0.2146585994944181;45.45454545454545;14.154526513120972;1068066.7141509678;0.6534534204172615;114308.17487010163;121306.31105703731;151062.890084676;170427.2002044679;155332.82415339793;138190.88874878816;151101.08621129728;166205.9615616114;156828.73447857628;146619.46187260564;142394.66199405742;153923.59370870085;[19457.338129898373, 3869.365942962686, -23050.49308467601, -41395.1902044679, -23731.37315339793, 25741.20825121185, 34696.0047887027, 36211.23143838861, 47500.209521423705, 88398.74912739437, 72786.17500594258, 50982.13429129915]
1990-01_2022-02;2022-03_2023-02;MG;etanolhidratado;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;44747.641239380944;0.2661469950998866;63.63636363636363;-11.242778941311101;709753.7534650282;inf;120183.7021362903;148437.7556608804;181111.9418139503;198456.11328999355;177524.61686619592;160163.55266411448;182524.882971795;195523.0361115285;180229.45103578366;174236.1941523861;167387.73786607402;183929.91920723225;[85370.0368637097, 44787.6423391196, -12276.801813950296, -12975.001289993554, -24390.58986619592, -20122.52566411448, -26983.05997179501, -44071.617111528496, -45919.153035783645, -27111.9171523861, -58973.88586607402, -66508.76920723225]
1990-01_2021-02;2021-03_2022-02;MG;etanolhidratado;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;59500.11810971379;0.32895215944311507;36.36363636363637;-29.627194181567795;1648031.0918694849;2.2554999123250985;216579.97971024425;243480.4048935187;256428.20861900758;224528.7038686148;207878.462335856;220262.95165723012;228587.3098278721;236951.79041804306;224061.35126429898;230491.11477259704;238843.10340493266;223799.89176543307;[-7158.179710244265, -29041.62489351869, -42967.24761900757, -47278.75386861479, -18376.313335855986, -34751.476657230116, -51593.2868278721, -63656.07441804308, -86339.13326429899, -63645.31377259703, -111898.63140493266, -72258.25576543307]
1990-01_2020-02;2020-03_2021-02;MG;etanolhidratado;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;51778.292739749166;0.2085500058732104;54.54545454545455;-16.75847806165489;1023800.7713311703;0.5426114585932951;275679.8088640167;273647.4379542235;271824.9500038688;256106.46739940636;255257.24094757694;267239.54311087297;263922.1544619392;264607.0275469848;262040.06881778062;263973.8970147864;270539.46318877075;260368.42139009974;[-79412.71686401672, -102627.67895422349, -81032.64800386879, -60538.773399406375, -37193.156947576936, -42781.759110872954, -18026.752461939177, 6132.974453015195, -15089.796817780618, 17723.808985213633, -21372.305188770755, -22957.52939009975]
1990-01_2019-02;2019-03_2020-02;MG;etanolhidratado;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;61973.18328652681;0.2103017079203102;45.45454545454545;17.941131226232887;1469385.297961342;0.513019800795059;288579.5366411147;254846.12326684216;222250.8768335149;195521.60443597467;197629.00310982775;218566.3259496847;198807.0393551486;206149.9432287026;211857.6996616015;212939.49232193426;220043.4422225172;198150.79942606867;[-48131.708641114674, -8286.514266842161, 35999.88916648511, 50878.93056402533, 81815.93189017224, 51011.45905031529, 73144.72864485139, 89229.24377129736, 72936.57833839848, 91361.66667806573, 44493.111777482816, 39544.399573931325]
1990-01_2018-02;2018-03_2019-02;MG;etanolhidratado;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;107652.9950508249;0.39910002337684714;36.36363636363637;43.072029791590914;2985031.452132821;1.142111749187316;154194.53162688456;132049.9765071732;131438.96280127822;115389.89877334019;117551.1813088216;116240.6060465928;126530.97503214951;126269.50677981012;132478.45202848362;129546.75233259384;127268.77014812201;110181.66049908359;[3195.4403731154453, 25498.728492826776, 22049.39419872177, 79417.92622665982, 102015.7586911784, 127599.64295340721, 114172.3529678505, 150485.12922018988, 121797.67197151639, 146802.55766740616, 127380.437851878, 128975.9875009164]
1990-01_2017-02;2017-03_2018-02;MG;etanolhidratado;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;41846.054681275324;0.2142383049525769;63.63636363636363;20.356800995285493;662789.8243378565;0.6379895327774504;88296.72717139334;103292.68088573443;108626.07062557121;104090.12423012404;104930.731407551;108660.08202963154;119597.19250460855;116646.18468419854;110926.00890694589;110400.71866845824;112743.58459563406;108528.02897797809;[-3142.675171393348, -16173.815885734424, -12896.820625571214, -2015.364230124047, 4321.518592449007, 28697.524970368453, 40221.40749539145, 56669.53731580147, 61946.946093054095, 81500.10833154175, 55070.71840436595, 37247.171022021925]
1990-01_2016-02;2016-03_2017-02;MG;etanolhidratado;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;42394.101530126725;0.3695219995476224;36.36363636363637;-23.527186801293873;1174978.0306760417;0.8382473449918534;162691.90017682133;141525.3196718055;146331.77199278175;137780.20817548112;137404.83962593303;135044.93754971077;141536.72261247583;145678.24230559767;146212.84676363153;137682.07633541294;145640.90114925322;142456.98182561898;[-72894.73317682133, -40625.67167180551, 1846.9180072182498, 6822.54882451889, 12097.144374066964, 12565.962450289226, 5424.830387524184, -28604.70830559767, -57957.26076363154, -32155.31233541295, -64293.333149253216, -69817.82882561897]
1990-01_2015-02;2015-03_2016-02;MG;etanolhidratado;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;95307.24863167581;0.5412796274542491;36.36363636363637;57.08565390143965;2648578.0706364983;2.478392909181042;77641.32350513081;76044.97452200213;68742.92360283484;59414.16427479701;58659.842425733936;66119.48319730583;62664.777518252755;61938.29767648756;60665.37554449553;65618.50974642838;69496.0456421587;62039.27165749415;[28591.16749486918, 65074.33147799788, 75559.02839716515, 102279.717725203, 126317.43457426607, 119921.28480269418, 135163.46648174725, 143926.01532351243, 86784.49145550447, 88643.71825357163, 44908.078357841296, 32437.12634250585]
1990-01_2014-02;2014-03_2015-02;MG;etanolhidratado;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13300.69987742678;0.16320894104008887;36.36363636363637;2.9551708994557893;367449.9686190341;0.11918004529130974;73935.5180528473;67948.93647202717;64354.507040022116;59034.890711022905;59361.88624845918;62526.981543735834;56344.4013240045;62776.52345583296;62225.73113715952;61466.41752864362;64439.722948572016;59933.463614921464;[-21796.108052847296, -11230.856472027168, -11536.505040022115, -4845.528711022904, 391.1257515408215, -3654.128543735831, 5748.660675995496, 4839.583544167042, 5245.616862840478, 24014.49747135637, 12881.874051427978, 22912.90638507853]
1990-01_2013-02;2013-03_2014-02;MG;etanolhidratado;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;20106.004784705416;0.27995472017699874;45.45454545454545;29.19995990909172;477325.1482254147;0.2004643529124443;44573.024870633904;45031.24357090654;45604.80347521063;45412.968678502955;44343.38947108811;43431.60533975079;44789.846118508;45247.19498463022;45185.90125063789;44475.70700624365;44039.108652505056;44073.655406576596;[4917.544129366099, 16186.124429093463, 4871.8645247893655, 10220.956321497048, 20779.459528911895, 20999.585660249206, 19042.733881492, 24657.43801536978, 22173.25874936211, 32904.65799375636, 26287.95734749495, 18106.107873423403]
1990-01_2012-02;2012-03_2013-02;MG;etanolhidratado;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5299.13132993881;0.09956650165836901;27.272727272727273;3.93063627340349;167110.95811917426;0.04254603552120959;36950.36572361022;42885.17383337631;43715.87996620031;45610.9522213137;45507.32772405565;42680.535292648485;45770.032819393986;45361.174116148824;46090.3777685199;45129.877022221706;42797.18599618636;42683.233211562954;[4731.907276389778, -3449.8338333763168, -2597.894966200307, -5508.0462213137, -3068.3337240556502, 303.87470735151874, -2581.9348193939877, 5978.606883851178, 2848.474071480101, 8264.390897778292, 8149.254003813643, 8417.133788437044]
1990-01_2011-02;2011-03_2012-02;MG;etanolhidratado;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22591.825692928578;0.4951971104573641;36.36363636363637;-47.29160006212351;627383.6835586375;0.18881091639205305;47086.34417006939;56461.584939156724;67760.25408906395;67253.65895516441;67557.89433520031;62513.78188676945;73908.00274137783;71977.59056476892;68707.77806074962;66472.82864595918;66376.76850990894;65718.51676050699;[28.642829930613516, -23987.449089156726, -19284.32808906395, -14404.921925164417, -19689.68869520031, -11438.373886769448, -31236.31174137783, -29394.03756476892, -28062.327060749623, -20919.78964595918, -27257.973509908945, -25368.004760506985]
1990-01_2010-02;2010-03_2011-02;MG;etanolhidratado;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;18518.18180509597;0.22081163360932407;54.54545454545455;-19.78780004406807;366257.1269996926;0.1763724314970285;59065.637044287454;66980.57759248592;96538.05710162628;86177.93773187463;88880.81198018783;78320.4051139274;92962.37396857397;104595.50574070678;94506.08080375413;85276.88582679318;86824.98857982822;87208.25415100722;[-7300.426424287456, 1030.8821375140833, -23953.356101626283, -7580.753731874633, -1672.353980187836, 2558.086886072604, -9138.355968573975, -29998.203740706784, -26288.510693754128, -10783.794716793185, -24498.65494982822, -32080.900511007218]
1990-01_2009-02;2009-03_2010-02;MG;etanolhidratado;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;25556.894750454154;0.283418832597596;45.45454545454545;12.782957519738575;606768.230741775;0.37386536295260536;92794.48745791543;87401.6942265022;84530.19037030007;76050.60566597119;76899.32737969325;83401.40887332293;78829.33744474119;81367.98663234807;78376.44177454695;80202.46706143959;84180.99181071756;78483.79319253223;[-528.1714579154213, 12847.274773497804, 17518.58662969993, 25229.78953402881, 39156.00762030676, 24242.816126677077, 34053.801555258804, 25935.80036765193, 7015.710225453047, 23212.38293856042, -25413.001810717564, -39268.23219253223]
1990-01_2008-02;2008-03_2009-02;MG;etanolhidratado;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;33681.38064292535;0.3641071287655218;54.54545454545455;35.17617722683123;668247.7305737685;0.434980908904772;79207.91490136138;65694.13171155193;57248.99077860641;44536.1913099916;45693.81928631665;54407.49092253475;49134.29620890841;49733.96064437494;48691.89582062879;49731.98487997021;57268.101506329775;46633.54100265191;[-11432.177571361375, 8890.908468448062, 19386.824571393598, 30883.5065000084, 37359.32980368336, 25467.975777465253, 36088.046971091586, 41996.642815625055, 34858.4339893712, 56133.472420029786, 34250.47849367023, 37739.46299734809]
1990-01_2007-02;2007-03_2008-02;MG;etanolhidratado;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;27129.723786349765;0.3973955510638511;45.45454545454545;43.36111346401785;645451.3415948347;0.23711529816804644;32325.423561018688;34431.009031966954;30539.270058074926;27775.53008273001;30537.926593252672;31733.280796638697;31543.35325891726;30217.124863551067;30624.174023222156;32685.956028001314;32649.950143835278;27471.329863477084;[6563.893248981309, 1329.366408033049, 8491.784341925075, 15195.81641726999, 20439.09260674733, 22137.040903361303, 24399.63802108274, 36879.13751644893, 35955.65735677785, 40445.32192199869, 37498.73760616472, 35866.152786522915]
