train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;MT;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4614.39969593403;0.07169664365615948;36.36363636363637;-0.46798334024665916;127296.64823357108;0.8150498823378043;57996.52685449932;57202.60534548012;55822.17491583882;53720.62192425012;54558.94869545087;55324.34127393271;55958.916853915645;55196.74709023333;55928.08210547506;55751.21313471992;56633.756506536774;54754.1970237759;[-2065.4828544993215, -2604.3053454801193, 8157.384084161182, 5612.4700757498795, 2415.5013045491287, 3716.3587260672866, -2139.1168539156424, -862.9470902333269, -3544.4321054750617, 2018.2368652800797, -4749.363506536778, -9069.821023775905]
1990-01_2022-02;2022-03_2023-02;MT;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6512.502646876455;0.09671356531938917;72.72727272727273;2.993146260023298;77182.86586849001;inf;68080.38169247385;60108.31141167741;50617.70046921883;47495.93034998941;50828.88518328208;51033.005792614706;52809.86781584965;49871.61720602677;53853.02396987783;54034.272341457734;54008.25066675217;51376.07067549507;[-14508.195692473848, -7864.061411677409, 4966.199530781174, 2495.386650010594, 1072.4648167179184, 5855.364207385297, 3577.9991841503506, 5055.171793973226, 2705.596030122171, 9679.527658542269, 1477.6563332478327, 5361.129324504924]
1990-01_2021-02;2021-03_2022-02;MT;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12773.454897999007;0.19050862549036549;45.45454545454545;20.084954593453762;302752.8458692608;2.7047412394462884;44666.719009608176;42420.840154130616;42615.71831465197;40175.37605560926;43479.1343635628;39306.48613562038;42530.634679250106;42925.77406206169;44657.39483864271;44205.71877106694;43021.27833021913;39808.36793558027;[-903.2550096081759, 95.31284586938273, 2110.8316853480355, 11434.073944390737, 7430.715636437199, 12815.970864379626, 15243.465320749892, 11729.715937938308, 14882.194161357293, 24022.34122893306, 12961.671669780866, 16307.776064419733]
1990-01_2020-02;2020-03_2021-02;MT;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5140.845721887063;0.06781999374329989;81.81818181818181;6.890531779963414;40625.16830697238;0.24564395479489814;38967.211319732196;38680.86436588696;39638.204970135295;39844.640115445094;40172.8392315557;38896.36413526553;39158.07551775434;39508.27947876954;40356.491942950364;39664.63298651387;39242.53730693699;38917.545418801965;[-348.862319732194, -1299.6643658869652, 578.1880298647011, 202.39388455490553, 471.90176844430243, 873.8738647344653, 3460.8444822456586, 5261.10652123046, 4826.576057049635, 14876.345013486134, 5405.518693063008, 699.497581198033]
1990-01_2019-02;2019-03_2020-02;MT;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3881.422238076219;0.08151887595031557;27.272727272727273;-7.177832873318655;122372.67677141698;0.20012849781559153;40002.247312611966;39592.632024732164;43021.53283003671;44360.53922723897;43824.34111454976;40953.13768667051;43229.89176207713;43680.092956150016;44513.691406716935;42225.18272444805;42596.740528233255;41485.39550809448;[173.95268738803134, 1231.762975267833, -2586.811830036713, -7494.609227238972, -2847.937114549757, -1088.6106866705086, -5682.476762077131, -3602.342956150016, -6572.791406716933, 408.66727555194666, -2823.2805282332556, -3236.3955080944797]
1990-01_2018-02;2018-03_2019-02;MT;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8721.622499528627;0.19350190097041983;54.54545454545455;-16.012415372567343;172397.00648931586;0.6501826024135967;44760.39052227022;47655.4924312643;51081.962877362545;50869.69722167388;51360.94288153042;47088.4072006179;51860.34257574038;52712.48999280249;52525.53476581128;51402.539852670925;49920.90759531903;47598.768364331016;[3410.26947772978, 3313.935568735702, -5902.207877362547, -5997.507221673877, -9729.719881530422, -3927.406200617901, -12734.998575740385, -11933.13399280249, -13075.275765811282, -6524.798852670923, -9674.157595319033, -9878.518364331016]
1990-01_2017-02;2017-03_2018-02;MT;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5134.332807156849;0.09252837959670672;63.63636363636363;-2.5713683188201806;81051.94425360495;0.5972837304438015;53341.338222628445;51851.654766151856;51649.31999492199;51614.84907703308;52685.46091309031;50006.82163984266;50637.79916854452;51546.67354991562;53513.909364611034;52512.01058394674;51553.00182005296;49724.138755297674;[4829.745777371558, 2474.8752338481427, 4970.826005078008, 2356.1309229669205, 2237.589086909691, 1736.7283601573436, -2687.3511685445264, -3056.783549915621, -8356.649364611032, -2427.073583946745, -8192.852820052962, -9443.973755297673]
1990-01_2016-02;2016-03_2017-02;MT;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6046.831947212532;0.10062571065485636;36.36363636363637;10.28612983531106;166888.84002686114;1.5922368562504778;47272.49958733637;45968.04922892603;46320.337348808556;47210.136996861285;46255.203596366206;45402.69808124553;46977.70619046315;47417.7299309621;48417.886542694316;46724.257761893736;46137.146390940885;45731.196831424284;[6471.700412663624, 5709.92777107397, 4644.00265119144, 1834.1590031387168, 3845.456403633798, 6333.1799187544675, 5373.8638095368515, 3645.5790690379, 2524.163457305687, 13287.985238106266, 6679.106609059112, 3838.6531685757145]
1990-01_2015-02;2015-03_2016-02;MT;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8426.372906944225;0.1562790992164847;54.54545454545455;-15.192137598070579;166424.5001643844;0.862576493182174;52723.41043008056;49837.09275604486;55563.440530976884;51874.713557189636;56520.15815735954;50412.488238405334;55812.93549760515;56097.908805352185;60634.290441201665;55996.31350046822;53815.24870704934;51039.13138314262;[-3841.887430080562, -1403.8057560448651, -10573.730530976885, -4644.391557189636, -7210.271157359537, -4900.005238405334, -9204.176497605149, -10705.138805352188, -18821.940441201667, -4526.453500468218, -6086.808707049335, -3849.911383142622]
1990-01_2014-02;2014-03_2015-02;MT;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7447.592587671408;0.11850224835391741;45.45454545454545;9.777556563847876;176288.7128124139;1.5354680348514227;52305.582525300604;50730.508235713685;50739.93286488187;46863.62350229805;47776.79771319492;49353.970795626374;50653.60961494246;48255.409161075404;49568.95966087576;49518.59926351373;51584.99650141704;48148.341740948665;[823.6544746993968, 6091.935764286318, 8846.13713511813, 7202.156497701952, 8824.395286805076, 5838.989204373625, 6776.534385057537, 12049.837838924599, 554.4103391242461, 11388.479736486268, 3414.574498582966, -7275.741740948666]
