train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;CE;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9829.294785674409;0.06640106217674223;63.63636363636363;3.9296059569690622;155054.91666183752;1.0320097540661481;124131.18819970058;128169.5942892087;128215.15913593593;112957.03078261967;117091.57336405807;120771.94959538105;123271.6551374656;125115.89787815677;119820.06434192299;120739.24660354978;130876.27402205628;118074.21767005496;[-1806.5881997005781, -12262.942289208702, 6648.395864064063, 14791.869217380328, 10253.281635941923, 10275.750404618942, 2216.1548625344003, 5888.102121843229, 8731.797658077005, 18930.353396450228, 3287.7759779437038, -6857.287670054968]
1990-01_2022-02;2022-03_2023-02;CE;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;17453.818156485406;0.1100226976189737;63.63636363636363;9.449644781547367;275659.615815073;inf;99180.29452268442;116131.91597190399;117696.23907619042;110662.93052380953;113585.79290838556;102553.97903615769;105294.66066749713;112459.01019505196;108889.51595006039;110355.03840627756;110890.64958335916;115154.03880839901;[10031.04047731559, -7443.720971903982, -3253.5800761904247, -4651.4405238095205, 5318.551091614441, 27787.85996384232, 25175.639332502877, 20782.18380494803, 14695.718049939605, 33474.47659372246, 16269.281416640835, -135.73880839900812]
1990-01_2021-02;2021-03_2022-02;CE;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12548.526946915641;0.1006696811235157;63.63636363636363;2.5569935094733225;198136.6477758748;0.8902651439992584;89189.4794333489;109752.04871761387;120084.14871803088;104431.76228737672;117559.16881184764;95680.72607102583;107035.06418650372;112051.76272987171;108493.3619962654;113462.91892809435;113992.60106133424;103488.90684491061;[5305.694566651102, -21295.13171761387, -16801.542718030876, 5706.307712623282, 4939.702188152354, 20782.26192897417, 12089.350813496276, 10870.778270128285, 2429.9730037346017, 15229.12107190564, -10404.801061334234, 5136.093155089387]
1990-01_2020-02;2020-03_2021-02;CE;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;21304.705104577333;0.1800012456930058;63.63636363636363;-10.573504624866983;337125.48939655744;0.9764584228036371;117755.33542748723;115718.13285895363;120453.21790697747;111694.44103918488;118654.66695885692;111009.18563711338;114073.7528022694;119507.96096350756;118299.66596100917;114626.02904492011;119203.47725186488;114683.81123250563;[-26199.00842748722, -38487.51785895362, -43955.34790697748, -18581.02803918488, -9651.084958856925, -2306.4356371133763, 2616.874197730591, 6112.767036492442, 2176.634038990829, 19367.369955079892, -2850.3852518648782, -21703.61123250563]
1990-01_2019-02;2019-03_2020-02;CE;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7604.418642158069;0.04476401976141419;63.63636363636363;3.455352947398469;119886.6447130154;0.7458096332888186;113163.83615514384;113150.00520653291;115460.47120206714;106676.97646851577;110790.72418539335;109442.45262671068;113902.72571989062;114620.99156206717;111382.05566370925;109441.7700461861;113444.91212477413;108965.86561592056;[-6736.53615514384, -441.0452065329009, -1018.1712020671403, 846.0235314842284, 9594.375814606654, 7432.947373289309, 63.874280109390384, 7722.523437932832, 8697.74433629075, 18831.933953813903, 3059.0118752258713, -77.95661592055694]
1990-01_2018-02;2018-03_2019-02;CE;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6731.412041647989;0.05483604405026469;63.63636363636363;-3.2377467140631375;106152.95030761255;0.5307694520301246;117303.99209624194;115653.48311971915;116831.0639638491;109151.42705575614;118032.94964527212;108831.79886132748;114521.93026481882;120173.76430011552;115306.28473319576;114807.36971619904;115216.19456378615;114530.98931792799;[-1899.5850962419354, -7394.826119719146, -7138.299963849102, -5734.427055756139, -10536.417645272115, 6425.661138672527, -9594.597264818818, -2331.2223001155216, -5494.913733195761, 7920.727283800952, 158.89243621384958, -7671.9413179279945]
1990-01_2017-02;2017-03_2018-02;CE;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6255.216830944495;0.04172553030230446;45.45454545454545;0.36789171858389924;147855.18502527112;0.4456521941553605;111950.01377801187;115816.51599388928;115943.95739935702;112929.1598121969;116252.30350924644;110842.4511926283;113102.20843882386;117758.10693188959;115190.29507199142;114304.29479101446;115026.6391256926;113583.52596758008;[4901.0352219881315, -6451.315993889279, 1778.612600642984, 3708.740187803094, -1973.3845092464471, 8014.723807371702, -1593.5444388238539, 485.3210681104101, -2198.8430719914177, 12074.569208985544, -842.4961256926035, -12834.722967580077]
1990-01_2016-02;2016-03_2017-02;CE;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6459.473891501628;0.04562072489454267;63.63636363636363;3.336934881163315;101838.65716296296;0.5806147142904265;111408.11122774755;112408.90872814192;110771.36365154214;106110.46374080116;109153.2876304354;109824.50811228204;110940.95689394849;113031.76543629012;109663.5435764667;109986.39643558512;112081.17014580715;111079.8100629746;[2014.1087722524535, -2022.5947281419212, 1326.7773484578647, 4424.842259198835, 5305.2123695646005, 8030.148887717965, 8733.816106051512, 3455.4265637098724, 4031.7604235332983, 14848.753564414874, 2518.7638541928463, -6875.879062974607]
1990-01_2015-02;2015-03_2016-02;CE;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7089.53927387735;0.0538718735200291;45.45454545454545;-3.260816492619292;167613.59095914027;0.47383313175371977;121212.3853885774;115557.60378998438;115688.83343816885;102855.22493881603;114737.35734977984;113187.47535432865;112044.30684431011;117769.7477047793;112209.23283495475;114261.53583638933;120200.03488632411;110678.26528202735;[-13252.615388577397, -4012.8047899843805, -8839.459438168851, 7889.6810611839755, -1718.2643497798417, -5320.2003543286555, -219.8068443101074, -2415.8557047793, -8999.716834954743, 5763.243163610663, -10863.534886324109, -1285.836282027347]
1990-01_2014-02;2014-03_2015-02;CE;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12910.133489870368;0.09381064856608413;54.54545454545455;8.00199138953223;254628.62539281783;1.2399575294235532;112569.48580857526;106535.54458372285;104827.90216004213;92891.58278207638;101527.22937567846;108650.40158632565;104695.35301108072;103807.72578917997;99388.47824561309;102878.4821430541;110767.00470169364;100421.8528335611;[-9940.115808575269, 3453.322416277151, 5132.551839957872, 12032.991217923613, 11397.888624321538, 3900.923413674347, 12153.530988919287, 20195.409210820028, 12185.521754386908, 26315.017856945895, 13212.105298306356, -1404.4528335611103]
