train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;PA;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8796.604375063369;0.06279557286345458;63.63636363636363;4.153719574441198;138750.7770913918;1.0340602482351622;109697.13699286188;116033.72590076728;116620.38754474804;104400.87695172199;105253.95909444842;109575.26503578377;111408.74072253515;115807.60312137763;111681.92186579097;110729.39722190454;116257.44411474952;106679.75773833151;[1022.7030071381159, -11681.59990076728, 6776.937455251958, 11862.584048278004, 11952.762905551572, 11818.865964216224, 3944.3002774648485, 4025.1508786223712, 4270.917134209041, 16060.908778095458, 1270.3118852504704, -3505.539738331514]
1990-01_2022-02;2022-03_2023-02;PA;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12587.499655242644;0.07965630055150526;45.45454545454545;6.1970102181768265;297738.6283182704;inf;101276.97680340473;108753.53627538047;105231.46173070927;100663.45902349974;104372.0068426738;98182.06815486477;100386.69727342985;108116.21535075513;107629.27702289706;103139.72640939616;103500.6746100437;103275.98881915963;[-1463.273803404736, -11812.992275380471, -1184.047730709266, -185.7820234997489, 7083.945157326205, 21494.828845135227, 20951.780726570156, 10746.580649244876, 5093.202977102934, 25409.231590603842, 3896.084389956304, 2189.071180840372]
1990-01_2021-02;2021-03_2022-02;PA;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12653.286924564163;0.10584797712473894;27.272727272727273;-1.0381220861030394;399058.4750278209;1.3209059077389205;101447.7390246914;117157.27242685488;113691.91443411232;97202.52631054666;103722.30594222657;91201.13374970258;97940.9417903944;110384.76390673607;111334.789563072;105543.40495682214;109627.29096382356;95054.25621588604;[-7649.679024691402, -23254.25942685487, -13383.102434112312, 9632.938689453338, 7807.7780577734375, 20675.74925029742, 10311.7432096056, -2115.349906736068, -7566.9805630720075, 9661.954043177859, -17324.026963823562, 315.7707841139636]
1990-01_2020-02;2020-03_2021-02;PA;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;16946.441591314746;0.14860679883304578;54.54545454545455;0.9976654457312322;334639.97166786593;1.4287280013308445;100878.78723057565;102409.16100691966;105442.10873231727;95344.89509466501;97427.92541298448;94612.47241706363;98799.64170385875;103921.41270092127;101385.03590449793;98914.37039403447;104119.53596889143;93849.74860931776;[-11942.166230575647, -28021.347006919663, -31067.565732317264, -190.17409466500976, 11884.574587015522, 13795.94858293637, 13783.56129614124, 14659.248299078725, 9548.71309550207, 26353.291605965525, -1333.3799688914296, -5407.247609317754]
1990-01_2019-02;2019-03_2020-02;PA;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7187.550191989531;0.051093621515711556;72.72727272727273;3.977661055161125;85040.5455999732;0.4484998981455232;94468.24645004963;96949.90035741632;98346.44885106364;91195.19811311158;93692.68350758495;93585.65202773792;95699.62437921939;97172.58988992007;96412.00283038207;93896.21949992972;96083.866407051;90721.6247410141;[-2979.966450049629, -2553.1213574163266, -2594.6018510636495, 666.4648868884251, 10625.542492415043, 7751.689972262087, 1817.0236207806156, 7730.024110079932, 4389.027169617926, 18268.316500070272, 2327.6165929489944, 1702.1532589859125]
1990-01_2018-02;2018-03_2019-02;PA;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4683.475284230367;0.04392501404388766;54.54545454545455;-0.955843651133028;92271.95771492847;0.2686678416633611;93906.9455854529;96404.6350215941;98002.88098920297;93112.20971460459;96600.42793224982;90337.389793907;96262.05139239963;100645.28031443668;100245.55678303135;95595.58913531555;96725.73061787439;94146.33236015947;[4350.4164145471, -4836.945021594103, -3104.1409892029624, -3471.70071460458, -1623.5489322498179, 8593.736206093003, -4801.757392399639, 502.442685563321, -3711.8667830313498, 6041.535864684454, -2184.7756178743875, -6660.318360159479]
1990-01_2017-02;2017-03_2018-02;PA;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6095.700214227872;0.04883567778951938;45.45454545454545;0.5218481615822163;144103.63523377327;0.326453891601091;92514.32951637232;95949.9088365511;97476.83318276105;95697.19105946682;96204.71299982465;90403.70626844878;95319.34307351588;99730.08488633324;98926.15007202659;95697.17270942204;96471.01168256829;95845.85255535557;[2579.5204836276826, -7044.7718365510955, 384.81981723895296, 2712.9899405331817, 3256.9870001753443, 11414.91373155122, 1063.5809264841228, -161.64688633324113, -2782.6760720265884, 9430.525290577963, -3315.2716825682874, -11504.995555355563]
1990-01_2016-02;2016-03_2017-02;PA;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5740.820552055597;0.04673684518152393;45.45454545454545;1.5337269349812692;135709.00557450202;0.3058455034504138;95759.1202291571;96086.72935100945;95585.18244281039;91281.70358501778;92157.15382514546;91877.54385612978;95188.29394722097;97387.06548899252;95095.23192539788;93705.34700618986;95204.03281356419;93385.44211719299;[-41.70422915709787, -3839.6253510094393, 1220.9505571896152, 2350.013414982226, 5986.496174854532, 7729.426143870223, 7625.947052779025, -876.6654889925267, -89.48192539787851, 10882.955993810145, -4176.347813564193, -9128.642117192983]
1990-01_2015-02;2015-03_2016-02;PA;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6246.925915176348;0.06025912252822436;54.54545454545455;0.5581802002339954;123118.65364106497;0.3483218250847833;99734.27447019977;96307.79570289397;95955.40367601655;85150.30192518147;91011.81486492329;92575.45058217194;93015.83493945035;96292.56071465134;93533.8860539676;94287.72613556856;97606.14986873178;89443.07915794963;[-9902.146470199776, -4184.845702893974, -4721.119676016548, 7723.198074818531, 7028.635135076707, 3642.929417828069, 3741.7090605496487, 4751.327285348671, -3211.3460539676016, 8981.403864431442, -8875.013868731781, 1339.562842050378]
1990-01_2014-02;2014-03_2015-02;PA;gasolinac;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10688.213755872463;0.08941569905661935;63.63636363636363;8.127206940239141;168710.956230631;0.4864636130667282;89996.22449081995;87643.1210940428;86421.61464239637;78200.69133702286;83009.72426222585;86771.1240246215;86099.55750414504;86117.26310450099;84002.94107406175;84515.22397307116;88008.53458961725;82036.46772334949;[-6676.104490819955, 1505.4919059571985, 2206.2863576036325, 7115.058662977142, 10909.725737774148, 6620.375975378498, 9180.442495854964, 17263.635895499014, 8072.075925938261, 24076.976026928838, 8737.515410382752, 1468.9522766505106]
