train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;SE;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;450.50752233685927;0.028422883672079752;81.81818181818181;2.4481591359237322;3552.5952792876515;0.4043308175889751;12452.01545866385;11508.412806917493;11670.67806710874;11473.258571243186;11996.591008969724;12289.898207427517;11762.826488934046;11920.476928976208;11287.681822090142;11811.66069825998;11322.693424049317;10601.339952918923;[976.6349013361505, 413.0582030825062, 478.67881289125944, 830.3990387568138, -21.875428969724453, 384.6923725724828, -183.95329893404596, 99.95242102379234, 236.37614790985754, -135.84910825998122, 341.17432595068203, 96.59663708107655]
1990-01_2022-02;2022-03_2023-02;SE;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1432.7068414775288;0.10696059512964858;81.81818181818181;10.972526874815994;11346.839437208633;inf;10057.549915269467;9956.941288546652;10383.531740639028;10473.775453274131;11024.068133914272;10990.82482321723;10456.099172092661;10654.548638084047;10337.831984803059;10659.074822859213;9929.576053783583;9248.757329515109;[1090.5352247305327, 202.59132145334843, 525.4193493609728, 628.2100567258694, 510.72172608572873, 1928.9559767827704, 1825.6580779073392, 1571.0020819159527, 1573.2912051969415, 2423.6045271407875, 1397.6105362164162, 1626.518030484891]
1990-01_2021-02;2021-03_2022-02;SE;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;564.4827932167137;0.048057365174907836;81.81818181818181;-4.111654317629115;4456.274374601331;0.3686365202408907;10620.078416759332;10257.691240664975;10806.192993622806;10896.409510189029;11394.672958235868;11238.289891391143;10877.222390313289;11146.785027198424;10858.002083333276;11038.599873819792;10254.641397079575;9743.194495745302;[252.53571324066797, 127.50621933502407, -457.18031362280635, -309.18306018902877, -141.52440823586767, -676.1811913911424, -527.0593503132895, -925.518727198425, -1072.668750333276, -338.726683819792, -637.943933079574, -393.82311874530205]
1990-01_2020-02;2020-03_2021-02;SE;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;537.4908500462138;0.0427554009178566;90.9090909090909;3.79309143439059;2125.9407153750476;0.46497891832004856;10021.71312750573;9980.56062845028;10297.338877683034;10500.300892965242;10876.791202548353;10989.167028842414;10596.354708965844;10749.883946211658;10351.291073446642;10742.549003133345;9870.941233704345;9336.16105085221;[753.969842494269, 607.8886515497215, 449.9020623169654, 888.8983870347583, 881.2540874516471, 470.52681115758605, 276.14710103415564, 454.3261937883417, -372.0936094466415, 258.5125868666546, 224.0261562956548, 7.857065147789399]
1990-01_2019-02;2019-03_2020-02;SE;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;401.00112017111553;0.03215590546218404;72.72727272727273;-2.7308560290633737;4741.56084451344;0.25535916369596673;10103.79549547294;10106.541454556023;10618.034467056357;10812.429409460849;11184.353310382938;11244.97251464491;11019.132802675196;10995.36651775198;10681.532203247723;11122.809798683791;10120.684327676649;9432.601202630896;[-376.81179947294004, -168.5668165560237, -425.706567056357, -829.880496460848, 157.30248961706275, 13.487625355090131, -556.3139626751963, 104.43420224801957, -485.45974324772396, -480.29711868379127, -269.5683856766482, -70.36931863089558]
1990-01_2018-02;2018-03_2019-02;SE;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;695.3291528186932;0.04407471697972135;63.63636363636363;0.05021499700261045;10962.559026026225;0.3658453572228663;9759.229240625238;9759.196971117663;10602.441743921576;10967.378616614327;11509.334439493674;11087.872662470889;10961.501363857406;11143.288443210971;10899.278874742184;11066.733430654936;10087.984300887261;9770.61331375552;[-62.85424062523816, 1441.9443288823368, -1555.135584921576, 554.2681233856729, 107.06592050632571, 66.72697752911154, 51.34827614259484, -2.993153210971286, 487.36424525781695, -820.1265506549371, 45.86714911273884, -249.3615017555203]
1990-01_2017-02;2017-03_2018-02;SE;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;626.8883108242932;0.050614791615858024;63.63636363636363;-0.6810223706891227;9885.467346611047;0.5638465043008333;10463.125062705642;10242.2480804482;10755.42778297637;10933.22530931452;11417.216308826706;11310.907754013799;10952.637306425202;11168.077101514338;10841.068200561214;11176.418243532413;10286.239133836618;9823.71994341932;[601.6138172943593, -398.9147474481997, 195.6012070236302, 310.12985068548005, -20.085878826706903, 531.9046659862015, 1122.5774035747982, -507.9780715143388, -306.61019056121404, -1093.588493532412, -419.1068878366186, -890.6239294193201]
1990-01_2016-02;2016-03_2017-02;SE;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;264.73814771445666;0.019475469446901223;72.72727272727273;0.10569787994263169;3128.8711271926677;0.23805587876411935;10460.367399205255;10364.994367838572;10918.015585998119;10753.453185699434;11230.950200239567;11382.351005873661;10887.263248526282;11169.38452792647;10727.395412376532;11108.85850523802;10342.324721647603;9752.639636279635;[176.50217079474533, -4.414657838571657, -208.44312599811929, 103.63377430056607, 264.2907397604322, 510.87544412633906, 246.5646514737182, -470.32655792646983, 33.38900762346748, -130.5324152380199, -33.43160164760229, -351.5092012796358]
1990-01_2015-02;2015-03_2016-02;SE;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1034.4742731863446;0.09366002929741159;81.81818181818181;-9.25482648613309;8187.064230410172;1.032588131350899;11813.601628900005;11234.743109756626;11800.24255721227;11698.416591458426;12239.74869899606;12181.886425368015;11719.535491160752;12126.1547448817;11577.925830695414;12040.63591186614;11327.238552729696;10774.981181594852;[-1086.324458900006, -814.5239097566264, -1559.3603072122696, -849.181081458426, -624.2903689960604, -754.612875368015, -801.2148411607523, -1052.3485848817, -1485.2102506954143, -797.949321866141, -1296.7077527296951, -782.8127035948528]
1990-01_2014-02;2014-03_2015-02;SE;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1296.8612314448949;0.09210457257375605;54.54545454545455;9.566757933494209;25578.870560134117;1.5488110508900699;10838.984135845229;10241.340597266477;10697.1094477417;10462.308434285442;10908.518015866723;11172.805947813964;10664.28579716618;10884.791038978961;10372.130517852931;10933.69522623859;10246.134740112602;9618.645606286946;[167.37274415477077, 918.0543327335236, 1274.1532322583007, 1017.5828657145576, 2093.6921241332766, 1457.2882521860356, 2062.4116628338197, 1828.6600510210392, 1393.7245521470686, 578.609123761411, 497.88518988739816, 149.9612777130551]
