train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6897.900485396247;0.08918541576632218;45.45454545454545;-4.2265445977419445;163189.1393659405;1.747192148563361;70934.2553276971;74384.76330533005;74677.08676076341;75044.83086702318;80803.68180320985;71071.56462561805;75081.90165674093;80264.73602337502;79679.65472905723;74316.69549177712;75307.28813849039;75210.25136858034;[8776.291772302895, -6625.214395330055, -5603.73350076341, 3177.948122976828, -3646.585793209859, 8077.495154381948, -3251.032086740932, -8487.757763375019, -10900.594949057238, -4265.182811777122, -4555.250098490389, -9467.555718580348]
1990-01_2022-02;2022-03_2023-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6340.302377777322;0.06513028598250635;45.45454545454545;-4.591674436195091;149931.15613578283;inf;76854.6986427211;80151.10438378037;79549.76895775602;77955.32245375152;81327.05953780972;78211.8735891099;79065.11564292788;81300.86436301375;80471.21998786734;79361.80765786255;79059.8766111138;78127.08556372524;[2594.3647672789084, -11283.803663780374, 969.7527822439733, 645.7047162484814, 794.6324921902851, 1730.56119089009, -2886.8511529278767, -8694.134293013747, -3979.9717978673434, -1195.2696178625483, -6183.644731113789, -14280.28121372524]
1990-01_2021-02;2021-03_2022-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6430.468053359226;0.07212468910581221;54.54545454545455;-3.411880450028609;126769.26467032498;1.4198185431098962;84026.2588029508;81235.55356317671;82739.53962887236;80356.53576721324;83807.81882514621;77666.73450872843;81534.912859238;87550.34033855442;83134.57435961695;80160.55091729894;83663.5098304107;80372.91706726824;[-5267.95083295081, -3864.2111731767072, -3118.2026688723563, 5433.458802786758, 3452.534434853791, 8809.676721271564, -2804.4508992379997, -10978.670048554428, -6955.2555196169415, -121.54004729894223, -9379.479030410701, -7745.34822726823]
1990-01_2020-02;2020-03_2021-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7131.046631002541;0.06989353311805953;54.54545454545455;7.063572029050973;140573.27569349913;0.9345615440811912;76857.19035274132;76588.86688565034;77203.7788600565;74589.24445220157;78187.89358040501;74422.9343275687;75453.89324449639;78103.21086224925;77605.7702552581;75799.6998863248;77284.78758565622;73306.73393500823;[3615.974507258681, 3035.9247843496705, 3016.1305599435, 10246.916777798426, 11368.905329594985, 11925.862772431297, 8399.956395503614, 5747.263777750748, 1579.2116247419035, 9642.5501136752, 1680.4171243437886, -684.4350250082352]
1990-01_2019-02;2019-03_2020-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4355.89987531437;0.042268123336353124;63.63636363636363;1.6141827615104445;68668.0254175534;0.7722584058546916;76518.56263732647;74885.12313452373;75880.5197244745;74029.96342570985;78495.28305381823;74709.56416867739;76319.52289291754;76994.83081190048;75863.41086377043;74905.74026971655;75963.18029801478;72311.21560488042;[-6248.836187326466, -1070.0071945237287, 650.5817255254951, 13.701434290152974, 6513.216946181768, 9466.350691322616, 1416.9499370824633, 4547.795998099522, -1463.06485377044, 4801.774220283449, -1631.33609801477, -2118.3043748804193]
1990-01_2018-02;2018-03_2019-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5120.243264615979;0.050457043263936165;36.36363636363637;0.38150914479868914;141203.37468194662;1.1280554194091865;76567.7012628643;74462.908029868;74538.19282679821;73076.8209898183;76815.76563511153;72761.99137063067;75461.99038697926;78903.16321165374;77290.16717963602;74654.08987249504;75108.02821628629;74725.94851855404;[-1028.8117728642974, -853.2105698680098, -5155.149346798222, 10699.708000181708, 4330.500664888474, 9073.615509369338, -593.4197369792673, -2662.822631653733, -2229.092899636016, 807.65831750496, -1481.4158962862857, -7444.104318554033]
1990-01_2017-02;2017-03_2018-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5623.633663808966;0.05672986875906914;45.45454545454545;3.428940627067857;132963.38164731226;1.754095894082073;71230.4647898916;72231.23899144302;72596.92126066232;72742.38768769936;75724.99124987061;70217.8313287744;73138.82883576916;75322.32854143262;75609.64516386058;72407.06927174717;73263.77013209686;71385.86871440009;[7761.944550108397, -4407.682831443031, 3355.028019337682, 3670.494402300639, 5067.889180129394, 13804.264951225603, 5776.74072423084, 980.379298567379, -1590.6793838605809, 1459.8728282528318, -334.386072096866, -4444.374144400092]
1990-01_2016-02;2016-03_2017-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4745.260012583063;0.051962491791837616;45.45454545454545;0.23673962004361077;112185.69904650353;1.2477747457751767;69781.21705600254;73856.67238405407;74302.19030266195;73429.92346163413;73903.26200166262;70971.19383768586;73903.51047592059;76171.13036530648;75502.2138989716;73345.70940654258;72938.3988644584;72647.66167967804;[2479.9260639974527, -3408.34267405406, -1663.3805226619588, 41.679798365876195, 4516.98437833738, 10682.635872314146, 2879.6996640794096, -2812.1647853064787, -3182.811728971603, 3367.455453457427, -2320.7068344583968, -8490.935229678042]
1990-01_2015-02;2015-03_2016-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5368.964950704285;0.06396353256189559;45.45454545454545;-2.8672660078752292;126959.12525109014;1.3215752326695065;75935.71162683863;74895.04763928436;75533.25750881941;73281.20215128789;77666.91801955369;73470.48677660401;75086.89776294288;79260.97030366588;78355.70839478176;75264.68320903454;76638.11551219878;74987.61347913941;[-2387.0467668386264, -3641.960679284355, -2108.6216388194152, 3727.763428712118, 4648.235970446316, 6803.323003395984, -369.8271129428904, -5222.013783665869, -9487.19752478176, -2006.7339290345408, -8601.005002198784, -6730.256599139408]
1990-01_2014-02;2014-03_2015-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4822.691946859863;0.053838833398414616;72.72727272727273;4.174855287625136;57066.34501623527;1.5900576052119415;73209.36733890238;72488.59128342936;74130.67157984314;69046.91956752444;73982.87649410458;72820.00284077754;72776.12975324792;74323.90103897225;72871.5030124861;72405.78076564686;74499.2676085912;71612.57599107591;[2020.8573010976252, 1593.4666865706386, 4245.225160156857, 5886.712682475554, 8108.348145895419, 7145.312379222465, 4982.227126752085, 3428.0681610277534, -673.3019224860909, 6511.007274353135, -317.0882585911895, -4845.599541075906]
