train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6925.7935678087415;0.0898651347642544;36.36363636363637;-4.4520342326776365;191114.66971067566;1.7564677131203514;70918.56057801482;74996.00949024338;74908.21508183723;75336.08322666465;80320.40638167685;71572.94173881966;75379.00350467322;80077.47152610357;79500.72061956016;74537.51731374464;75693.4424715116;75498.11047643705;[8791.986521985178, -7236.46058024338, -5834.8618218372285, 2886.6957633353595, -3163.310371676853, 7576.118041180336, -3548.1339346732275, -8300.493266103571, -10721.660839560165, -4486.00463374464, -4941.404431511604, -9755.41482643706]
1990-01_2022-02;2022-03_2023-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6537.184754292853;0.06623961465813671;45.45454545454545;-4.827776631957973;154590.01519155182;inf;76986.95725129731;80601.02204249501;79715.0729620887;78046.88921696019;81543.20563872794;78271.60249254756;79060.58391732509;81542.92144974401;80576.41934378832;79340.12215182133;79307.15282906414;78591.59151877684;[2462.1061587026925, -11733.72132249501, 804.4487779112969, 554.1379530398117, 578.4863912720612, 1670.832287452431, -2882.3194273250847, -8936.191379744007, -4085.171153788324, -1173.5841118213284, -6430.920949064137, -14744.787168776842]
1990-01_2021-02;2021-03_2022-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6514.599173094087;0.0733996405513494;54.54545454545455;-3.6105318688170005;128431.41574732374;1.4432381122807716;84047.65431381614;81656.81457769402;82945.91849605685;80639.4152819772;84012.63068087664;77566.07115418771;81502.49840046198;87524.15282685077;83283.7362497585;80371.71985423073;83784.57430226014;80808.61839498064;[-5289.346343816142, -4285.472187694017, -3324.581536056852, 5150.579288022796, 3247.722579123365, 8910.340075812288, -2772.036440461976, -10952.482536850774, -7104.417409758491, -332.7089842307323, -9500.543502260145, -8181.0495549806365]
1990-01_2020-02;2020-03_2021-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6972.7844413548855;0.06790842863341796;45.45454545454545;6.787752406816539;164895.96179906724;0.9080156644491819;76972.00003444405;77055.73197521457;77347.54213102486;74788.06914166937;78503.1437891685;74444.89805531177;75610.85603636656;78291.06914643176;77929.2554351328;76080.05281967367;77440.59677724075;73657.55336839533;[3501.1648255559558, 2569.0596947854356, 2872.3672889751324, 10048.092088330624, 11053.655120831492, 11903.899044688224, 8242.99360363344, 5559.405493568236, 1255.7264448672067, 9362.19718032633, 1524.6079327592597, -1035.2544583953277]
1990-01_2019-02;2019-03_2020-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4355.569564887887;0.04315709676961654;63.63636363636363;1.361618473634893;68664.50894829101;0.785380537934483;76716.53799174128;75184.81954988251;76082.931097038;74233.51491633759;78705.6672762111;74763.73139902875;76343.1756571161;77162.58279603772;75888.87146751709;75058.33976160105;76154.58003189677;72910.19075980813;[-6446.811541741277, -1369.7036098825047, 448.170352961999, -189.85005633758556, 6302.8327237889025, 9412.183460971253, 1393.2971728839038, 4380.044013962281, -1488.5254575170984, 4649.174728398953, -1822.73583189676, -2717.279529808133]
1990-01_2018-02;2018-03_2019-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5136.022059095208;0.051476812001467726;45.45454545454545;0.13307776494837834;121422.75954530238;1.1474253472719318;76537.24622669266;74960.95468067881;74752.8541496016;73298.86509907222;76902.00127045685;72948.25949623481;75545.00901738078;78972.93701067216;77430.47616306081;74889.18819316864;75254.51016690255;75129.80117602338;[-998.3567366926582, -1351.2572206788172, -5369.810669601604, 10477.663890927783, 4244.265029543152, 8887.347383765198, -676.4383673807897, -2732.596430672158, -2369.401883060811, 572.5599968313618, -1627.897846902546, -7847.956976023372]
1990-01_2017-02;2017-03_2018-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5615.800545627786;0.05721004929312185;36.36363636363637;3.2105271998875575;154886.06552416526;1.7637844020867515;71415.54975296465;72706.15851373531;72692.18833907766;72934.9058373352;75744.45490808832;70335.90585817663;73231.00533708555;75394.40378268037;75612.8870538025;72477.4693509301;73492.51336670277;71814.84995675652;[7576.859587035346, -4882.602353735318, 3259.760940922337, 3477.9762526647974, 5048.425521911689, 13686.190421823369, 5684.564222914458, 908.304057319634, -1593.9212738024944, 1389.4727490699006, -563.1293067027727, -4873.355386756521]
1990-01_2016-02;2016-03_2017-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4829.3265169520955;0.053457424907155;45.45454545454545;-0.03366884893718478;114176.30825947458;1.2805764855387236;69887.0275765118;74355.19834936367;74573.3486048382;73608.64847747244;74227.01693192689;70961.63289381092;73986.2054610224;76280.1242558251;75614.93138798016;73392.35771689883;73261.64984023268;72992.22481161609;[2374.115543488195, -3906.86863936366, -1934.5388248382078, -137.04521747243416, 4193.229448073107, 10692.196816189084, 2797.004678977595, -2921.1586758250924, -3295.529217980162, 3320.8071431011776, -2643.9578102326777, -8835.49836161609]
1990-01_2015-02;2015-03_2016-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5460.757417797414;0.065584927633611;45.45454545454545;-3.0710624701008054;129133.57461258688;1.3540759727969032;75974.9086792508;75228.95238146033;75654.47768627886;73454.1680445055;77699.3607973976;73481.561811261;75306.0190865046;79409.80164569171;78361.15204800703;75467.94217305584;76778.7717633971;75363.09754981873;[-2426.243819250798, -3975.8654214603303, -2229.8418162788585, 3554.7975354945083, 4615.793192602403, 6792.2479687390005, -588.9484365046083, -5370.845125691703, -9492.641178007034, -2209.992893055838, -8741.661253397106, -7105.740669818726]
1990-01_2014-02;2014-03_2015-02;BA;glp;DWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4742.644865627695;0.05293134594168595;72.72727272727273;3.9939135877295704;56117.29354166214;1.5614255715989305;73308.00364662532;72668.42236540602;74284.33832023009;69082.3345958646;74067.73846378652;72957.95699053498;72897.11766027131;74513.7942674874;72903.8624978065;72677.84422474398;74585.05991480278;71871.76009136466;[1922.220993374678, 1413.6356045939756, 4091.5584197699063, 5851.2976541354, 8023.486176213482, 7007.358229465026, 4861.239219728697, 3238.1749325126, -705.6614078065031, 6238.943815256018, -402.88056480277737, -5104.783641364658]
