train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;27078.367395673366;0.06169549737798252;72.72727272727273;3.9778617705717743;320504.40799177147;1.121583443825931;328123.2128552673;324431.8439677474;309632.10280394065;292202.79255408805;284803.01555022167;318769.30196758016;284351.5154433766;300660.9300643008;317320.98498738825;305184.58551905566;295551.8967157427;322654.3395044861;[-196.80485526728444, -23539.810967747413, 28092.506196059345, 10275.34744591196, 16188.957449778332, 4410.111032419838, 16796.003556623356, 14794.156935699226, -834.0069873882458, 66387.12548094435, 41378.318284257315, -21149.638504486124];-0.608364887366892;0.8690806803997273;14;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2022-02;2022-03_2023-02;RS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;44365.134739393165;0.11048050253387846;36.36363636363637;10.49063720903817;1224622.4306694823;inf;254755.28734773918;288529.2288271534;289883.38289943035;272812.63988239923;267273.282118249;279390.6823954437;267619.9367074385;259193.72106599677;286071.4849459633;265667.0529739126;264726.13746512716;289829.0151920227;[32000.63365226079, -7743.64382715337, -7898.565899430367, -4620.779882399249, 31421.204881751037, 32221.207604556286, 44095.112292561505, 60265.82093400325, 26747.431054036715, 105262.71502608736, 50167.395534872834, 23176.720807977254];-1.2334231303745347;0.6590552607930533;14;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2021-02;2021-03_2022-02;RS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;30380.27649173409;0.08828930844492254;54.54545454545455;3.9321684139996553;599119.8061661232;0.775061924208648;235508.28131007135;270694.15376421163;291560.5691613274;250517.9766529911;256133.73916361874;294324.86983900325;283044.58892516943;232937.13952817014;258544.18711706487;258845.0949691928;243536.8835543814;281740.2536857231;[7668.511689928651, -25939.62676421163, -27932.390161327377, 8667.283347008895, 36694.46683638127, -20336.181839003228, -3641.0329251694493, 51426.440471829876, 11489.828882935137, 57068.11803080718, 40501.75244561859, -6431.60668572312];-1.3168193059853615;0.6214427643232067;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;RS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;54154.45362974108;0.18968854396311316;36.36363636363637;-14.963483392429907;1496698.4682927595;1.0226027973697893;309045.8639791862;303986.7959456393;318976.5031685647;307753.44553837465;292309.3937586427;307602.1359989703;302541.5722080783;285308.0969179808;293762.4631154983;304291.1934123013;279408.30752551387;299484.1509860849;[-65190.13497918623, -101221.58394563932, -88129.6031685647, -62499.654538374656, -38498.46075864273, -58013.376998970314, -39432.48120807827, 12261.10008201917, -12160.84611549828, 20151.314587698667, 6828.412474486104, -43247.36098608488];-0.4670185624680538;0.8982935043152898;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;RS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22393.101750423564;0.06457885025541261;36.36363636363637;1.2212779470976076;617677.8085970838;1.304610610243612;305305.91031887266;291366.16347412893;298444.4319173683;301615.34264827;276127.0988263755;311171.35013358825;302695.8038190136;284473.1816227765;284751.66464476666;295088.5147161137;264068.3032886961;298659.83766342665;[-10058.12031887268, 6426.877525871096, -13558.047917368298, -29877.929648270016, 12016.174173624488, -6918.180133588263, -22961.5578190136, 20983.751377223525, 19781.67335523333, 44900.1442838863, 33416.17671130388, -10707.527663426648];-0.555104182192327;0.8808074268343324;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;RS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22272.70472330579;0.06599121061318673;54.54545454545455;-3.66906397694182;439017.92624651024;0.7684086181144012;309451.27876516205;309955.044068731;308488.54981086135;303969.63068289345;280884.9277067767;304440.6382295887;302059.3016086318;289383.96885222255;302971.2263954642;299729.35865979764;280969.6206366428;303399.3345015886;[131.41923483792925, -21121.722068731033, -45957.904810861335, -20867.055682893435, -17925.892706776736, -11821.88522958866, -24542.648608631804, -3338.1968522225507, -13374.816395464237, 34222.15934020234, 14962.829363357218, -17625.695501588576];-0.3288943864922664;0.9213111585208642;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;RS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;21268.58601917796;0.05507535303392578;54.54545454545455;1.8379762296412299;419125.02683592046;0.8305265399757793;291434.19461740996;302734.9072922583;307128.3064840923;291980.98801536474;278794.7913059339;307485.6886962652;294393.7493824702;283181.28997724137;302184.85235647846;293162.98583239433;260983.4778169329;309124.79558601446;[24696.600382590026, -10934.907292258285, -14853.514484092302, 4691.769984635233, 19762.770694066072, -4420.842696265201, -3141.2033824702376, 6445.9360227586585, -2261.686356478429, 41816.563167605666, 35485.64318306709, -31330.49458601448];-0.15655519677971616;0.9435058658707542;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;RS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;23889.045809916963;0.06006323043900711;45.45454545454545;-0.3176310470783095;564855.1067750163;1.1085199739323814;301530.3024699308;298783.8591348607;298366.49751937564;290216.5456311171;278495.6661962405;294551.52147998277;286539.24932733586;292184.5223757803;294495.745797592;286851.19645077095;263591.0098544333;306577.4711526588;[-18056.18446993077, -20870.608134860697, -19933.616519375646, -19943.540631117066, 3331.460803759459, -4309.591479982773, 4554.620672664139, -5362.92137578025, 1142.4622024080018, 58587.222549229045, 34317.223145566706, -24513.665152658825];0.0839498325012113;0.9649480353476704;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;RS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;23692.581490595723;0.06794373640282327;45.45454545454545;-2.604850765709233;560290.7646987992;0.9309280194442277;320686.61221700924;309196.4118563975;299578.6171541274;291297.77675198554;269270.8652896162;300841.27053682494;290786.3013483872;295709.1703198797;296004.0227407475;298369.7006791673;284506.3302171966;313822.0173108554;[-29682.85421700927, -11224.846856397518, -27687.4971541274, -10786.180751985521, 19113.153710383747, -21192.575536824937, -9899.786348387192, 2248.700680120266, -19234.33974074747, 53838.671320832684, -16136.24021719658, -19990.294310855388];0.7481407722985459;0.9907512255366359;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;RS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;32493.38100327201;0.08225566143229494;36.36363636363637;5.117857536433338;896526.2158806095;1.5747197983816645;313044.6877137907;296468.7026693796;289981.2333585945;266714.67765015137;259810.87234486546;274677.11823460314;278191.5947709388;272493.228775945;278924.9218386292;277551.4964769773;269782.3617044839;288039.0409171567;[-28139.21071379067, 4685.762330620433, -528.9733585944632, 1617.0373498486588, 31851.54765513452, 15521.880765396869, 16419.558229061193, 42455.90722405497, 8341.565161370847, 69632.58552302269, 51155.51429551607, -31471.421917156666];1.3690443918170392;0.996968876508875;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
1990-01_2013-02;2013-03_2014-02;RS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;31720.451948049224;0.08775370612340873;63.63636363636363;7.294456965123014;500674.29595824337;1.01817257305405;289646.5542288183;273446.89831202204;268507.91462394444;252862.96876655094;237400.62719919416;259025.9815362158;259003.1590630998;249038.42131762984;256086.09976138256;261752.8780980882;247830.74213920895;269775.934845057;[-25458.90622881829, -3861.665312022029, -806.4546239444171, 2868.8622334490647, 36621.82280080585, 21834.185463784204, 9881.648936900223, 42628.91568237016, 35998.903238617466, 60842.799901911814, 49082.91286079108, 16206.020154942991];0.5343095016831179;0.985879432026495;15;261;-3.4556556713934934;-2.872678352489859;-2.57270548832225;False
1990-01_2012-02;2012-03_2013-02;RS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;29392.47543114092;0.08464108655516082;36.36363636363637;7.902035637289121;810999.6443951698;0.48972886003373034;266136.79269202845;246440.74674843444;239847.64220731056;225709.62865711955;224050.89210814002;232100.97712948805;239199.35659247887;237928.91442723788;242100.47433832535;239380.5985486719;227916.04664339594;242418.9873401968;[-4880.87069202846, -4348.516748434427, 6868.514792689442, 17521.76134288046, 21519.528891859984, 30004.309870511963, 7181.407407521125, 44239.40657276212, 25825.04466167462, 62196.08145132809, 45078.565356604086, -5539.06634019679];0.22573758578518427;0.9736687495575068;15;249;-3.4568881317725864;-2.8732185133016057;-2.5729936189738876;False
1990-01_2011-02;2011-03_2012-02;RS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;25269.466002807218;0.08591844421238415;54.54545454545455;7.7434157926188085;498305.43564170063;0.31107094470956304;254499.13937380345;230371.5265019208;223543.84999149205;210098.20432753486;201177.36685636436;207940.57217357462;207934.49538231955;218216.95590635997;218452.49594257856;224809.84928404167;212437.9933643294;229622.81837476583;[-12090.308373803447, 737.9054980791989, -3174.9559914920537, 13657.534672465146, 26338.033143635635, 29796.02482642539, 31373.65361768045, 18586.019093640032, 22089.979057421442, 53792.29371595831, 30453.3226356706, 9949.776625234168];-0.752749749821297;0.8326091589291889;13;239;-3.458010773719797;-2.8737103617125186;-2.5732559963936206;False
1990-01_2010-02;2010-03_2011-02;RS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;36416.20340133224;0.13736953570177812;36.36363636363637;14.187130687396845;1005631.2885303147;0.3518967547016491;207540.30825322028;195517.1101037044;192361.9241749991;180601.5190904135;175687.81552727573;183926.98425955212;179410.56097126214;183073.45084097557;181505.25636696542;183757.5975968092;184603.70126981434;196986.06870281417;[13287.088746779715, 15163.552896295587, 6406.392825000919, 21581.753909586492, 35651.344472724275, 27009.624740447878, 35655.37402873786, 36740.16915902443, 43077.365633034584, 82563.58840319078, 38130.114730185654, 15886.764297185844];-2.0703654453358853;0.25659651305319503;13;227;-3.4594900381360034;-2.8743581895178485;-2.573601605503697;False
1990-01_2009-02;2009-03_2010-02;RS;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;18894.899659047576;0.07442936179093491;45.45454545454545;7.358790156878417;446886.985541803;0.12440994629481754;182972.93154414248;177057.91855452943;172762.76004784374;168720.15297095908;168862.06930275337;173328.63360173182;175054.07349581004;176037.64367932524;173443.7482198235;173015.75499761777;171993.96270401837;177029.76241581634;[-4192.0736441424815, 7894.84944547058, -779.9120478437399, 7547.4100290409115, 17698.11169724664, 1766.0543982681702, 6934.212504189956, 31989.433320674754, 16344.630780176492, 27473.891502382234, 39196.95129598162, 14164.077584183658];-2.884595956138186;0.04716882510861572;13;215;-3.461136478222043;-2.875078880098608;-2.5739861168199027;True
