train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AM;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;637.0736131381307;0.03676361573489483;63.63636363636363;0.07448201409123026;10042.028397179232;0.8056854352566192;14685.701104508385;15112.053568680894;15203.467929895798;15202.22095482704;14906.312901239537;14978.213066412698;15012.592238811723;15348.94138342661;14969.194815196173;15103.645651746578;14719.633268460817;14787.900311008574;[850.5488954916145, -782.810818680895, 483.4034501042024, 276.284475172959, -182.5629012395366, 708.2597635873026, -1031.8766588117232, 58.45897657338901, -695.678515196174, -147.00978174657757, 983.0859315391826, -385.91299100857395];-1.428108429167962;0.568728889841383;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;AM;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;743.9897325702716;0.04084119970506266;36.36363636363637;-2.051487603306476;20515.182944638113;inf;15419.032883462964;15312.115774473008;15107.659925763579;15257.514459179783;14922.96528383204;15230.60005034361;15240.350621635966;15231.274068071218;15110.327934813346;14889.66240228904;15126.924078092394;15090.931690256839;[320.66639653703714, -949.639324473008, 267.88717423642083, -539.6303991797831, -209.04137383204034, 182.95066965638944, -55.67852163596581, -1191.255948071217, 133.76083518665473, 801.8285377109605, -1516.2374880923944, -903.0422002568394];-1.3359282138713833;0.6125790922242439;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;AM;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;930.6423137479686;0.05265343891329503;72.72727272727273;-4.227875507516933;11012.202162865864;1.0769275834488268;16563.82965731927;16229.795107804053;15806.57231353763;15883.49695226028;15327.479217641052;15194.05509730077;15733.063277066734;15868.138125481704;15718.860088920914;15414.285745801384;15162.039324421428;15286.980407184496;[-1469.739077319271, -1253.4545278040532, -662.5777435376294, 473.17514773971925, 162.25810235894824, -130.36306730077013, -1338.445527066735, -967.7051554817044, -1615.4633489209136, 226.73237419861653, -470.40345442142825, -587.6525071844953];-1.1869295045418298;0.6791928858413936;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;AM;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1057.3899053692041;0.05523735877474;36.36363636363637;4.183229593914074;29163.566143411255;0.9409728894834991;14993.88163236486;15141.457782792;14822.3479803606;14612.7763013871;14543.004854618877;14941.25068001794;15381.710163152386;15191.771349617662;14916.741198431111;14582.410054907134;14638.751824817411;14591.285727881175;[560.3647476351398, 612.7414972080005, 949.2806396393989, 1117.8577586128995, 1893.1328253811225, 1419.7764899820595, -350.32610315238526, -24.945259617661577, -968.8154784311118, 1922.8399450928664, 367.63404518258903, 287.29941211882397];-1.2437765462411283;0.6544865296610475;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;AM;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;746.3817916163445;0.04247254369682709;36.36363636363637;-0.8867873519535564;20581.711471732764;0.7750250534171873;14990.519806425367;14924.164217544716;14710.119480959656;14856.221374330506;14482.05418806067;14786.802837726604;14870.398220377332;14911.803144823201;14633.41654241353;14607.144232998773;14563.825060111201;14664.96722559844;[42.92947357463345, -592.3598675447156, 305.76457904034396, -1566.831884330506, 1123.0363919393294, -457.6778377266037, -899.6663403773327, 873.0102651767993, 99.90591758646951, 454.3575770012267, -263.0026001112019, -675.2951255984408];-1.1847262380880546;0.6801313480034541;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;AM;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;621.5189887551091;0.03740431543652781;18.181818181818183;-1.7125152781217199;22030.76026197105;1.0432248423632746;15323.913372935713;15385.440473602723;15202.676391532215;15212.57789016537;14634.545370223826;14802.008973568436;15383.840909561646;15163.791588528233;14885.232743492314;14415.986119358895;14305.285497316398;14579.177687444551;[-282.1108329357121, -707.7303336027235, -66.25067153221607, -645.9076001653702, 228.42201977617333, 310.9493564315635, -1184.2720695616463, -733.4183985282325, -295.8976034923144, 638.5410506411044, 569.8558026836017, -850.9294974445511];-1.287209776152284;0.635003353253946;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;AM;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;872.4594918468243;0.04791847680421152;36.36363636363637;1.323554804176811;24060.353278561128;1.0193022279067985;14306.352341581765;14742.214095091455;14673.980231513162;15056.856284332769;14705.18102540103;14796.091314528405;14650.510187094136;14609.5241431035;14467.506987977795;14541.008476148292;14320.062869179972;14576.832369772608;[2099.989378418235, -796.1742350914537, 536.1139684868376, -251.11573433276862, 363.30267459897004, 217.4038554715953, -393.05767709413703, 1127.5271268965007, -727.7481879777952, 670.6601738517074, 472.073000820028, -965.701939772609];-1.0923766439088278;0.718102416798904;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;AM;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;866.5038505103392;0.05596890239095071;54.54545454545455;-3.731241516719402;17076.973058904172;1.7081954375593509;14390.418673353728;14782.785427086177;14966.53358323417;15673.2580997304;15112.515784521476;15285.678513852496;15378.040255048563;15205.27815235508;14852.100635431278;14801.739927378345;14502.394050444633;14883.992993915552;[580.0976266462712, -641.9629670861777, -656.5281532341705, -1262.7472297303993, -601.0954945214762, -719.5770638524955, -505.5819250485638, -1516.0263423550805, -414.5191154312779, 1008.5915926216549, -645.024480444632, -1094.331763915552];-1.2177600932483164;0.6659094899206851;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;AM;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2060.7123518550607;0.13291698328656998;63.63636363636363;-13.021005922338096;32568.50115119836;2.7257322389890977;17107.56865289418;17087.46335201046;16417.5987558829;16907.249703799236;16199.316306010001;16819.697620994328;17274.42550168131;17227.216284303402;16556.333549810774;16517.97122764817;16206.033933711913;16603.71919562752;[-1119.4454628941803, -1341.3274820104616, -1579.5371658829008, -1591.852963799236, -804.5608760100022, -2071.9512409943272, -2309.541441681311, -2591.3503443034024, -3015.2755798107737, -1385.33173764817, -2108.1752337119124, -3229.9166556275195];-0.6736868657735154;0.8534480226278673;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;AM;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;882.7771376413309;0.041482746720853135;54.54545454545455;-1.592454876232768;17391.842211026917;0.4337044528039895;17176.20777887129;17030.345136405256;16543.97152109987;16302.305620971414;16380.37527206906;16732.835716915204;16866.823586777515;16726.880949220737;16561.694989387084;16308.240384050763;16106.938372376326;16495.37217748618;[-102.23132887129032, 220.23276359474403, 245.5574689001296, -1306.454170971414, 1109.8312479309388, -376.1980369152043, -370.0699667775152, 132.00854077926488, -1401.4377393870836, 629.3193959492364, 3.7844576236748253, -1907.2906574861809];-0.4119268710392579;0.9080882905693812;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
