train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3729.0944411908613;0.06210675776735524;36.36363636363637;3.728129274477875;102858.51448582143;1.1466224304567432;43882.47784135406;48040.281670429;45151.99139865081;48035.34787050218;48468.12927625637;47932.72298972862;45511.665880095294;43613.334063871516;47224.37981560183;46514.4292388254;46123.13602422025;45164.943722323354;[762.3373786459342, -5952.6367404289995, 5949.211501349186, 4730.378579497825, 3470.867103743629, 5053.748020271378, 1980.3558599047028, 5289.408686128481, 1106.1618543981676, -1471.1466288254014, 168.00709577975067, 431.3569976766448];-2.885725519000892;0.04703328380303504;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
1990-01_2022-02;2022-03_2023-02;SC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4186.090879423202;0.07890981240714916;27.272727272727273;-2.506591232565268;131973.1936811137;inf;44169.96109889664;49255.786228297344;46044.26750876797;47360.07845638455;50662.364622881374;44619.67761797669;46215.35724072818;48429.45012866096;50645.83717748917;45289.48313328122;45882.69157767337;46535.9774170323;[1627.39397110336, -6581.380428297343, 2102.413651232033, 1071.3110336154496, -3807.6454228813745, 7136.251732023309, 2450.7750092718197, -1848.5769386609609, -3653.5563774891707, -628.8327732812177, -4877.184327673371, -6809.613287032298];-2.875313898120035;0.04829488547645991;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;True
1990-01_2021-02;2021-03_2022-02;SC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3462.414829424034;0.05335109252107315;36.36363636363637;-0.17414413995885783;95489.52325688259;1.2883514976223536;48203.22032076267;47351.82924440931;46781.251859595264;47300.2788452295;48832.63509028993;44755.17476878496;46287.53226862069;47382.17527203128;48189.47945138931;44176.995360770416;47606.83621807269;40710.376056921385;[-96.81271076267149, -1166.5194644093062, 252.384010404734, 2149.619704770499, 4767.564189710072, 5703.45929121504, 1237.638021379309, -1316.8817920312795, -4241.724021389309, 75.43217922958138, -7810.825348072693, -522.6351169213813];-2.755023121473852;0.06499113846702811;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;SC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3405.6528865446235;0.06101341776229052;45.45454545454545;2.568962573843259;80529.10562793017;1.2563349965794515;45321.92420384307;45467.67015660959;46206.45184595375;46046.44117600288;47145.434877333224;44592.06088482527;46875.119053867034;46486.27636057623;48475.95419636264;43745.05770330468;47355.02583917524;43128.74534728005;[2349.323986156931, -787.9944366095879, -1308.6221359537521, 1547.50447399712, 6241.112222666779, 6201.339475174733, 2706.322976132964, 3047.314219423766, -3433.0230363626397, 2804.5672966953207, -3751.0964891752446, -1092.59679728005];-2.6880796684801336;0.07612381905963919;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;SC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3491.9768964775913;0.06143602445564047;45.45454545454545;-0.5424580441971157;82570.91123476015;1.0450489667729128;45075.103087111085;41291.57265530393;47840.22426200075;52253.215285247585;51480.105613193504;44775.394652488125;44311.14488475539;44925.25029885315;48946.20261545855;45026.07047556366;48432.30021403901;39996.17230199145;[-354.4635971110838, 4155.612124696076, -441.8836820007564, -7379.305865247581, 1874.7403968064973, 3273.7702075118723, 763.0906252446075, 2871.617451146849, -5085.648265458549, -545.3132255636592, -4438.4632540390085, 2315.34037800855];-2.680233438770176;0.07752164896742476;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;SC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4562.766629910702;0.08385953451117911;54.54545454545455;-1.1786304055987407;89973.5124191155;1.38734781884785;45048.97867409954;47261.43561467759;45172.30046625333;45261.67339468828;45719.76483988283;48445.93183374083;47783.670757216016;44216.10255270521;49548.13737175629;45021.27256351503;45948.84075855736;45166.55028687235;[-191.73410409953794, -2714.5569946775868, -6847.4544562533265, 10311.558485311718, 2360.1844401171693, 3081.4649062591634, -3052.674377216019, 4125.272447294788, -4008.7605617562876, -2217.915683515028, -3403.009238557359, -3902.851006872348];-2.634118177335635;0.08614873978559356;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;SC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3738.6575907562833;0.06898843029784929;45.45454545454545;-0.5049585097086796;88416.19883892698;2.0336252114425495;47455.39098845579;46806.16348649879;43398.15444154494;46445.234064220014;49423.07957666804;45855.099434640004;43672.40078124834;45373.29606348706;50014.97366109608;44906.87720363811;47121.75177426542;48965.96373283229;[1283.1121015442113, -3899.944286498787, 5730.745918455061, 2303.431535779986, 533.6613633319648, 4621.529275359993, 1666.6851587516576, 1336.9040365129404, -4313.909651096081, -965.6045536381134, -3927.2916342654207, -7180.057932832293];-2.6027281938736078;0.09243471522645047;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;SC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4967.468225188844;0.09155513886136925;27.272727272727273;3.2199368104640373;156634.49533149126;4.321926931805482;46292.81998331543;45957.063196224044;42806.982849939326;45255.71484636683;47101.86157483852;41807.161252181046;42923.883059849366;48116.17277189346;44424.22302583373;41192.30431808954;45878.983462400836;46691.79579149237;[-795.2040433154252, -3139.536026224043, 5375.553380060672, 5936.189143633172, 2271.5351651614765, 10148.275337818952, 4840.448460150634, -2349.7126318934606, 1373.6320441662683, 4604.434811910462, -3210.008822400836, -7141.0530414923705];-2.5016079336629837;0.11508358716650269;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;SC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3118.0681867415547;0.0561794643910705;63.63636363636363;2.503657274899219;49173.577137743916;1.0791294955684836;43581.77696461196;43165.99142271864;40765.67643187162;45131.50791970285;46445.49744688618;40705.35001080732;42314.29450417541;47203.873800224195;41683.38725295458;41466.02499060416;48279.56268014039;42666.74298510606;[1455.6451353880402, 441.6390072813592, 3037.432268128374, 1857.142440297146, 3106.169223113822, 4392.356509192679, 2783.917455824594, -146.51329022419668, 1036.5221670454266, 3527.4115993958403, -7110.993840140392, -939.8299451060593];-2.4867465950232908;0.1187324132722723;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;SC;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3465.0840497289646;0.06046641886054708;54.54545454545455;0.7766274336303363;68293.07032311596;0.9802171406103054;42544.733768790196;41602.68269980073;43002.564472521764;47438.28074894476;42398.59367896934;41097.421523115874;43797.479405953374;44108.0349100655;42284.18971351152;44208.149241135994;48071.820447546466;38624.812907835025;[-706.8225387901985, 1320.8481001992695, 2089.4391474782387, -3511.4582889447556, 6586.726971030665, 4789.411806884127, 1163.4481340466227, 1723.2585699345, -883.0013035115189, -1875.6564911359965, -7071.374797546465, 438.824772164975];-2.4308608521448596;0.13321490673280578;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
