train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;DF;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9106.717265282823;0.0730441435853117;72.72727272727273;-3.835498075220104;107834.1061276208;0.6783725978669864;93463.63128732471;84061.73923136486;91491.78922935865;87701.23494719935;85790.39672354798;93344.1602812821;86585.66492791254;87996.99044966267;92731.69972294;86076.09780993512;83740.17420455461;94243.64821165384;[-134.13128732470796, 3424.4297686351347, 5816.710770641352, 2390.015052800649, -44.49672354798531, -3738.160281282093, -1208.3649279125384, -946.1894496626628, -9149.799722940006, 2049.3391900648858, -11124.774204554618, -26756.048211653833];-1.3932253464212772;0.5855196286398134;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;DF;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8565.954413490279;0.061099786952345435;45.45454545454545;5.7212151566585785;202546.27596406193;inf;80111.36349528808;83565.13237108591;89021.30443741308;78639.00468674942;77588.1006955047;92303.10202017792;81791.83919225074;78760.04993757019;85813.80763869463;78844.23732279272;83183.11467218319;87763.9257023521;[3483.7795047119143, -555.1323710859142, -1136.804437413084, 916.4953132505761, 8859.150304495299, 2965.185979822083, 9965.160807749256, 14469.205062429814, 2112.692361305366, 21523.63267720728, -814.1146721831901, -1263.9257023521059];-1.4691412294468946;0.548717782099984;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;DF;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9160.406412830609;0.07453839756269146;54.54545454545455;5.607394250275666;180595.87136918423;1.0737916665197662;69950.76816766828;74801.37343229508;91053.52389283275;83730.5110999888;71286.65510493773;81411.47368075073;82220.63361503894;71242.67549927362;78440.31033457661;83497.0007713756;74591.86645368932;78948.99528738903;[2671.2128323317156, -968.3734322950768, -9391.523892832745, -821.5300999887986, 17842.34489506227, 2347.4143192492775, 3296.8663849610602, 19237.824500726376, 5813.189665423386, 12853.999228624394, 626.1335463106807, 2403.004712610971];-1.6115386241306118;0.4771679660026491;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;DF;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;21370.70349173423;0.27259880594797375;36.36363636363637;-25.19615894925157;591407.3773330044;1.5597164992555022;95995.6686662335;97750.4312041627;93661.07632787227;95014.59112881069;96390.97430920189;94620.49467250059;93904.70334245889;94720.23600109939;94097.72993630554;93846.34306669096;93612.21769302187;94831.85721806697;[-17416.668666233498, -37212.9312041627, -23036.04032787228, -28834.591128810687, -22832.47430920189, -18012.57267250058, -16777.742342458892, -10337.215001099394, -12323.335936305535, 1313.395933309046, -15113.21769302187, -28532.857218066973];-1.1372626315335466;0.6999856391275345;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;DF;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4381.724529457909;0.040226184854797654;45.45454545454545;-0.15886558344823748;103568.67534867935;0.6020522202027909;96021.32647043982;96090.72215414274;96126.13123481275;96260.85104891883;90601.79156102706;92279.38691687917;98798.14026064429;99635.24975513224;92252.74737132681;91269.91307653411;88047.72466052714;92132.3119616196;[-465.9484704398201, -3072.230154142744, -3101.131234812754, -7038.551048918831, 3036.9864389729482, 6562.613083120828, -5157.140260644286, -4855.749755132245, 4243.253628673192, 6143.057923465894, 78.58533947286196, 1834.6880383803946];-1.218884767905513;0.6654196644678008;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;False
1990-01_2018-02;2018-03_2019-02;DF;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19249.31464998705;0.19631235779855907;45.45454545454545;-18.04487451309306;456288.08879002155;1.7530204477253306;109597.86883986555;106547.9708530241;108526.89871368911;106061.7704027272;104003.9930535301;107936.16765076424;108009.63384754784;109932.58682126465;107617.08407437516;102212.64785861426;105485.49197123325;107726.4425991143;[1532.1621601344523, -5423.167853024104, -18923.428713689107, -10984.770402727198, -20272.493053530095, -19149.365650764244, -33276.22884754784, -30818.354821264642, -21435.483074375166, -1745.799858614264, -18286.99197123325, -17441.942599114307];-0.5130267317068886;0.8894492502789149;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;False
1990-01_2017-02;2017-03_2018-02;DF;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8486.106573753023;0.06718410170090701;63.63636363636363;-0.25761767209155095;133869.45698072328;0.4230577168647713;111435.81807015753;103830.21988756295;104841.86140565238;100745.9853175541;100448.19205029885;110363.46553558936;101363.85316580067;104302.35613442585;108640.23062301739;99511.9009766911;97930.05128244637;109877.82527503774;[3905.632929842468, 1729.6751124370494, 8021.538594347614, 12172.814682445896, 6031.157949701155, 876.9454644106299, -2983.753165800663, -3445.2831344258448, -8861.837623017389, 6299.640023308893, -6640.3062824463705, -20326.629275037747];0.3834791263204842;0.9808664967134858;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;DF;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11199.972452322796;0.07742497337133239;63.63636363636363;7.48894482593573;176730.5396489813;0.5809932735753744;95801.39303123167;90535.53649274705;101030.45779190642;96178.29273354138;89303.10801139848;95574.63860904063;92818.39395286137;99354.4069547706;96296.94969852906;85728.17809631763;95222.03170136292;98501.63492124891;[5768.95696876834, 6892.263507252952, -3512.9577919064177, 2060.60726645861, 6093.391988601521, 9464.968390959373, 11257.923047138625, 8428.4230452294, 11759.750301470936, 30605.117903682374, 2892.1682986370724, 278.665078751088];-0.4795479149543141;0.8959461700996638;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;DF;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8811.679352213801;0.08187328670228085;54.54545454545455;-6.459475584947527;173748.96303081876;1.2849856726415871;101431.19104377899;95022.64795515257;101510.88177017253;100132.19014293898;98540.9115589684;102092.68417834572;96535.19245482347;102908.51200982774;99822.83431060117;94065.61781217552;97690.46140893115;103550.65598913093;[-6848.691043778992, -1217.0649551525712, -7866.072770172541, -4591.03014293898, -5930.911558968393, -7154.18417834572, -791.7374548234657, -4689.01200982774, -8453.95431060117, 8230.643187824477, -18075.46140893115, -15016.755989130936];0.11802425236108113;0.9672703651122785;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;DF;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7726.416169516486;0.07162103949578778;72.72727272727273;0.7284760139377577;91485.09125235051;0.6741278415436746;103225.30182461726;91713.26738811727;96579.28474558379;95657.85384829334;96217.43455231958;96443.48743896167;96661.14753103052;100188.23268151408;93169.53745499757;91991.68708975735;98513.07686948343;95351.77912762643;[-7025.74182461726, 8444.332611882739, 5462.886254416211, -4877.17684829334, 542.6124476804252, 3562.081561038329, 6740.885468969471, 5736.067318485919, 3450.9625450024323, 10792.312910242646, -8572.576869483426, -15775.779127626432];0.9162857708705486;0.9932992216923782;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
1990-01_2013-02;2013-03_2014-02;DF;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6518.130588232375;0.059469768598328476;27.272727272727273;3.3332624121028207;205437.60134559896;0.778591185526785;100141.29535664323;86662.35791380657;89817.24126743323;93980.41357588301;89316.05808315058;90745.217641146;94795.81095297432;93783.41416816473;90878.04470805124;90454.17696911223;92101.99650926184;91663.6910723826;[-6873.295356643226, 9267.142086193431, 6432.7677325667755, -1817.413575883009, 5034.9419168494205, 9821.555358854006, -577.7539529743226, 7091.085831835269, 7627.955291948761, 8086.325030887761, -6001.777509261839, -11.691072382600396];0.3459674288324051;0.9793578965272803;13;263;-3.4554613060274972;-2.8725931472675046;-2.5726600403359887;False
