train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;21072.323976344574;0.06712106570149888;54.54545454545455;2.9343954662625773;415367.58836265316;1.6380248158706472;238607.66791429793;236673.45479047752;259399.5452231849;244331.347124769;229152.57752501112;246837.42462136157;247245.46012693772;238463.5478113967;243447.49442587447;235667.7437295661;242632.71564236132;240631.92320733465;[-3590.8999142979155, -21216.406790477515, 2560.860776815098, 3905.088875230984, 38459.99447498887, 39215.908378638414, 20421.585873062257, 26561.139188603265, 5505.3375741255295, 9302.392270433891, -20601.44564236133, -12760.059207334649];-0.848171309586307;0.8045611616431849;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;18902.77980573544;0.06089443775271472;54.54545454545455;2.5319589311505264;372551.6172279234;inf;237132.55187169136;232571.70377935428;239780.2754097859;230691.58164649998;226158.1187350046;234988.3584697967;239069.30444298303;234877.19803812564;233563.7085293627;228556.2049798833;237596.41821214714;232458.05170083913;[-5244.253871691355, -10054.196779354272, -109.04540978590376, 8246.111353500019, 34536.593264995405, 35696.21253020331, 18115.410557016963, 17855.65596187435, 1931.7934706373198, 9229.895020116703, -28475.43421214714, -8798.87170083914];-0.8337021754574757;0.8090213413780407;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;21550.37551288223;0.07921236622582435;36.36363636363637;6.225479290843248;594569.5806072922;2.1198123844532506;216467.18645721668;210930.13142957707;234155.25658081984;215174.15694671747;210217.8497708459;234910.4422845152;220256.58004403143;207061.53142711916;219507.11916734822;216124.30609344845;231367.10235851342;215538.47768447376;[21848.74654278331, 17913.688570422935, -4637.4915808198275, 22876.616053282516, 41814.6092291541, 15229.716715484828, 17153.111955968576, 35728.89457288085, 10635.667832651787, 6914.522906551545, -20545.716358513426, 9780.944315526227];-0.887293046974296;0.7921281926678381;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;26934.33755907964;0.09201087901671264;27.272727272727273;6.695613135678611;849287.6689550217;1.009708328580585;197927.38893412074;196221.31436352886;208461.0862391747;204894.91128510676;203683.57545685023;217039.2366207692;203405.45100759048;195055.67500512177;208571.39081965448;200539.65206029432;209681.11196443957;205784.4043886215;[4657.697065879271, -8037.779363528854, -11041.303239174711, 14508.15471489323, 46537.75054314977, 29850.851379230793, 40784.358992409514, 53234.32499487823, 8072.097180345532, 18137.927939705667, -18218.409964439576, -2580.506388621521];-0.9544785945319829;0.7695032032579001;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;21481.533429823543;0.08252973937273374;54.54545454545455;4.249943179790067;423577.3353840106;0.4838473566877673;197108.1532781292;191936.1998480543;190702.46878352718;194663.58649947276;196183.23632582734;203447.04248902135;192672.52971050146;187479.40461002954;191887.07139650136;189273.75117071354;208811.42182277108;198636.67490340926;[-19512.1862781292, -11272.786848054297, 5081.465216472832, 3220.5035005272366, 33792.883674172655, 26579.308510978648, 18846.62228949854, 45569.062389970466, 20118.919603498653, 3679.19882928647, -16081.122822771082, -6034.739903409267];-0.9646467970972279;0.7659392618906946;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19696.14594551243;0.08907253485102769;54.54545454545455;5.7864073054434915;388428.7595537512;0.38948276096820794;174463.17590442568;187161.254800361;190081.21218088025;174846.23949339296;177344.5960026256;199043.84603312158;181218.93973313825;182137.18486668155;183421.86153515405;172030.67547269017;189818.7806455264;190501.6048460233;[14182.179095574334, -8259.936800361, -20218.512180880236, 24350.205506607046, 29919.97999737441, 19245.448966878437, 17793.489266861754, 32737.55813331844, 21029.34946484596, 14120.839527309843, -244.59264552639797, -9409.384846023313];-1.0778696350264465;0.7238160780863212;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;16525.274830076694;0.08292519564681249;45.45454545454545;3.662935181650013;390903.7373460902;0.26865984479892063;157024.67518785037;179648.2729023832;192288.30044994442;170663.66159543418;171861.61251749113;186545.1691507416;173774.5083652668;179625.9534335599;182240.9588642369;168868.42556141078;179515.84019559342;182272.16552244584;[20013.281612149643, -19286.825002383208, -1242.3156499444158, 17697.806904565805, 7821.781382508867, 18986.806749258394, 24990.6107347332, 17608.323366440105, 12698.34813576311, 11278.037438589206, -7784.253195593425, -22010.18352244585];-1.3027061515072362;0.6279333384142044;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;23027.29574592309;0.10443076714358533;63.63636363636363;-9.299491434498433;363628.8096668727;0.2738597039737922;177211.8203731387;190101.4385362249;207365.0778874744;183527.21492199478;185742.29075565605;205869.4644083855;185899.11564078063;192333.0626002008;199993.44031672843;181052.84416394148;202430.01552972657;200433.3827765805;[-3223.7253731387027, -13658.350536224898, -24193.152887474425, 6414.199078005215, -2284.046755656047, -13589.10740838552, -3220.8496407806233, -18884.551600200793, -24555.996316728444, -7877.368163941486, -38094.192429726565, -53540.49307658049];-0.8745548369314327;0.7962363579396148;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19332.813390311763;0.08472062542366436;27.272727272727273;0.02925332446312469;609537.6224298575;0.3336835919674491;184311.69239112147;181975.08837613536;204016.3435757966;187133.88755475252;188370.78635587837;208101.51037427713;185776.1575590262;189662.907387128;196429.7756477578;178551.51608823464;203146.1487115848;200916.8595794938;[2693.105808878521, 2526.7936238646507, -18867.700575796596, 10586.094445247465, 22003.99494412163, -3504.2244742771436, 23808.795040973782, 19234.688612871978, -4609.652547757811, 14801.851611765363, -36989.60371158479, -31008.66357949379];-0.6898323918991115;0.8493656284519586;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;PA;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;23279.657759277678;0.09630098745307225;18.181818181818183;6.166853622010635;825733.1407724675;0.3954134301594084;177481.48830982446;169258.00079534075;191092.6993361856;176386.26251222493;173814.35585892317;192072.21842458853;178971.50302541297;175213.6009929319;182949.32024716266;172989.11200488164;187879.35324400206;184528.74580975628;[-13063.053309824463, 5787.455204659258, -4382.575336185575, 11851.293487775081, 28807.33714107683, 10300.440575411485, 27479.780974587047, 50744.10100706809, 19273.81775283735, 29338.71899511837, 1283.8728559979354, -25289.498809756275];-0.6843062441301807;0.8507728042527218;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
