train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8255.29576676733;0.06470917882431339;45.45454545454545;-1.192057082271935;195213.63679273363;1.565291275930099;110429.36222857401;97500.96338031814;115816.41454993238;104966.40192732665;101677.82430495333;107063.6162436977;112141.70893265378;101962.13091262474;109242.72502464992;102111.93540973349;108003.72578517029;106505.3269946383;[9567.637771425987, 125.43661968185916, -8754.614549932376, 1682.2980726733513, 5474.57569504666, 3881.983756302303, -1503.7089326537825, 11667.369087375264, -2300.125024649911, -6243.835409733481, -16419.02578517029, -12226.208994638291];1.2438704332313273;0.9962754032872584;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9582.139501369675;0.07167908588264463;45.45454545454545;1.5631198912399897;226618.4547394973;inf;110776.90312165844;96560.66760364798;107098.71230386052;99038.06835268518;100123.7847629433;100253.75618055268;109066.49550119053;101297.24502237735;105857.7637531429;98619.6569231936;105693.09997972108;100079.80744640435;[-6053.303121658435, -108.86760364797374, -1962.4123038605176, 7490.031647314827, 14174.671237056711, 16196.643819447316, 2713.2044988094713, 12468.054977622654, -2980.5637531429093, -5630.656923193601, -18327.899979721085, 1623.6925535956543];1.5178184088712319;0.9975888271283462;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12860.370230636614;0.10330857950521506;36.36363636363637;5.656886688230081;354950.19271767105;2.1601870404839123;102995.5814517491;81601.54760388508;107576.91049313826;95086.51942762006;90030.09783689445;100193.2722060015;98248.49810301735;84617.08823183214;98299.80109970026;93351.65396603297;100412.0922235314;94674.58684365745;[9157.988548250913, 17286.202396114924, -7144.410493138261, 7458.180572379933, 21904.802163105545, 8305.227793998507, 2762.6018969826546, 23230.011768167868, 1307.0989002997376, -1991.2539660329785, -19046.692223531412, 5550.513156342553];1.2697082729581108;0.9964338260365946;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12324.620021613207;0.0880769082031268;54.54545454545455;7.0843170283261285;243049.82125165252;0.9226635271479546;93132.54862573692;81633.88028469073;90213.44951349946;88642.83569155703;88573.62780064657;90411.30460858936;90734.30709448399;80340.7179596844;92645.65158877362;86504.59678620531;84897.229617023;89026.38454403519;[-1533.178625736924, -3921.780284690729, -3786.749513499468, 5642.804308442966, 18724.122199353427, 13258.515391410649, 13290.842905516009, 31153.65204031559, 7265.41841122639, 4806.523213794688, -2235.4596170229925, -2092.7545440351823];0.7864408488417343;0.9914141151110873;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9606.695425828635;0.08631475536828925;27.272727272727273;1.2966063120226667;302894.2188882346;0.4064364075888723;96432.4044245812;71849.22569433982;86095.3691726447;88180.31218863469;86674.54706608645;83805.66473802536;89460.36749986923;77241.67840314249;87630.21401943552;82477.74400581281;86826.12742662389;84247.6169822305;[-13729.034424581201, 9990.60630566017, 507.0508273552987, -7552.922188634693, 4052.8329339135526, 11129.265261974637, 620.792500130774, 21191.501596857503, 2201.3859805644897, -4756.034005812806, -11910.76742662389, 1666.5430177695089];0.8316741791187031;0.992130620985874;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8970.838108684766;0.09217558925819708;45.45454545454545;2.8520031699963257;212241.33273034496;0.31894726344535174;84591.6641837367;76112.86088460575;81387.43895530226;76269.66049432712;79239.12297051151;85093.23142240942;80580.25107705525;76733.72274697036;81326.12903972852;73136.64746993688;79694.18311023674;82389.19399565586;[4284.705816263289, 8289.914115394247, -20287.463955302264, 11634.26950567287, 4327.156029488484, 3760.288577590589, 1467.619922944752, 13681.79725302964, 6553.863960271483, 3008.7045300631144, -7494.50311023675, -1144.5039956558612];0.4089028088358669;0.9818248385600695;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9638.235075048407;0.10621041464205098;72.72727272727273;8.60378294314912;114266.65417253325;0.319304306982023;68093.20535131755;72320.6241311825;75496.70089539033;67813.63013582793;68875.77610397857;73390.40957742807;70444.76905758503;72740.70087264285;74783.6277958551;66310.64996800706;71558.45534009062;73068.20413198163;[18129.669198682444, -546.0213911824976, 2586.9206546096684, 9312.119874172073, 11297.905726021432, 11081.732252571921, 9918.05504241497, 11173.338677357155, 9294.606854144891, 8324.65968199294, -2593.216340090614, -7502.193131981636];-0.2947706779337955;0.9262417022949632;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8536.888232982028;0.09573399295347318;54.54545454545455;-6.896077982942875;168382.18362457046;0.18393300415109762;72316.91579040972;70134.61789417612;82770.40478820907;71843.44179638209;70753.44310885564;76295.29833437571;74451.99549039893;76235.17912579014;77832.54626558849;68128.13230174329;78781.97488765072;77151.55168906077;[5694.564209590273, 2020.9821058238886, -11067.054788209061, 492.8582036179141, 421.906891144361, -2199.5983343757107, -6230.6454903989215, -5997.479125790138, -8180.746265588488, 632.2776982567157, -18866.35578765072, -14568.314409060768];0.4764937879453751;0.9841408585181546;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9110.370120289122;0.0951758496906586;18.181818181818183;-4.041545237341044;323143.86650948727;0.20674292102647857;75800.30130446344;69288.10730205984;81392.56917077747;76043.19871559675;75997.02592589732;79977.50927309661;75524.47418350693;75275.62357278529;77981.19765205722;71633.25390863679;80606.60728292215;78032.98756689292;[1145.3790755365626, 7299.3926979401585, -9660.86917077747, -1408.520715596751, 484.9840841026744, -5600.87489309661, 1081.98394649307, 8962.914647214711, -3491.494512057223, 1674.5155913632043, -23778.107282922152, -12352.097566892917];1.1759881029248076;0.9958157116562869;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;TO;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8388.671148094929;0.095826021886591;36.36363636363637;3.21396927258671;231503.52010793652;0.24714051620837788;77711.95951802234;67705.09148422234;73262.07157537038;72234.58158090206;72155.44491305397;74283.12304655887;73725.35467091766;71713.29823602058;73817.21472995289;69870.16505750737;75341.37608502225;74273.4576688264;[-6970.186518022339, 5277.95851577766, 2553.1394246296113, 74.34841909793613, 8584.108086946027, 5296.986953441126, 8749.495329082347, 16889.751763979424, 4402.435270047106, 5829.534942492624, -8413.279945022252, -13181.907668826403];1.893276058997917;0.9985171240569921;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
