train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;ES;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6244.391266358921;0.057945626667268456;63.63636363636363;-1.6929848445218967;98481.25468104097;1.7922159052836943;84361.91791921;84848.99110044172;86973.1204523294;82141.96378865161;80190.54543615936;88339.81545956928;82672.06505345507;83075.65149684832;87665.37527217196;82224.03885794111;80352.6280041739;87337.83993091952;[2097.482080789996, -5323.096100441719, 1136.8795476706, -1959.163788651611, 906.1545638406387, -5065.0004595692735, -1995.8650534550688, -1721.8514968483214, -5711.275272171959, 10906.161142058889, 4809.2719958261005, -14897.239930919517];-0.5198677276398194;0.8880807842334089;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;False
1990-01_2022-02;2022-03_2023-02;ES;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7502.291692137716;0.07419822976925612;63.63636363636363;-4.960734205299102;118372.66580422058;inf;90645.54519413499;86048.7235321421;89372.80588794203;83809.161069738;86262.6098310084;89569.65630216144;83389.51019456777;85315.00174570763;94487.2821323282;81675.0448442202;85936.42223441867;94568.21912020826;[-6001.4451941349835, -5819.685532142103, -4676.307887942021, -7011.476069737997, -4065.709831008411, -6284.537302161436, -607.4301945677726, 270.5092542923667, -14373.774132328195, 12029.655155779794, -2072.522234418677, -11064.219120208261];0.03730226913729352;0.9615103702593061;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;False
1990-01_2021-02;2021-03_2022-02;ES;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;15814.707207090038;0.13495108778100992;36.36363636363637;12.168228653203226;436707.7111549715;2.351367688414199;77033.87484063674;67446.84700611231;90897.85193516915;79374.1371815207;61509.71484974293;89708.83770238569;77084.78814320007;67349.53630605343;83607.52816548046;77021.75091306023;65848.64719801255;86723.65171769365;[3808.725159363268, 10586.452993887695, -4625.001935169144, 12164.413818479312, 30965.915150257075, -1137.7377023856825, 9572.743856799934, 23288.563693946577, -185.72816548045375, 25083.84708693977, 21707.052801987447, -3272.551717693641];-0.6199579255692763;0.8664082843311256;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;False
1990-01_2020-02;2020-03_2021-02;ES;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13143.860404300633;0.15598382846678077;27.272727272727273;-4.236634789110577;414816.9427557948;1.1861399245328106;82079.74121367738;78525.67491532437;80566.66940442842;78310.30221305497;75977.74292159932;81097.52495879466;78610.10481301886;75941.52314362243;80603.56654645456;77071.1363418292;73987.8926386061;82003.23425402779;[-16001.844213677381, -19919.883915324375, -16716.069404428425, -13189.202213054967, -1860.642921599312, -9772.724958794657, 2835.0951869811397, 10777.67685637757, -1184.56654645456, 22549.077658170805, 12660.607361393893, -8577.334254027795];-0.32888563273508054;0.9213124597748817;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;ES;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6300.457956201447;0.06360320771720443;27.272727272727273;1.6774105596200215;198588.4928030941;0.9384845420144877;79974.00915100849;78049.56098623497;78248.88565176936;75447.70203933262;71314.3203267306;82132.51307344773;76460.59641625959;74006.55058412477;80817.69172504262;73545.64552759366;69567.48238888028;81220.08472851902;[-2567.1101510084845, 284.83901376502763, -3430.085651769361, -3528.5020393326267, 7001.179673269406, -5002.364073447723, -1181.496416259586, 7351.249415875238, -4462.1917250426195, 14062.554472406337, 9612.717611119719, -2431.9427285190177];-0.30857274388578204;0.9242813689392629;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;False
1990-01_2018-02;2018-03_2019-02;ES;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7826.727832501523;0.09013734938382854;45.45454545454545;-3.9608245177126458;185166.11454578312;0.8669844430462545;83729.98200244864;78955.81202024828;80506.52534684703;77811.03053848198;71021.1955642119;84813.65661157855;80867.981149362;75375.9762941631;80559.15561633733;74775.50963136455;70987.36320541234;84458.43950851218;[-87.5660024486424, -3595.849020248279, -7450.250346847039, -8738.630538481986, 2065.734435788094, -9162.70361157856, -11576.822149362008, -663.8852941631048, -6758.940616337335, 11315.702368635451, 9170.236794587661, -10477.43950851218];0.16147721912721769;0.9700162917056022;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;False
1990-01_2017-02;2017-03_2018-02;ES;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8708.054496416706;0.09323675944067228;54.54545454545455;-1.343962635762724;171748.7757914939;1.3932315375356743;79534.22666716405;79155.29420823717;83525.84207975536;75770.50813340144;74391.93586135129;88642.14060399818;76639.0885731148;73747.44196052388;88197.98291534017;76452.62240292404;71112.73775440305;87578.88554577359;[3199.7733328359463, -3569.7942082371737, -6420.842079755355, 2958.9748665985535, 1513.8141386487114, -10423.586603998177, -2363.4985731148045, 5118.510039476125, -12264.30991534017, 12399.818597075966, 12490.106245596951, -15300.268545773593];0.2625065818533686;0.9755573848351045;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;False
1990-01_2016-02;2016-03_2017-02;ES;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8035.858826674076;0.06503858254885464;27.272727272727273;2.366399808740691;253292.28141385206;1.0840066288251478;79629.28823478459;76557.37971269518;75998.37812263647;77583.25407869014;73373.86362062454;77320.68433219635;75288.3169770796;78250.88524151273;79164.73536628255;72578.86995635812;73714.33062598994;82393.06225338153;[1487.011765215415, 980.6202873048169, 103.22187736353953, -3226.0820786901313, 2811.636379375457, 1646.5156678036437, 5134.183022920406, 129.91275848726218, -1716.485366282548, 19745.82304364188, 10276.16937401006, -15029.062253381533];0.5861657552179134;0.9872696284137819;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;ES;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6641.408647180319;0.07931159058644162;9.090909090909092;-3.4527639894966273;261668.87137130726;0.8375255479007678;85087.10995958546;75350.97767960148;81493.2292397568;79997.74756330506;72880.64322147738;81549.86477124169;80629.98954790553;75205.77627491599;77994.67663957641;77566.49496926312;76937.2541385979;82286.68573041642;[-9531.609959585461, 1942.2043203985231, -10058.729239756794, -6058.436563305062, 4468.776778522617, -9102.364771241686, -6123.018547905522, 4728.122725084017, -5548.976639576416, 8595.243030736878, 488.2458614021016, -5405.185730416415];1.1125656483882924;0.9953224512656367;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;False
1990-01_2014-02;2014-03_2015-02;ES;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8587.957456503833;0.07823502633099302;36.36363636363637;5.737630837003336;236937.29373074239;1.1038065134227544;78919.28179413655;72277.40796238552;73002.86565342125;74060.62478757124;69860.06050126;74306.24415396963;75872.0964483253;73189.24933131807;72828.2083520187;72957.08678501229;71206.0722311894;74443.4362593301;[-4918.381794136556, 5870.346037614479, 2287.7063465787505, -1862.2687875712436, 5853.211498739998, 784.1888460303744, 3621.9185516746948, 10651.750668681925, 1284.3916479813051, 19865.52621498771, 15321.927768810594, -5017.936259330105];1.146254438448591;0.9955926799602608;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;False
