train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MG;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;14437.171314182364;0.1136832126761087;63.63636363636363;9.995917505311738;228038.97124686345;1.1196253569606953;107937.27762809435;102630.94712506076;109895.3801901;110905.66077629427;115397.3699668843;114639.51000003159;105276.81384987598;106444.6284393906;104071.6807620762;108769.3474402792;99475.57610913878;95066.94628654268;[11142.539371905645, -10562.611985060765, 20115.887909900004, 20779.786723705736, 12881.637233115689, 18428.22729996842, 9943.847350124022, 9506.681360609407, 10564.603637923807, 4942.326459720789, 18656.14129086121, 15815.412413457321];-2.4359969036827924;0.13183317511940884;8;388;-3.4473167281607155;-2.869018036958473;-2.5707536074503134;False
1990-01_2022-02;2022-03_2023-02;MG;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4890.136261664219;0.03930780631636137;63.63636363636363;1.5459662276028998;77083.52978750019;inf;103232.91068601371;103947.92312259256;108398.08335863489;110094.40811474776;112625.67670106285;113138.28812756948;104879.15302607535;106067.72800610351;100930.25030958369;106409.19345459358;98674.97892478571;93383.95471380418;[5185.7071139862965, -9500.694862592558, 1192.2771413651062, -1522.7813147477573, -2543.575301062854, 3534.769872430523, 1743.2545739246561, -1151.686306103511, 4057.4489904163056, 4185.571045406425, 8237.202275214295, 6395.541666195815];-2.4314505964410995;0.13305572357202378;8;376;-3.4478619826418817;-2.869257669826291;-2.570881358363513;False
1990-01_2021-02;2021-03_2022-02;MG;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6685.962076326306;0.058115635902260016;72.72727272727273;-4.860534773193334;79126.38736165523;0.9426004387968552;109430.5209264602;108317.71310104804;112206.32455418227;115519.78614240962;117599.5677299266;115730.97989800072;109526.13825747352;110415.42299774551;108084.1297276303;111366.72733353719;103905.33310549393;99266.96235054605;[5162.768973539802, -3830.5627010480384, -9079.195954182273, -3070.6194424096175, -380.56952992659353, -4679.869398000723, -9001.319457473524, -10492.433867745509, -8948.790957630292, -6726.61323353718, -7621.97984549393, -2579.4333605460415];-2.425294512336587;0.1347241077605466;8;364;-3.4484434475193777;-2.869513170510808;-2.571017574266393;False
1990-01_2020-02;2020-03_2021-02;MG;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4642.914735588314;0.028977146601423014;81.81818181818181;1.1489834868983848;36611.95869579776;0.6693086260047555;105633.20533440252;106007.6778838074;112233.75180492105;112898.32009272954;116657.06599859337;116079.94225253782;108063.53097341502;109402.67564365255;106432.54798948535;111711.29104173643;101665.62459346034;97128.4931900425;[12336.763865597488, 6996.200716192601, -3485.1576049210416, 735.7361072704662, 4465.805401406629, -809.1886525378213, -1115.7791734150233, -1038.666543652551, -3926.547989485349, -1622.1769417364267, 1783.3301065396663, 835.5774599574943];-2.384451536406254;0.14617302172186025;8;352;-3.4490648539347544;-2.8697861692116478;-2.5711631253228306;False
1990-01_2019-02;2019-03_2020-02;MG;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3308.0898136458954;0.02249129229805229;100.0;-1.6272608067443535;32.21753713363303;0.5843663587471545;103937.98595258706;109398.93748831394;116757.66352900871;115509.36030528502;118706.64246342184;118179.70197118848;107440.84640397021;111700.49115543418;107311.05115724955;111331.04616434661;104064.87665754487;99915.89554936496;[260.7568474129512, -1576.0135883139446, -3910.832029008714, -8864.206305285028, 2971.935436578162, -2240.884971188483, -1415.2015039702092, 858.9526445658121, -2399.4442572495464, -1368.7852643466176, -3256.6791575448733, -263.62742936496215];-2.3424958652592096;0.15862814034478062;8;340;-3.4497304638968043;-2.8700785273763487;-2.571319005190311;False
1990-01_2018-02;2018-03_2019-02;MG;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10223.362335729518;0.06993362012867742;45.45454545454545;-3.834269637641879;241775.55059776964;1.0450276891887846;109624.80807147048;114828.4702641452;119580.11954069092;116353.74145831127;123261.01551494602;122604.72550525723;113246.72400955655;116235.04505443643;113660.8785464826;116285.78366716449;108699.08914971988;104839.19684928861;[-269.67767147049017, -4916.283664145201, -22562.98729069093, 19886.073741688742, -9382.781814946022, 771.9302947427641, -4744.653309556554, -6787.597554436434, -2642.0814464826108, -10764.270967164484, -4929.290249719881, -4588.577249288603];-2.2785120393326057;0.17899194105194838;8;328;-3.4504451681828194;-2.870392380216117;-2.571486353732897;False
1990-01_2017-02;2017-03_2018-02;MG;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7023.823419444286;0.05141872143314822;63.63636363636363;-3.586659415525819;110753.73137764419;0.6594574202128468;118868.99946283657;118096.16039722081;121027.72662110422;122398.52887042322;127896.26479274347;125612.5735780448;116706.21122199044;120388.41938356636;114895.4121923366;119061.85628104866;113359.45432248224;109775.80728906726;[5339.401237163431, -13218.792597220803, 763.7262788957887, 663.1857295767841, -2682.429692743477, 2208.5661219551985, -1497.6218219904404, -11632.133483566358, -3287.9432923365966, -8425.326481048658, -9025.182622482243, -8652.580889067263];-2.1011999909924826;0.2440323529511888;8;316;-3.4512146067362317;-2.870730188960711;-2.5716664849383113;False
1990-01_2016-02;2016-03_2017-02;MG;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5665.413949570295;0.03905124447245736;54.54545454545455;1.1490343779653145;111605.48724307213;0.37199562574763145;118577.04999513077;114747.96941303684;118601.19296520595;120157.10699883726;125062.59260738069;122115.782139551;115734.25782617995;117253.97108954737;113323.88794957085;117722.81787415501;111469.9625418896;105594.10020865596;[472.7906048692239, -2452.6451130368514, 1803.9719347940554, 6635.978101162735, 567.6718926193134, 9008.19796044899, 2618.256673820055, -2989.7898895473627, 5682.921850429149, 8770.919425844986, -10751.987941889602, -3088.6238086559606];-1.9984222554576485;0.2872653133783189;8;304;-3.452045317832011;-2.871094805558846;-2.571860921485457;False
1990-01_2015-02;2015-03_2016-02;MG;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3445.41482777511;0.025336540648361567;81.81818181818181;1.1947362512920823;27163.606247559233;0.3140280621627692;115560.11181482449;111644.95587762882;116380.99689022303;119826.39518569566;122314.00603412656;119669.79485163692;114712.25798892588;115345.75771044384;111671.46546941838;116819.2737744164;109539.13516994011;104246.6739184552;[-1035.6607148244802, 2563.026022371181, 2118.303809776975, 2731.3385143043415, 5133.5682658734295, 4078.8229483630857, -1146.7688889258716, -2337.1037104438437, -4341.829569418391, 2510.5650255835935, -519.3181699401175, 6904.340581544806];-2.023659759961223;0.27629642840476865;8;292;-3.4529449243622383;-2.871489553425686;-2.572071437887033;False
1990-01_2014-02;2014-03_2015-02;MG;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4000.34052532364;0.02814781325630671;54.54545454545455;0.4254260287981715;78785.59612585462;0.4007097336091007;113769.6371181474;110007.46081382559;118059.06725794719;120005.47733589543;119239.7074347634;119176.85185061797;115057.36573822846;112852.51116555557;109771.73141467686;118331.72360025304;108272.89134125918;101549.23671854449;[-4930.465018147399, 669.075386174416, 442.6229420528107, -5778.535335895431, 8376.125865236594, 4077.0720493820263, 796.0436617715459, 3467.7080344444403, -1132.5611146768642, 1529.8687997469533, -4662.009141259186, 2981.6020814555086];-1.943489931131668;0.3118865926441795;8;280;-3.453922368485787;-2.871918329081633;-2.5723001147959184;False
