train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5658.209054034086;0.3614738186084329;63.63636363636363;50.85472783041449;89985.01712736617;0.8746086852285538;3658.6429207079254;3285.074166670292;3272.407589022514;3632.4400426742886;3528.380197464065;3569.0112818194507;3859.8023783673552;3809.159197300681;4140.403884098399;3916.74796799526;4097.859017004583;3408.7370645840374;[262.2250792920745, 254.6258333297078, 222.592410977486, -63.88604267428855, 455.077802535935, 2124.3457181805493, 3058.5976216326444, 4009.440802699319, 3926.5961159016006, 8292.845032004741, 10823.240982995418, 12349.662935415963];-2.31755394534408;0.166368959472886;11;385;-3.4474498334928687;-2.8690765390453703;-2.570784795075055;False
1990-01_2022-02;2022-03_2023-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1472.5818778211667;0.3565355544553004;54.54545454545455;-14.443303611898989;29218.300163577085;inf;2809.580045949821;4184.230589044858;3013.7116735376594;5160.95319233667;4879.133194421661;3786.7197636949545;4602.110028092863;3589.326585832041;4923.152625765161;5290.768288490021;5281.794237070457;3565.817098932437;[2275.919954050179, 1221.1644109551426, 982.2453264623405, -1542.9841923366703, -1156.727194421661, -644.2197636949545, -1387.654028092863, -122.35358583204106, -1876.2296257651615, -1782.7682884900214, -2368.794237070457, -45.065098932437195];-2.2756530611328984;0.17994060382062682;11;373;-3.448003816652923;-2.86931999731073;-2.5709145866785503;False
1990-01_2021-02;2021-03_2022-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1979.9445030455463;0.30411476239339247;36.36363636363637;18.309956362929075;54827.18128071996;1.4894726876868307;3120.5836104207824;2940.9477946586694;2979.296213156292;2894.1621906618007;3666.670759931265;3368.0884442737556;3268.921830996404;4207.567498449585;3229.339109552441;4396.200905634331;4137.596726173249;3140.251852476125;[4201.962389579217, 1793.4522053413302, 401.1407868437077, 3848.849809338199, 2345.3272400687347, 873.9115557262444, -23.92183099640397, -1130.5674984495854, -90.52510955244134, -1469.2009056343313, -1180.5967261732494, -301.7518524761249];-2.316352988428655;0.16674803610601896;11;361;-3.4485948978753314;-2.86957971128312;-2.571053050314224;False
1990-01_2020-02;2020-03_2021-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1770.0677997593602;0.5865838896966237;63.63636363636363;-48.82423127052034;28330.170123387463;1.3198758697029678;4908.358656458814;4444.117227377064;4531.020595893195;4479.318466586013;4827.23790692638;5056.9345929468145;5059.172291742079;5491.52273107819;4950.213592505245;6030.277786124689;5672.207812894238;4576.31532097257;[-2053.058656458814, -2073.5642273770645, -2735.2205958931945, -2227.7574665860125, -1887.4379069263796, -1810.8345929468146, -1066.8722917420791, -1716.72273107819, -1488.9735925052455, -1430.9777861246885, -1202.9078128942374, 1.5846790274299565];-2.2639548959443574;0.18385681265757003;11;349;-3.449226932880019;-2.869857365438656;-2.571201085130664;False
1990-01_2019-02;2019-03_2020-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;907.6600427449046;0.14521930303958538;81.81818181818181;5.781482628875316;7204.188196365694;0.5195060698741097;6732.397630142878;3003.8959111374;4260.714497351378;3223.3558499660335;4929.387392364792;5160.565938865586;4627.466224262404;4086.2888192818054;4944.908686620692;5937.327778065841;4880.004119569748;4615.737992136463;[-1444.8906301428788, 1756.7040888626002, 818.3675026486226, 1252.0441500339662, -288.2163923647913, -158.58693886558558, 114.47777573759686, 1254.5951807181946, -100.24268662069153, 177.97222193415928, 645.5688804302526, -566.8229921364627];-2.269333039398558;0.18204947259823795;11;337;-3.4499043309021955;-2.870154885338925;-2.5713597190254385;False
1990-01_2018-02;2018-03_2019-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2486.2879249363286;0.3904081315340541;45.45454545454545;41.627241873979585;59152.85499065138;0.9113823281382107;2288.362855775506;2492.3502956137113;2451.8051648484043;2340.643522860983;3453.120671171938;2616.8301826877987;3216.2551423632285;3107.5355637236476;2733.455822427309;3872.278297409922;3431.1258544734847;2435.201354214612;[-138.05485577550598, -439.14529561371137, 903.7688351515958, 2185.6214771390173, 941.2883288280618, 1817.975817312201, 3135.5888576367715, 4411.134436276352, 3060.714177572691, 2924.2317025900784, 3328.918145526515, 2427.3446457853884];-2.0248391321880077;0.2757893087780705;11;325;-3.450632157720528;-2.870474482366864;-2.5715301325443787;False
1990-01_2017-02;2017-03_2018-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1168.260290287569;0.29716289276990776;45.45454545454545;-8.414042286207511;27750.33825805737;0.9525392154102937;1812.092645874372;3335.3442955287387;2530.3819962751513;3079.2465225279257;3096.612078033249;3472.909218704976;3099.62463177283;3674.2630224817744;2963.9357297888687;4317.461896629798;3854.329874066029;3051.689384384717;[3122.362354125628, -1500.8442955287387, -319.8819962751513, -1019.7465225279257, -863.612078033249, -231.39321870497588, 443.8663682271699, -222.27902248177452, 40.24927021113126, -1193.0978966297976, -685.1488740660288, -542.0073843847172];-1.8757552142071245;0.3435511531773861;11;313;-3.4514162625887037;-2.8708187088091406;-2.5717136883095675;False
1990-01_2016-02;2016-03_2017-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2051.7073939350225;0.7055650734595469;81.81818181818181;-61.31438561662732;16785.396318957624;1.9985259766303622;4509.559604294558;4765.919774143824;4415.193715362487;4661.493129604291;5519.795336881161;4992.081007997308;5262.11843146876;4952.8503946991805;5065.077434661871;6282.408708094639;5942.668863195398;4854.629168765999;[-1614.668604294558, -1792.025774143824, -1539.4017153624868, -1753.4931296042914, -2150.2953368811613, -1410.103007997308, -1805.6184314687598, -1505.4503946991804, -1225.8554346618707, -1769.6327080946394, -3402.2308631953983, -3301.929168765999];-2.001950680921426;0.28571844910951627;11;301;-3.452263435801039;-2.871190526189069;-2.571911967527952;False
1990-01_2015-02;2015-03_2016-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1618.7978702657117;0.2563615944452542;81.81818181818181;25.265079630898956;12926.44555063238;0.9208398883945293;5237.03076047849;2982.4081762200835;2880.7246176112058;3092.273435333168;4157.791928043966;3038.9979537213376;4343.483666147398;4234.654680789735;3135.2423687909827;4971.786605985484;4478.102091400988;2939.073491147461;[-44.030760478490265, 1866.4458237799167, 1383.2223823887944, 1383.3105646668319, 2007.2380719560333, 2777.934046278662, 1472.5163338526017, 2648.345319210265, 1683.7576312090173, 183.78439401451578, -402.1020914009878, 418.57550885253886];-2.0311346569375224;0.27309065074152483;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;False
1990-01_2014-02;2014-03_2015-02;ES;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;770.4140258606446;0.14702665029908588;54.54545454545455;5.012988830917599;15215.535375842082;0.6138301752342304;3123.971064086862;2950.4745465953006;3020.3441288166423;3199.800784856491;3827.2682720842836;3414.488461329806;3753.6972886727685;3847.1200410250503;3081.8225467852285;4746.928822740829;4328.82872012995;3108.537111072165;[362.02893591313796, 683.5254534046994, 226.6558711833577, -70.80078485649119, -560.4172720842835, -547.4884613298059, -741.6972886727685, -363.12004102505034, 425.1774532147715, 185.07117725917124, 460.67127987005006, 2178.248888927835];-1.8839638859494605;0.33964219958866654;11;277;-3.4541800885158525;-2.872031361137725;-2.5723603999791473;False
