train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;12409.129823223455;0.0869400575547462;54.54545454545455;3.116108124223602;244710.26863645838;1.4181746844063134;109524.57309735441;110438.45025521413;125620.14506122694;100644.0654623086;111148.75545870597;126424.02605214431;99939.2988595468;109875.50513561479;122352.91665074919;100275.48452343872;110122.23545220768;122223.94352861943;[1195.2669026455842, -6086.324255214131, -2222.820061226943, 15619.395537691395, 6057.966541294023, -5029.8950521443185, 15413.742140453192, 9957.248864385212, -6400.077650749183, 26514.82147656128, 7405.5205477923155, -19049.72552861944];0.8654363225735197;0.992622269309216;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;14129.822388911478;0.08289470440265377;36.36363636363637;5.338415939866194;389861.72098329593;inf;101296.6757914967;106566.66912238213;108842.33393500018;94709.01748123778;105216.24447467877;113747.13795567953;94317.03714573798;105575.68179708731;112494.15364683382;93630.72711354846;107383.72516680555;112140.0560941482;[-1482.972791496708, -9626.125122382131, -4794.919935000173, 5768.659518762215, 6239.707525321239, 5929.759044320468, 27021.440854262022, 13287.114202912693, 228.32635316617962, 34918.230886451536, 13.03383319445129, -6674.996094148199];0.29173796258757667;0.9769622376050762;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;14909.486301170084;0.1312716202817914;54.54545454545455;-2.0996090102326193;294304.4796058553;1.6563410467956814;103277.40561561666;99876.43448891919;116812.32152735518;91803.16218393079;102400.35689962233;122505.75235190919;93650.42009580172;104864.82030580372;118297.66308517056;89088.93862566771;106673.68330635878;118234.9010602528;[-9479.345615616665, -5973.421488919179, -16503.50952735517, 15032.302816069205, 9129.72710037767, -10628.86935190919, 14602.26490419828, 3404.5936941962864, -14529.854085170562, 26116.420374332287, -14370.419306358788, -22864.874060252798];0.3868772558747393;0.9809975101459298;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;17846.16901931121;0.15277727590662118;36.36363636363637;-0.015945386603996376;492942.3147689837;1.4680848844766203;101170.23992866432;100783.88585067325;105648.3393687349;95744.09100425939;98887.57330947332;107830.68290496997;96937.72226114884;100675.97229436183;100234.73738566299;94364.32241803373;102730.38060196304;104353.41127236477;[-12233.61892866432, -26396.071850673252, -31273.796368734897, -589.3700042593846, 10424.926690526685, 577.7380950300285, 15645.480738851154, 17904.688705638167, 10699.01161433701, 30903.33958196627, 55.775398036959814, -15910.910272364767];0.32667251308899;0.9785356514427983;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8045.149124396036;0.05410251895268902;63.63636363636363;2.669767852945763;126867.57202837683;0.47271366882919874;94613.79238749281;97458.48971880859;97838.2312101444;91881.36042701993;94584.9093194348;102686.29787065998;94720.81472903935;97833.28071321461;95898.09519680223;89655.275821656;96184.43652600338;100372.50205687125;[-3125.5123874928104, -3061.710718808594, -2086.3842101444025, -19.697427019928, 9733.3166805652, -1348.9558706599782, 2795.8332709606475, 7069.33328678539, 4902.9348031977715, 22509.26017834399, 2227.046473996612, -7948.724056871244];-0.09277030473916133;0.9501538948922169;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6452.576630950213;0.0549010894471754;54.54545454545455;-2.1042551514103747;127156.64235053032;0.33468380852297763;94771.40615378584;97643.49881166764;101924.6515672789;94137.94169963701;93973.58747373457;106294.1125898114;94310.6407634551;97267.5801263899;96795.95895452787;90941.97374384581;95893.21988902288;101134.73007500658;[3485.9558462141576, -6075.808811667637, -7025.91156727889, -4497.432699637007, 1003.2915262654278, -7362.986589811393, -2850.3467634551052, 3880.1428736100934, -262.26895452786994, 10695.15125615419, -1352.2648890228738, -13648.716075006581];0.1329084431063897;0.9682374009788293;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7877.571977575299;0.06397925071060878;45.45454545454545;-0.6965801939535136;186279.13509292153;0.42266158528815007;93203.26449670516;98867.01678821212;100585.96943801026;93199.89079175297;96491.66027137848;103874.52530997792;90257.8580549978;98169.12845629508;100332.77743433695;90723.24132020786;96414.81897038611;102204.47037106371;[1890.5855032948457, -9961.879788212114, -2724.3164380102535, 5210.290208247025, 2970.0397286215157, -2055.9053099779267, 6125.065945002192, 1399.3095437049196, -4189.303434336951, 14404.456679792143, -3259.0789703861083, -17863.613371063708];0.21280006577123323;0.9729704416638434;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7306.062712490576;0.053933034226642196;36.36363636363637;0.8878612447849601;201493.252271182;0.3515357793286879;96016.29452673892;96117.63497933953;97215.37278945056;92558.41077188676;92238.07855893442;97300.546066161;91404.39680075817;98345.6009028411;96129.41652054616;89172.8709470226;95572.17270737946;98071.80682739733;[-298.87852673891757, -3870.530979339528, -409.2397894505557, 1073.3062281132443, 5905.571441065578, 2306.4239338390034, 11409.844199241823, -1835.200902841112, -1123.6665205461613, 15415.432052977398, -4544.487707379463, -13815.00682739733];1.9265759453411067;0.9985695969738857;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7272.851210754525;0.067269311546103;36.36363636363637;0.005685375846001721;200619.68856416506;0.39254409990667516;100037.19742643216;93551.46998900933;97883.06177453544;88841.6933138506;89164.63575971316;100027.3076011109;92378.1055614892;95025.92541506678;94385.90473085274;88167.24733338653;94299.47121852111;97402.2372800365;[-10205.069426432165, -1428.5199890093354, -6648.77777453544, 4031.806686149401, 8875.81424028684, -3808.9276011108886, 4379.438438510799, 6017.962584933222, -4063.3647308527434, 15101.88266661347, -5568.3352185211115, -6619.59528003649];3.8505082393158947;1.0;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;PA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11564.201367175403;0.09432672893879375;27.272727272727273;8.098346428599413;364653.2032015781;0.5151584663175309;90261.06008338062;84849.54393170451;88016.43175715423;81377.54199183726;80843.1004650037;88674.04850090653;84842.33626186929;85432.38526375231;85313.93995056671;82001.85048655981;85067.9479486547;86463.60609729734;[-6940.9400833806285, 4299.069068295488, 611.4692428457638, 3938.2080081627355, 13076.34953499629, 4717.4514990934695, 10437.663738130708, 17948.513736247696, 6761.077049433297, 26590.34951344019, 11678.102051345297, -2958.1860972973373];3.7088285067220026;1.0;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
