train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8095.4194594529945;0.12512202936341205;63.63636363636363;9.04557670169055;127910.37365088923;1.2513230020073502;48233.31863667197;44278.284476610854;53508.04433909191;42025.87417546454;44891.698101119604;56407.43114357186;42602.78253273911;44683.95658464186;53845.740447624805;44278.80295267443;43849.69088915104;53442.343404985106;[1243.6813633280326, 2877.815523389145, -2199.6443390919085, 10755.425824535465, 8297.501898880393, -2140.13114357186, 8737.217467260889, 9007.043415358137, -1551.3004476248025, 13890.897047325569, 13937.30911084896, -5964.643404985109];0.01624786712736269;0.9598553240382365;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6743.4126153620555;0.10192973163334142;36.36363636363637;5.961087808868981;186117.5619698617;inf;41118.487723663064;44360.281309998296;47857.58425911611;39399.524140523405;44124.50827819791;50346.65371538769;40240.829599276905;43286.25964553381;48460.12179374488;41317.36697037241;44511.66663925791;48640.23296495152;[-945.4877236630637, -5201.781309998296, -5326.684259116111, 808.4758594765954, 1569.5917218020913, 2240.3462846123075, 12582.670400723095, 9177.140354466188, 303.2782062551196, 13673.033029627593, 6912.060360742085, -1963.9329649515203];-0.2997049373556581;0.9255461115162069;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6617.972958612179;0.11564148736315227;36.36363636363637;1.0337768555148028;182695.16248865533;1.3385129908022386;39953.3255391093;38221.08075447241;50193.46559796468;41414.122421775886;41466.77077076219;52170.50724355004;40056.593607249444;42363.27325113574;49131.43944173862;38008.6110822128;41746.0965690102;51638.189159898124;[476.207460890706, -102.27075447241077, -8106.685597964679, 2815.8275782241108, 5787.929229237809, -4617.3072435500435, 7998.106392750553, 3913.3267488642596, -5524.739441738624, 13247.088917787194, 172.26943098979973, -10561.489159898127];-0.5915392812642774;0.8728823647982323;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8738.034009521678;0.18860679325402627;27.272727272727273;-9.985301013826543;275896.27386705653;1.6557800625628092;45039.30126061038;47035.69608853302;49765.8058896381;45845.64474952088;47529.161366628075;51380.42189544984;46609.24987630333;46056.520448771764;48630.866436349635;45928.00434634024;46157.18374842427;48657.78547990796;[-7378.461260610384, -14707.176088533019, -15387.335889638096, -6863.384749520876, -7274.681366628072, -8894.251895449845, 471.9101236966744, 5337.339551228237, 664.5735636503669, 10105.934653659759, 2009.7762515757277, -9709.305479907955];-0.204798351483894;0.9379472446092316;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3528.5366949874297;0.05901321251013236;36.36363636363637;-0.06750702438822828;97321.86936278001;0.6819583074183012;44953.53843012485;46577.95107987713;47558.24428396584;46897.84787271094;45998.30056200326;48574.29541229276;46385.44029502068;46441.174316431716;47211.023869441284;45613.93367225374;45661.12209731781;48261.150827904945;[-818.8044301248519, -627.4510798771298, -2158.0442839658426, -4413.356872710938, 4240.889437996739, -1093.3924122927638, -1251.120295020679, 2748.815683568282, -244.22386944128084, 7315.346327746258, 2086.2279026821852, -6162.7608279049455];-0.3909615829842778;0.9115969668035098;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5857.530511401262;0.11218731169160782;36.36363636363637;-10.987216885361837;161693.96697110063;1.042657293619302;51477.350638795346;51279.929003330784;53716.221566887725;50961.22470770735;48055.6378578696;54634.78826484197;50880.00530804876;50058.862204357865;51753.5770072797;50407.230994909085;49361.14021042628;53626.758435734184;[-2321.455638795349, -5509.482003330784, -8924.427566887724, -5496.5747077073465, -2540.437857869605, -7117.238264841966, -8037.281308048761, -2144.5452043578625, -5445.392007279705, -1450.7679949090816, -1771.2162104262825, -10243.36743573418];0.27700912896768454;0.9762647392697039;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3835.7412517744133;0.05600122359887975;72.72727272727273;-0.47342630360833166;45391.62106269392;0.5773145714329319;50711.83636498896;50551.98813409981;52216.31695321907;48705.53690906468;49120.34166618677;54334.91531609082;48745.8422053443;49406.49254937282;53258.37823297421;49193.40761702258;48444.32990437793;53349.709244695776;[47.763635011040606, -1805.3221340998134, -208.3669532190761, 2293.5630909353204, 2355.8083338132346, -1911.9613160908193, 1031.0977946557032, 1449.309450627181, -3710.5832329742116, 5963.069382977417, 1784.7990956220674, -10154.230244695776];1.4096541252970953;0.9971575607594878;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3694.3750781256867;0.051654502505604605;45.45454545454545;1.9590277257176367;87340.83418975797;0.7107866489335765;49945.69369181965;48586.56862024593;50211.13860390901;48110.04398377742;46807.80981111151;51087.45830804752;47292.336879201735;48877.9766322009;50013.04236849266;47244.603886262375;47655.56604161848;50950.62056786209;[272.7983081803468, -1728.1086202459337, -1250.1386039090066, -558.5439837774175, 3371.4101888884907, 455.27269195247936, 5754.093120798265, 128.67336779909965, -347.04236849265726, 8203.176113737623, 3370.7139583815224, -5947.37056786209];2.0410561564828797;0.9987239815677378;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4074.097286264105;0.0704317506674061;18.181818181818183;-2.1329249744674144;144465.13612215154;0.8067470840228206;53059.10247095287;47755.620843570985;50201.6712453868;46931.85263630163;46374.88341902486;52176.53128486622;47758.95011751633;48487.62294433616;50903.927672465536;47775.45522228595;47822.040965110435;51387.92260602357;[-5879.835470952872, -1182.820843570982, -4125.171245386802, 418.19736369837483, 4854.6345809751365, -4101.5312848662215, 1511.4728824836711, 1106.377055663841, -5513.827672465537, 6238.944777714052, 64.75903488956828, -5725.922606023567];4.081906311035887;1.0;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;PI;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6801.737618694216;0.11331949675364038;18.181818181818183;9.006271741308112;241311.85000887403;1.6283571534049825;47731.688863563526;42784.8801028586;44014.231969860455;42268.23421244455;41275.23792334898;44666.62918499132;43189.087014483586;42776.2665450919;43884.400668982045;43137.65587212105;42649.65044385101;44696.440353283055;[-4618.188863563526, 3772.5598971414, 2161.715030139545, 1560.7657875554505, 6612.304076651024, 2451.265815008679, 5485.404985516412, 9146.233454908099, 3308.0893310179526, 14071.833127878948, 11308.84955614899, -3488.580353283054];4.295436543584631;1.0;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
