train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5702.2088210378915;0.07163795789246784;54.54545454545455;-5.266752500394816;112411.42282560421;1.3999471907542869;71881.3631496276;73540.46864238643;77159.16221912215;78180.39515176849;82230.4012807107;81405.69441224924;76618.5119573172;78836.29644993064;75298.6644831979;78149.25361474154;73428.95371662588;69097.41138009058;[7829.1839503723895, -5780.9197323864355, -8085.808959122151, 42.383838231515256, -5073.305270710713, -2256.6346322492464, -4787.6423873172025, -7059.318189930636, -6519.604703197911, -8097.740934741538, -2676.915676625882, -3354.715730090582];-1.29920237965336;0.6295371469083211;8;388;-3.4473167281607155;-2.869018036958473;-2.5707536074503134;False
1990-01_2022-02;2022-03_2023-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5428.194519670186;0.060207176340105716;72.72727272727273;-5.499320172836929;64246.14957099;inf;78478.79107985104;78057.17718121635;80360.50408384953;82420.09331544569;84823.4385720569;83755.91804486926;80749.7810193801;83127.92832633732;77882.822831245;80614.22906579766;76818.68186254404;72602.98445287067;[970.2723301489605, -9189.87646121635, 159.01765615046315, -3819.066145445686, -2701.7465420568915, -3813.483264869268, -4571.5165293800965, -10521.198256337317, -1391.5746412449953, -2447.691025797656, -3942.449982544029, -8756.180102870676];-0.8570039760718852;0.8018018166704932;8;376;-3.4478619826418817;-2.869257669826291;-2.570881358363513;False
1990-01_2021-02;2021-03_2022-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3685.80850492708;0.04130387520810718;81.81818181818181;-3.335896395694441;29084.462599254617;0.8064848834590878;82615.28601843803;79540.05563639077;82610.31149476953;83370.96016282831;86293.76350186259;86529.47631285385;83277.81992698812;83376.54413315606;80043.71781751367;83811.42217749468;79595.76991081036;74459.45199668324;[-3856.9780484380317, -2168.713246390762, -2988.974534769528, 2419.0344071716827, 966.5897581374156, -53.06508285384916, -4547.357966988115, -6804.873843156063, -3864.398977513658, -3772.41130749468, -5311.739110810362, -1831.8831566832378];-0.29571835390379275;0.9261085561628225;8;364;-3.4484434475193777;-2.869513170510808;-2.571017574266393;False
1990-01_2020-02;2020-03_2021-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5093.179064658552;0.05885740254008071;90.9090909090909;5.932752233386316;20179.229449245933;0.769800236495604;77238.92380668178;74645.610913479;77629.7381888511;78448.2137851111;81043.33005884336;81967.82183643954;78930.40026246154;78190.92982370392;75339.31532042456;80125.23504799059;74165.23528730204;68817.58382642968;[3234.2410533182265, 4979.180756521004, 2590.1712311488955, 6387.947444888894, 8513.468851156635, 4380.975263560453, 4923.449377538462, 5659.544816296082, 3845.6665595754457, 5317.014952009413, 4799.969422697963, 3804.7150835703214];-0.7084876958494821;0.8445387666366084;8;352;-3.4490648539347544;-2.8697861692116478;-2.5711631253228306;False
1990-01_2019-02;2019-03_2020-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3156.2321411097746;0.03440277907962033;72.72727272727273;1.1862458471861939;37320.74981517021;0.6165723956200586;75436.23210430841;73348.68657024216;77583.31545719171;78302.64815378435;79915.07322232098;80153.94366671306;77260.1707935612;77433.00232222285;73400.1851769365;77918.08076943886;71991.07592894077;68079.03578770912;[-5166.5056543084065, 466.4293697578396, -1052.2140071917092, -4258.983293784346, 5093.426777679022, 4021.9711932869395, 476.30203643879213, 4109.624487777153, 1000.1608330634917, 1789.4337205611373, 2340.7682710592344, 2113.8754422908823];-0.8514780221287588;0.8035313917624698;8;340;-3.4497304638968043;-2.8700785273763487;-2.571319005190311;False
1990-01_2018-02;2018-03_2019-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3291.333064148357;0.029990246852582118;63.63636363636363;-0.1802402350121765;51868.269373951116;0.6643686765026217;75363.59108018705;73309.5667512257;76584.30438106164;76334.68850575277;79855.34050284966;80312.23043371858;77445.44044032019;77222.00294036738;74376.22361311653;78234.32100394447;72209.44690360942;68219.34159096895;[175.29840981295274, 300.1307087742898, -7201.260901061643, 7441.840484247237, 1290.9257971503393, 1523.3764462814288, -2576.8697903201974, -981.6623603673797, 684.8506668834743, -2772.572813944469, 1417.1654163905769, -937.4973909689434];-0.7948081486706337;0.8206423794261974;8;328;-3.4504451681828194;-2.870392380216117;-2.571486353732897;False
1990-01_2017-02;2017-03_2018-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3226.534833899325;0.03418074184980347;81.81818181818181;2.319407541612256;25450.39799324005;1.0534560895064748;72129.97347648696;70952.72939717952;74357.43272089394;75236.63517203431;78341.50430052067;78932.93519223404;74662.53512242642;75827.68885812166;71872.85567639889;76030.70185568357;70787.99682250971;66801.49889054341;[6862.435863513034, -3129.1732371795224, 1594.516559106065, 1176.246917965691, 2451.3761294793367, 5089.161087765955, 4253.034437573588, 475.0189818783401, 2146.1101036011096, -2163.759755683568, 2141.3872374902858, 139.99567945658055];-0.8910244299737673;0.7909138293991368;8;316;-3.4512146067362317;-2.870730188960711;-2.5716664849383113;False
1990-01_2016-02;2016-03_2017-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2268.9021288189765;0.02502865859831878;72.72727272727273;-0.860910082571357;26819.34280176237;0.6005221644094249;72020.2936399557;72042.98536198301;74938.44127488628;77169.52397421765;78741.48918991239;77618.38463679381;74815.9403155638;76697.63896461399;72029.5457608745;76014.39907711871;71453.03459846435;66901.9318564464;[240.84948004430044, -1594.6556519830046, -2299.6314948862855, -3697.9207142176456, -321.24280991239357, 4035.445073206196, 1967.2698244361964, -3338.673384613983, 289.8564091254957, 698.7657828812953, -835.3425684643444, -2745.205406446403];-0.7948788135484033;0.8206217506894483;8;304;-3.452045317832011;-2.871094805558846;-2.571860921485457;False
1990-01_2015-02;2015-03_2016-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3531.189440626755;0.04114874774683765;72.72727272727273;-3.473708431403634;41764.764810814835;0.8467222527690635;76097.02673115194;73624.28883491548;77049.48709069178;77789.07425207335;79940.9595638671;80165.03579095748;77405.88124768322;78170.95386207014;74541.96021427495;78653.0479867681;73730.87418060712;68575.04578974849;[-2548.3618711519375, -2371.2018749154813, -3624.8512206917803, -780.1086720733438, 2374.1944261329045, 108.77398904251459, -2688.8105976832303, -4131.997342070128, -5673.449344274952, -5395.098706768098, -5693.763670607121, -317.6889097484818];-0.26152518780840617;0.9307795159726604;8;292;-3.4529449243622383;-2.871489553425686;-2.572071437887033;False
1990-01_2014-02;2014-03_2015-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2941.477208248839;0.032650142267506115;90.9090909090909;3.227404627839472;11620.7784919028;0.9649422349252487;75607.00944278075;70125.9855732446;74702.96804194126;74341.21324062419;76320.25645702843;77668.02426424978;75135.74096160968;74493.62078448659;71461.70418794654;76826.41202212065;70882.06167149622;65245.73601247834;[-376.7848027807486, 3956.072396755393, 3672.928698058735, 592.419009375808, 5770.96818297157, 2297.290955750228, 2622.615918390322, 3258.348415513421, 736.4969020534627, 2090.3760178793455, 3300.1176785037824, 1521.2404375216647];-0.16392378706865887;0.9426874052549531;8;280;-3.453922368485787;-2.871918329081633;-2.5723001147959184;False
