train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5379.2299243056705;0.06567383009543705;63.63636363636363;-1.019610436453058;84854.9113566141;1.7641463356207432;64866.98132394336;66383.05479741971;70712.63518801893;71645.22104218058;69094.10864713416;67271.37251028567;68279.12643355131;68933.54067603298;65078.736384090895;66065.5881448658;71197.39874830411;67470.50780438352;[4402.895486056645, -2660.39899741971, -776.4721480189328, 2540.7264178194164, 3985.418522865846, 8337.634739714325, -1515.4941835513164, 1291.656783967017, 986.5770259091078, -4844.852634865805, -9885.208528304116, -10108.603814383525];-2.7993241403352735;0.05837037468397067;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6498.612451702151;0.07360671030072802;36.36363636363637;-1.1431099706293804;179280.7212322463;inf;65300.28290485898;67313.76645018545;72627.32951266057;71803.82222289739;70856.02667431338;66598.45030274181;69376.11663794304;71612.50432173934;65713.12014093928;66272.30395442709;71956.0971200044;65579.49925666058;[1600.1862951410294, -3219.6197101854486, 1501.8860673394374, 4783.581767102616, 534.3773156866228, 11591.32686725819, 1234.8217720569664, -2860.2126517393335, 2627.865369060717, -2705.024964427088, -14670.381540004404, -9742.984766660578];-2.74610077699247;0.06639486637289801;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7167.24530705133;0.0835491737745152;54.54545454545455;0.2169547711035911;141329.4970680112;2.133958233717941;67171.9887453151;65677.97543273988;69552.58186071807;71029.15316514001;68731.03624979104;67856.5995239693;70729.0257000522;69675.34505282216;66088.92958041513;65911.68914590431;70423.30314367851;65763.73902264355;[2887.0529246849037, 743.0897872601199, 3150.5648792819266, 7351.834154859986, 12631.831500208966, 7385.7809060307045, -1321.8807700522011, -960.1149828221533, -3356.4458804151363, -2534.7434959043094, -14957.54046367851, -9239.55061264355];-2.668103137419616;0.07972231390392892;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5426.213477834706;0.061205460305540506;54.54545454545455;1.71317514562588;106945.89416272992;1.1341853119140344;62913.818615138465;65818.51208466358;68512.46798125903;70974.60081771734;70792.6666956482;67447.20264638965;69445.28537736059;70031.25258898856;63750.20862027869;66832.81204386945;69800.33855392133;65707.65537084505;[5608.982104861534, -1773.3508546635858, -1763.100231259028, 2273.3194722826593, 10676.556134351806, 8159.806413610349, 3373.544332639416, 1535.7474110114417, 714.5540597213112, 225.39085613055795, -9004.195433921333, -5873.331090845051];-2.6536382378899925;0.08241015041618416;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6504.166240511013;0.06954310251807827;63.63636363636363;-1.3965520536272142;102611.01336756353;1.3448508313652416;63680.65669609794;66065.86435485275;68014.55947155008;71930.52356235545;75804.8367611911;66264.80135465432;69172.14202263785;72112.68786622185;64066.18976480117;67300.78907036866;74765.13267446568;65882.42304905415;[796.4755539020625, 1538.389265147256, 3162.326398449921, -4407.592402355454, 4888.744758808913, 10459.106255345672, 705.861597362149, -124.54837622185005, -212.42164480117208, -3851.113350368658, -16085.920714465683, -8233.008189054155];-2.6055799278038068;0.09184948523807507;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7823.255421032477;0.08936647249771079;63.63636363636363;-1.5378595473545453;123488.46833521647;1.6720418777196624;65518.887775387026;67968.80334299916;71468.48520852829;72730.53656694399;72182.57738748769;69426.78629776748;68952.9830989396;72864.84051508759;66253.01701605495;66280.78542654833;74482.70884179648;68157.7601579025;[1592.6846846129702, -844.3196429991658, -5281.675428528295, 11507.419953056014, 4156.1073925123055, 12780.398482232515, -2855.1551989395957, -1646.6050050875929, -1082.4536060549435, -4870.7872365483345, -15642.449781796488, -10479.314507902505];-2.532233931222178;0.10782712295083652;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7156.635033133914;0.0859259765891623;81.81818181818181;-2.9535778507238044;56610.84227706897;2.4292798718464077;68517.23560821889;70071.12168115804;72913.11230843181;74070.71572765653;75072.29111104287;70956.92243557435;70571.12672326148;74773.20098457475;69036.21600227448;68806.98561312878;76526.14078998464;71722.83595501861;[4629.437061781107, -4389.628931158033, 3551.55073156819, 3594.848192343474, 3408.031348957127, 6329.878074425651, -1580.7665532614774, -4984.020754574754, -826.9169222744822, -4607.864833128784, -15618.269409984641, -14265.491755018615];-2.40707283212409;0.13975009716983078;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7825.105391458852;0.0863718705506498;45.45454545454545;1.271493937768983;185114.88321730364;1.7129459691312785;67055.78373481102;67676.61222390756;73773.62576966346;73626.9506547891;72473.02526975171;68685.6506036159;70995.64204693184;73765.83174212872;67795.45890685955;67000.17097612965;75284.4716160587;68725.8723179448;[3022.551405188977, 336.2609660924354, 4444.140530336546, 9471.000435210895, 5191.980160248291, 13945.992516384096, 3242.2275230681553, -3570.8589121287223, 1587.9269631404459, 251.85619387034967, -14894.564006058696, -12122.077027944797];-2.5113604587214136;0.11273461435058929;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6744.516562038865;0.0661212997528472;45.45454545454545;-1.059589700833393;159492.55765498633;1.0856286063576848;68852.42363416796;68857.3488120266;72088.42836415733;75938.87095450104;71476.10538065442;70200.07055408355;72862.1106114213;74958.43925304066;67018.20953449265;69851.5853202667;76262.20379244738;69761.61314463077;[1987.6089758320304, 1007.0624179734004, -1394.1620641573245, 3235.2558554989664, 10651.506939345578, 4230.645025916456, -448.14141142129665, -455.8323730406555, 858.1346655073576, -2009.8896702667116, -17606.718282447386, -9052.765314630771];-2.378104425234539;0.14801186946230122;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6575.73267909898;0.0714277154830422;63.63636363636363;-1.2206273610356817;103745.44348870468;1.2216717446403385;67959.6165612326;71214.46762490089;72858.07885420235;76015.40928598278;76241.52070871818;70031.49089883402;73255.3820067931;75338.67212663847;67381.74459975325;71522.29136783954;76436.72858742077;69441.87070545898;[771.9504687674053, -189.13610490088467, 4644.44831579765, 809.9675240172219, 6749.991971281823, 8496.692071165977, 2246.728503206905, -1235.7590866384708, -1964.8478597532521, -4462.15187783954, -13955.610837420776, -12375.901505458976];-2.2249748703692913;0.19730619560759333;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
