train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8911.749788359395;0.09307771112466716;45.45454545454545;5.687612428006681;210846.87720132127;1.423220234082272;87269.14486233487;92023.57502668956;88258.08560250078;85354.39348036975;81372.89931716477;82869.46785506948;80169.58620918778;79111.29024122913;83266.46042728217;89703.8428353712;82719.3683647719;89684.55611521444;[893.3271376651246, -10313.91502668956, 5962.7133974992175, 5300.550519630255, 9888.70168283522, 10636.662144930524, 8969.873790812228, 11747.23975877087, 6568.469572717819, 9939.217164628804, 11232.561635228092, -9204.46611521444];0.44622750371136444;0.9831437620468889;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10619.678115631454;0.09428877941884477;54.54545454545455;7.364981425448916;209456.14377192414;inf;74202.66943711608;86326.7822879217;83602.09197053565;79157.02321304845;78264.86505430353;76344.25666000652;77644.64872606202;75210.58534862111;80440.2360100911;81387.92132057669;80308.22327357414;77802.78636612874;[1035.0605628839112, -9755.122287921695, -2726.561970535651, -516.4442130484531, 3525.0819456964673, 16295.033339993475, 14785.151273937983, 16417.06665137889, 6494.181989908902, 19597.29767942331, 6369.236726425865, 4065.144633871256];-0.03658556328509952;0.9553998635366436;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8154.52047340943;0.09199472858834822;81.81818181818181;3.073241682111076;64525.75762446279;1.1712410652034115;72812.81041130114;84729.32571135218;85250.98496391921;69411.49144287371;79015.224420889;77402.65259275609;73877.51588856848;71704.79868653677;76663.89508777182;83451.46447831743;73654.29137260206;81252.25778314486;[-1112.8504113011295, -12371.505711352176, -7359.694963919217, 9051.61855712629, 6921.763579110993, 7186.532407243911, 10446.704111431522, 12169.240313463233, 5068.602912228191, 8324.865521682572, -1557.331372602057, -7305.0977831448545];-0.20040484722053814;0.9384733435130392;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13927.890794032062;0.16788286966807373;36.36363636363637;-2.1452611475897023;384805.07778847945;1.3825864077172898;78163.0698327709;83072.27884796145;85363.16996040966;75336.42191111676;73663.92375574198;78401.86790249284;77075.39473858265;80132.70596992345;77480.97811363603;79325.9387104951;76022.29997434234;79783.77104845287;[-11738.102832770892, -24470.458847961454, -27560.245960409666, -5226.681911116757, 7926.065244258018, 2761.2080975071585, 8832.015261417357, 11749.504030076554, 8221.201886363968, 16847.951289504897, 4806.710025657652, -11971.371048452871];-0.1869353537334611;0.9400610770310699;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5696.253925724969;0.05928667990326586;72.72727272727273;0.1709691885001741;67416.48743994853;0.6671635988916484;80710.47934629796;85240.38438875225;81003.70262923928;74186.02621240947;73615.9848188638;81825.34610887057;76809.51252173331;79396.90476867829;76099.23259901692;79233.15981758949;75313.54681715973;81059.320400537;[-6124.579346297964, -7566.374388752258, -3445.6626292392903, -1319.4962124094745, 9282.825181136199, -529.0861088705715, 167.36447826668154, 3222.9052313217107, 3553.677400983084, 9452.390182410512, 3346.795182840273, -8423.20040053701];0.09748884964161213;0.9658892274146295;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4773.231367534142;0.04968685455962029;63.63636363636363;-1.3206896545297326;75262.38085067771;0.5089555738699126;81976.08845908957;84000.29695981022;82184.24166949879;78655.88296568794;75970.83221810615;79946.73487281195;75169.3668700342;80039.97058017417;79422.7249334112;82367.49901133;76846.92197629841;82518.80398518102;[-1142.7964590895717, -8681.384959810224, -4484.0466694987845, -6502.632965687939, 1321.137781893849, 1322.2041271880444, -15.341870034200838, 5092.79341982583, 1419.8200665887998, 3970.905988669998, 3746.877023701585, -8549.153985181023];0.28595497835992106;0.9766908533143707;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5371.782930460062;0.0587943204619522;72.72727272727273;2.54349738407703;63575.18670829597;0.7099162550225404;77691.26375893189;81034.59956734095;78829.05971516931;78249.10254127043;74324.28636707384;77101.72975968926;75143.73947368476;78472.4208956608;77685.27902465331;80105.10113803166;74645.30307895354;79829.01072541506;[1043.666241068102, -6369.349567340949, 2088.307284830691, 1761.667458729571, 5535.4736329261505, 6186.420240310734, 5402.010526315236, 2479.1601043392, 1324.5109753466822, 8051.466861968336, 6214.814921046462, -9365.07772541506];0.6120412782285203;0.9879086959507319;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5612.925611160255;0.06019602942410716;36.36363636363637;4.0421870158393745;154814.11407720685;0.5599155544539695;76651.23579363704;76773.76693385185;76610.15671927124;72364.45693286572;70331.7298293658;73262.4834677825;73082.14085544174;74290.35401230914;74346.40637829891;76377.15787341267;73339.08752798972;75104.20108616333;[1447.4832063629583, -4724.766933851846, -724.0567192712333, 2233.5430671342765, 6529.220170634202, 7586.216532217499, 9563.324144558253, 3000.495987690869, 2130.5636217010906, 10132.442126587339, 4694.372472010291, -4271.211086163326];1.3619625067305257;0.9969343032593967;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5493.233270415817;0.0655225716061267;27.272727272727273;-0.8284182216587632;173149.9020610007;0.4350679048127883;79259.70059567282;78488.79181419907;79260.81079423035;73457.66229684094;69592.98727177591;74684.15928580656;69189.24592006346;72844.24853737102;73817.87921195793;78692.909231152;72580.00691371373;77782.39357650724;[-7938.30059567283, -6696.691814199061, -7926.11079423035, -1907.2622968409414, 8067.212728224084, -187.25928580656182, 6485.011079936536, 4981.5514626289805, -3165.8782119579264, 4176.490768847987, 1747.3930862862617, -5027.7935765072325];2.3239235718926907;0.9989698834895724;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;MA;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;9275.758516221867;0.1007515847120425;45.45454545454545;8.150960421171934;219490.02818668855;0.7018452469538965;73856.32453323338;72536.88570960866;69760.53634605436;65456.027189512846;64247.492551419076;67941.83107281564;65401.90189812032;66066.48261132157;67617.77295140648;69381.04506219136;68094.31598990249;70105.2104159082;[-5487.294533233377, -929.3857096086576, 1458.472653945646, 3337.0978104871538, 11065.621448580925, 7228.668927184364, 11506.598101879681, 15754.71738867843, 5646.027048593518, 16664.954937808638, 10416.129010097517, -3850.998415908194];2.9716514333429678;1.0;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
