train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1660.6051020406296;0.04300567007614562;63.63636363636363;-2.5784252587340526;26179.3501182386;1.1337124453766498;33977.04239781543;33612.48636591495;32924.82489966674;32392.04940337285;34021.53094040019;34925.24066376798;34227.8939106807;35602.44600556246;33801.90328547629;33176.990184406786;29965.38516149536;30381.06781957223;[1506.9576021845714, -3870.987365914949, 270.9931003332604, 172.45059662714993, -1715.3309404001884, 1178.3623362320213, -123.193910680704, -1530.6460055624557, -1842.203285476291, -1111.9901844067863, -1584.38516149536, -1379.5678195722285];-2.376994344404292;0.14833513274036747;8;388;-3.4473167281607155;-2.869018036958473;-2.5707536074503134;False
1990-01_2022-02;2022-03_2023-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2245.052080362821;0.05154305842737797;45.45454545454545;3.0438288603562005;53076.92792096484;inf;33316.36242990456;32514.868094619826;31590.933387037167;31766.273511529907;33664.793113567175;33756.34331179047;32900.782494214924;34649.63441495853;31504.304344489807;31339.759256103454;29667.932248529665;28573.71906453274;[2421.1375700954377, 225.13190538017443, 4892.686612962836, 2547.7264884700926, -380.79311356717517, 2708.9626882095254, 1574.2175057850764, -480.6344149585275, -313.8043444898067, 1992.3717438965468, -3142.9322485296652, 50.28093546726086];-2.2697881114123013;0.1818970826064526;8;376;-3.4478619826418817;-2.869257669826291;-2.570881358363513;False
1990-01_2021-02;2021-03_2022-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3089.491162832652;0.08221807666652699;45.45454545454545;8.19865976780687;73082.23683320428;1.4369663659173322;28472.942570393025;29042.418001261027;30476.36956137043;29232.665920823885;31238.418502354765;30655.65399274968;30875.979300152194;33473.622629591395;29478.233313572826;29000.86340930523;27095.93469318557;25376.356559220112;[4193.326429606976, 984.5819987389732, -200.56956137043016, 2155.679079176116, 2277.581497645235, 4529.345007250322, 3348.020699847806, 1239.8773704086052, 1822.6436864271745, 3993.03659069477, 1801.065306814431, 5508.158440779887];-2.3396900535603637;0.1594863755955569;8;364;-3.4484434475193777;-2.869513170510808;-2.571017574266393;False
1990-01_2020-02;2020-03_2021-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3921.0147615055007;0.11010574043977282;72.72727272727273;-9.738381530940538;46493.2213035104;0.6376650782902196;32709.811859687063;32642.02660074254;32151.724108558938;31355.68002190223;31972.00775600653;32934.314507364004;32959.67475082657;33986.83067220662;31437.55579249673;31590.38854860127;28647.392604212713;27836.081669918305;[-3503.8118596870627, -9778.64460074254, -6414.224108558938, -3881.18002190223, -1872.5077560065292, -1630.2145073640058, -1786.674750826569, -910.830672206619, -2459.7727924967294, 596.6114513987304, -158.67560421271264, -1941.7916699183043];-2.2532043745458217;0.18750469600283282;8;352;-3.4490648539347544;-2.8697861692116478;-2.5711631253228306;False
1990-01_2019-02;2019-03_2020-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1377.6436816419778;0.03534429428297084;72.72727272727273;1.8121723912638732;16290.698296643852;0.459055295096439;31054.908808706386;31324.641433534183;31091.336939909714;30785.66598018043;31917.37625081241;32802.615062344106;32084.413923594904;32848.51020133602;30628.42514617124;30906.05037125542;28422.216574823244;27052.387176141394;[-1372.4088087063865, -543.2124335341832, 854.1630600902863, -1272.6659801804308, 426.6237491875909, 1508.3849376558937, -77.91392359490419, 1694.9897986639771, 1533.074853828759, 982.3086287445803, 14.783425176756282, 3097.612823858606];-2.248880597829199;0.1889850471262608;8;340;-3.4497304638968043;-2.8700785273763487;-2.571319005190311;False
1990-01_2018-02;2018-03_2019-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1589.216437247653;0.03911374325664495;54.54545454545455;2.5805883367111626;31307.27252738323;0.4932291157141183;28756.766129696734;29566.753093118765;30653.97229394834;30325.11600220404;31570.261466585805;32238.341902623764;31332.001099031873;32297.50009004215;30450.56132565275;29921.658014593617;27091.935674932276;26598.06049234366;[3616.3048703032655, 747.9429068812351, -1107.227293948341, 645.8839977959615, -1148.7614665858055, 1874.6580973762357, 326.91290096812736, 1895.3179099578483, 157.40867434725078, -331.96701459361793, 389.564325067724, 2491.4395076563414];-1.6956797586865027;0.43333975861268925;9;327;-3.45050711373316;-2.8704195794076743;-2.571500856923753;False
1990-01_2017-02;2017-03_2018-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3049.5318039195063;0.09792521189012204;72.72727272727273;-8.008856820138208;36143.72002052841;0.873829723519485;30502.63583543147;31400.850920576144;32385.78931771678;32744.445851326633;34145.205870935766;34318.68405635903;33772.33785713616;34851.92696984215;32520.07646964862;32053.38043643579;29146.459151456118;28925.796085588787;[3014.0271745685277, -3039.1609805761436, -951.8463077167798, -2275.554071326631, -4984.507240935767, -1773.437426359029, -3318.726607136159, -3825.5769598421502, -3140.7256996486176, -2917.5646664357882, -2388.043151456117, -3077.7010855887856];-1.6096437429353905;0.4787475325149304;9;315;-3.451281394993741;-2.8707595072926293;-2.571682118921643;False
1990-01_2016-02;2016-03_2017-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5265.776880639866;0.16093142445756395;63.63636363636363;-15.850494362922497;83283.96423702712;3.3057127456266415;36647.22474070201;35642.13989316341;35840.20028931626;37523.8678443119;38553.94050431107;38170.59545281449;38864.50841022239;40160.91898126262;36374.77409839608;36891.05644312266;34471.01812024329;33000.36760480698;[-2296.0247407020142, -3141.2898931634118, -3328.092289316257, -4760.667844311898, -6770.290504311066, -3980.179452814489, -5509.521410222391, -7478.886981262622, -5590.974098396084, -5308.027443122661, -6642.483870243286, -5686.590204806984];-1.2199828787931937;0.6649410567959528;11;301;-3.452263435801039;-2.871190526189069;-2.571911967527952;False
1990-01_2015-02;2015-03_2016-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2135.189837934378;0.04724730256765028;72.72727272727273;-2.0790643919539633;25259.631700904723;0.45769818536587104;38408.42499608037;37063.24176660687;37673.13127345178;37432.2326291447;37730.587644635285;38275.274374317785;38842.522687815195;39717.94918333892;37252.7507737626;37945.58213949587;34766.80885026175;33225.72975195721;[-1129.8567260803684, -587.2407666068757, -880.1062734517764, -522.9006291447004, 1919.2198553647177, 972.3811756822179, 1235.7322421848075, 887.2901566610817, -2246.4832137626, -923.0588294958725, -5969.758850261747, -1886.5297519572086];-0.8952155041205744;0.7895439371162558;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;False
1990-01_2014-02;2014-03_2015-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1949.7713825019628;0.04263509119563765;72.72727272727273;1.2593611749537512;23062.202209509025;0.4109825127131899;38111.90458019666;37264.15545271627;36529.39908018409;36138.249471535375;36555.5273701306;37736.77284276284;37812.34174910387;38053.75676496887;35954.83692415385;36861.0745080945;34175.710306131805;32327.405359882458;[-2468.9615801966575, -415.2504527162746, 2473.600919815908, -2348.927471535375, 952.6496298694037, 748.6301572371594, 3063.158250896129, 3670.5052350311307, 285.0630758461484, -1264.5785080944988, 1254.5628638681956, -370.20535988245683];-1.1289367572000961;0.7033954182754044;8;280;-3.453922368485787;-2.871918329081633;-2.5723001147959184;False
1990-01_2013-02;2013-03_2014-02;DF;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2403.562953756019;0.05479397220909101;72.72727272727273;4.95627860716081;28442.401246112608;0.5769330348149295;35037.3513741419;34932.071120451736;34474.74128003648;34175.34805856402;35232.12836653962;36146.40399305805;35683.97527688158;36254.42309115391;35026.969719176435;34778.95143558787;31770.35924519113;31050.485552612896;[-769.651374141904, 1155.7288795482673, 2263.381719963523, -109.41705856402405, 2041.978633460385, 3164.0600069419525, 1700.3247231184214, 4547.0769088460875, 1994.9062808235612, -507.31943558787316, 2218.890754808868, 3918.4144473871056];-1.5472448714249238;0.5100241244256735;8;268;-3.454988209954765;-2.8723857312734613;-2.572549407997327;False
