train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6804.347270417001;0.3174061148599578;36.36363636363637;-24.81023347835428;188440.1378306229;1.0587536610279655;14840.78800968812;22880.57466855786;28769.208227638253;27259.993008169597;22576.532357041655;22400.335746499713;26771.11400545998;25340.537644990818;24942.742937717772;28333.392109938206;26035.150348002;24151.03568994945;[4615.911990311881, -2476.3146685578613, -10350.408227638254, -12795.543008169596, -6466.827357041655, -1301.815746499713, -5384.114005459978, -1164.4716449908192, -1767.5429377177716, -11052.690109938205, -6679.155348002001, -3679.33568994945];-2.421324947094469;0.1358078319742586;14;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2022-02;2022-03_2023-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;15074.808758761656;0.6699977187488403;54.54545454545455;-57.87679768297692;301095.0020168939;inf;41523.16858875537;40964.226247544815;37136.064574383876;35067.32868445229;36728.3022403958;38785.294200061406;38926.54579322597;36483.47356140729;39879.64766648268;40452.337637883174;38381.72288743154;36892.28529526153;[-2798.8685887553656, -12123.361247544814, -7928.664574383874, -19191.628684452287, -16246.851240395801, -12981.294200061406, -12722.845793225966, -9536.978561407293, -14729.397666482677, -21977.187637883173, -18605.79088743154, -20238.085295261528];0.6376814215480427;0.9885085083512438;9;375;-3.447909006729481;-2.8692783343881483;-2.5708923751111112;False
1990-01_2021-02;2021-03_2022-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4040.1870134207184;0.08389275662254458;63.63636363636363;0.4525480145114237;63764.53442869761;0.23484435275329557;42347.60565228853;38899.85976192639;36378.83024863204;35943.35023821734;37285.52885097274;37155.09342174425;37746.436158392375;37872.88865262234;38412.76299998259;38864.5711739611;37225.2607639706;37332.169867556855;[-3061.0886522885266, -3644.9237619263877, -2282.2292486320366, -2586.9502382173378, -5859.452850972739, 1623.7065782557547, 1981.8458416076246, 10029.011347377658, 778.9720000174129, 2830.6048260389, 3212.2392360294034, -951.169867556855];-0.21792006880570455;0.9363516102174562;7;365;-3.4483935212959844;-2.8694912343676497;-2.571005879151811;False
1990-01_2020-02;2020-03_2021-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3922.5297173613403;0.08609557905081926;63.63636363636363;3.4264032055783176;61911.41457509848;0.25520928211639327;45461.34885377352;38070.15435121311;32357.922810965938;34120.14187176987;35227.51173117492;35625.79778303411;35266.02062450581;35387.2446775952;35236.35087737203;34952.48666031383;35673.761088027924;35451.584249987805;[-4005.1488537735204, -2196.65435121311, 2275.340189034061, -3774.941871769868, -465.01173117492, -663.3067830341097, 3126.2313754941933, 7395.9933224048, 5000.649122627969, 6474.689339686171, 3317.838911972074, -1128.9842499878068];0.14774530053598303;0.9691737083696347;7;353;-3.4490114443793214;-2.8697627072503757;-2.5711506161673716;False
1990-01_2019-02;2019-03_2020-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;19804.667306751693;0.5354461253468942;63.63636363636363;53.7756092126551;316442.8780870942;1.5653386741915907;26536.85843849926;19901.786357372715;12635.863669717819;12294.650007032586;15102.071807570106;16955.740491858007;17160.751315013713;14143.628152198786;15289.60030093426;17885.70525634351;15158.906123750341;15755.1510579484;[7296.314561500742, 21126.468642627282, 20292.786330282182, 16685.899992967414, 16562.579192429897, 19080.95950814199, 17708.848684986286, 24350.271847801218, 25598.29969906574, 18475.467743656493, 21066.693876249657, 23055.482942051596];-2.669167818656011;0.07952722215871538;2;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;False
1990-01_2018-02;2018-03_2019-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;8000.699215344488;0.3293870700689216;36.36363636363637;31.832646027095535;221612.30356729534;0.6287738487550363;12835.675566397966;12208.051304742017;10456.324963535513;8057.6551202915125;9484.78514648735;10720.105432139402;10351.127228754673;9303.634065145001;11373.790558195176;12497.236900735832;9675.395010725304;9864.455386756072;[3678.707433602036, -2193.8653047420175, -1787.3449635355137, 1901.1308797084876, -2124.7851464873493, -492.0054321394018, 12012.911771245328, 17998.878934854998, 6268.462441804824, 2882.3900992641684, 10279.654989274695, 10801.844613243928];-2.1609727418488456;0.22071365505154322;8;328;-3.4504451681828194;-2.870392380216117;-2.571486353732897;False
1990-01_2017-02;2017-03_2018-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2168.0901187248087;0.18832744153191117;63.63636363636363;5.565128063226185;34318.33500650141;0.1332749709147241;11071.05035642773;10936.45369868346;10360.12790884941;9033.192858713393;9446.441156781924;9884.740845613884;8947.319447811218;8933.751793280517;11248.365739408951;9659.742270490067;8898.653833357675;9373.604998863397;[-1047.2086164277298, -1587.624729683459, -35.78616884941039, -1284.6729227133937, -3444.088510781924, -285.1881996138836, 2537.4441021887815, 3949.165946719484, 2067.6546405910485, 2554.3301095099323, 1463.697166642325, 2053.9460011366027];-2.220196189161489;0.19899722665977732;8;316;-3.4512146067362317;-2.870730188960711;-2.5716664849383113;False
1990-01_2016-02;2016-03_2017-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2783.4440507676172;0.23334017014582012;63.63636363636363;-7.16837227248661;44112.78869287002;0.14999357045617623;11756.88684129553;10694.404186443699;10630.328694029537;10814.100310698339;9281.819286309275;9244.039086970615;10038.624608965843;10024.903311654145;11291.590472348398;11848.17961549548;10386.058962581545;10374.818386591094;[6809.571158704468, -1085.2041864436978, -2967.728694029536, -3901.100310698339, -3112.6192863092756, -1006.4390869706149, -1311.6246089658434, -813.903311654145, 199.90952765160182, 1828.6203845045184, -1815.5954135815446, -1277.6875475910947];-2.9117890223108605;0.04399416943178731;2;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;True
1990-01_2015-02;2015-03_2016-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2312.043553831947;0.22468339468530704;54.54545454545455;-9.202016073354503;45735.91852425554;0.14599700612465147;14917.13985441041;12730.779805086144;10151.021371375251;9756.855293760776;10705.122306006262;10862.101636040554;10432.603665077198;10436.959784095829;11661.321905023608;11678.915245421636;10446.96032682322;10775.922508726384;[-841.8384344104106, -354.2798050861438, 1445.478628624749, -1501.4552937607768, -3482.8712240062623, -3865.542248040554, 3446.3595049228024, 1769.9954159041718, -2797.993674023608, -2031.9397144216364, -1715.5603268232207, -1408.8225087263836];-2.9485591359953722;0.03998564277741935;1;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;True
1990-01_2014-02;2014-03_2015-02;RR;oleodiesel;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2634.9428381161897;0.19167873732850885;63.63636363636363;14.771947709029968;41711.30637536462;0.1648853349637138;13319.543440669146;10751.441349647434;8256.556027933855;8097.915354888427;8684.269867890634;8455.539446934667;8455.249704605065;8505.441237669607;9428.693748281916;9385.513472473478;8497.101297635618;8730.910495462991;[-1943.9434406691453, -127.44134964743353, 3171.6439720661456, -456.2153548884271, -413.06986789063376, -866.6394469346669, 3625.5502953949344, 2180.858762330392, 3282.506251718085, 4541.186527526523, 3059.637912364382, 3109.889504537008];-2.6683781445678516;0.07967188583194462;2;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
