train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SP;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;68256.06109951;0.0643913364737223;81.81818181818181;-0.9620218213584282;539280.7576822657;0.5278059787704591;926277.967957022;855197.8936129638;852832.4122945326;847181.763321057;831466.7511227824;845239.2597545743;830004.9102664033;873194.7812364578;850224.7878073205;921445.3290190762;831342.001331254;810658.6442903581;[-21509.985957022058, 9476.668387036189, 150890.41270546732, 44047.79567894305, 26088.217877217685, 33708.767245425726, 7783.822733596666, -46185.224236457725, -50791.791807320435, -53441.441019076155, -70676.68733125401, -127297.0542903581];-1.6284797537798845;0.46828657071424123;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;SP;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;129409.74859870039;0.13974982639655112;45.45454545454545;7.976709268818229;3064346.961542374;inf;974009.7773345503;742611.0794599444;678135.1753673343;869577.8223173473;730178.7680334612;713642.4761979099;756493.018776728;762075.5843982312;812562.7013336276;837966.9727249711;712341.1503881891;743184.8533228906;[-185027.92833455023, 32394.635540055577, 155344.73663266574, -125372.50331734726, 48838.4349665388, 142884.1638020901, 79194.68222327204, 121077.15560176875, 62005.16966637247, 197422.2362750289, 137475.60161181085, 142742.15967710945];-1.8039844070769524;0.3784853480984141;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;False
1990-01_2021-02;2021-03_2022-02;SP;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;210354.91078167528;0.23123094522615228;36.36363636363637;22.514723209805;5817472.335123513;2.402105595503276;591733.9208409245;606505.8958468107;566989.2136174524;609245.2091633342;577076.7508437239;611080.0501261335;600168.3364422135;585117.0530773022;608360.7854753663;659657.5448519416;567187.7477348568;566947.7875815122;[-15690.941840924439, -75394.24284681061, 95932.23738254758, 99503.76983666583, 215255.22515627614, 180875.5698738665, 225665.1585577865, 271378.5439226978, 258148.23552463367, 354814.6301480584, 214669.41526514315, 252422.29941848782];-1.9236349425037342;0.32102546729563963;10;362;-3.448544133483233;-2.8695574079525565;-2.5710411593052713;False
1990-01_2020-02;2020-03_2021-02;SP;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;104413.21834868715;0.14402773895469717;45.45454545454545;-11.084349197110754;2472637.9357249704;0.2941811081167343;677230.4754856193;679093.9235483578;664044.9358880325;646851.0629204948;643808.2517045347;664387.9766165264;650099.3075391604;667204.3331573701;654255.8239961488;734588.5439502103;635820.6027125922;618945.0583552071;[-132913.1744856193, -242393.84454835777, -180424.57888803253, -110138.43292049482, -36557.427704534726, -72279.97061652632, -17286.42653916031, 5318.397842629929, 1353.913003851194, 25796.935049789725, 12455.014287407743, -44842.649355207104];-1.8770810229361277;0.3429185297144688;10;350;-3.4491725955218655;-2.8698334971428574;-2.5711883591836733;False
1990-01_2019-02;2019-03_2020-02;SP;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;33190.8786548576;0.039504555829590525;100.0;-3.4287343618448993;567.7623224695066;0.14352303737403904;638538.8722601319;726771.2629750439;723299.6426839451;630950.4518412874;670121.8989570212;718878.1351674304;672423.6310332943;693840.9636377555;673055.051959112;766518.0613138558;674164.318000827;631099.1338466589;[21242.937739868183, -52858.913975043804, -64886.41968394513, -8977.266841287375, -6999.926957021235, -33528.608167430386, -27417.707033294253, -195.21563775546383, -9729.811959112063, -38764.36931385577, -46310.578000826994, -4061.603846658836];-1.779121214673952;0.3908755832980301;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;SP;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;188497.6675615155;0.26720648152183574;54.54545454545455;-25.724040157417292;3731900.807208853;1.029733529730512;848112.0011422093;914751.0886171719;888325.4170416235;805214.8296948303;855149.6929688683;843379.8341950637;842219.7518866665;903263.5043680631;834862.1701961011;931217.9564674346;842564.683876005;806040.9006645276;[-3870.571142209228, -138803.95061717182, -189705.68104162347, -97028.22369483032, -231659.57596886833, -156604.32919506368, -221970.44888666656, -275311.319368063, -199146.75819610106, -203245.82146743464, -205644.19087600498, -187552.9316645275];-1.4067629266956025;0.5790296262118921;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;SP;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;56448.39092996868;0.05589172558082347;54.54545454545455;-0.9308766876091816;1112406.8121923602;0.46202088617869497;969848.2229281547;857146.4674300394;798717.5366878808;873691.8497977873;844516.6227531834;833620.450780889;830685.5804209023;851242.7803168151;862247.2812619206;921841.4481540933;817658.0302653805;824142.5167513466;[-7154.617928154767, 29544.768569960608, 113254.77231211925, 20197.239202212775, 22847.42024681659, 42720.05221911101, -10629.189420902403, -26534.469316815143, -71415.29826192057, -42433.9741540933, -69240.50226538046, -96017.1697513467];-0.6887288655622853;0.849647454593355;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;SP;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;94618.65522039414;0.07836305432447724;81.81818181818181;7.715116293994694;748139.9549065736;1.6546025814866638;797972.9929689659;796787.0412943375;794141.837428423;769516.8569676693;763228.91590536;793911.6560046073;773057.4091393466;793082.9848408581;770075.4053078193;841610.1005276499;772507.21735058;727272.5258876415;[100198.75203103409, 61881.403705662466, -19269.00542842294, -5771.910967669333, -7081.146905360045, -1006.3890046073357, 10456.2518606534, 59812.82815914182, 143550.2356921807, 184129.1064723502, 101525.73064941994, 156852.91311235854];-1.0935501390355937;0.7176371691880884;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;SP;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;120230.6527734832;0.14415285563230532;45.45454545454545;-14.181973047357294;2847220.920962972;1.6116407627221294;851136.9008487429;933420.521096867;942814.3924626214;863558.4139780158;886588.1289695584;906739.232270881;906886.5152418832;907653.7297906406;860068.2009704497;974527.5268122929;872726.7042679809;830968.6879299297;[-67376.47284874297, -139156.7010968671, -180555.62846262148, -94005.88397801574, -123969.1829695584, -159477.772270881, -162952.50324188324, -110045.89279064059, -101575.04097044969, -61020.89681229286, -120167.94426798087, -13296.315929929726];-1.0036147538737734;0.7519436205787677;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;SP;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;51059.76714700227;0.04970590037665107;72.72727272727273;1.787731502320586;604086.6808990261;0.45916090722893604;913224.1760284246;895946.9134121054;891792.4142001134;870482.7591918478;864068.1532606157;869460.7492813445;861716.6971173137;893154.4607994548;871633.2159992427;942832.993381546;855057.8093620383;825721.8689880294;[-10075.470028424636, 60827.73958789464, 50952.68979988666, -17886.87019184779, 15827.915739384363, 43619.27871865558, 51868.56088268629, 71965.91620054515, -26120.388999242685, 28456.20461845398, 32287.927637961693, -109591.99998802948];-0.4649229282110842;0.8986817086804739;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
