train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;GO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11902.10540910796;0.07117789970259972;45.45454545454545;4.106522352615605;281482.85086802026;0.4742199197343688;144752.7180221008;129991.28351256407;130215.50426150177;134483.7183791503;118315.82508975359;119451.88644802186;124252.08501635336;130057.42527534413;133089.72255107254;126386.76311403711;121287.4156899777;124340.45838939385;[-3441.618022100796, 8186.6184874359315, 23524.945738498238, 6120.731620849721, 19061.195910246417, 15803.913551978127, 2986.5149836466444, -41.02527534413093, -7461.672551072537, 12409.566885962879, 2516.6783100222965, -13861.748389393848];-0.8461712663426042;0.8051821214514996;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;False
1990-01_2022-02;2022-03_2023-02;GO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;25583.696106198473;0.17821715677873398;36.36363636363637;11.726942537063957;706947.008762794;inf;121081.91482853382;110303.0024425037;109504.07156627654;120178.60841767062;99252.01234165051;102149.36447881287;103537.86249369865;113552.38396496083;117373.73719798149;108046.23804851908;107429.67032660573;103504.5565536006;[-17254.994828533818, -6094.477442503703, -4092.470566276548, -22418.734417670625, 23212.18765834949, 35251.685521187115, 27596.407506301344, 18494.893035039175, 14946.362802018513, 46142.68495148093, 26358.575673394284, 32674.993446399385];-1.3371327202146532;0.6120175492746609;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;False
1990-01_2021-02;2021-03_2022-02;GO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;20850.29639529736;0.16038340776619062;36.36363636363637;13.496415029825497;575989.725011233;1.0961914642983301;95620.21121972069;100195.48813411575;94016.10126825601;98139.54984286118;85887.0458022198;91124.26508933392;95292.15595235837;91814.09700126293;98287.68843580934;92008.23805017163;92060.5346283296;95586.52185494665;[-10905.832219720687, -9878.838134115751, 7871.038731743989, 6805.40615713883, 29106.8591977802, 20193.71091066608, 20315.845047641633, 29338.55299873707, 15167.073564190665, 42316.66194982837, 14625.822371670409, 11352.91814505335];-1.5754570919189161;0.49590939054630406;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;False
1990-01_2020-02;2020-03_2021-02;GO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11026.492722809386;0.08940224255946196;36.36363636363637;-0.7764455251132751;304268.2321510399;0.2769041568508717;93838.54467463422;96197.71836015547;94422.1779785511;94965.77731912084;94023.8723491537;95604.91770138683;96098.19203991284;93964.60817842235;95623.17085562434;94284.91786443892;94150.32375871527;93907.46497144294;[-11492.09767463422, -19757.092360155468, -7532.99797855111, -3086.297319120844, -766.022349153689, -4235.867701386829, -518.76203991285, 13122.522821577644, 3351.6791443756665, 24326.012135561075, 4995.756241284733, -7167.629971442933];-1.505597316854057;0.5307406314405029;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;False
1990-01_2019-02;2019-03_2020-02;GO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6234.248480651087;0.0560603309446733;63.63636363636363;-4.157023696884711;98316.1736722431;0.18194390191119356;93579.46078652419;102736.42595482842;104754.06563361302;94822.28807864506;97080.0533799786;104256.09003603553;101407.57454910704;95961.17522445944;97573.85667271381;101149.85729474675;100361.87037679389;97802.70321334802;[1123.213213475814, -5339.274954828419, -9272.155633613016, -9406.52807864506, 89.70662002138852, -8436.210036035525, -10539.734549107045, 1830.644775540568, -3305.174672713809, 4728.623705253252, -5637.170376793889, -3389.460213348022];-1.4901690217008177;0.5383688565711644;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;False
1990-01_2018-02;2018-03_2019-02;GO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;30737.912028242947;0.29608121512522584;63.63636363636363;-28.270684273843123;487942.0694163307;0.9606057373184004;116369.4175417518;139392.91747548856;146010.51871372113;123303.36146058192;120789.27017052306;121222.16425130868;129102.80164366063;130463.69279883505;124520.01178394076;132272.04261280544;130589.18171919875;121493.6739320554;[2410.3564582482068, -27675.26947548856, -47721.88471372113, -16157.55546058192, -25895.390170523053, -22584.032251308687, -40787.54664366062, -34828.54279883506, -34250.26978394076, -25192.960612805444, -33708.834719198756, -32036.583932055408];-0.9586109277002199;0.7680592396027173;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;False
1990-01_2017-02;2017-03_2018-02;GO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13441.453793460261;0.09680649990310364;18.181818181818183;-3.932754269084376;476774.8928854966;0.4534324109437241;134167.05981791756;132531.0218941787;130230.30137231984;132641.24730327164;125331.04138431909;130202.4286138607;130235.74870870214;131598.1300998477;133668.4753879252;131463.40590437286;127628.75174892745;128064.4975512221;[9731.821182082436, 5593.348105821293, 9352.150627680152, 2607.1636967283557, 11673.248615680917, -705.460613860705, -9861.108708702144, -11436.258099847706, -22745.5863879252, -10147.183904372869, -18409.686748927445, -24975.643551222092];-0.050096587112492444;0.95418778824521;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;False
1990-01_2016-02;2016-03_2017-02;GO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;10678.941329754138;0.06337460434741025;54.54545454545455;5.41536310318185;210481.44617108468;0.7494202428763669;124688.63734275295;127767.30709709592;126195.43778872184;124153.690577275;115132.25545199146;123793.43064085089;119020.15168598533;123177.19490690653;123463.77483873362;120902.5178454961;122581.51792470488;117967.16218902833;[10628.843657247053, 4307.802902904063, -3008.2037887218466, -5682.059577275009, 8296.624548008549, 2657.5003591491113, 7758.673314014668, 3850.478093093465, 5109.855161266387, 27658.2351545039, 11121.416075295128, 11398.197810971673];-0.2619315718821311;0.9307255875969228;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;GO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;18264.82184256961;0.1396463707316268;63.63636363636363;-13.682717230841865;288703.00640798756;1.0792705727646215;138236.22677992558;144569.6835547981;145508.81962183464;138977.37599987167;127270.34019101542;143105.0204514252;134883.24987292508;141815.92238834838;134246.5695912841;142689.78376524185;132889.81106016928;135581.07650663995;[-16042.616779925578, -18713.1605547981, -26446.47862183464, -19990.363999871668, -2513.358191015417, -27014.3204514252, -17286.96587292508, -18329.531388348376, -22797.401591284084, -3380.2817652418453, -17034.89906016928, -10219.040506639954];0.8721568924641346;0.9927159928470853;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;False
1990-01_2014-02;2014-03_2015-02;GO;gasolinac;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;11568.62252275675;0.07166283909377326;54.54545454545455;4.8750990348080725;228058.59984379075;0.5553557027334088;136715.94333346013;131913.26981120257;133201.4870089939;129904.81431097766;125352.8339262999;128591.07869263287;126664.4684662293;133391.77978919147;129835.03743424077;128564.93945854885;128567.27714549088;126560.32071552599;[-3148.542333460122, 13586.200188797433, 9939.427991006116, 1651.6336890223465, 4905.119073700087, 8432.165307367133, 14225.841533770697, 13652.79021080854, -1058.3174342407729, 21760.720541451155, 11082.764854509107, -15118.416715525993];1.261541081612609;0.9963846761335955;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;False
