train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2327.206620299429;0.027018407710822253;63.63636363636363;-1.0501525755945347;36671.65311420672;0.7388012175724086;65803.4009850387;67632.3216319494;70930.64640550554;74063.37877915056;77499.07370676601;76141.53360936664;68476.15487709356;70120.11035700163;66455.1078717584;64258.16924050021;59358.9253229716;56506.45912018448;[3466.475824961308, -3909.6658319493945, -994.4833655055409, 122.56868084943562, -4419.546536766007, -532.5263593666459, -1712.5226270935673, 105.08710299836821, -389.79446175839985, -3037.433730500212, 1953.264897028399, 855.4448698155174];-2.829173774221856;0.054225824313702736;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3033.1798679991425;0.03558555706917255;63.63636363636363;-1.1305965799076783;47807.49531646623;inf;66142.51306291268;67416.78061224084;72129.16331311163;76312.11879904456;78032.49538587475;74501.67841074156;69927.81323005211;72223.61100462671;65882.3006267227;64655.66822354186;61416.165780550946;56266.94118115871;[757.9561370873271, -3322.63387224084, 2000.0522668883787, 275.2851909554447, -6642.091395874741, 3688.0987592584424, 683.1251799478923, -3471.319334626707, 2458.6848832772957, -1088.389233541864, -4130.450200550949, -430.42669115871104];-2.762062739952274;0.06390049850135271;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2459.9668669993093;0.03008101526599785;81.81818181818181;-0.6425542214354418;19399.495387952324;0.7678485885702412;68089.3719709294;65916.51648742799;71632.56033853021;76127.13439707525;77829.44357871359;75307.43820900781;71189.94742142463;70952.54887470929;66439.94494229177;64465.98250357265;60594.14206111585;57117.67235947288;[1969.6696990706114, 504.5487325720169, 1070.5864014697872, 2253.8529229247506, 3533.424171286417, -65.05777900780959, -1782.8024914246344, -2237.3188047092844, -3707.4612422917708, -1089.036853572652, -5128.379381115847, -593.4839494728803];-2.6679176478126942;0.07975634125805853;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2932.755395840195;0.03490123629109725;90.9090909090909;1.479916062534527;11589.189522697869;0.6454698355309536;64047.15776509661;65978.49400429055;71526.39761404936;74679.87177222918;76350.12034559729;75743.91072278272;70075.66288201748;69249.2155740025;64579.1614246983;64940.55792417574;60205.757581093945;56577.65541550755;[4475.642954903393, -1933.332774290553, -4777.029864049357, -1431.9514822291821, 5119.102484402712, -136.90166278272227, 2743.1668279825244, 2317.7844259974954, -114.39874469830102, 2117.644975824267, 590.3855389060554, 3256.6688644924507];-2.6559303561456766;0.08197958124136295;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2824.9444433437334;0.029289995824874803;81.81818181818181;-1.2926146386510453;22276.728766037028;0.5866601333358727;63555.27010094057;67159.70051573306;73760.28738126866;75261.04628596202;77401.2498963126;76380.17623679736;69948.32283328955;70810.77684560479;65556.98126773784;65949.47775320493;61223.00404434043;57208.5779574296;[921.8621490594305, 444.5531042669463, -2583.401511268661, -7738.115125962024, 3292.331623687409, 343.73137320263777, -70.31921328954923, 1177.362644395209, -1703.2131477378352, -2499.8020332049346, -2543.792084340428, 440.83690257039416];-2.5948615380567204;0.09406394053503092;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4363.552436630629;0.05096327606510622;72.72727272727273;-1.6143684769740867;51627.99462569113;0.9851618984542434;65864.26327495681;68977.10744114354;73933.6400098864;76087.26990228913;79061.24618839972;76824.42163821035;70724.42662434655;71564.20435599031;67842.69473191234;66139.64724935364;61929.893925927536;57969.500685970874;[1247.309185043181, -1852.6237411435432, -7746.8302298864, 8150.686617710875, -2722.5614083997207, 5382.763141789648, -4626.59872434655, -345.9688459903118, -2672.1313219123404, -4729.649059353644, -3089.634865927539, -291.05503597087227];-2.512221797127469;0.11252887842877668;15;321;-3.450886958636161;-2.870586350823483;-2.5715897843576827;False
1990-01_2017-02;2017-03_2018-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3227.4533038412465;0.0399891981469963;90.9090909090909;-2.7442213137102236;12760.845954736318;1.1610053515028755;69435.41532820623;70798.03167301512;75735.2967787743;77409.93323106287;80754.96129360568;78099.48147395116;72754.79212662368;75321.31381866011;68730.80894439702;68585.16494415763;63956.13169520758;59701.582394265686;[3711.2573417937674, -5116.5389230151195, 729.366261225703, 255.63068893713353, -2274.6388336056843, -812.680963951163, -3764.431956623681, -5532.1335886601155, -521.5098643970268, -4386.044164157633, -3048.2603152075826, -2244.2381942656866];-2.395709659317748;0.14295098904217401;15;309;-3.45169128009473;-2.8709394227049154;-2.5717780602423517;False
1990-01_2016-02;2016-03_2017-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;3144.3534083545865;0.03585506453033669;63.63636363636363;1.1243237689368033;49560.108855455655;0.7518889213913884;68275.73085949579;68919.01096328336;74121.67552837772;77736.80022053298;79466.11585565371;76598.83734616588;72419.0354534433;73682.63151873772;67886.07809236337;67218.89986779733;63078.8433967241;58717.81174254314;[1802.6042805042089, -906.1377732833644, 4096.090771622286, 5361.150869467019, -1801.1104256537074, 6032.805773834116, 1818.8341165566962, -3487.65868873772, 1497.3077776366263, 33.12730220267258, -2688.935786724098, -2114.016452543139];-2.3282768223958588;0.16301022716060282;15;297;-3.4525611751768914;-2.87132117782556;-2.5719816428028888;False
1990-01_2015-02;2015-03_2016-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2630.764835782895;0.030104427980908916;81.81818181818181;-1.0241698113010855;20746.43223703023;0.5122566221925225;69767.47922026104;69213.75737120943;76020.76006058457;77280.83402128855;80089.69126186041;78121.66145611326;73717.75724369974;73351.26741380931;69077.69387520423;68115.11876583075;63697.1518765078;59373.475841114414;[1072.5533897389541, 650.653858790567, -5326.493760584563, 1893.2927887114492, 2037.9210581395891, -3690.9458761132555, -1303.7880436997366, 1151.3394661906932, -1201.3496752042265, -273.42311583075207, -5041.666366507801, 1335.3719888855849];-2.2213942556498054;0.19857240309528434;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;RS;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2035.9495755155365;0.024195366061354542;90.9090909090909;-0.9810475095136382;8035.898655538165;0.41341219322327366;69300.22609937213;69637.39205840517;76900.88897356855;78106.25522157612;80235.70961898999;78835.22065401223;74655.24294235885;74134.18427846834;69029.51923728488;69607.82344312628;64425.93172323069;60775.11998370931;[-568.6590693721228, 1387.9394615948404, 601.6381964314496, -1280.8784115761227, 2755.8030610100104, -307.0376840122335, 846.8675676411513, -31.271238468340016, -3612.622497284887, -2547.6839531262813, -1944.8139732306954, -3709.1507837093086];-2.0941774742754724;0.246862304834765;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
