train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AL;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1066.0319278374488;0.14697857389883082;63.63636363636363;5.2951072458036;16855.81006069503;0.46606834901086047;5321.358944232575;5383.6461062376575;5323.636083454627;5210.289389483723;5483.983144022792;6066.650332808438;5719.937704224069;5240.112062384167;5311.77542200191;5561.129377339683;5768.63661236917;5234.906152265181;[882.3710557674249, 69.69289376234246, 112.46391654537365, -968.7253894837231, -1485.9671440227917, -609.533332808438, 47.34629577593023, -202.48206238416697, 782.0525779980908, 1567.842622660317, 1441.3503876308305, 2032.8498477348194];-2.4275369266046516;0.13411465528667804;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;AL;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1704.5256827488224;0.2852918321726164;45.45454545454545;-3.1282398473472512;40476.28526649004;inf;5795.478682693931;6044.087773067505;5684.685456384292;5767.526319847347;5095.526855541259;5903.238860658305;6079.531718208851;5415.293396175585;5592.620958932315;5706.269424885297;5824.436330058412;5007.043907539692;[2686.5933173060694, 2183.2792269324955, 2152.541543615708, 246.1616801526534, -1243.6118555412586, -2549.697860658305, -2699.002718208851, -767.1703961755857, -891.8209589323151, 90.81957511470318, -1207.6483300584123, -60.564907539691376];-2.4252448023608575;0.13473764058279464;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;AL;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1149.9929751994614;0.1891947519104322;63.63636363636363;-5.087809842907629;18204.884044958777;0.9216416774937063;6794.776995467899;5302.787491030296;6292.179672493074;5085.332041685742;4923.529101268082;6447.848496457848;5657.505461724703;5168.575855292347;5425.2152810066;6000.038501439112;5635.868135174084;5587.018778321941;[1764.490004532101, 551.5275089697034, -595.5706724930733, -734.192041685742, -413.5901012680815, -2362.376496457848, -2083.0574617247034, -715.9878552923474, 484.3417189933998, 775.2014985608876, 254.72186482591587, -233.24277832194093];-2.301839100424772;0.17137551109009652;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;AL;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2114.559978378091;0.44111243432221103;45.45454545454545;-14.516310749672861;50357.84201041109;0.6178144545068794;7288.522375364971;6257.187237778786;6673.198004794649;5362.142813525981;5396.7422001109835;6972.426943291563;6174.832878707426;5838.195738022924;6423.523001293764;6377.0689509001695;6255.392212539338;5828.683317484793;[-2483.8333753649704, -3550.3832377787858, -4082.530004794649, -1913.5288135259811, -851.8522001109832, -1895.3939432915622, -322.0908787074259, 381.3522619770756, 75.45499870623644, 1345.8030490998308, 1228.5127874606615, 2580.621682515207];-1.7872664693066136;0.38680161163246396;10;350;-3.4491725955218655;-2.8698334971428574;-2.5711883591836733;False
1990-01_2019-02;2019-03_2020-02;AL;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2447.738420291235;0.3945987773716116;72.72727272727273;-22.723169766450475;29329.309415348434;1.0771527085271713;11077.283333585143;7111.7751084912325;8807.831411362507;5484.475671146433;6907.137675765926;8578.67586995011;5694.243983629512;5987.178692952325;7091.409176256587;8082.178697913636;7178.194539077291;5938.604079152346;[-3864.0583335851425, -734.0221084912328, -4122.930411362508, -1589.7556711464335, -2626.114675765926, -4633.22486995011, -1239.267983629512, -824.7136929523249, -668.4171762565866, 1681.1303020863634, 1565.8514609227095, 772.9209208476541];-1.5739301254676614;0.4966746485668455;8;340;-3.4497304638968043;-2.8700785273763487;-2.571319005190311;False
1990-01_2018-02;2018-03_2019-02;AL;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4699.6007453296625;0.4352247458417156;54.54545454545455;50.165919470243914;93393.64363788835;0.9272727180997425;4980.557805956387;3550.4288722430524;3426.003889342859;3158.302008704538;3536.4665403943363;3532.975304657252;3058.372346944523;3452.6598126684967;3016.037847244004;3662.5218200706217;3515.654750290038;3045.141121758909;[-462.39580595638654, -216.54787224305255, -439.74188934285894, 1741.607991295462, 1345.3064596056638, 1970.6736953427485, 4570.861653055477, 7085.670187331503, 7665.232152755996, 8106.284179929378, 6276.345249709962, 4571.06687824109];-2.0035054470862352;0.28503820116527023;5;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2017-02;2017-03_2018-02;AL;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1528.4060238601066;0.25957701766596997;54.54545454545455;28.33522210024168;30259.59406559273;0.47328778854381287;2268.088636336882;2479.780763993275;2476.9857486126302;2484.6027230384716;2426.8073366500007;2473.7035415227288;2547.52643879887;2471.6490071432954;2491.398701645455;2469.3894749433593;2489.1327602150795;2497.8773495761698;[510.9113636631182, -125.28076399327483, 123.01425138736977, -222.1027230384716, -399.8073366500007, 305.79645847727124, 1203.26856120113, 384.9459928567044, 1656.2992983545455, 2410.406525056641, 3236.09323978492, 2610.7526504238303];-1.7703677367867277;0.3952693260957413;5;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2016-02;2016-03_2017-02;AL;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2211.4630061551425;0.8986395320749866;27.272727272727273;-89.05708767170547;70531.85282434066;0.7303929463502173;4489.965303919486;4607.377522631627;4987.544798275912;4604.9347244557885;4677.10516759632;4739.071717333202;4764.078184572064;4451.611385419562;4892.968757476704;4734.178503882899;4680.549129945875;4471.413109621563;[-2027.9653039194864, -2313.3785226316268, -2215.0447982759124, -1825.4347244557885, -2456.60516759632, -2196.5717173332023, -2321.078184572064, -1885.6113854195619, -2484.968757476704, -2167.6785038828993, -2399.5491299458754, -2132.9131096215633];-1.630315082621641;0.467325790685025;10;302;-3.4521902441030963;-2.871158406898617;-2.5718948388228586;False
1990-01_2015-02;2015-03_2016-02;AL;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1683.414756077854;0.30725154190383347;72.72727272727273;29.53520510818698;20107.777450918296;0.8653495221610858;5195.811421758954;3274.6084698643367;3193.91414459212;2758.188299104742;3045.3975399163764;3741.893701790453;2735.5918824217265;3163.1271848739425;2893.3214074070584;3443.0568127900265;3128.0027222111153;2959.0694814868602;[-246.81142175895366, 1960.3915301356633, 1320.58585540788, 1767.3117008952581, 2201.1024600836236, 1024.6062982095468, 1524.9081175782735, 3075.3728151260575, 2022.1785925929416, 1672.9431872099735, 688.7472777888847, -441.56948148686024];-1.5647451696812191;0.5012748768819619;10;290;-3.453102162983312;-2.871558538275452;-2.5721082282996433;False
1990-01_2014-02;2014-03_2015-02;AL;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;754.2921041528031;0.15169269276184658;36.36363636363637;5.843495647891278;20838.51128502076;0.2271113863012876;2941.3051431949666;3055.242041279069;2889.1892348296383;2996.9775786745317;2942.6912245523545;2927.8918322753625;3025.7623289867947;3010.7751637854867;2839.4094775747108;2952.7429151704355;2989.490547169513;2887.8620515112816;[-70.8051431949666, -270.24204127906887, -128.18923482963828, -516.9775786745317, -493.69122455235447, 6.108167724637497, -377.2623289867947, -244.2751637854867, 297.09052242528924, 938.7570848295645, 1101.0094528304871, 1959.1379484887184];-1.4488076503127199;0.5586665969608583;10;278;-3.4540935579190495;-2.8719934111688965;-2.5723401594120388;False
