train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;27.126309435659692;0.3959464222618705;72.72727272727273;44.346980718253604;329.6731567225939;0.8431479030679214;21.79724949140314;26.14268442024587;25.73843248409117;23.4280597842407;26.20409009115642;27.022709908057514;26.70926665861155;25.216642318952086;24.58567658779084;24.999019840667277;26.797773399365177;24.25440469786553;[8.08275050859686, -6.1866844202458715, -0.7794324840911706, 1.519940215759302, 13.699909908843583, 32.81529009194249, 23.120733341388448, 24.72635768104791, 15.41432341220916, 45.00098015933273, 58.20222660063482, 25.74559530213447];-2.7707634384548907;0.06257288462108436;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;13.015078576695618;0.7706848545678108;54.54545454545455;4.429944064053311;275.6801929553353;inf;12.305947122937077;26.508555378823377;22.178824790201944;28.021108340633777;25.757679932942377;22.007587121092627;29.96118825211028;24.545171477399222;25.643733502644487;22.549691091959723;25.188928848231907;27.35066855610511;[22.499052877062923, 13.217444621176622, 10.127175209798054, -3.135108340633778, -10.839679932942378, 7.712412878907372, -24.96118825211028, 0.2878285226007762, 4.080266497355513, -7.549691091959723, 14.529071151768097, -12.431668556105109];-2.7183727614088493;0.07091258156768306;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;16.914447293692827;0.6232464276840276;45.45454545454545;-13.146764474435072;418.78535274652256;1.318971947661955;15.781209668246158;29.63761913520206;25.997466695264315;30.505356931375765;28.05890305325015;24.918500029671737;33.7596132185394;28.033110019742864;28.531470881902912;26.596511564744393;28.513450238081475;31.333899267890295;[43.85379033175384, -4.828619135202057, 13.729533304735682, -10.650356931375764, -3.2339030532501525, -0.1315000296717379, -18.8736132185394, -18.023110019742866, -3.687470881902911, -11.686511564744393, -8.600450238081475, -16.404899267890293];-2.67848099945043;0.07783659147133304;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;43.33702478234184;2.5942395722962623;54.54545454545455;-142.05626962323385;952.7194692040299;2.4756361535122346;58.06634559623876;68.44199926679794;76.32135011521346;66.93330733035091;66.60102576399436;72.3997670653492;72.05940851551884;66.08903326857738;77.09275438085166;71.25531947447756;68.3664813871165;72.53480618470873;[-13.360345596238759, -63.490999266797935, -51.47435011521346, -54.01330733035091, -26.84702576399436, -27.670767065349196, -32.32440851551884, -41.39003326857738, -62.24275438085166, -41.54831947447756, -38.60748138711649, -37.75080618470873];-2.675467059399885;0.0783805969508578;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;22.140653329773404;0.3910260146334636;36.36363636363637;-3.816049918945647;624.6172334674045;0.37836346881358257;76.91850442345597;73.74958012662641;76.23759208819973;73.77089919776665;75.39813318300133;75.39390121413501;73.2561169130967;72.82841428564824;78.20531297425646;75.04754653476809;73.23788648401943;72.84788367677795;[-41.91850442345597, -13.913580126626414, 8.381407911800267, 6.8431008022333515, -18.25013318300133, 9.219098785864986, 13.695883086903294, 21.987585714351766, 6.151687025743541, 19.144453465231905, 3.726113515980572, -48.03488367677795];-2.6400667262421367;0.08499575949620752;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;41.502462284722455;0.441451375681063;45.45454545454545;48.39111419882288;998.6014028921801;0.7342775337737698;30.261548045035035;42.20606867793441;36.57415056371587;40.869353237305106;40.928943774883585;36.3831339516689;43.140179843900206;38.49928653077876;37.173204155157855;37.31694595268763;40.1750621069368;40.33382091869183;[39.56345195496497, 17.65893132206559, 53.242849436284125, 19.130646762694894, 48.97505622511641, 38.5728660483311, 51.5748201560998, 66.38871346922124, 62.722795844842146, 17.619054047312368, 19.8249378930632, -0.33382091869182773];-2.5904754118608544;0.09498182818954648;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;21.85921029415768;0.6533549041093326;36.36363636363637;14.198929087330614;626.5259084492986;0.7066822405464139;6.7781236753356;39.994752460985524;32.665960695503614;40.86510936523672;35.83384480637594;29.336434272730727;47.76586853536205;37.07039529033643;39.56651583235447;34.37840295923112;37.21820815253916;42.38110023046806;[3.2218763246644, -19.994752460985524, -22.665960695503614, -20.86510936523672, -15.833844806375943, 10.663565727269273, -2.838868535362053, 32.71560470966357, 20.231484167645533, 35.42459704076888, 27.63379184746084, 22.449899769531946];-1.7328527374392295;0.41427016299378944;8;316;-3.4512146067362317;-2.870730188960711;-2.5716664849383113;False
1990-01_2016-02;2016-03_2017-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;141.35397186847965;6.385128553144734;27.272727272727273;-417.2551913526967;5043.396423401435;7.064349632311673;131.18290770619282;178.08754259218702;175.2672420937595;173.73031421072992;173.99453045660184;175.80766147477118;189.06674264433627;161.31546250208308;188.55014972762567;169.99429589980545;170.68811505138112;176.16324913778647;[-91.18290770619282, -153.08754259218702, -150.2672420937595, -153.73031421072992, -83.99453045660184, -110.80766147477118, -145.06674264433627, -141.31546250208308, -173.55014972762567, -144.99429589980545, -150.68811505138112, -166.16324913778647];-1.9059090644378127;0.3292864269228155;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;108.54977881257135;0.4071339318009661;54.54545454545455;46.64734996032226;2163.669746003423;0.568404592172695;78.08172600139427;102.57139662425361;87.701860642316;103.31918388945195;99.67171486401739;85.78287368201416;105.34326027158224;98.43249385338903;90.33069144312829;92.49394165954057;97.37283857234345;94.24241134091127;[34.91827399860573, 15.428603375746391, 121.298139357684, 108.68081611054805, 122.32828513598261, 111.21712631798584, 169.65673972841776, 218.56750614661098, 94.66930855687171, 17.506058340459433, -7.372838572343454, -14.242411340911275];-1.7919484056038293;0.3844663501985593;16;284;-3.4535872903895797;-2.871771355211212;-2.5722217283277127;False
1990-01_2014-02;2014-03_2015-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;53.132982279776066;0.6418176547484453;27.272727272727273;-51.27057902093348;1708.2334751079798;0.7557168246234226;96.92799107229388;143.84995741970272;127.00982539567535;141.56856965234618;139.45881025282563;125.17855040434209;149.33375773605547;136.02691906359564;129.76800419754443;131.59596641144;139.49734232794813;139.92449094966491;[13.072008927706122, -74.84995741970272, -41.00982539567535, -91.56856965234618, -57.65881025282563, -36.17855040434209, -79.33375773605547, -42.02691906359564, -58.76800419754443, -29.595966411440003, -18.497342327948132, -25.924490949664914];-1.8403968563368103;0.3605981104646103;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
1990-01_2013-02;2013-03_2014-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;109.15174288096836;0.8027019161589402;36.36363636363637;-64.85327166843788;3067.7726000073067;0.8327733843146543;51.76642884383642;273.3574651577278;211.12053461698824;273.5423316247419;245.92662726248798;193.79775369662008;316.1856767599056;239.55490728645893;250.53788689371623;216.68931934615478;244.7726893394629;264.8181247528512;[28.233571156163578, -173.3574651577278, -44.12053461698824, -197.5423316247419, -69.12662726248797, -80.79775369662008, -155.18567675990562, -66.55490728645893, -125.53788689371623, -54.689319346154775, -62.972689339462875, -92.8145258528512];-1.7439880682594797;0.4086027658299749;16;260;-3.4557539868570775;-2.8727214497041422;-2.572728476331361;False
1990-01_2012-02;2012-03_2013-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;188.44816131221458;1.439926452592439;45.45454545454545;-64.48326096127305;4602.441585085442;0.7312442938964698;302.962654605184;405.8182338248408;380.09245728600325;406.5161584623156;394.73805737812137;369.5253997228869;423.6166084024913;392.5897927613545;395.5718179680387;379.5336768913229;395.77623487325013;406.501528667541;[4.037345394815986, -79.81823382484077, -89.09245728600325, -126.7161584623156, -98.93805737812136, 6.4746002771130975, -149.81660840249128, -277.5897927613545, -158.56729136803872, -176.9314135913229, -320.77623487325013, -356.501528667541];-1.779500578131451;0.390685525683831;16;248;-3.4569962781990573;-2.8732659015936024;-2.573018897632674;False
1990-01_2011-02;2011-03_2012-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;194.78179202612318;0.5216418619134288;72.72727272727273;-48.80894195684804;2350.4204960940633;0.5229244374553599;575.4107764688646;559.0273896245092;577.4160273916126;553.9806124504354;559.6765282509589;579.5844927352164;557.7088826655312;559.1919269987343;589.8440953193457;571.6558493292309;565.5616394311697;576.5494778163566;[-167.81077646886456, -243.21713392450914, -129.81602739161258, -118.37392395043537, -137.6671643509589, -153.1844927352164, -126.90888266553117, -168.1919269987343, -197.84409531934568, -260.65584932923093, -263.56163943116974, -271.54947781635656];-1.5980575477329484;0.48456916331065597;16;236;-3.4583663275730476;-2.8738660999177132;-2.5733390785693766;False
1990-01_2010-02;2010-03_2011-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;181.98354872802008;0.30856144555416926;36.36363636363637;-21.9661831275981;5047.4385914245295;0.2903846006092683;802.7501120038886;666.165547238521;723.7266120882404;664.8355871104708;691.319177425805;736.5067710869591;656.5303190224375;675.1510206627872;731.8905939266901;700.0453275700803;675.2664833370789;674.964029131073;[-341.7475933038886, -199.15043503852098, -166.72661208824036, -185.83558711047078, 29.680822574194963, -95.50677108695913, 169.46968097756246, -27.351020662787278, -237.87800042669016, -61.232734070080255, -209.45934893707886, -186.95466523107297];-1.3224610935002596;0.6188347224585597;13;227;-3.4594900381360034;-2.8743581895178485;-2.573601605503697;False
1990-01_2009-02;2009-03_2010-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;435.6681386344478;0.5154870366132877;63.63636363636363;55.80192218960579;6965.357464882035;0.5824893081165702;544.1632772856983;240.21454685503485;325.2318406343719;249.24223385276548;273.6345631480278;353.32754212124075;189.5288244476766;302.1321426319923;270.52797195466104;314.6236182130014;288.85171777705483;262.9088518415992;[-11.063277285698291, 371.9354531449651, 256.21815936562814, 506.9098514472345, 551.4654368519723, 586.2724578787593, 718.6211755523234, 496.8678573680077, 355.47202804533896, 493.3763817869986, 180.14828222294517, 57.09114815840081];-1.7179121525390353;0.4219080276138604;8;220;-3.4604283689894815;-2.874768966942149;-2.57382076446281;False
1990-01_2008-02;2008-03_2009-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;165.26397983355068;0.4037233565293566;36.36363636363637;46.834406131915784;4593.923177063762;0.516392174943978;240.76677696561407;121.54651170794736;158.53371052774594;122.89432180965282;134.7935569011538;167.85071330446877;101.73140092323251;143.7747105852303;133.06311912962215;151.19564684557932;140.8608810121588;128.90477059795046;[56.75436413438595, 162.50587749205263, 130.84865737225408, 142.8718237903472, 80.6562364988462, 1.6732022955312402, 74.15206117676749, 1.4004457147696883, 68.14579307037783, 180.36210455442065, 258.1891189878412, 380.44522940204956];-1.4525292357450428;0.5568502806497925;13;203;-3.462980134086401;-2.875885461947131;-2.5744164898444515;False
1990-01_2007-02;2007-03_2008-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;79.10457767279806;0.4251620618084746;54.54545454545455;47.68595360111263;1579.898992780386;0.5832557855409811;79.30828283006437;71.80657618047908;73.38572216919528;71.05969558621695;73.53575408587398;71.95491853068404;72.10969535132224;72.65696133644308;71.06041106098488;75.99170554369218;72.54428017719786;70.86104269436754;[34.217406469935625, 40.13178311952092, 84.87945343080472, 45.68507511378306, 10.19948237412602, 38.73313756931596, 10.746141098677754, 55.730048063556936, 94.19989003901512, 131.70786435630782, 119.65540902280213, 132.86749400563247];-1.132762539258509;0.7018313615249672;13;191;-3.465058702600837;-2.8767942675230356;-2.5749014492475535;False
1990-01_2006-02;2006-03_2007-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;16.225709078379673;0.1825405103880925;72.72727272727273;-0.0443538534567727;195.05471345243677;0.2566683429147244;94.37820748712018;76.79485530392256;78.71454790879736;70.12992007226991;75.56409886634816;76.02084719155643;70.47265334419443;75.90680225549258;72.40851378431644;73.39062534245593;76.08707826226383;71.10963082715836;[-40.678207487120176, -12.194855303922566, 3.1354520912026373, -8.129920072269911, -7.664098866348155, 15.829152808443567, -2.5726533441944213, -6.606802255492582, 17.491486215683565, 14.909374657544063, 18.142782367736174, 7.934414572841646];-0.9856442141275138;0.7584641677201589;13;179;-3.4674201432469816;-2.877826051844538;-2.575452082332012;False
1990-01_2005-02;2005-03_2006-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;32.16348483340802;0.3164441294959894;45.45454545454545;34.383303187964124;771.5465506521305;0.5065286811777137;39.59117585920361;54.20649761082305;48.689195935059814;54.92463043323841;51.60148798693573;48.35643663556456;55.230399695583074;56.17619746322773;50.65644414894457;53.71675642859018;56.47895308007202;54.583461495654475;[14.008824140796392, 12.943502389176956, 9.210804064940184, 7.925369566761589, 30.248512013064264, 34.84356336443544, 27.36960030441692, 25.32380253677227, 55.79355585105543, 32.48324357140982, 63.52104691992798, 13.416538504345525];-0.8912899790375118;0.7908272181648541;14;166;-3.4703698981001665;-2.8791138497902193;-2.576139407751488;False
1990-01_2004-02;2004-03_2005-02;AP;etanolhidratado;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;23.15077256551184;0.19646976879039071;27.272727272727273;16.971700957931414;737.2169800836316;0.3686937870006789;38.33205430062844;58.44397897831139;51.39437677939952;57.805777207705184;56.119301391908124;51.052207620270195;62.072957813905404;53.7564663881881;58.83516704098254;54.6787487429553;57.171537564174955;56.63461594960198;[68.86794569937156, 1.8560210216886048, 9.605623220600478, -7.805777207705184, 3.880698608091876, 7.547792379729806, 19.0770421860946, 9.8435336118119, -0.9351670409825417, 8.5712512570447, -13.571537564174953, 27.215384050398015];-0.5874918879247583;0.8737833734047538;14;154;-3.473542528196209;-2.880497674144038;-2.576878053634677;False
